,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmycWT_1,CPM.LPmycWT_2,CPM.LPmycWT_3,CPM.LPmycWT_4,CPM.LPmycpho2_1,CPM.LPmycpho2_2,CPM.LPmycpho2_3,CPM.LPmycpho2_4
1,AGIS_Os01g000010, 5.291698e-01, 3.481856e+00, 8.255084e+00,1.316765e-02,9.215073e-02,Not_significant,8.704524e+00,8.491375e+00,8.970042e+00,9.937619e+00,1.088229e+01,1.742621e+01,1.184982e+01,1.276520e+01
3,AGIS_Os01g000030, 1.524208e-01, 1.344176e+00, 1.848176e-01,6.743703e-01,8.350694e-01,Not_significant,1.378545e+00,1.442979e+00,2.026565e+00,5.152840e+00,1.493204e+00,2.680955e+00,2.330133e+00,3.477763e+00
4,AGIS_Os01g000040, 1.742165e-01, 4.337487e+00, 1.394156e+00,2.590500e-01,5.121322e-01,Not_significant,1.866943e+01,2.183893e+01,1.930220e+01,1.612563e+01,1.947952e+01,2.085187e+01,2.433694e+01,2.080627e+01
5,AGIS_Os01g000050, 4.859420e-01, 3.106215e+00, 6.044532e+00,2.889883e-02,1.450937e-01,Not_significant,7.641075e+00,7.298143e+00,8.239150e+00,5.497896e+00,8.778227e+00,1.026044e+01,1.037606e+01,1.045339e+01
6,AGIS_Os01g000060,-2.131648e-01, 6.237950e+00, 1.997716e+00,1.812466e-01,4.225834e-01,Not_significant,8.917214e+01,7.722712e+01,7.177695e+01,8.451577e+01,7.244300e+01,5.893136e+01,8.709120e+01,6.233840e+01
7,AGIS_Os01g000070, 1.605143e-01, 2.072084e+00, 3.735698e-01,5.516997e-01,7.587164e-01,Not_significant,5.908048e+00,4.023691e+00,2.641179e+00,3.289536e+00,4.818975e+00,5.080575e+00,2.748362e+00,4.804540e+00
8,AGIS_Os01g000080, 2.147538e-01, 5.948600e+00, 1.972048e+00,1.838832e-01,4.257940e-01,Not_significant,4.303028e+01,7.409141e+01,5.440164e+01,5.907363e+01,6.923035e+01,6.801682e+01,6.596068e+01,5.996629e+01
11,AGIS_Os01g000110,-1.118440e+00,-1.857971e+00, 4.188083e-01,5.288979e-01,7.426789e-01,Not_significant,0.000000e+00,3.884943e-01,6.644476e-01,2.300375e-01,2.262430e-01,1.323928e-01,2.389880e-01,0.000000e+00
12,AGIS_Os01g000120, 1.137952e+00, 3.904107e-01, 4.764808e+00,4.816898e-02,1.958813e-01,Not_significant,8.074332e-01,1.664976e-01,1.378729e+00,1.173191e+00,1.742071e+00,9.763971e-01,1.891988e+00,1.990165e+00
13,AGIS_Os01g000130, 1.447827e-01, 1.271219e+00, 1.418105e-01,7.126183e-01,8.579783e-01,Not_significant,3.131265e+00,1.942471e+00,1.245839e+00,2.760450e+00,1.538452e+00,2.929191e+00,1.911904e+00,3.517969e+00
14,AGIS_Os01g000140,-6.854500e-02, 3.035889e+00, 1.291679e-01,7.251199e-01,8.645564e-01,Not_significant,9.728586e+00,6.798650e+00,9.385322e+00,7.361199e+00,1.054292e+01,5.941128e+00,7.767109e+00,7.759634e+00
16,AGIS_Os01g000160, 5.620267e-01, 4.034419e+00, 7.060491e+00,2.074362e-02,1.199798e-01,Not_significant,1.148131e+01,1.029510e+01,1.627897e+01,1.469940e+01,2.079173e+01,2.454232e+01,1.517574e+01,1.746923e+01
17,AGIS_Os01g000170,-7.472779e-01, 1.873042e+00, 7.036472e+00,2.004067e-02,1.177146e-01,Not_significant,4.155327e+00,5.411171e+00,5.016579e+00,3.565581e+00,2.013562e+00,2.614758e+00,3.405578e+00,2.814375e+00
18,AGIS_Os01g000180, 5.842631e-01, 4.272548e+00, 1.159613e+01,4.751337e-03,5.141333e-02,Not_significant,1.337188e+01,1.756549e+01,1.588030e+01,1.290510e+01,1.970576e+01,3.920483e+01,1.921862e+01,1.640379e+01
19,AGIS_Os01g000190,-7.635199e-04, 6.157771e+00, 3.239790e-05,9.955457e-01,9.982373e-01,Not_significant,7.174340e+01,8.563524e+01,7.250784e+01,5.663523e+01,7.266924e+01,7.147558e+01,7.826856e+01,6.191625e+01
20,AGIS_Os01g000200,-3.196118e-02, 3.767389e+00, 4.180727e-02,8.411831e-01,9.286869e-01,Not_significant,1.384453e+01,1.429104e+01,1.357134e+01,1.313514e+01,1.527140e+01,1.294140e+01,1.318417e+01,1.238325e+01
28,AGIS_Os01g000280,-4.428436e-01, 7.626302e-02, 2.961458e-01,5.959914e-01,7.863391e-01,Not_significant,8.271267e-01,6.659902e-01,1.179394e+00,1.242202e+00,4.524859e-02,1.853500e+00,7.368795e-01,1.507701e+00
30,AGIS_Os01g000300, 1.012113e-02, 2.436860e+00, 1.974792e-03,9.652363e-01,9.864941e-01,Not_significant,5.986822e+00,3.607447e+00,6.727531e+00,5.267858e+00,6.244306e+00,4.517905e+00,5.656048e+00,4.965361e+00
31,AGIS_Os01g000310, 6.590958e-02, 3.246789e+00, 1.310221e-01,7.232439e-01,8.636895e-01,Not_significant,1.087081e+01,9.379362e+00,8.953431e+00,7.844278e+00,9.909442e+00,9.284047e+00,9.220952e+00,1.015185e+01
32,AGIS_Os01g000320,-1.703358e-01, 5.201343e+00, 1.770389e+00,2.064113e-01,4.531138e-01,Not_significant,4.362109e+01,3.687921e+01,3.996652e+01,3.526475e+01,3.554277e+01,3.356158e+01,3.795925e+01,3.121946e+01
33,AGIS_Os01g000330, 2.212808e-01, 3.516367e+00, 1.743350e+00,2.096976e-01,4.576980e-01,Not_significant,9.886134e+00,1.204332e+01,9.568045e+00,1.065074e+01,1.307684e+01,1.208085e+01,1.087395e+01,1.304664e+01
35,AGIS_Os01g000350, 4.697697e-01, 4.353236e-01, 8.989464e-01,3.605150e-01,6.109297e-01,Not_significant,8.665137e-01,1.526228e+00,9.634489e-01,9.431537e-01,2.081435e+00,1.572165e+00,1.832241e+00,7.236964e-01
36,AGIS_Os01g000360,-2.512055e-01, 2.260982e+00, 5.294166e-01,4.806666e-01,7.100328e-01,Not_significant,5.553565e+00,5.799665e+00,2.757457e+00,6.188008e+00,1.832568e+00,6.752034e+00,4.441193e+00,4.704027e+00
37,AGIS_Os01g000370,-2.723833e-01, 1.258288e+00, 5.168721e-01,4.850186e-01,7.130929e-01,Not_significant,4.450729e+00,2.025720e+00,1.345506e+00,2.852465e+00,2.375551e+00,2.151384e+00,2.011482e+00,1.608214e+00
38,AGIS_Os01g000380, 4.757182e-01, 1.426365e-01, 5.380618e-01,4.763773e-01,7.067826e-01,Not_significant,8.665137e-01,2.219967e-01,1.345506e+00,1.242202e+00,6.787289e-01,1.572165e+00,1.414012e+00,1.105647e+00
39,AGIS_Os01g000390,-9.315947e-03, 4.925864e+00, 4.858594e-03,9.455001e-01,9.777359e-01,Not_significant,3.515289e+01,2.849883e+01,3.069748e+01,2.767351e+01,3.137990e+01,2.960635e+01,2.853915e+01,3.129987e+01
40,AGIS_Os01g000400, 1.878017e-01, 1.425632e+00, 3.336772e-01,5.734618e-01,7.708163e-01,Not_significant,2.776783e+00,1.831473e+00,2.956792e+00,2.346382e+00,3.099529e+00,3.111232e+00,2.788193e+00,2.231397e+00
41,AGIS_Os01g000410,-3.511514e-01, 2.962355e+00, 2.887180e+00,1.132948e-01,3.244271e-01,Not_significant,6.715481e+00,1.104434e+01,8.421873e+00,8.718421e+00,5.791820e+00,6.073521e+00,7.309048e+00,7.980763e+00
42,AGIS_Os01g000420,-1.177167e-01, 1.746052e+00, 1.380696e-01,7.162486e-01,8.597292e-01,Not_significant,3.072185e+00,4.106940e+00,2.857124e+00,3.634592e+00,4.660605e+00,2.333424e+00,2.967434e+00,2.914888e+00
43,AGIS_Os01g000430,-2.760512e-01, 3.338480e+00, 2.608855e+00,1.304872e-01,3.512167e-01,Not_significant,1.094958e+01,1.087784e+01,1.177733e+01,1.053572e+01,9.773696e+00,8.903418e+00,9.161205e+00,8.624049e+00
44,AGIS_Os01g000440,-5.958882e-03, 3.984194e+00, 1.335859e-03,9.714047e-01,9.893758e-01,Not_significant,1.522307e+01,1.798174e+01,1.508296e+01,1.483742e+01,1.685510e+01,1.408329e+01,1.864106e+01,1.358941e+01
45,AGIS_Os01g000450,-3.737073e-01, 1.303219e+00, 1.304269e+00,2.742219e-01,5.280379e-01,Not_significant,2.146591e+00,2.774959e+00,2.774069e+00,3.197521e+00,1.425331e+00,2.598209e+00,2.071229e+00,2.432424e+00
47,AGIS_Os01g000470,-5.663609e-01, 6.146836e+00, 1.562100e+01,1.682712e-03,2.965888e-02,Not_significant,9.955061e+01,7.947483e+01,6.775704e+01,9.150891e+01,5.432094e+01,4.848887e+01,5.478799e+01,7.066091e+01
50,AGIS_Os01g000500, 6.361971e-01, 2.296561e+00, 6.479689e+00,2.454010e-02,1.325629e-01,Not_significant,2.973717e+00,4.328936e+00,3.887018e+00,3.818622e+00,5.452455e+00,8.886869e+00,4.620434e+00,4.985464e+00
52,AGIS_Os01g000520, 3.183438e-01, 3.501681e+00, 3.365398e+00,8.977562e-02,2.836991e-01,Not_significant,9.118087e+00,1.148833e+01,9.219210e+00,1.037469e+01,1.266961e+01,1.310689e+01,1.362231e+01,1.069462e+01
53,AGIS_Os01g000530, 2.085373e-01, 3.980184e+00, 1.209775e+00,2.915642e-01,5.451413e-01,Not_significant,1.356882e+01,9.129616e+00,1.272417e+01,2.479804e+01,1.472842e+01,1.653255e+01,1.463801e+01,1.980114e+01
57,AGIS_Os01g000570, 7.739963e-01, 2.752572e+00, 8.721850e+00,1.138617e-02,8.437462e-02,Not_significant,3.387281e+00,4.467684e+00,4.451799e+00,7.522226e+00,6.561046e+00,1.274281e+01,7.428542e+00,6.995732e+00
58,AGIS_Os01g000580, 8.196683e-01, 2.867151e+00, 8.426449e+00,1.308276e-02,9.187541e-02,Not_significant,5.120308e+00,3.329951e+00,5.199302e+00,7.223177e+00,7.194526e+00,1.352062e+01,7.966265e+00,8.443125e+00
62,AGIS_Os01g000620,-1.919595e-01, 3.977153e-01, 1.435800e-01,7.109204e-01,8.568466e-01,Not_significant,1.122529e+00,1.304231e+00,2.176066e+00,9.201499e-01,1.583701e+00,1.191535e+00,8.563735e-01,1.045339e+00
63,AGIS_Os01g000630, 2.759424e-01, 5.285362e+00, 4.369730e+00,5.698818e-02,2.164654e-01,Not_significant,3.436515e+01,3.291102e+01,3.596322e+01,3.742710e+01,3.733009e+01,4.574172e+01,4.001057e+01,4.790468e+01
64,AGIS_Os01g000640,-1.938098e-02, 5.160853e+00, 2.223036e-02,8.837851e-01,9.501377e-01,Not_significant,3.974147e+01,3.479799e+01,3.576389e+01,3.349346e+01,3.857443e+01,3.074824e+01,3.620668e+01,3.654667e+01
65,AGIS_Os01g000650, 3.746912e-01, 4.121534e-01, 5.005900e-01,4.918455e-01,7.182247e-01,Not_significant,8.665137e-01,3.884943e-01,8.139483e-01,2.392390e+00,6.787289e-01,1.390125e+00,6.970482e-01,3.075710e+00
66,AGIS_Os01g000660,-1.051057e+00, 3.924047e+00, 6.051032e+00,4.821819e-02,1.960155e-01,Not_significant,2.178100e+01,1.728800e+01,9.867046e+00,2.868567e+01,3.122153e+00,1.022735e+01,6.612000e+00,2.356034e+01
67,AGIS_Os01g000670,-5.211194e-01, 2.522202e+00, 4.743623e+00,4.859859e-02,1.969333e-01,Not_significant,6.124676e+00,7.048397e+00,7.857092e+00,5.704930e+00,3.574639e+00,4.037981e+00,5.178072e+00,6.111214e+00
68,AGIS_Os01g000680, 2.679003e-01,-1.572610e-01, 1.559682e-01,6.993582e-01,8.494250e-01,Not_significant,1.063449e+00,1.803724e+00,1.661119e-01,5.520900e-01,1.221712e+00,7.943570e-01,5.178072e-01,8.041071e-01
69,AGIS_Os01g000690, 1.652915e+00, 2.607694e+00, 1.797008e+01,1.738064e-03,3.007913e-02,UP,1.673947e+00,2.219967e+00,3.388683e+00,2.852465e+00,5.497704e+00,2.124905e+01,5.317482e+00,6.131317e+00
70,AGIS_Os01g000700,-4.359559e-01, 4.344629e+00, 9.041632e+00,1.019375e-02,7.934232e-02,Not_significant,2.640897e+01,2.428089e+01,2.162777e+01,2.091041e+01,1.947952e+01,1.552306e+01,1.870081e+01,1.529814e+01
71,AGIS_Os01g000710,-9.134572e-02, 7.499930e+00, 3.833751e-01,5.465987e-01,7.542377e-01,Not_significant,2.006964e+02,2.029050e+02,1.992844e+02,1.443255e+02,1.582796e+02,1.673114e+02,2.160650e+02,1.588916e+02
72,AGIS_Os01g000720, 4.059594e-02, 3.733109e+00, 5.049468e-02,8.257303e-01,9.214850e-01,Not_significant,1.506552e+01,1.348630e+01,1.147833e+01,1.189294e+01,1.606325e+01,9.598480e+00,1.264645e+01,1.584091e+01
74,AGIS_Os01g000740, 1.987252e-01, 2.497828e+00, 3.208934e-01,5.820833e-01,7.766441e-01,Not_significant,2.422300e+00,6.881899e+00,5.199302e+00,6.786106e+00,7.443394e+00,6.222463e+00,6.213687e+00,3.718995e+00
75,AGIS_Os01g000750,-3.188793e-01,-1.571142e+00, 3.093357e-02,8.632240e-01,9.391729e-01,Not_significant,5.317243e-01,4.439935e-01,0.000000e+00,3.220525e-01,4.072373e-01,0.000000e+00,4.779759e-01,2.412321e-01
77,AGIS_Os01g000770, 4.853360e-01, 8.373354e-01, 1.429112e+00,2.534560e-01,5.063263e-01,Not_significant,8.271267e-01,1.442979e+00,2.142843e+00,1.495244e+00,1.674198e+00,2.598209e+00,2.190723e+00,1.568009e+00
78,AGIS_Os01g000780, 1.566886e-01, 4.625964e+00, 1.102017e+00,3.131227e-01,5.671409e-01,Not_significant,2.176131e+01,2.636211e+01,2.355467e+01,2.143949e+01,3.117628e+01,2.388036e+01,2.403821e+01,2.500773e+01
79,AGIS_Os01g000790, 5.365119e-01, 3.534100e+00, 1.049659e+01,6.522727e-03,6.151472e-02,Not_significant,9.098394e+00,9.462611e+00,8.936820e+00,1.007564e+01,1.180988e+01,1.548996e+01,1.278586e+01,1.467495e+01
81,AGIS_Os01g000810, 5.622007e-01, 4.582812e+00, 1.567616e+01,1.660833e-03,2.948801e-02,Not_significant,1.939809e+01,2.183893e+01,1.506635e+01,2.127847e+01,2.615369e+01,3.251899e+01,2.692598e+01,2.820406e+01
85,AGIS_Os01g000850,-3.944201e-01, 2.280964e+00, 1.827542e+00,1.996813e-01,4.451167e-01,Not_significant,3.623603e+00,6.465655e+00,7.807259e+00,4.347708e+00,4.208119e+00,4.236571e+00,3.186506e+00,4.683924e+00
87,AGIS_Os01g000870, 6.836867e-01, 1.453405e+00, 4.057778e+00,6.533924e-02,2.349907e-01,Not_significant,2.363219e+00,1.886972e+00,1.727564e+00,2.047334e+00,2.850661e+00,5.345361e+00,2.330133e+00,2.995299e+00
89,AGIS_Os01g000890, 3.203592e-01, 2.338921e+00, 7.949189e-01,3.905298e-01,6.377073e-01,Not_significant,4.135634e+00,2.913707e+00,4.568077e+00,5.198847e+00,4.162871e+00,1.097206e+01,4.301783e+00,3.839612e+00
90,AGIS_Os01g000900, 4.319118e-01, 2.042373e+00, 1.920146e+00,1.893662e-01,4.329801e-01,Not_significant,4.175021e+00,2.386465e+00,3.887018e+00,3.174517e+00,5.633450e+00,6.652740e+00,3.365747e+00,3.316942e+00
92,AGIS_Os01g000920, 1.699881e-01,-2.286483e+00, 1.042290e-02,9.203861e-01,9.662637e-01,Not_significant,0.000000e+00,3.052455e-01,8.305594e-02,2.300375e-01,0.000000e+00,1.985892e-01,3.983133e-01,1.206161e-01
95,AGIS_Os01g000950, 8.071063e-01, 5.901183e+00, 2.593469e+01,2.124519e-04,1.090987e-02,Not_significant,3.247457e+01,4.162439e+01,5.039835e+01,5.053924e+01,7.703573e+01,8.301031e+01,6.556236e+01,7.711387e+01
96,AGIS_Os01g000960, 5.838616e-02, 2.382201e+00, 6.221934e-02,8.069557e-01,9.119847e-01,Not_significant,6.085289e+00,4.051441e+00,5.348803e+00,4.830787e+00,5.520328e+00,5.510852e+00,5.636133e+00,4.382384e+00
99,AGIS_Os01g000990, 2.689466e-01, 2.040008e+00, 6.767856e-01,4.257261e-01,6.662725e-01,Not_significant,2.028430e+00,5.438920e+00,3.671073e+00,3.910637e+00,5.475080e+00,4.104178e+00,4.700097e+00,3.276737e+00
100,AGIS_Os01g001000,-5.623436e-01, 3.604306e+00, 9.411364e+00,9.071510e-03,7.419079e-02,Not_significant,1.252506e+01,1.390255e+01,6.827199e+00,2.403892e+01,7.986377e+00,6.768584e+00,5.775542e+00,1.919806e+01
101,AGIS_Os01g001010, 4.318558e-02, 3.484831e+00, 5.767743e-02,8.139852e-01,9.153126e-01,Not_significant,8.625750e+00,1.126633e+01,1.302317e+01,1.120283e+01,1.138002e+01,1.254422e+01,1.047564e+01,1.071473e+01
102,AGIS_Os01g001020, 2.619463e-01, 2.036190e+00, 6.699577e-01,4.279507e-01,6.678536e-01,Not_significant,3.308507e+00,1.526228e+00,3.637850e+00,7.108158e+00,3.393644e+00,4.220022e+00,3.564904e+00,5.709161e+00
104,AGIS_Os01g001040,-5.577629e-01,-2.253142e+00, 6.910773e-02,7.967985e-01,9.064318e-01,Not_significant,1.969349e-02,0.000000e+00,4.318909e-01,2.990487e-01,0.000000e+00,2.316875e-01,0.000000e+00,3.216428e-01
106,AGIS_Os01g001060, 7.074332e-01,-7.140335e-01, 6.010322e-01,4.521838e-01,6.870704e-01,Not_significant,1.575479e-01,2.774959e-01,8.970042e-01,5.060825e-01,5.882317e-01,1.092241e+00,5.178072e-01,4.623616e-01
107,AGIS_Os01g001070, 3.004168e-01, 5.300385e+00, 4.877383e+00,4.596037e-02,1.904196e-01,Not_significant,3.007196e+01,3.710121e+01,3.606289e+01,3.784117e+01,4.214906e+01,3.738443e+01,4.903236e+01,4.529133e+01
108,AGIS_Os01g001080, 1.857757e-01, 2.484611e+00, 5.511517e-01,4.711705e-01,7.025545e-01,Not_significant,4.864293e+00,6.299158e+00,5.448470e+00,3.933641e+00,6.945659e+00,4.484807e+00,8.265000e+00,4.221562e+00
109,AGIS_Os01g001090, 9.481209e-01,-7.554636e-02, 2.513364e+00,1.371202e-01,3.613534e-01,Not_significant,9.846747e-01,3.329951e-01,1.661119e-01,1.265206e+00,1.674198e+00,6.950624e-01,5.576386e-01,1.608214e+00
111,AGIS_Os01g001110,-8.514152e-01, 9.103129e-02, 1.906902e+00,1.907987e-01,4.342500e-01,Not_significant,1.969349e+00,1.720475e+00,1.013283e+00,6.441050e-01,3.619887e-01,1.059143e+00,6.173856e-01,8.242098e-01
112,AGIS_Os01g001120,-6.211612e-01, 2.986880e+00, 6.347695e+00,2.594641e-02,1.367981e-01,Not_significant,1.124498e+01,1.334755e+01,7.940148e+00,6.142001e+00,4.954721e+00,6.007325e+00,7.986181e+00,5.508134e+00
113,AGIS_Os01g001130,-1.538747e-02, 5.660046e+00, 1.146444e-02,9.163816e-01,9.645439e-01,Not_significant,6.065596e+01,4.603657e+01,4.396982e+01,5.274759e+01,4.443412e+01,5.007759e+01,4.686156e+01,5.940341e+01
114,AGIS_Os01g001140, 9.719864e-02, 9.445362e-02, 1.261752e-02,9.124190e-01,9.627460e-01,Not_significant,1.693640e+00,4.994927e-01,1.993343e-01,1.978322e+00,1.809944e-01,1.174986e+00,9.957832e-01,1.487598e+00
115,AGIS_Os01g001150,-4.303233e-02, 1.568274e+00, 1.779610e-02,8.959372e-01,9.557057e-01,Not_significant,2.560154e+00,3.052455e+00,2.691013e+00,3.335544e+00,1.696822e+00,3.342919e+00,4.022964e+00,2.693759e+00
116,AGIS_Os01g001160,-1.528325e-01, 2.986417e+00, 5.850160e-01,4.581385e-01,6.923196e-01,Not_significant,9.590731e+00,8.657873e+00,8.787319e+00,6.118997e+00,9.999939e+00,6.305209e+00,6.990398e+00,6.633884e+00
117,AGIS_Os01g001170,-1.102992e-01,-1.431391e+00, 5.940704e-03,9.397475e-01,9.752106e-01,Not_significant,9.255942e-01,6.104910e-01,3.322238e-02,1.380225e-01,1.357458e-01,3.640803e-01,2.190723e-01,2.412321e-01
118,AGIS_Os01g001180,-5.747626e-02, 5.111249e+00, 1.706229e-01,6.863527e-01,8.421847e-01,Not_significant,3.479840e+01,3.757295e+01,3.465094e+01,3.330943e+01,4.101785e+01,3.041725e+01,3.495199e+01,2.949063e+01
127,AGIS_Os01g001270, 2.439665e+00,-5.358224e-01, 5.524864e+00,3.535836e-02,1.635460e-01,Not_significant,0.000000e+00,6.382406e-01,1.162783e-01,3.910637e-01,9.049719e-01,1.472870e+00,8.364579e-01,8.242098e-01
128,AGIS_Os01g001280,-1.187761e-01, 3.318332e-01, 5.965445e-02,8.108905e-01,9.137160e-01,Not_significant,1.240690e+00,1.553977e+00,9.302266e-01,1.242202e+00,1.628949e+00,1.191535e+00,5.775542e-01,1.407187e+00
129,AGIS_Os01g001290,-2.296698e-02, 1.657069e+00, 4.510113e-03,9.474877e-01,9.783335e-01,Not_significant,2.067817e+00,3.468699e+00,5.448470e+00,1.725281e+00,1.945690e+00,2.052089e+00,4.799675e+00,3.377250e+00
130,AGIS_Os01g001300,-2.344142e-02, 3.069780e+00, 1.567007e-02,9.023136e-01,9.583494e-01,Not_significant,8.507589e+00,9.462611e+00,7.940148e+00,7.568233e+00,8.597233e+00,1.080656e+01,7.109892e+00,6.855013e+00
131,AGIS_Os01g001310, 1.858109e-01, 1.897096e+00, 4.005503e-01,5.378801e-01,7.483588e-01,Not_significant,2.796476e+00,5.244673e+00,4.186020e+00,2.001326e+00,3.597263e+00,4.054530e+00,4.062795e+00,3.538071e+00
132,AGIS_Os01g001320,-3.377110e-01, 1.821924e+00, 8.568719e-01,3.718377e-01,6.208839e-01,Not_significant,5.671726e+00,4.051441e+00,4.036519e+00,2.070337e+00,1.968314e+00,3.640803e+00,2.947518e+00,3.558174e+00
133,AGIS_Os01g001330, 5.497033e-01, 2.011126e-01, 8.182932e-01,3.822883e-01,6.299454e-01,Not_significant,1.102836e+00,6.659902e-01,7.475035e-01,7.821274e-01,5.429831e-01,2.647857e+00,1.035614e+00,1.286571e+00
136,AGIS_Os01g001360, 2.041810e+00, 2.821938e-01, 4.756328e+00,5.370663e-02,2.092549e-01,Not_significant,7.286593e-01,0.000000e+00,8.139483e-01,4.830787e-01,1.063342e+00,2.565111e+00,1.513590e+00,2.150987e+00
137,AGIS_Os01g001370, 9.453975e-02, 2.256161e-01, 2.492722e-02,8.769969e-01,9.464540e-01,Not_significant,3.938699e-01,1.970221e+00,1.395340e+00,7.821274e-01,1.493204e+00,1.539067e+00,7.169639e-01,7.639018e-01
139,AGIS_Os01g001390, 1.632025e+00,-7.165667e-01, 3.170316e+00,9.857307e-02,2.993008e-01,Not_significant,6.104983e-01,1.109984e-01,1.328895e-01,4.140675e-01,7.466018e-01,7.447097e-01,1.055530e+00,7.035937e-01
140,AGIS_Os01g001400, 1.548947e-01,-2.179684e+00, 1.283281e-02,9.115536e-01,9.625909e-01,Not_significant,1.969349e-01,1.664976e-01,2.657790e-01,2.300375e-02,2.714916e-01,3.144330e-01,1.593253e-01,2.010268e-02
144,AGIS_Os01g001440,-1.720050e+00,-6.907745e-01, 3.848703e+00,7.176316e-02,2.484338e-01,Not_significant,1.673947e+00,5.827414e-01,1.063116e+00,2.990487e-01,1.809944e-01,1.489419e-01,4.580603e-01,2.010268e-01
146,AGIS_Os01g001460, 1.565557e+00, 2.418774e-01, 8.136170e+00,1.370069e-02,9.408530e-02,Not_significant,4.726438e-01,5.549919e-01,7.807259e-01,3.910637e-01,1.651574e+00,2.962290e+00,1.115277e+00,1.145853e+00
147,AGIS_Os01g001470, 8.254696e-01,-2.991945e-01, 9.367920e-01,3.509281e-01,6.009189e-01,Not_significant,7.877397e-02,4.439935e-01,4.318909e-01,1.265206e+00,3.846130e-01,2.515464e+00,3.783976e-01,6.231830e-01
157,AGIS_Os01g001570, 8.018643e-01, 1.703315e+00, 7.248392e+00,1.858793e-02,1.127953e-01,Not_significant,2.067817e+00,2.081219e+00,2.956792e+00,2.254367e+00,3.959252e+00,4.915084e+00,4.162374e+00,3.296839e+00
158,AGIS_Os01g001580, 9.790178e-01, 1.910534e+00, 9.545975e+00,8.699198e-03,7.241209e-02,Not_significant,2.225365e+00,3.579697e+00,2.441845e+00,1.702277e+00,7.149278e+00,4.948182e+00,3.086928e+00,4.623616e+00
165,AGIS_Os01g001650, 7.777612e-01,-1.119975e+00, 6.710227e-01,4.275928e-01,6.675535e-01,Not_significant,3.544829e-01,1.942471e-01,1.993343e-01,5.520900e-01,5.429831e-01,5.461204e-01,4.779759e-01,4.824643e-01
168,AGIS_Os01g001680, 2.574325e-01, 4.185236e+00, 3.096834e+00,1.021570e-01,3.062685e-01,Not_significant,1.593204e+01,1.670525e+01,1.617930e+01,1.722981e+01,1.809944e+01,2.023955e+01,2.224580e+01,1.857487e+01
169,AGIS_Os01g001690,-4.883146e-01,-7.015785e-01, 3.220339e-01,5.801451e-01,7.754065e-01,Not_significant,4.332569e-01,1.220982e+00,4.983357e-01,4.370712e-01,5.656074e-01,8.936516e-01,9.957832e-02,4.824643e-01
171,AGIS_Os01g001710,-1.041612e-01,-1.559430e-02, 2.626193e-02,8.737769e-01,9.450459e-01,Not_significant,7.483527e-01,5.549919e-01,1.312284e+00,1.265206e+00,8.597233e-01,1.472870e+00,8.165422e-01,5.226696e-01
173,AGIS_Os01g001730, 2.446324e+00,-4.683187e-01, 5.929807e+00,3.022711e-02,1.490416e-01,Not_significant,3.150959e-01,4.994927e-01,2.159455e-01,0.000000e+00,7.692261e-01,1.208085e+00,1.214855e+00,1.206161e+00
178,AGIS_Os01g001780,-1.029501e+00,-9.333207e-02, 2.335006e+00,1.506736e-01,3.804968e-01,Not_significant,1.319464e+00,1.165483e+00,9.634489e-01,1.081176e+00,5.429831e-01,1.224634e+00,7.169639e-01,1.608214e-01
179,AGIS_Os01g001790,-7.371023e-01,-2.069650e+00, 2.513221e-01,6.253056e-01,8.057652e-01,Not_significant,0.000000e+00,2.774959e-01,2.325566e-01,5.060825e-01,0.000000e+00,1.654910e-01,2.788193e-01,1.407187e-01
183,AGIS_Os01g001830, 5.578907e-02, 7.932354e+00, 1.365230e-01,7.177659e-01,8.606051e-01,Not_significant,2.554443e+02,2.352055e+02,2.408955e+02,2.192947e+02,3.092741e+02,1.877992e+02,2.702954e+02,2.356637e+02
184,AGIS_Os01g001840, 2.900103e-01, 3.940020e+00, 2.507338e+00,1.375527e-01,3.619021e-01,Not_significant,1.195395e+01,1.201557e+01,1.357134e+01,1.785091e+01,1.787319e+01,1.797233e+01,1.716730e+01,1.405177e+01
185,AGIS_Os01g001850, 1.497161e+00, 1.554614e+00, 1.397223e+01,2.538672e-03,3.623996e-02,UP,1.417932e+00,8.047382e-01,1.544841e+00,2.208360e+00,3.303147e+00,6.685838e+00,3.266169e+00,3.879817e+00
186,AGIS_Os01g001860, 2.063968e-02, 5.725066e+00, 1.413497e-02,9.072664e-01,9.603953e-01,Not_significant,6.362968e+01,4.623082e+01,3.513266e+01,6.664186e+01,4.042962e+01,5.641590e+01,4.775776e+01,6.660017e+01
187,AGIS_Os01g001870,-6.561743e-01, 1.553151e+00, 3.634201e+00,7.916053e-02,2.633606e-01,Not_significant,3.702377e+00,3.413200e+00,2.176066e+00,4.968810e+00,1.402706e+00,2.631308e+00,2.369964e+00,2.512835e+00
188,AGIS_Os01g001880,-3.003344e-01, 4.952812e+00, 4.616090e+00,5.128346e-02,2.034524e-01,Not_significant,3.452269e+01,2.897057e+01,2.905297e+01,4.476529e+01,2.506772e+01,2.556837e+01,2.828024e+01,3.121946e+01
189,AGIS_Os01g001890,-3.094859e-01, 2.646605e+00, 1.240978e+00,2.860362e-01,5.409515e-01,Not_significant,8.566670e+00,5.161424e+00,3.986685e+00,1.014465e+01,3.687760e+00,4.302767e+00,6.014530e+00,7.920455e+00
