,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmycWT_1,CPM.LPmycWT_2,CPM.LPmycWT_3,CPM.LPmycWT_4,CPM.LPmycpho2_1,CPM.LPmycpho2_2,CPM.LPmycpho2_3,CPM.LPmycpho2_4
53392,AGIS_Os12g001290, 9.776045e-01, 2.838504e-01, 2.032814e+00,1.781835e-01,4.188968e-01,Not_significant,1.181610e-01,1.387480e+00,7.973371e-01,1.196195e+00,1.900441e+00,1.456321e+00,9.360362e-01,1.648420e+00
53394,AGIS_Os12g001310, 3.726217e-01, 4.450410e+00, 3.570739e+00,8.294209e-02,2.708353e-01,Not_significant,3.361679e+01,1.157158e+01,1.790686e+01,1.532050e+01,3.004507e+01,2.578350e+01,2.371956e+01,1.658471e+01
53400,AGIS_Os12g001370,-4.495176e-01, 2.081467e+00, 1.802709e+00,2.030222e-01,4.493449e-01,Not_significant,5.179389e+00,7.159395e+00,1.644508e+00,6.142001e+00,2.963783e+00,2.763700e+00,2.708530e+00,5.045772e+00
53401,AGIS_Os12g001380, 4.364374e-01,-1.625242e+00, 1.022123e-01,7.547431e-01,8.831246e-01,Not_significant,0.000000e+00,3.052455e-01,1.328895e-01,5.980975e-01,0.000000e+00,4.964731e-01,4.779759e-01,2.613348e-01
53402,AGIS_Os12g001390, 1.733638e+00,-1.319809e+00, 1.208420e+00,2.918048e-01,5.453031e-01,Not_significant,0.000000e+00,6.382406e-01,6.146140e-01,0.000000e+00,3.846130e-01,6.123168e-01,3.385663e-01,2.814375e-01
53403,AGIS_Os12g001400, 3.487836e-01, 1.830382e+00, 1.511822e+00,2.408494e-01,4.926927e-01,Not_significant,3.446361e+00,2.330966e+00,3.272404e+00,3.312540e+00,4.321241e+00,3.789745e+00,4.580603e+00,3.055607e+00
53404,AGIS_Os12g001410, 7.073556e-01,-1.150737e+00, 4.028400e-01,5.367378e-01,7.478298e-01,Not_significant,0.000000e+00,2.219967e-01,1.046505e+00,2.760450e-01,4.524859e-02,7.116115e-01,5.178072e-01,3.819509e-01
53406,AGIS_Os12g001430,-4.169904e-02, 2.096010e+00, 2.333479e-02,8.809568e-01,9.488252e-01,Not_significant,5.848967e+00,3.357701e+00,5.697638e+00,2.553416e+00,3.936628e+00,3.061584e+00,5.536554e+00,3.859714e+00
53408,AGIS_Os12g001450, 4.979732e-01, 1.666082e+00, 1.859508e+00,1.960406e-01,4.406722e-01,Not_significant,1.851188e+00,4.689681e+00,2.242510e+00,1.518247e+00,2.737540e+00,5.610146e+00,1.633084e+00,4.784437e+00
53409,AGIS_Os12g001460,-5.877352e-03, 1.981063e+00, 3.892160e-04,9.845623e-01,9.941603e-01,Not_significant,2.796476e+00,3.440949e+00,4.717578e+00,4.761776e+00,3.959252e+00,4.964731e+00,3.166590e+00,3.437558e+00
53412,AGIS_Os12g001490, 7.986687e-02, 2.371621e+00, 8.856116e-02,7.707600e-01,8.918189e-01,Not_significant,2.776783e+00,5.882914e+00,4.734189e+00,7.085154e+00,5.271461e+00,4.683396e+00,4.998832e+00,5.668955e+00
53413,AGIS_Os12g001500, 1.276732e-01, 2.345582e+00, 2.605017e-01,6.184099e-01,8.011471e-01,Not_significant,4.923373e+00,5.272423e+00,5.465081e+00,3.519573e+00,7.420769e+00,4.716495e+00,4.461109e+00,4.563308e+00
53415,AGIS_Os12g001520, 1.588007e-01, 6.690893e-01, 1.353828e-01,7.188909e-01,8.612094e-01,Not_significant,1.102836e+00,1.720475e+00,9.800601e-01,2.185356e+00,1.674198e+00,1.241183e+00,1.533506e+00,1.990165e+00
53417,AGIS_Os12g001540, 2.209848e+00,-3.257984e-01, 5.668797e+00,3.341214e-02,1.583576e-01,Not_significant,4.529503e-01,1.387480e-01,3.322238e-02,7.821274e-01,6.787289e-01,1.472870e+00,1.155108e+00,1.306674e+00
53418,AGIS_Os12g001550, 3.493597e-01, 7.692906e-01, 6.395769e-01,4.383652e-01,6.758258e-01,Not_significant,1.220997e+00,2.275467e+00,8.637818e-01,1.656270e+00,2.375551e+00,1.439772e+00,1.513590e+00,2.010268e+00
53420,AGIS_Os12g001570, 8.610475e-01, 2.472307e+00, 8.235619e+00,1.348510e-02,9.323841e-02,Not_significant,3.406974e+00,2.969206e+00,3.488350e+00,5.221851e+00,5.520328e+00,1.226289e+01,5.098410e+00,6.050906e+00
53421,AGIS_Os12g001580, 2.825406e-01, 3.778110e+00, 2.614927e+00,1.300790e-01,3.504689e-01,Not_significant,1.587296e+01,1.176583e+01,1.101322e+01,1.097279e+01,1.366508e+01,1.630087e+01,1.589270e+01,1.393116e+01
53423,AGIS_Os12g001600,-6.291592e-02, 2.125029e+00, 4.945942e-02,8.274943e-01,9.222752e-01,Not_significant,4.037166e+00,5.771915e+00,4.485021e+00,3.289536e+00,5.882317e+00,4.120727e+00,2.907687e+00,4.100946e+00
53424,AGIS_Os12g001610, 1.301513e-01, 5.704166e+00, 1.004916e+00,3.345858e-01,5.857188e-01,Not_significant,4.809151e+01,5.441695e+01,5.380364e+01,4.304001e+01,5.592726e+01,5.704476e+01,5.231845e+01,5.210614e+01
53425,AGIS_Os12g001620,-6.485421e-01, 1.971821e+00, 4.793379e+00,4.759671e-02,1.946005e-01,Not_significant,4.293182e+00,6.437906e+00,6.129529e+00,2.231364e+00,2.149308e+00,2.697504e+00,4.919169e+00,2.211295e+00
53426,AGIS_Os12g001630, 3.509636e-01, 1.623286e+00, 1.356064e+00,2.653370e-01,5.198475e-01,Not_significant,1.989043e+00,3.579697e+00,2.973403e+00,2.277371e+00,3.167402e+00,3.359468e+00,3.863639e+00,3.115915e+00
53427,AGIS_Os12g001640, 4.065829e-02,-4.531711e-01, 2.695982e-03,9.593868e-01,9.836530e-01,Not_significant,1.024062e+00,1.387480e-01,1.029894e+00,5.750937e-01,3.846130e-01,2.978839e-01,6.572169e-01,1.366982e+00
53428,AGIS_Os12g001650,-5.972492e-01, 2.144137e-01, 1.309422e+00,2.733199e-01,5.269428e-01,Not_significant,1.417932e+00,1.415229e+00,1.561452e+00,9.661574e-01,6.787289e-01,1.208085e+00,6.970482e-01,1.005134e+00
53429,AGIS_Os12g001660,-2.472139e-03, 2.518923e+00, 9.666236e-05,9.923062e-01,9.972668e-01,Not_significant,7.010884e+00,6.826400e+00,5.149469e+00,3.841626e+00,4.117622e+00,7.711882e+00,5.795458e+00,5.065875e+00
53430,AGIS_Os12g001670,-9.119283e-01, 1.998212e+00, 9.138532e+00,9.884683e-03,7.791835e-02,Not_significant,5.632339e+00,7.464640e+00,3.006625e+00,4.899798e+00,2.443424e+00,2.813348e+00,3.027181e+00,2.412321e+00
53431,AGIS_Os12g001680, 1.039163e+00, 3.159968e-01, 2.372600e+00,1.479417e-01,3.767221e-01,Not_significant,2.067817e+00,2.774959e-01,2.657790e-01,1.219199e+00,1.674198e+00,1.588714e+00,1.553422e+00,9.649285e-01
53432,AGIS_Os12g001690, 4.020544e-01, 4.117855e-01, 7.195578e-01,4.117763e-01,6.547298e-01,Not_significant,1.063449e+00,9.434862e-01,9.634489e-01,1.426232e+00,1.538452e+00,1.985892e+00,1.015699e+00,1.366982e+00
53433,AGIS_Os12g001700, 2.616164e-01, 2.065455e+00, 9.116008e-01,3.572670e-01,6.075372e-01,Not_significant,5.336937e+00,2.663961e+00,3.239182e+00,4.071663e+00,4.592732e+00,4.815789e+00,4.361530e+00,4.060741e+00
53434,AGIS_Os12g001710, 6.566486e-01, 2.517866e+00, 5.951278e+00,2.994811e-02,1.482095e-01,Not_significant,4.667358e+00,4.412185e+00,4.368743e+00,3.611588e+00,4.502235e+00,1.097206e+01,5.377229e+00,7.538504e+00
53435,AGIS_Os12g001720, 4.669790e-01, 1.947036e+00, 2.932771e+00,1.107509e-01,3.205565e-01,Not_significant,3.288813e+00,4.800680e+00,3.039848e+00,1.817296e+00,3.438893e+00,5.974227e+00,5.098410e+00,3.055607e+00
53438,AGIS_Os12g001750,-6.925194e-01,-5.207038e-01, 3.326622e-01,5.744064e-01,7.712116e-01,Not_significant,6.892723e-01,1.359730e+00,1.328895e-01,1.150187e+00,9.954691e-01,3.309821e-02,5.576386e-01,4.422589e-01
53439,AGIS_Os12g001760,-1.169129e+00, 2.282146e+00, 2.016308e+01,6.217784e-04,1.799432e-02,DOWN,6.360998e+00,7.048397e+00,7.209256e+00,5.934967e+00,2.443424e+00,2.366522e+00,3.166590e+00,4.080844e+00
53440,AGIS_Os12g001770,-9.771468e-03, 2.256245e+00, 9.854848e-04,9.754436e-01,9.903175e-01,Not_significant,4.765825e+00,4.384436e+00,2.740846e+00,7.591237e+00,4.027125e+00,4.368963e+00,5.815374e+00,4.221562e+00
53441,AGIS_Os12g001780, 7.133989e-01,-1.861155e+00, 2.608858e-01,6.181537e-01,8.010899e-01,Not_significant,5.711113e-01,0.000000e+00,1.328895e-01,1.840300e-01,2.941159e-01,2.316875e-01,2.788193e-01,1.608214e-01
53442,AGIS_Os12g001790, 4.527124e-01, 3.423024e+00, 5.062494e+00,4.258456e-02,1.821712e-01,Not_significant,7.345673e+00,9.462611e+00,9.269043e+00,9.799597e+00,1.592750e+01,9.813619e+00,1.167058e+01,1.220233e+01
53443,AGIS_Os12g001800, 2.116133e-01, 2.024841e+00, 6.189351e-01,4.456779e-01,6.819732e-01,Not_significant,3.210039e+00,3.940442e+00,3.720906e+00,3.910637e+00,4.728478e+00,5.527401e+00,3.067012e+00,4.121049e+00
53447,AGIS_Os12g001840, 1.908570e-01, 1.723380e+00, 3.307737e-01,5.751136e-01,7.716792e-01,Not_significant,2.914637e+00,1.803724e+00,2.840513e+00,4.991813e+00,3.619887e+00,3.706999e+00,3.027181e+00,3.176223e+00
53448,AGIS_Os12g001850,-3.177691e-01, 6.895944e-01, 5.890970e-01,4.566089e-01,6.910529e-01,Not_significant,1.260384e+00,2.081219e+00,2.159455e+00,1.472240e+00,9.049719e-01,1.439772e+00,1.553422e+00,1.708728e+00
53451,AGIS_Os12g001880, 7.423900e-01, 3.624435e-02, 1.119922e+00,3.093793e-01,5.633544e-01,Not_significant,6.301918e-01,1.664976e-01,5.980028e-01,1.794292e+00,1.085966e+00,1.572165e+00,4.978916e-01,1.507701e+00
53455,AGIS_Os12g001920, 3.720315e-01, 2.459228e+00, 2.028645e+00,1.781334e-01,4.188968e-01,Not_significant,4.076553e+00,4.828429e+00,6.179362e+00,3.864630e+00,6.289554e+00,8.373847e+00,4.481024e+00,5.548339e+00
53456,AGIS_Os12g001930, 2.210352e-01, 1.629175e-01, 1.327039e-01,7.215554e-01,8.627491e-01,Not_significant,6.104983e-01,2.108969e+00,8.970042e-01,6.671087e-01,1.357458e+00,7.281606e-01,1.135193e+00,1.186058e+00
53458,AGIS_Os12g001950, 1.149668e+00,-3.144085e-01, 2.271850e+00,1.558719e-01,3.876774e-01,Not_significant,3.150959e-01,4.162439e-01,7.807259e-01,1.610262e-01,2.171932e+00,1.092241e+00,9.957832e-01,1.608214e-01
53462,AGIS_Os12g001990,-1.325363e+00, 7.111995e-04, 5.323863e+00,3.830543e-02,1.712514e-01,Not_significant,1.575479e+00,1.026735e+00,1.229228e+00,1.633266e+00,8.144747e-01,5.957677e-01,3.584819e-01,4.623616e-01
53463,AGIS_Os12g002000, 6.574392e-01, 1.857775e+00, 2.140076e+00,1.709739e-01,4.090661e-01,Not_significant,9.059007e-01,3.496449e+00,4.302298e+00,2.875469e+00,5.113091e+00,5.874932e+00,2.708530e+00,3.377250e+00
53464,AGIS_Os12g002010, 3.304759e-01,-8.975552e-02, 3.133779e-01,5.852192e-01,7.790845e-01,Not_significant,5.514178e-01,9.434862e-01,7.308923e-01,9.201499e-01,1.018093e+00,9.929462e-01,5.974699e-01,1.447393e+00
53465,AGIS_Os12g002020,-3.381523e-03, 5.173177e+00, 5.472347e-04,9.816953e-01,9.930762e-01,Not_significant,3.999748e+01,3.884943e+01,3.081376e+01,3.466665e+01,3.934365e+01,2.988768e+01,3.855672e+01,3.622503e+01
53466,AGIS_Os12g002030, 5.203007e-01, 1.951336e+00, 3.313611e+00,9.201457e-02,2.877313e-01,Not_significant,2.008736e+00,4.550933e+00,3.405294e+00,2.622427e+00,3.981876e+00,6.785133e+00,3.067012e+00,4.181357e+00
53467,AGIS_Os12g002040, 1.058883e+00, 4.889939e+00, 4.406273e+01,1.693817e-05,2.832502e-03,UP,1.136315e+01,2.297666e+01,2.262444e+01,2.086440e+01,3.160614e+01,4.881986e+01,3.351806e+01,4.507020e+01
53468,AGIS_Os12g002050,-5.178256e-01, 6.382662e+00, 1.309593e+01,3.161426e-03,4.082525e-02,Not_significant,1.166446e+02,8.338753e+01,9.250771e+01,1.013545e+02,6.343853e+01,6.743760e+01,7.309048e+01,6.933414e+01
53469,AGIS_Os12g002060,-1.064231e+00,-1.466223e+00, 6.843870e-01,4.231427e-01,6.642485e-01,Not_significant,3.544829e-01,4.439935e-01,3.322238e-01,3.680600e-01,0.000000e+00,5.792186e-01,1.593253e-01,3.216428e-01
