GeneID	WTHPmock_1	WTHPmock_2	WTHPmock_3	WTHPmock_4	WTHPmyc_1	WTHPmyc_2	WTHPmyc_3	WTHPmyc_4
AGIS_Os01g001070	1901	2773	1529	3095	3015	2230	2114	2811
AGIS_Os01g001080	196	401	382	487	449	432	322	405
AGIS_Os01g001090	138	116	161	227	106	113	60	149
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	14	101	8	4	22	22	32	19
AGIS_Os01g001120	1281	725	609	1037	1206	722	258	600
AGIS_Os01g001130	4646	5106	3927	5717	7371	3557	2030	4714
AGIS_Os01g001140	95	42	145	104	133	92	53	48
AGIS_Os01g001150	156	146	135	234	242	44	110	207
AGIS_Os01g001160	220	422	301	610	530	277	369	389
AGIS_Os01g001170	26	8	0	1	24	4	6	22
AGIS_Os01g001180	3260	2434	1564	2526	3329	2103	1850	2294
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	0	0	10	14	0	0	4	0
AGIS_Os01g001240	0	0	0	0	0	0	0	0
AGIS_Os01g001250	0	12	0	0	0	0	2	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	16	45	30	76	48	87	93	69
AGIS_Os01g001280	0	66	44	56	60	67	74	70
AGIS_Os01g001290	54	232	84	253	96	102	103	251
AGIS_Os01g001300	58	258	66	372	234	390	315	184
AGIS_Os01g001310	247	102	115	300	95	184	168	220
AGIS_Os01g001320	86	394	256	435	330	180	534	250
AGIS_Os01g001330	53	60	40	104	98	60	152	79
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	26	21	78	45	62	104	46	42
AGIS_Os01g001370	1	142	57	125	26	67	122	159
AGIS_Os01g001380	0	0	0	0	0	0	0	0
AGIS_Os01g001390	10	36	47	26	24	25	18	18
AGIS_Os01g001400	20	7	0	15	38	12	3	2
AGIS_Os01g001410	0	0	0	0	0	2	0	0
AGIS_Os01g001420	0	0	24	0	0	1	0	8
AGIS_Os01g001430	0	0	0	0	0	0	0	0
AGIS_Os01g001440	75	17	47	38	75	13	38	46
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	0	0	0	12	0	6	16	9
AGIS_Os01g001470	40	64	18	97	0	12	50	54
AGIS_Os01g001480	0	0	0	11	0	0	7	8
AGIS_Os01g001490	0	0	16	44	22	12	28	20
AGIS_Os01g001500	0	34	10	52	0	6	9	4
AGIS_Os01g001510	0	0	0	0	0	0	0	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	16	6	0	4
AGIS_Os01g001540	0	0	0	0	0	0	0	0
AGIS_Os01g001550	0	0	0	0	18	1	0	6
AGIS_Os01g001560	0	0	0	0	0	0	0	0
AGIS_Os01g001570	26	210	18	321	78	222	203	270
AGIS_Os01g001580	81	238	18	119	81	103	180	165
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	0	0	0	0	0	0	0	0
AGIS_Os01g001640	0	0	0	0	10	2	20	32
AGIS_Os01g001650	0	32	0	20	44	1	25	4
AGIS_Os01g001660	0	0	0	0	0	0	0	0
AGIS_Os01g001670	0	0	0	0	0	0	0	0
AGIS_Os01g001680	331	1068	459	1432	699	701	1048	956
AGIS_Os01g001690	18	12	0	22	6	8	2	8
AGIS_Os01g001700	0	0	0	0	0	0	0	0
AGIS_Os01g001710	0	1	20	36	0	8	2	18
AGIS_Os01g001720	0	6	0	8	0	10	0	0
AGIS_Os01g001730	6	2	2	78	12	2	40	30
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	0	0	0	0	0	0	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	20	54	10	36	88	56	46	70
AGIS_Os01g001790	0	12	0	12	0	0	1	1
AGIS_Os01g001800	0	2	1	14	0	2	0	0
AGIS_Os01g001810	40	0	0	18	6	16	18	18
AGIS_Os01g001820	0	4	0	0	0	6	8	2
AGIS_Os01g001830	8242	6915	6565	7777	10090	4692	4662	5523
AGIS_Os01g001840	202	513	248	1251	238	601	971	744
AGIS_Os01g001850	79	132	120	341	144	191	151	180
AGIS_Os01g001860	5900	4350	3963	5712	7181	3577	2299	3965
AGIS_Os01g001870	228	262	329	451	405	285	274	323
AGIS_Os01g001880	3569	2834	2558	3606	4373	2582	1855	2995
AGIS_Os01g001890	997	636	687	775	1088	512	438	534
AGIS_Os01g001900	2540	2048	1953	2750	2852	1705	1183	1438
AGIS_Os01g001910	36	21	6	29	26	16	15	10
AGIS_Os01g001920	1295	1019	1031	1057	1380	470	613	910
AGIS_Os01g001930	0	0	0	0	0	0	0	0
AGIS_Os01g001940	0	0	0	5	2	4	3	0
AGIS_Os01g001950	0	0	0	0	0	0	0	0
AGIS_Os01g001960	0	0	0	0	0	0	0	0
AGIS_Os01g001970	35	40	28	112	14	54	155	75
AGIS_Os01g001980	220	490	268	643	616	628	455	460
AGIS_Os01g001990	158	156	68	170	166	73	94	96
AGIS_Os01g002000	256	283	200	378	419	280	228	473
AGIS_Os01g002010	245	1759	857	1995	1094	1825	1291	2272
AGIS_Os01g002020	1348	4902	2129	6574	2756	4149	5315	5552
AGIS_Os01g002030	306	122	97	149	204	66	41	77
AGIS_Os01g002040	1399	1439	1203	1949	1994	1256	969	1239
AGIS_Os01g002050	722	791	614	1053	1041	729	477	650
AGIS_Os01g002060	830	1431	768	1868	1417	1167	1472	1419
AGIS_Os01g002070	182	102	118	125	190	135	98	132
AGIS_Os01g002080	401	677	638	809	822	462	454	510
AGIS_Os01g002090	607	654	648	822	1035	620	382	906
AGIS_Os01g002100	0	0	0	0	0	1	4	0
AGIS_Os01g002110	0	0	2	0	16	28	2	0
AGIS_Os01g002120	0	0	14	0	0	0	4	0
AGIS_Os01g002130	0	0	0	0	0	0	0	0
AGIS_Os01g002140	0	0	0	0	0	0	0	0
AGIS_Os01g002150	0	0	0	0	0	0	0	0
AGIS_Os01g002160	0	0	0	0	0	0	0	0
AGIS_Os01g002170	0	0	0	0	0	0	0	0
AGIS_Os01g002180	0	0	0	0	0	0	0	0
AGIS_Os01g002190	0	0	0	0	0	0	0	0
AGIS_Os01g002200	0	0	0	0	0	0	0	0
AGIS_Os01g002210	0	0	0	0	0	0	0	0
AGIS_Os01g002220	0	0	0	0	0	0	0	0
AGIS_Os01g002230	0	0	0	0	0	0	0	0
AGIS_Os01g002240	0	0	0	0	0	0	10	0
AGIS_Os01g002250	0	0	0	0	0	0	0	0
AGIS_Os01g002260	0	0	0	0	0	0	0	16
AGIS_Os01g002270	456	193	186	235	309	253	476	202
AGIS_Os01g002280	3600	4040	4072	5787	6824	3120	6543	4128
AGIS_Os01g002290	1804	2589	1668	4713	6500	1814	3996	3619
AGIS_Os01g002300	0	34	4	0	0	4	58	20
AGIS_Os01g002310	0	0	0	0	0	6	9	0
AGIS_Os01g002320	831	727	840	484	1131	591	2095	402
AGIS_Os01g002330	0	0	0	0	0	0	0	0
AGIS_Os01g002340	0	0	0	0	0	0	0	0
AGIS_Os01g002350	0	0	0	0	0	0	0	0
AGIS_Os01g002360	0	0	0	0	0	0	0	0
AGIS_Os01g002370	0	0	0	0	0	0	0	0
AGIS_Os01g002380	0	0	0	0	0	0	0	0
AGIS_Os01g002390	0	0	0	0	0	0	0	0
AGIS_Os01g002400	0	0	0	24	14	8	1	0
AGIS_Os01g002410	470	878	637	1059	805	578	530	790
AGIS_Os01g002420	94	270	79	200	306	132	177	207
AGIS_Os01g002430	2341	2171	2162	2069	2798	1766	1455	2197
AGIS_Os01g002440	465	1693	717	1948	925	1545	1598	1910
AGIS_Os01g002450	133	68	74	206	48	59	38	121
AGIS_Os01g002460	0	0	0	0	0	0	0	0
AGIS_Os01g002470	13	0	0	0	0	0	0	0
AGIS_Os01g002480	0	27	12	38	0	25	28	38
AGIS_Os01g002490	0	0	0	0	0	0	0	0
AGIS_Os01g002500	0	0	0	0	0	0	0	0
AGIS_Os01g002510	0	0	0	0	0	0	0	0
AGIS_Os01g002520	0	0	0	0	0	0	0	0
AGIS_Os01g002530	4352	3054	4271	3190	4412	4387	2007	2872
AGIS_Os01g002540	2168	3030	2789	1686	2470	2543	1777	1098
AGIS_Os01g002550	1271	1160	1556	1325	1827	1538	510	489
AGIS_Os01g002560	251	596	393	871	618	478	649	619
AGIS_Os01g002570	0	35	20	80	62	62	34	39
AGIS_Os01g002580	0	0	0	0	0	0	0	12
AGIS_Os01g002590	3191	3078	5810	6480	5364	3779	3384	4189
AGIS_Os01g002600	362	438	357	505	504	195	375	421
AGIS_Os01g002610	79	141	98	216	111	261	113	253
AGIS_Os01g002620	411	348	135	377	414	204	288	268
AGIS_Os01g002630	64	50	49	124	99	137	127	181
