,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTHPmock_1,CPM.WTHPmock_2,CPM.WTHPmock_3,CPM.WTHPmock_4,CPM.WTHPmyc_1,CPM.WTHPmyc_2,CPM.WTHPmyc_3,CPM.WTHPmyc_4
862,AGIS_Os01g008620,-3.528764e-01, 3.6162795780, 3.301500e+00,1.047609e-01,0.613830465,Not_significant,1.582791e+01,1.134640e+01,1.494412e+01,1.263449e+01,1.380542e+01,9.169831e+00,9.369419e+00,1.071992e+01
864,AGIS_Os01g008640,-7.620901e-01, 0.9171397575, 3.227945e+00,1.081295e-01,0.615075930,Not_significant,2.056129e+00,3.263125e+00,1.603646e+00,2.324404e+00,8.802606e-01,1.562572e+00,1.071442e+00,2.041890e+00
865,AGIS_Os01g008650, 1.994599e-01, 3.6207854880, 1.139337e+00,3.153432e-01,0.753563067,Not_significant,7.881827e+00,1.409604e+01,1.141145e+01,1.224947e+01,8.670567e+00,1.449491e+01,1.438468e+01,1.493544e+01
867,AGIS_Os01g008670,-6.317783e-01, 0.4386016308, 1.317107e+00,2.825718e-01,0.735691315,Not_significant,1.156572e+00,2.733074e+00,1.324751e+00,1.283413e+00,1.452430e+00,8.635267e-01,7.978824e-01,9.221439e-01
868,AGIS_Os01g008680,-2.295371e-01, 2.1775818175, 4.047672e-01,5.414876e-01,0.859224563,Not_significant,5.932788e+00,3.528150e+00,6.089206e+00,3.835979e+00,4.797420e+00,4.399874e+00,2.416444e+00,4.907123e+00
869,AGIS_Os01g008690, 9.479930e-01,-0.6634258632, 1.333749e+00,2.797591e-01,0.734362250,Not_significant,8.567203e-01,1.490768e-01,3.253774e-01,4.278044e-01,1.056313e+00,4.317633e-01,8.206791e-01,6.916079e-01
870,AGIS_Os01g008700, 1.816223e-01, 0.9683608630, 1.598156e-01,6.992445e-01,0.915481387,Not_significant,1.135154e+00,1.672973e+00,2.231159e+00,2.067721e+00,2.538085e+00,1.069128e+00,2.234071e+00,2.404161e+00
871,AGIS_Os01g008710,-1.400618e+00, 0.1399428446, 5.085901e+00,5.242568e-02,0.559493765,Not_significant,4.540618e+00,7.950761e-01,7.204785e-01,5.418855e-01,9.976287e-01,2.056016e-01,4.103395e-01,3.458040e-01
874,AGIS_Os01g008740, 9.441991e-01, 0.2488833651, 1.165246e+00,3.102329e-01,0.751486256,Not_significant,0.000000e+00,1.192614e+00,1.208545e+00,1.540096e+00,2.787492e-01,1.809294e+00,2.165681e+00,1.037412e+00
875,AGIS_Os01g008750, 4.231583e-01, 5.0110445182, 4.405935e+00,6.721557e-02,0.571885862,Not_significant,1.413589e+01,3.375760e+01,2.477516e+01,4.095514e+01,2.560091e+01,3.863254e+01,4.203701e+01,3.777497e+01
878,AGIS_Os01g008780,-4.754806e-01, 5.2539610003, 4.487492e+00,6.518339e-02,0.569066067,Not_significant,7.976066e+01,3.143863e+01,3.537317e+01,2.896236e+01,5.663010e+01,2.016952e+01,1.684672e+01,3.579894e+01
879,AGIS_Os01g008790,-3.387519e-01, 0.1074707522, 3.260389e-01,5.828681e-01,0.873480559,Not_significant,1.370753e+00,1.490768e+00,5.577898e-01,1.297673e+00,1.114997e+00,6.579251e-01,7.294925e-01,1.086812e+00
881,AGIS_Os01g008810, 2.118689e-01, 2.7169621774, 4.031695e-01,5.422685e-01,0.859770531,Not_significant,1.604209e+01,4.273534e+00,2.742467e+00,3.679118e+00,1.029905e+01,4.523235e+00,6.542636e+00,4.215515e+00
882,AGIS_Os01g008820,-1.115160e+00,-0.3754982460, 6.114973e-01,4.555812e-01,0.823274819,Not_significant,2.141801e+00,6.625634e-01,6.507548e-01,2.566826e-01,5.281563e-01,0.000000e+00,6.383059e-01,1.020945e+00
884,AGIS_Os01g008840, 4.254280e-01, 3.3096863815, 3.983305e+00,7.914396e-02,0.591612282,Not_significant,7.196451e+00,7.255069e+00,8.761949e+00,1.058103e+01,1.204490e+01,8.902549e+00,1.274332e+01,1.154327e+01
887,AGIS_Os01g008870,-2.720854e-03, 2.9924364737, 1.561168e-04,9.903210e-01,0.998243288,Not_significant,6.382567e+00,7.602915e+00,8.994361e+00,8.541827e+00,5.442945e+00,8.141823e+00,9.483403e+00,8.793301e+00
888,AGIS_Os01g008880,-3.425172e-02, 4.3057076333, 3.358781e-02,8.589089e-01,0.965394047,Not_significant,1.512111e+01,2.183146e+01,2.426386e+01,1.915138e+01,1.965915e+01,2.185545e+01,1.800935e+01,1.803121e+01
889,AGIS_Os01g008890, 8.716578e-01,-0.8709346484, 5.040405e-01,4.968570e-01,0.839649205,Not_significant,0.000000e+00,4.306662e-01,3.253774e-01,1.197852e+00,2.347362e-01,8.018462e-01,3.875429e-01,6.751411e-01
890,AGIS_Os01g008900,-5.479777e-01,-2.1533232198, 5.418357e-02,8.214782e-01,0.953251549,Not_significant,1.713441e-01,0.000000e+00,5.113073e-01,1.996420e-01,3.080912e-01,2.467219e-01,9.118656e-02,0.000000e+00
891,AGIS_Os01g008910,-1.272286e-01, 3.3218447714, 3.724302e-01,5.577392e-01,0.863829874,Not_significant,9.166908e+00,1.013722e+01,1.017966e+01,1.220668e+01,9.492143e+00,1.005392e+01,9.688572e+00,8.776834e+00
892,AGIS_Os01g008920, 8.702114e-03, 1.9694756188, 4.792485e-04,9.830426e-01,0.997277442,Not_significant,1.370753e+00,4.902969e+00,5.926517e+00,4.135442e+00,3.418345e+00,4.132592e+00,3.100343e+00,4.050846e+00
893,AGIS_Os01g008930, 1.219527e-01, 2.8911789834, 1.808210e-01,6.812941e-01,0.910067585,Not_significant,8.117425e+00,6.244660e+00,9.993734e+00,4.477686e+00,7.672938e+00,6.702612e+00,7.203738e+00,8.661566e+00
