,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTHPmock_1,CPM.WTHPmock_2,CPM.WTHPmock_3,CPM.WTHPmock_4,CPM.WTHPmyc_1,CPM.WTHPmyc_2,CPM.WTHPmyc_3,CPM.WTHPmyc_4
1,AGIS_Os01g000010, 6.376868e-01, 2.5834424013, 7.146620e-01,4.253332e-01,0.811443895,Not_significant,5.997042e-01,7.089428e+00,1.208545e+00,1.098031e+01,9.389446e-01,7.093255e+00,1.472663e+01,5.022391e+00
2,AGIS_Os01g000020,-5.670028e-01,-0.6611372522, 4.911846e-01,5.022439e-01,0.842448060,Not_significant,5.140322e-01,3.312817e-01,1.162062e+00,8.841290e-01,3.227622e-01,2.878422e-01,5.015261e-01,7.739422e-01
3,AGIS_Os01g000030,-2.460884e-01, 2.2052590212, 5.370878e-01,4.834790e-01,0.833609387,Not_significant,3.576807e+00,6.344044e+00,5.508175e+00,4.392125e+00,5.868404e+00,3.598028e+00,3.715852e+00,3.589774e+00
4,AGIS_Os01g000040, 9.143670e-02, 4.4580063922, 2.539999e-01,6.271518e-01,0.890806016,Not_significant,1.550664e+01,2.579028e+01,1.803520e+01,2.576808e+01,1.619679e+01,2.822910e+01,2.514469e+01,2.086351e+01
5,AGIS_Os01g000050, 5.405220e-01, 2.6030609030, 3.828373e+00,8.418852e-02,0.597246605,Not_significant,2.677251e+00,6.725018e+00,4.276389e+00,6.659488e+00,5.604326e+00,7.422217e+00,7.431705e+00,7.508886e+00
6,AGIS_Os01g000060,-3.191404e-01, 5.9289648616, 4.180297e+00,7.327413e-02,0.582465398,Not_significant,7.965357e+01,5.580440e+01,8.004284e+01,5.398891e+01,7.605451e+01,4.839861e+01,5.090490e+01,4.227042e+01
7,AGIS_Os01g000070, 2.574753e-01, 1.7442746005, 5.910841e-01,4.629504e-01,0.825356886,Not_significant,1.692023e+00,4.621380e+00,2.347366e+00,3.807459e+00,2.670124e+00,4.009231e+00,3.829836e+00,3.523907e+00
8,AGIS_Os01g000080, 1.231095e-01, 4.9659901748, 6.065100e-01,4.573629e-01,0.823523108,Not_significant,2.017576e+01,3.572873e+01,3.084113e+01,3.335448e+01,2.429519e+01,3.227945e+01,3.845793e+01,3.461333e+01
12,AGIS_Os01g000120, 1.251061e+00, 0.0627969307, 7.020694e-01,4.271575e-01,0.811443895,Not_significant,0.000000e+00,8.944606e-01,5.577898e-01,1.254893e+00,1.041642e+00,8.018462e-01,3.237123e+00,2.964034e-01
13,AGIS_Os01g000130,-4.139517e-01, 2.1318080478, 1.889909e+00,2.045710e-01,0.685667849,Not_significant,5.654354e+00,4.869841e+00,4.043976e+00,5.119392e+00,3.462358e+00,5.345641e+00,3.396699e+00,2.881700e+00
14,AGIS_Os01g000140,-3.491135e-01, 3.2463476952, 2.801344e+00,1.307143e-01,0.633050964,Not_significant,1.205834e+01,9.540913e+00,1.108607e+01,9.454477e+00,1.053378e+01,6.147487e+00,8.639927e+00,8.167560e+00
16,AGIS_Os01g000160, 3.857924e-01, 3.6098788268, 1.626345e+00,2.361601e-01,0.708138849,Not_significant,4.283602e+00,1.472547e+01,7.297750e+00,1.598562e+01,5.105511e+00,1.334354e+01,2.129206e+01,1.534711e+01
17,AGIS_Os01g000170,-4.005309e-01, 2.4688029517, 2.535266e+00,1.479913e-01,0.647554613,Not_significant,6.125550e+00,7.619479e+00,6.182171e+00,5.090872e+00,4.577355e+00,6.024126e+00,3.966615e+00,4.413117e+00
18,AGIS_Os01g000180, 1.331663e+00, 1.2615460984, 8.856487e+00,1.666542e-02,0.469633159,UP,7.282123e-01,1.904870e+00,1.208545e+00,1.639917e+00,3.315648e+00,2.570020e+00,4.673311e+00,2.848766e+00
19,AGIS_Os01g000190, 1.372998e+00, 2.6969375500, 6.180248e+00,3.950924e-02,0.538754350,UP,1.542097e+00,1.126358e+00,6.763202e+00,5.647018e+00,1.707706e+01,3.412986e+00,9.620182e+00,6.372673e+00
20,AGIS_Os01g000200, 2.393845e-01, 1.4192159774, 3.611967e-01,5.636168e-01,0.865759670,Not_significant,1.670605e+00,2.186459e+00,3.137568e+00,2.452745e+00,3.433016e+00,1.356970e+00,3.921022e+00,2.947567e+00
28,AGIS_Os01g000280, 2.123074e-01,-0.4816918192, 7.676005e-03,9.324678e-01,0.983628945,Not_significant,6.211222e-01,1.192614e+00,0.000000e+00,3.137232e-01,0.000000e+00,4.934438e-01,1.869325e+00,9.715445e-01
30,AGIS_Os01g000300,-8.241173e-02, 2.7552894501, 9.216826e-02,7.687817e-01,0.938123271,Not_significant,9.295416e+00,5.847122e+00,8.645742e+00,4.306564e+00,7.511557e+00,5.057799e+00,6.405856e+00,6.669076e+00
31,AGIS_Os01g000310,-5.746567e-02, 1.9583723854, 4.086070e-02,8.445905e-01,0.961767965,Not_significant,3.041357e+00,3.627535e+00,4.787696e+00,4.335084e+00,3.433016e+00,3.433547e+00,4.126192e+00,4.017913e+00
32,AGIS_Os01g000320,-8.333301e-02, 5.2638045986, 1.916457e-01,6.725283e-01,0.907412838,Not_significant,2.897857e+01,4.150960e+01,5.433803e+01,3.516552e+01,3.862877e+01,3.758397e+01,3.547157e+01,3.540374e+01
33,AGIS_Os01g000330, 5.284514e-01, 2.8227144115, 1.054017e+00,3.362790e-01,0.763520935,Not_significant,2.227473e+00,7.354454e+00,2.138194e+00,1.029583e+01,1.349733e+00,1.007448e+01,1.260654e+01,1.025885e+01
35,AGIS_Os01g000350, 1.987027e-01, 0.5686614403, 1.722834e-01,6.884323e-01,0.912206324,Not_significant,1.970457e+00,8.613324e-01,1.115580e+00,1.525836e+00,1.349733e+00,1.233610e+00,1.458985e+00,2.058357e+00
36,AGIS_Os01g000360,-5.010778e-01, 3.4369868591, 4.004696e+00,7.847816e-02,0.591386135,Not_significant,1.049482e+01,1.470891e+01,9.947252e+00,1.567190e+01,9.022671e+00,7.915661e+00,1.069162e+01,7.887624e+00
37,AGIS_Os01g000370,-4.570755e-02, 1.6113303610, 2.137983e-02,8.871782e-01,0.971359191,Not_significant,2.441653e+00,3.263125e+00,3.253774e+00,3.265573e+00,2.185980e+00,3.022343e+00,3.214326e+00,3.507440e+00
38,AGIS_Os01g000380,-8.109265e-01, 1.6417877893, 2.743957e+00,1.342072e-01,0.636822940,Not_significant,7.603393e+00,4.058201e+00,1.743093e+00,2.581086e+00,1.379075e+00,3.207385e+00,9.802555e-01,3.128702e+00
39,AGIS_Os01g000390,-5.806000e-02, 5.2372775379, 1.398835e-01,7.176102e-01,0.921479057,Not_significant,4.043720e+01,3.581155e+01,4.218286e+01,3.515126e+01,4.307408e+01,3.805685e+01,3.257640e+01,3.418519e+01
40,AGIS_Os01g000400, 8.200441e-01, 0.6635134790, 4.036906e-01,5.446887e-01,0.860123080,Not_significant,2.570161e-01,2.186459e+00,0.000000e+00,2.723688e+00,2.787492e-01,2.652260e+00,2.872377e+00,1.399683e+00
41,AGIS_Os01g000410,-1.347117e-01, 3.7484302997, 4.581484e-01,5.165930e-01,0.848673655,Not_significant,1.201550e+01,1.411260e+01,1.791900e+01,1.236355e+01,1.271977e+01,1.141089e+01,1.292570e+01,1.376629e+01
42,AGIS_Os01g000420, 1.794475e-02, 2.3283876060, 4.411181e-03,9.485911e-01,0.988033550,Not_significant,4.262184e+00,5.664917e+00,5.996241e+00,4.007101e+00,4.459987e+00,5.756844e+00,4.627718e+00,5.121192e+00
43,AGIS_Os01g000430, 2.663541e-02, 4.0143582538, 2.468433e-02,8.788466e-01,0.969018395,Not_significant,1.621343e+01,1.639844e+01,1.696611e+01,1.435997e+01,1.619679e+01,1.745557e+01,1.566129e+01,1.574231e+01
44,AGIS_Os01g000440, 6.707843e-03, 4.5788670834, 1.876092e-03,9.664577e-01,0.992107955,Not_significant,2.784341e+01,2.612156e+01,2.163760e+01,1.985012e+01,2.783091e+01,2.343858e+01,2.193037e+01,2.224672e+01
45,AGIS_Os01g000450, 2.739377e-01, 2.0396170709, 5.161658e-01,4.918719e-01,0.837226503,Not_significant,4.326438e+00,4.356354e+00,1.929023e+00,4.163963e+00,2.435388e+00,5.880205e+00,4.536531e+00,4.972990e+00
47,AGIS_Os01g000470,-4.080736e-01, 7.1289821303, 7.511961e+00,2.416586e-02,0.509286299,Not_significant,2.119740e+02,1.344175e+02,1.678250e+02,1.227371e+02,1.739835e+02,1.002925e+02,1.035879e+02,1.046633e+02
50,AGIS_Os01g000500, 5.351116e-01, 1.6327130870, 1.011952e+00,3.423768e-01,0.766750767,Not_significant,9.423924e-01,3.428766e+00,1.394475e+00,4.577507e+00,1.672495e+00,4.214833e+00,6.132296e+00,2.157158e+00
52,AGIS_Os01g000520, 4.932565e-01, 3.1078744851, 9.951248e-01,3.495151e-01,0.770856940,Not_significant,3.619643e+00,8.580196e+00,2.788949e+00,1.401772e+01,3.330319e+00,1.180153e+01,1.547892e+01,9.056770e+00
53,AGIS_Os01g000530,-4.523576e-01, 5.2418964576, 5.846329e+00,4.043115e-02,0.541706608,Not_significant,5.309524e+01,4.513713e+01,3.957984e+01,3.657727e+01,3.239359e+01,2.866086e+01,2.630732e+01,4.068960e+01
57,AGIS_Os01g000570, 5.849397e-01, 2.3014396576, 1.190625e+00,3.074650e-01,0.750806636,Not_significant,1.220826e+00,4.985790e+00,2.300883e+00,8.969632e+00,3.271635e+00,5.366201e+00,9.050266e+00,3.968512e+00
58,AGIS_Os01g000580, 6.629919e-01, 2.5199066657, 1.323730e+00,2.851246e-01,0.735891475,Not_significant,5.997042e-01,5.913378e+00,3.532669e+00,1.116569e+01,2.904860e+00,6.702612e+00,1.005332e+01,4.709521e+00
62,AGIS_Os01g000620, 1.079790e-01,-0.3586143473, 7.041252e-03,9.350808e-01,0.984314671,Not_significant,0.000000e+00,1.225742e+00,1.255027e+00,7.843080e-01,8.362476e-01,5.962446e-01,8.206791e-01,4.281382e-01
63,AGIS_Os01g000630, 3.447134e-01, 5.1506776472, 4.493719e+00,6.503146e-02,0.569007671,Not_significant,2.694385e+01,3.095827e+01,3.472242e+01,3.237053e+01,3.939166e+01,4.667156e+01,3.683937e+01,3.599655e+01
64,AGIS_Os01g000640,-2.430171e-01, 5.4343673150, 2.032268e+00,1.898749e-01,0.676842753,Not_significant,7.706199e+01,3.362509e+01,4.178775e+01,3.841683e+01,4.904519e+01,3.322522e+01,3.269038e+01,3.980039e+01
65,AGIS_Os01g000650,-1.082811e+00, 1.7230803486, 2.950542e+00,1.244307e-01,0.628608406,Not_significant,8.931310e+00,2.832458e+00,3.253774e+00,2.210323e+00,2.640782e+00,2.056016e+00,3.875429e-01,3.820310e+00
66,AGIS_Os01g000660,-3.711440e-01, 5.9066914327, 3.097623e+00,1.144504e-01,0.622564308,Not_significant,9.775179e+01,5.156400e+01,5.482609e+01,5.925091e+01,8.921441e+01,5.485450e+01,2.507630e+01,4.709521e+01
67,AGIS_Os01g000670, 5.993677e-03, 2.9224747799, 6.498440e-04,9.802544e-01,0.996950654,Not_significant,5.740026e+00,8.248914e+00,8.971120e+00,7.258414e+00,6.513928e+00,8.553026e+00,6.679416e+00,8.398096e+00
68,AGIS_Os01g000680,-4.224477e-01, 0.7970579596, 9.453767e-01,3.579126e-01,0.775276414,Not_significant,2.484489e+00,1.142922e+00,1.719852e+00,2.181802e+00,2.215322e+00,5.551243e-01,1.322205e+00,1.976023e+00
69,AGIS_Os01g000690, 7.892871e-01, 1.3776255891, 2.172996e+00,1.767127e-01,0.669563193,Not_significant,1.220826e+00,2.782766e+00,7.669610e-01,2.980370e+00,2.097954e+00,2.241057e+00,4.924074e+00,3.474506e+00
70,AGIS_Os01g000700,-1.208049e-01, 5.0517265006, 3.569960e-01,5.658473e-01,0.866536139,Not_significant,3.790988e+01,2.983192e+01,4.329844e+01,2.685185e+01,4.347020e+01,3.065520e+01,2.443800e+01,2.860293e+01
71,AGIS_Os01g000710, 3.835324e-01, 6.1663074178, 3.664934e+00,8.996558e-02,0.601352730,Not_significant,4.155094e+01,5.437989e+01,8.464461e+01,6.874816e+01,8.742455e+01,5.557411e+01,1.105181e+02,7.143322e+01
72,AGIS_Os01g000720, 1.141858e-01, 3.8171755894, 3.792424e-01,5.542351e-01,0.862569267,Not_significant,9.573850e+00,1.527209e+01,1.433985e+01,1.524410e+01,1.292516e+01,1.517340e+01,1.490900e+01,1.503424e+01
74,AGIS_Os01g000740, 7.343909e-01, 3.9640087435, 1.515017e+01,4.135096e-03,0.310119015,Not_significant,1.118020e+01,1.124701e+01,1.329399e+01,1.100883e+01,1.863218e+01,2.049848e+01,1.689231e+01,2.180212e+01
75,AGIS_Os01g000750,-6.478438e-01,-0.6402311589, 6.367887e-01,4.467256e-01,0.819270963,Not_significant,8.138843e-01,2.981535e-01,7.902023e-01,9.982102e-01,8.802606e-01,2.056016e-01,3.647463e-01,4.775388e-01
76,AGIS_Os01g000760,-2.471544e-01,-1.4534903743, 2.282148e-02,8.834676e-01,0.970599665,Not_significant,1.606351e+00,1.159486e-01,0.000000e+00,2.566826e-01,2.347362e-01,8.224063e-02,9.118656e-02,2.634697e-01
77,AGIS_Os01g000770, 8.123250e-01, 0.8347942289, 1.435745e+00,2.633620e-01,0.723750847,Not_significant,8.567203e-02,2.931843e+00,1.022615e+00,2.338664e+00,9.976287e-01,2.734501e+00,2.006104e+00,1.844288e+00
78,AGIS_Os01g000780, 3.528538e-01, 3.8499386638, 1.335032e+00,2.798889e-01,0.734434569,Not_significant,5.997042e+00,1.470891e+01,8.924637e+00,2.049183e+01,6.396560e+00,1.720885e+01,2.564622e+01,1.569291e+01
79,AGIS_Os01g000790, 3.586047e-01, 3.4190833398, 2.770673e+00,1.325662e-01,0.635180872,Not_significant,4.947560e+00,1.137953e+01,9.691598e+00,1.176462e+01,7.658267e+00,1.069128e+01,1.429349e+01,1.485310e+01
81,AGIS_Os01g000810, 1.920548e-01, 3.7820523903, 4.857465e-01,5.045549e-01,0.843662157,Not_significant,4.519200e+00,1.492424e+01,1.094663e+01,2.151856e+01,5.574984e+00,1.472107e+01,2.311579e+01,1.444143e+01
85,AGIS_Os01g000850, 7.333675e-02, 3.0029369336, 1.054041e-01,7.533326e-01,0.933353765,Not_significant,1.034490e+01,6.493121e+00,8.971120e+00,5.319034e+00,1.195687e+01,6.353089e+00,7.705265e+00,6.702010e+00
87,AGIS_Os01g000870,-1.054548e-01, 1.8471675494, 8.388144e-02,7.790864e-01,0.941630702,Not_significant,3.298373e+00,2.832458e+00,4.392595e+00,4.106922e+00,4.137225e+00,3.639148e+00,1.960511e+00,4.116714e+00
89,AGIS_Os01g000890, 4.019221e-01, 1.2992026611, 1.144971e+00,3.142215e-01,0.752423591,Not_significant,1.563515e+00,1.159486e+00,1.975506e+00,3.707638e+00,2.097954e+00,1.398091e+00,4.080599e+00,3.408639e+00
90,AGIS_Os01g000900, 2.290215e-01, 1.2774902210, 3.266786e-01,5.825055e-01,0.873292818,Not_significant,6.425403e-01,3.627535e+00,1.417716e+00,3.251313e+00,7.628925e-01,4.440994e+00,2.781190e+00,2.173625e+00
95,AGIS_Os01g000950, 4.347784e-01, 5.3702774586, 1.045233e+00,3.403893e-01,0.765480552,Not_significant,1.790546e+01,3.970411e+01,1.743093e+01,6.501200e+01,1.747317e+01,4.611644e+01,8.070011e+01,4.627186e+01
96,AGIS_Os01g000960, 4.546725e-01, 2.0367157790, 2.240314e+00,1.708474e-01,0.664891050,Not_significant,2.420235e+00,4.621380e+00,2.417089e+00,4.620287e+00,4.459987e+00,5.078359e+00,4.057802e+00,4.841255e+00
99,AGIS_Os01g000990, 3.655445e-01, 2.2993357298, 1.366100e+00,2.744046e-01,0.731180337,Not_significant,4.861888e+00,6.178404e+00,2.765708e+00,3.650597e+00,6.103140e+00,4.605476e+00,5.197634e+00,5.713999e+00
100,AGIS_Os01g001000,-1.140476e+00, 4.6036176915, 3.140927e+01,4.177168e-04,0.121590387,DOWN,4.418535e+01,2.519397e+01,3.397870e+01,2.864863e+01,2.479401e+01,1.176041e+01,9.825352e+00,1.582465e+01
101,AGIS_Os01g001010,-4.245926e-01, 3.3789962722, 4.214355e+00,7.231628e-02,0.580018515,Not_significant,1.574224e+01,1.152860e+01,1.010994e+01,1.045269e+01,9.272078e+00,8.758628e+00,8.845097e+00,8.233428e+00
102,AGIS_Os01g001020,-4.252971e-01, 2.9541149842, 3.047515e+00,1.170080e-01,0.623375028,Not_significant,7.303541e+00,7.503530e+00,1.343344e+01,7.572137e+00,6.704651e+00,5.222280e+00,7.180942e+00,6.800811e+00
104,AGIS_Os01g001040,-7.647580e-01, 0.0677830327, 8.869356e-01,3.724570e-01,0.783006015,Not_significant,2.184637e+00,1.093230e+00,7.437198e-01,1.069511e+00,1.907231e-01,1.028008e+00,7.294925e-01,1.070346e+00
106,AGIS_Os01g001060,-1.808982e+00,-1.2668754627, 2.807682e+00,1.303359e-01,0.632872486,Not_significant,5.997042e-01,2.981535e-01,2.788949e-01,9.696899e-01,1.173681e-01,8.224063e-02,4.559328e-02,6.092736e-01
107,AGIS_Os01g001070, 1.558610e-01, 5.4560473293, 1.065330e+00,3.306442e-01,0.759971946,Not_significant,4.071563e+01,4.593221e+01,3.553586e+01,4.413515e+01,4.423309e+01,4.584915e+01,4.819210e+01,4.628833e+01
108,AGIS_Os01g001080, 1.832079e-01, 2.8182830888, 5.008564e-01,4.981813e-01,0.840108405,Not_significant,4.197930e+00,6.642198e+00,8.878155e+00,6.944691e+00,6.587283e+00,8.881989e+00,7.340518e+00,6.669076e+00
109,AGIS_Os01g001090,-6.240835e-01, 1.3102606075, 2.271583e+00,1.682113e-01,0.663867413,Not_significant,2.955685e+00,1.921434e+00,3.741840e+00,3.237053e+00,1.555127e+00,2.323298e+00,1.367798e+00,2.453561e+00
111,AGIS_Os01g001110, 6.603470e-01,-0.8868676139, 3.181701e-01,5.873684e-01,0.875235866,Not_significant,2.998521e-01,1.672973e+00,1.859299e-01,5.704058e-02,3.227622e-01,4.523235e-01,7.294925e-01,3.128702e-01
112,AGIS_Os01g001120,-5.432397e-01, 3.8700706673, 4.305459e+00,6.983138e-02,0.575479325,Not_significant,2.743647e+01,1.200896e+01,1.415392e+01,1.478777e+01,1.769324e+01,1.484443e+01,5.881533e+00,9.880113e+00
113,AGIS_Os01g001130,-2.818270e-01, 6.3714535059, 2.002096e+00,1.928674e-01,0.679593804,Not_significant,9.950807e+01,8.457622e+01,9.126836e+01,8.152525e+01,1.081400e+02,7.313248e+01,4.627718e+01,7.762476e+01
114,AGIS_Os01g001140,-2.766801e-01, 0.7747295407, 2.188322e-01,6.517628e-01,0.900781095,Not_significant,2.034711e+00,6.956916e-01,3.369980e+00,1.483055e+00,1.951244e+00,1.891535e+00,1.208222e+00,7.904090e-01
115,AGIS_Os01g001150,-3.884385e-01, 1.5177228063, 1.005146e+00,3.439177e-01,0.767606641,Not_significant,3.341209e+00,2.418356e+00,3.137568e+00,3.336874e+00,3.550384e+00,9.046470e-01,2.507630e+00,3.408639e+00
116,AGIS_Os01g001160, 6.060878e-02, 2.8069012962, 4.744136e-02,8.327463e-01,0.957061326,Not_significant,4.711962e+00,6.990044e+00,6.995614e+00,8.698689e+00,7.775635e+00,5.695164e+00,8.411960e+00,6.405607e+00
118,AGIS_Os01g001180,-3.251804e-02, 5.4709431729, 3.631180e-02,8.533731e-01,0.963844891,Not_significant,6.982271e+01,4.031698e+01,3.634930e+01,3.602113e+01,4.883979e+01,4.323801e+01,4.217379e+01,3.777497e+01
127,AGIS_Os01g001270, 9.924162e-01, 0.1527020671, 2.820005e+00,1.296042e-01,0.632163879,Not_significant,3.426881e-01,7.453838e-01,6.972373e-01,1.083771e+00,7.042085e-01,1.788734e+00,2.120088e+00,1.136213e+00
128,AGIS_Os01g001280, 1.348568e+00, 0.0521778479, 1.680255e+00,2.291789e-01,0.703613714,Not_significant,0.000000e+00,1.093230e+00,1.022615e+00,7.985682e-01,8.802606e-01,1.377531e+00,1.686951e+00,1.152680e+00
129,AGIS_Os01g001290,-2.977336e-02, 1.3827242741, 6.163436e-03,9.392522e-01,0.985609998,Not_significant,1.156572e+00,3.842868e+00,1.952264e+00,3.607817e+00,1.408417e+00,2.097136e+00,2.348054e+00,4.133181e+00
130,AGIS_Os01g001300, 9.628748e-01, 2.1004246535, 3.743635e+00,8.738249e-02,0.598803088,Not_significant,1.242244e+00,4.273534e+00,1.533922e+00,5.304774e+00,3.433016e+00,8.018462e+00,7.180942e+00,3.029901e+00
131,AGIS_Os01g001310,-9.176059e-02, 1.7460044545, 3.088114e-02,8.646454e-01,0.966554458,Not_significant,5.290248e+00,1.689537e+00,2.672743e+00,4.278044e+00,1.393746e+00,3.783069e+00,3.829836e+00,3.622708e+00
132,AGIS_Os01g001320, 2.476713e-01, 2.5119239276, 3.301793e-01,5.805296e-01,0.872488063,Not_significant,1.841949e+00,6.526249e+00,5.949758e+00,6.203163e+00,4.841433e+00,3.700829e+00,1.217341e+01,4.116714e+00
133,AGIS_Os01g001330, 5.724544e-01, 0.6150099407, 1.150100e+00,3.132054e-01,0.752003766,Not_significant,1.135154e+00,9.938451e-01,9.296497e-01,1.483055e+00,1.437759e+00,1.233610e+00,3.465089e+00,1.300882e+00
136,AGIS_Os01g001360, 6.167799e-01, 0.0706880261, 6.718471e-01,4.349224e-01,0.813578681,Not_significant,5.568682e-01,3.478458e-01,1.812817e+00,6.417066e-01,9.096026e-01,2.138257e+00,1.048645e+00,6.916079e-01
137,AGIS_Os01g001370, 8.753866e-01, 0.6928051862, 1.516923e+00,2.512668e-01,0.716135143,Not_significant,2.141801e-02,2.352100e+00,1.324751e+00,1.782518e+00,3.814463e-01,1.377531e+00,2.781190e+00,2.618230e+00
139,AGIS_Os01g001390,-3.132774e-01,-0.9595526126, 1.085610e-01,7.498098e-01,0.931442650,Not_significant,2.141801e-01,5.963071e-01,1.092338e+00,3.707638e-01,3.521042e-01,5.140040e-01,4.103395e-01,2.964034e-01
140,AGIS_Os01g001400, 4.119417e-01,-2.0167961954, 6.947072e-02,7.984246e-01,0.946810226,Not_significant,4.283602e-01,1.159486e-01,0.000000e+00,2.139022e-01,5.574984e-01,2.467219e-01,6.838992e-02,3.293371e-02
144,AGIS_Os01g001440,-1.217272e-01,-0.2377997564, 3.328366e-02,8.595413e-01,0.965503187,Not_significant,1.606351e+00,2.815894e-01,1.092338e+00,5.418855e-01,1.100326e+00,2.672821e-01,8.662723e-01,7.574753e-01
147,AGIS_Os01g001470,-1.513453e+00,-0.3467222254, 1.156043e+00,3.120342e-01,0.751575549,Not_significant,8.567203e-01,1.060101e+00,4.183424e-01,1.383234e+00,0.000000e+00,2.467219e-01,1.139832e+00,8.892102e-01
149,AGIS_Os01g001490, 2.201932e+00,-1.4996583529, 1.423357e+00,2.652795e-01,0.724551272,Not_significant,0.000000e+00,0.000000e+00,3.718599e-01,6.274464e-01,3.227622e-01,2.467219e-01,6.383059e-01,3.293371e-01
150,AGIS_Os01g001500,-1.856257e+00,-1.8272705474, 1.363524e+00,2.789459e-01,0.733898137,Not_significant,0.000000e+00,5.631789e-01,2.324124e-01,7.415276e-01,0.000000e+00,1.233610e-01,2.051698e-01,6.586742e-02
157,AGIS_Os01g001570, 1.099852e+00, 1.5922727174, 3.458788e+00,9.854159e-02,0.610245121,Not_significant,5.568682e-01,3.478458e+00,4.183424e-01,4.577507e+00,1.144339e+00,4.564355e+00,4.627718e+00,4.446051e+00
158,AGIS_Os01g001580, 4.974454e-01, 1.1865951724, 4.782516e-01,5.085187e-01,0.845606219,Not_significant,1.734859e+00,3.942252e+00,4.183424e-01,1.696957e+00,1.188352e+00,2.117696e+00,4.103395e+00,2.717031e+00
165,AGIS_Os01g001650, 1.160757e+00,-1.7124745990, 1.179255e-01,7.396859e-01,0.927893072,Not_significant,0.000000e+00,5.300507e-01,0.000000e+00,2.852029e-01,6.455244e-01,2.056016e-02,5.699160e-01,6.586742e-02
168,AGIS_Os01g001680, 2.502023e-01, 3.9124618068, 7.899874e-01,3.987043e-01,0.797174585,Not_significant,7.089361e+00,1.769044e+01,1.066773e+01,2.042053e+01,1.025504e+01,1.441267e+01,2.389088e+01,1.574231e+01
169,AGIS_Os01g001690,-5.768314e-01,-2.2926398677, 1.190485e-01,7.385028e-01,0.927479101,Not_significant,3.855242e-01,1.987690e-01,0.000000e+00,3.137232e-01,8.802606e-02,1.644813e-01,4.559328e-02,1.317348e-01
171,AGIS_Os01g001710,-4.991027e-01,-2.1530439871, 5.681127e-02,8.180346e-01,0.951820688,Not_significant,0.000000e+00,1.656408e-02,4.648249e-01,5.133652e-01,0.000000e+00,1.644813e-01,4.559328e-02,2.964034e-01
178,AGIS_Os01g001780, 1.306833e+00,-0.1886930775, 3.552009e+00,9.425699e-02,0.606381778,Not_significant,4.283602e-01,8.944606e-01,2.324124e-01,5.133652e-01,1.291049e+00,1.151369e+00,1.048645e+00,1.152680e+00
181,AGIS_Os01g001810, 1.838892e+00,-1.6784173588, 5.913827e-01,4.628411e-01,0.825356886,Not_significant,8.567203e-01,0.000000e+00,0.000000e+00,2.566826e-01,8.802606e-02,3.289625e-01,4.103395e-01,2.964034e-01
183,AGIS_Os01g001830,-3.272998e-01, 6.9608030553, 5.420464e+00,4.666101e-02,0.555186548,Not_significant,1.765272e+02,1.145406e+02,1.525788e+02,1.109012e+02,1.480305e+02,9.646826e+01,1.062779e+02,9.094644e+01
184,AGIS_Os01g001840, 3.867631e-01, 3.4420898360, 8.847518e-01,3.753614e-01,0.784326749,Not_significant,4.326438e+00,8.497375e+00,5.763828e+00,1.783944e+01,3.491700e+00,1.235666e+01,2.213554e+01,1.225134e+01
185,AGIS_Os01g001850, 1.898129e-01, 1.6011975379, 2.579537e-01,6.245230e-01,0.890339409,Not_significant,1.692023e+00,2.186459e+00,2.788949e+00,4.862710e+00,2.112625e+00,3.926990e+00,3.442293e+00,2.964034e+00
186,AGIS_Os01g001860,-3.405420e-01, 6.3855729964, 3.926764e+00,8.093891e-02,0.593096168,Not_significant,1.263663e+02,7.205377e+01,9.210504e+01,8.145395e+01,1.053525e+02,7.354369e+01,5.240948e+01,6.529108e+01
187,AGIS_Os01g001870, 3.685178e-02, 2.5530691145, 1.926777e-02,8.928538e-01,0.973194614,Not_significant,4.883306e+00,4.339790e+00,7.646369e+00,6.431326e+00,5.941759e+00,5.859645e+00,6.246280e+00,5.318794e+00
188,AGIS_Os01g001880,-1.566044e-01, 5.7924407117, 9.381725e-01,3.596578e-01,0.776607941,Not_significant,7.644087e+01,4.694262e+01,5.945110e+01,5.142209e+01,6.415633e+01,5.308633e+01,4.228777e+01,4.931823e+01
189,AGIS_Os01g001890,-3.570727e-01, 3.7067124445, 3.259817e+00,1.066529e-01,0.614773669,Not_significant,2.135375e+01,1.053476e+01,1.596673e+01,1.105161e+01,1.596206e+01,1.052680e+01,9.984929e+00,8.793301e+00
190,AGIS_Os01g001900,-4.530330e-01, 5.2324649176, 6.274209e+00,3.519095e-02,0.532878911,Not_significant,5.440174e+01,3.392325e+01,4.539015e+01,3.921540e+01,4.184172e+01,3.505507e+01,2.696843e+01,2.367934e+01
191,AGIS_Os01g001910,-3.204464e-01,-1.3321169288, 8.300218e-02,7.802119e-01,0.941986424,Not_significant,7.710483e-01,3.478458e-01,1.394475e-01,4.135442e-01,3.814463e-01,3.289625e-01,3.419496e-01,1.646686e-01
192,AGIS_Os01g001920,-5.111506e-01, 4.1578449229, 6.682732e+00,3.096087e-02,0.522934111,Not_significant,2.773632e+01,1.687880e+01,2.396172e+01,1.507297e+01,2.024599e+01,9.663275e+00,1.397434e+01,1.498484e+01
