GeneID	WTLPmock_1	WTLPmock_2	WTLPmock_3	WTLPmock_4	WTLPmyc_1	WTLPmyc_2	WTLPmyc_3	WTLPmyc_4
AGIS_Os01g001080	170	251	311	224	247	227	328	171
AGIS_Os01g001090	166	198	180	60	50	12	10	55
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	21	38	10	3	100	62	61	28
AGIS_Os01g001120	500	990	1078	768	571	481	478	267
AGIS_Os01g001130	2535	4519	5520	4561	3080	1659	2647	2293
AGIS_Os01g001140	34	55	86	68	86	18	12	86
AGIS_Os01g001150	100	120	192	165	130	110	162	145
AGIS_Os01g001160	334	332	392	299	487	312	529	266
AGIS_Os01g001170	12	173	126	79	47	22	2	6
AGIS_Os01g001180	1895	2699	2981	2275	1767	1354	2086	1448
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	0	0	0	0	4	0	0	0
AGIS_Os01g001240	0	0	0	0	0	0	0	0
AGIS_Os01g001250	0	0	0	4	0	0	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	38	14	39	9	0	23	7	17
AGIS_Os01g001280	78	21	66	37	63	56	56	54
AGIS_Os01g001290	150	206	201	105	105	125	328	75
AGIS_Os01g001300	163	190	354	168	432	341	478	329
AGIS_Os01g001310	96	111	225	138	142	189	252	87
AGIS_Os01g001320	172	339	215	269	288	146	243	90
AGIS_Os01g001330	75	36	116	82	56	24	45	34
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	36	16	105	49	37	0	49	21
AGIS_Os01g001370	58	77	102	90	20	71	84	34
AGIS_Os01g001380	2	0	0	0	0	0	4	0
AGIS_Os01g001390	27	38	31	15	31	4	8	18
