ID,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTLPmock_1,CPM.WTLPmock_2,CPM.WTLPmock_3,CPM.WTLPmock_4,CPM.WTLPmyc_1,CPM.WTLPmyc_2,CPM.WTLPmyc_3,CPM.WTLPmyc_4
4606,AGIS_Os01g046060, 5.074089e-01, 3.6735329581, 3.941705e+00,7.307574e-02,2.279135e-01,Not_significant,8.041859e+00,1.140681e+01,8.604396e+00,1.409226e+01,1.627973e+01,1.100635e+01,1.454220e+01,1.742496e+01
4607,AGIS_Os01g046070, 3.192509e+00, 3.8721589018, 9.991552e+01,8.796425e-07,5.852522e-05,UP,2.427731e+00,2.073965e+00,2.536371e+00,4.669121e+00,2.064115e+01,2.614768e+01,3.710642e+01,2.094966e+01
4609,AGIS_Os01g046090,-1.564861e+00, 1.1934959634, 5.702232e+00,3.637598e-02,1.456362e-01,Not_significant,1.517332e+00,1.997151e+00,5.586436e+00,3.565511e+00,3.022762e-01,1.094554e+00,8.424952e-01,2.581475e+00
4610,AGIS_Os01g046100, 4.164797e-01, 7.2702437221, 8.078709e+00,1.628064e-02,8.521882e-02,Not_significant,1.401003e+02,1.358831e+02,1.242822e+02,1.278066e+02,2.004092e+02,1.617508e+02,1.724917e+02,1.715688e+02
4613,AGIS_Os01g046130, 7.782060e-01, 2.1339095342, 4.139794e+00,6.718271e-02,2.155579e-01,Not_significant,2.174842e+00,2.726880e+00,4.045351e+00,3.777743e+00,5.268243e+00,4.013365e+00,7.179524e+00,5.212594e+00
4617,AGIS_Os01g046170,-1.195197e-01, 4.0501593273, 3.131637e-01,5.871614e-01,7.749678e-01,Not_significant,1.851145e+01,1.632287e+01,1.730511e+01,1.634192e+01,1.312743e+01,1.793852e+01,1.523817e+01,1.707745e+01
4618,AGIS_Os01g046180, 6.773250e-01, 3.7677338036, 7.817579e+00,1.767546e-02,8.968452e-02,Not_significant,1.158230e+01,1.052345e+01,7.801747e+00,1.201237e+01,1.679792e+01,1.599265e+01,1.871805e+01,1.489312e+01
4619,AGIS_Os01g046190, 1.340008e-01, 3.9398666716, 1.677820e-01,6.906495e-01,8.412734e-01,Not_significant,9.913234e+00,1.547792e+01,1.862145e+01,1.196993e+01,2.759350e+01,1.477648e+01,1.549459e+01,8.191219e+00
4620,AGIS_Os01g046200, 1.657400e+00, 0.8856036133, 4.322287e+00,6.226185e-02,2.055142e-01,Not_significant,1.011555e+00,6.913216e-01,3.852715e-01,1.273397e+00,1.943204e+00,2.918811e+00,4.432257e+00,1.489312e+00
4621,AGIS_Os01g046210,-1.706446e-01, 3.0731884282, 2.907267e-01,6.006920e-01,7.840251e-01,Not_significant,8.800524e+00,6.951623e+00,1.139761e+01,7.428147e+00,5.786431e+00,5.472770e+00,8.168541e+00,1.260951e+01
4623,AGIS_Os01g046230, 9.131616e-02, 3.3926420187, 1.276600e-01,7.277533e-01,8.644050e-01,Not_significant,9.407457e+00,1.121477e+01,8.797032e+00,1.022962e+01,8.118276e+00,1.465486e+01,7.728978e+00,1.325488e+01
4624,AGIS_Os01g046240, 1.821228e-01, 3.6207113286, 4.458018e-01,5.183461e-01,7.263796e-01,Not_significant,1.188577e+01,1.298148e+01,6.549615e+00,1.506853e+01,1.230696e+01,1.708721e+01,1.153852e+01,1.037554e+01
4625,AGIS_Os01g046250,-1.176803e-01, 6.2028013451, 4.574181e-01,5.130543e-01,7.223505e-01,Not_significant,8.057032e+01,6.483060e+01,8.845191e+01,7.249871e+01,6.861671e+01,7.613232e+01,5.871825e+01,7.878463e+01
4627,AGIS_Os01g046270, 3.450900e-01, 6.0345846918, 3.249091e+00,9.940073e-02,2.761917e-01,Not_significant,6.752127e+01,4.543519e+01,6.588142e+01,5.148767e+01,5.954842e+01,6.591648e+01,7.201503e+01,9.596137e+01
4628,AGIS_Os01g046280,-8.196240e-01, 5.1344399545, 1.542526e+01,2.444738e-03,2.205166e-02,Not_significant,3.737694e+01,3.856038e+01,5.011740e+01,5.203948e+01,2.163434e+01,3.551220e+01,2.285726e+01,2.219076e+01
4629,AGIS_Os01g046290, 2.590313e-03, 5.5920900165, 2.298673e-04,9.881798e-01,9.945301e-01,Not_significant,5.457337e+01,4.604970e+01,5.088794e+01,4.104582e+01,4.205958e+01,4.749148e+01,4.846179e+01,5.465777e+01
