effector,area_end_mm2,AUC,AGR_mean,AGR_max,RGR_mean,RGR_peak,RGR_final,dpi_to_10mm2
BM00001,0.0452087566214956,0.005200801364586853,0.048298932378520495,0.23328582590014274,0.20758658894983145,0.870315140911296,-0.6116737710265903,-0.23855735405521256
BM00002,0.004420650323293144,-0.21384823568028646,-0.07539733926670038,-0.008615164954682064,0.1153021069024765,-0.7579805388898919,-0.012154515644966361,0.15140453407227347
BM00003,-0.6446242857302713,-0.3503317556964494,-0.6868661066565065,-0.6408385993258354,-0.5724600763515806,0.07956276023370489,0.26985743760572173,0.5248579726018705
BM00004,-1.6050831663991354,-1.2447150813741654,-1.4852920734130441,-1.375044394093883,0.3210257661526571,-0.7712143580888322,2.0251026059949067,-0.17082015437898906
BM00006,0.2425336316854966,-0.03958116804290853,0.20685130564107648,0.29232747777735657,0.07776972527799303,-0.29207988462264217,-0.6958099548370726,-0.35069167016473285
BM00007,-0.8619185434520523,-0.706990955570197,-0.7961920419266646,-0.9600761625610236,0.32184464621495534,-0.38758009441984154,-0.10135743799553121,0.6420320713481013
BM00008,-0.21166075344337643,-0.18890607542877408,-0.0212303347693601,-0.24496995225887552,-0.8228613045539751,-2.1849088388775177,0.8418294275617972,-0.3892359799343414
BM00009,0.4744000017946817,-0.0013621913842890834,0.3343935138946076,0.6721868868891673,0.587499269752473,1.32696367300792,1.1275029158981738,-1.1702576780604748
BM00010,0.5076974016876005,0.544988393374008,0.4367118048927256,0.27988838794924636,0.2234426534212084,0.25905138623794455,-0.026573858997931424,-0.4073913217288188
BM00011,0.44489456078636364,0.20020090880231955,0.4580971178296302,0.8281476692587668,0.8520092054349194,1.0054577313684674,0.742388155838798,0.5037703733177352
BM00012,-0.4396820770742742,-0.6321494494294674,-0.1921230089472772,-0.15099745738367107,0.08650460691940448,-0.9228494076094679,1.5445231524851604,1.133351028859849
BM00014,-0.30920283101347645,0.07675260359514738,-0.28331118166839847,-0.4984730799496551,0.5392774722145222,2.6326973788008865,-0.48247375007254834,-1.0794198013179932
BM00015,-0.4596093774659448,-0.40052409150416224,-0.4497788643887734,-0.46358368029441743,0.41495820668519706,0.08263911533995863,0.14175593259770375,0.22526431533108868
BM00016,-0.12294105879450218,0.1627320053952936,-0.16400179726253142,-0.007080081710675938,0.7883871163985876,-1.0356292502418016,-0.06485514458543727,0.4181742096852974
BM00017,-0.12610244882681285,0.11623436855556396,-0.2673075269419647,-0.2861418929344252,0.3481983462868641,0.33742559464453814,0.029158474440423476,-0.2960730574601237
BM00018,-0.12385782307796091,0.14471584630678305,-0.07682398425135563,-0.31289512679279563,0.4903517889420431,1.0139530462837758,0.5077226320670438,-0.7167290387772802
BM00019,0.9572158546760821,0.7723430058470604,0.5761638184899712,0.6491671068679302,1.3700086260786746,0.7375523031003042,0.5248944467819705,-1.0046577144010334
BM00020,-1.0155407576850848,-1.2384376499901246,-1.0853464366817713,-0.9805293025979218,-1.5309468035177536,-1.2385321021760276,0.648544080352107,0.25329030752676845
BM00021,-0.33180812092474793,-0.6993116608518163,-0.3066367669500183,-0.2042809743964751,0.7021824765011291,0.8807278150869117,0.3281402992968983,0.05672538423021852
BM00022,-0.43847301691695156,-0.18350486212114048,-0.04045150567695531,-0.8266847809503642,0.050233782385276086,-0.5702472109595855,-0.3557937335659339,-1.3936799246200953
BM00023,-0.34230066388675157,-0.2738589584281112,-0.3550083208072436,-0.8222209906590795,-0.7032958102209611,-0.378174126654363,-0.9887278164946093,-0.7461553055903338
BM00024,-1.0850569946560202,-1.1662636526051697,-1.0853456096166356,-0.6251751543746247,-0.30974363174847375,-1.211787738725706,0.7376720573816108,1.4046274534961773
BM00025,-0.6225361410319608,-0.15725084344867532,-0.6574878345878288,-1.248431564632363,0.14657684264744858,0.8682976877881905,-1.1351924598791365,0.30433312479543095
BM00027,0.8027137387117935,1.2696502337549989,0.8706329705651547,0.29281503918743806,0.20023359937219778,-0.3555857214917115,-1.540450331005734,-0.44846385869470173
BM00028,0.516382997702238,0.6610392507377925,0.4284628905439006,0.4891861997344818,0.8615804946831507,0.9288473078844056,-0.6918468479645891,-1.1414834382743995
BM00029,0.9452307640514185,1.2473450566848419,0.9634407951520813,0.8140711990708456,0.08010225226873605,-1.4403211154299063,-0.8461914930758643,-0.5713042853659471
BM00030,-2.1528447473469807,-2.2864968909246848,-2.1301631232404836,-1.998614160726901,0.619224579863228,-0.5512477939557566,0.447001276425521,2.054229751796972
BM00031,-0.4870862511664706,-1.0507518446570325,-0.512162224947966,-0.048446598374911484,0.03847248752535194,-0.20586429073900528,1.2604966707095833,1.7908960077062337
BM00032,1.8695507639478741,1.946134955572869,1.855795565564225,1.2987885475688432,0.8928609687814353,-0.006195065911120184,-0.48265663711882395,-0.4339230097080285
BM00033,-0.8963255866926386,-0.5469384973597894,-0.7883065629724721,-1.2168074373667406,-0.6171794330152933,-0.0019824148935712787,-0.40251109981530026,-0.1962344423200629
BM00034,-0.5268006035449476,-0.3588694575571805,-0.6051271515784757,-0.23587572579961455,-0.6700428765984455,-1.2805146462250745,-0.06263215040640124,0.8321439685291585
BM00035,0.6577859569587944,0.7838792403893531,0.6194115833458725,0.5769049557556747,0.3091997017602966,0.21890129798292599,0.35265389919795914,-0.7950460924725757
BM00036,0.1887725650476119,0.1551309403294654,0.10401505284894737,-0.05446561424322359,0.08932497916477387,0.09213117153685808,-0.7656388295970641,-0.33884044666674984
BM00037,1.129484743175397,1.0415049044224736,1.056959972335764,0.9454786600683229,0.39131124809999407,0.5102436806691044,-0.9256169499368118,-0.9241329821319573
BM00038,0.2797364225674275,-0.248119101791141,0.25246326528764546,0.5160679103928041,-0.23514537957919382,-0.2543541208351762,0.1334514538733378,0.2116678246797687
BM00039,-0.4135847643394187,-0.1284428599528847,-0.32924353562729963,-0.6692626650868103,0.5573341383658341,0.8336539041222314,-0.193565804139899,0.23238427362027847
BM00042,0.141846893967676,0.2768617442907177,0.16371043486968492,-0.420941618778517,-0.25394257738470527,-0.6754398217228571,-0.545371973136913,0.06794582251210748
BM00044,-0.7408498583734209,-0.8877432483252586,-0.7877920120563442,-0.7264977030011553,-0.37105520975355355,-0.16931014339008812,-1.2361238134036479,0.8025121553279772
BM00045,-0.888547836546862,-0.7898275259818285,-0.9203385545578436,-0.38754380346795336,0.5332082829482518,1.851327223755866,0.26628321083489903,0.3235028893283573
BM00046,-0.3688644869534865,-0.22544856679298386,-0.4526447650592659,-0.5046771647446293,-0.7931136809823516,-0.033183589287499704,0.5218352452806257,-0.1776823224888247
BM00051,0.31459790133020077,0.10179544509594189,0.1999430393714913,-0.1413275775854166,-0.1406678807050429,-0.36488318642488843,0.025122980107664693,-0.190186001652069
BM00052,0.18578551410814634,0.10679338575457277,0.16757710069139148,0.004434544340217534,-0.7473904533812402,0.3004702152431133,-0.7968893232391298,0.5328930587972183
BM00053,-3.149604578734728,-3.2178546570395388,-3.171143441619758,-2.6170724045142615,-4.446569009657713,0.10718051437731309,4.3827071504906465,4.8041817066443535
BM00055,0.1907238602013561,-0.20875047731990254,0.16559017880982183,0.23002459601485856,1.1715676473742072,1.7815758924759808,0.5753818014143971,0.36280856150423696
BM00056,0.722276510159152,0.40926801719156575,0.5804990483641288,0.41115322608985433,1.0526736256018152,2.4338753469429615,0.4057010330130538,0.5836747378294732
BM00057,-0.07584577087695232,-0.1643732192392624,-0.06658542738509261,-0.09329721912049725,0.8589527265737144,-0.03639021917596038,1.0412423434419975,0.5295955013328633
BM00058,-0.6336633072605162,-1.1734635521290901,-0.7791527847381152,-0.718691237827205,0.1652735908623037,-0.1789464369705075,1.33390049696762,1.9539907588493046
BM00059,-0.2351078297015028,-0.4760977515397117,-0.24143874444762212,0.10892806568269113,0.11064250719740654,0.5691539086293471,-0.08114206736107409,0.9671917874586438
BM00060,-0.2510615926691773,-0.5433561618160148,0.07352046135572106,-0.17032993361150175,0.41195744561045217,-1.0114925524922511,0.3597867071577902,0.885596235382268
BM00061,-0.8644901403937605,-0.8794849417932665,-0.7415764607843185,-0.8384035564039246,0.2435797567251705,-0.5287837101962242,0.48761345528626443,0.4699363610636765
BM00062,0.5358917509190145,0.3059940090547971,0.6331876366625266,0.356413720301028,0.3552394478396614,0.6424864329961507,0.7114796908149765,0.32673265703888577
