GeneID	pho2mockLP_1	pho2mockLP_2	pho2mockLP_3	pho2mockLP_4	pho2mockHP_1	pho2mockHP_2	pho2mockHP_3	pho2mockHP_4
AGIS_Os01g001070	1872	2421	2435	2259	2154	2023	2503	2753
AGIS_Os01g001080	190	314	348	241	396	279	254	456
AGIS_Os01g001090	73	255	292	129	236	191	313	294
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	12	86	27	24	49	25	20	16
AGIS_Os01g001120	832	490	417	526	243	455	751	512
AGIS_Os01g001130	4467	3639	3568	4012	3142	3381	4995	5580
AGIS_Os01g001140	92	42	35	62	61	40	119	194
AGIS_Os01g001150	110	165	139	175	96	175	148	190
AGIS_Os01g001160	266	359	232	329	288	310	207	298
AGIS_Os01g001170	50	37	64	46	20	19	46	26
AGIS_Os01g001180	2043	1629	1865	1574	1736	1128	1632	1464
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	0	0	6	0	14	10	0	18
AGIS_Os01g001240	0	0	0	0	0	0	0	5
AGIS_Os01g001250	0	0	0	0	2	0	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	10	28	36	39	134	45	49	67
AGIS_Os01g001280	115	68	64	71	102	28	98	94
AGIS_Os01g001290	98	169	196	128	159	91	105	130
AGIS_Os01g001300	124	362	271	207	169	196	146	197
AGIS_Os01g001310	74	160	133	157	109	152	87	141
AGIS_Os01g001320	145	309	307	214	341	219	259	293
AGIS_Os01g001330	44	78	128	74	148	154	88	99
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	60	105	68	38	75	62	62	55
AGIS_Os01g001370	21	87	99	122	58	51	44	56
AGIS_Os01g001380	0	0	0	0	0	0	0	0
AGIS_Os01g001390	0	45	101	21	31	26	0	27
AGIS_Os01g001400	18	25	8	8	6	36	0	14
AGIS_Os01g001410	0	4	16	2	2	16	0	3
AGIS_Os01g001420	0	2	6	6	6	4	0	0
AGIS_Os01g001430	0	0	0	0	0	0	0	0
AGIS_Os01g001440	28	16	20	15	8	29	43	14
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	0	22	24	15	2	12	0	0
AGIS_Os01g001470	4	35	25	37	2	73	30	19
AGIS_Os01g001480	0	6	0	0	0	5	0	2
AGIS_Os01g001490	4	24	20	6	0	6	0	18
AGIS_Os01g001500	0	8	12	2	4	4	0	3
AGIS_Os01g001510	0	0	0	0	0	0	0	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	0	0	0	0
AGIS_Os01g001540	0	0	1	0	10	0	0	0
AGIS_Os01g001550	4	1	4	0	3	0	0	0
AGIS_Os01g001560	0	0	0	0	4	0	0	0
AGIS_Os01g001570	103	183	181	166	198	101	20	85
AGIS_Os01g001580	41	56	64	45	96	44	10	77
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	10	1	0	0	0	2	0	0
AGIS_Os01g001640	0	0	0	0	0	0	10	0
AGIS_Os01g001650	3	37	39	11	29	29	0	8
AGIS_Os01g001660	0	0	0	0	0	5	28	0
AGIS_Os01g001670	4	0	0	0	0	0	0	0
AGIS_Os01g001680	364	1008	1096	799	670	900	499	822
AGIS_Os01g001690	0	26	22	5	28	14	0	0
AGIS_Os01g001700	0	0	0	0	0	1	0	0
AGIS_Os01g001710	4	39	43	25	32	12	12	17
AGIS_Os01g001720	0	13	1	12	12	12	0	0
AGIS_Os01g001730	12	33	56	44	13	32	0	10
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	0	0	0	0	4	0	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	16	53	60	70	46	18	24	26
AGIS_Os01g001790	0	7	0	10	0	12	0	1
AGIS_Os01g001800	2	5	10	7	11	8	0	7
AGIS_Os01g001810	0	1	10	10	4	7	0	4
AGIS_Os01g001820	4	13	9	4	0	13	0	5
AGIS_Os01g001830	7322	6014	5598	6056	4585	5069	8152	6565
AGIS_Os01g001840	322	833	1102	814	663	777	258	637
AGIS_Os01g001850	221	413	332	302	361	237	174	345
AGIS_Os01g001860	5617	4242	4473	5315	2443	3922	5943	7010
AGIS_Os01g001870	223	235	203	277	103	296	395	389
AGIS_Os01g001880	3377	1997	2332	2407	1740	1748	2479	3658
AGIS_Os01g001890	660	268	262	471	343	362	493	787
AGIS_Os01g001900	2027	1695	1582	2223	1454	1437	2217	3157
AGIS_Os01g001910	16	6	4	4	18	14	6	5
AGIS_Os01g001920	802	632	578	663	664	465	824	842
AGIS_Os01g001930	0	0	0	0	0	0	0	0
AGIS_Os01g001940	0	2	2	8	0	8	0	6
AGIS_Os01g001950	0	0	0	0	0	0	0	0
AGIS_Os01g001960	0	0	0	0	0	0	0	0
AGIS_Os01g001970	6	186	221	147	57	130	44	73
AGIS_Os01g001980	402	644	453	394	300	314	454	304
AGIS_Os01g001990	77	78	87	161	56	96	78	96
AGIS_Os01g002000	204	258	163	218	163	230	224	299
AGIS_Os01g002010	844	1136	1072	929	922	863	830	1045
AGIS_Os01g002020	2333	5047	4650	4057	3913	4261	2705	4767
AGIS_Os01g002030	159	113	164	174	17	74	213	257
AGIS_Os01g002040	1074	1050	1119	874	1290	947	1037	984
AGIS_Os01g002050	733	690	692	655	601	533	557	647
AGIS_Os01g002060	897	1465	1460	1166	1647	1165	1048	1186
AGIS_Os01g002070	142	291	217	166	49	77	540	105
AGIS_Os01g002080	612	788	779	748	478	552	1148	573
AGIS_Os01g002090	500	460	608	692	499	485	499	751
AGIS_Os01g002100	0	0	0	0	0	10	4	0
AGIS_Os01g002110	0	18	0	0	0	12	0	2
AGIS_Os01g002120	1	0	0	0	0	6	4	1
AGIS_Os01g002130	0	0	0	0	0	0	0	0
AGIS_Os01g002140	0	0	0	0	0	0	0	0
AGIS_Os01g002150	0	0	0	0	0	0	0	0
AGIS_Os01g002160	0	0	0	0	0	0	0	0
AGIS_Os01g002170	0	0	0	0	0	0	0	0
AGIS_Os01g002180	0	0	0	0	0	0	0	0
AGIS_Os01g002190	0	0	0	0	0	0	0	0
AGIS_Os01g002200	0	0	0	0	0	0	0	0
AGIS_Os01g002210	12	4	0	0	0	0	0	0
AGIS_Os01g002220	0	0	0	0	0	0	0	0
AGIS_Os01g002230	0	0	0	0	0	0	0	0
AGIS_Os01g002240	0	0	0	0	0	0	0	0
AGIS_Os01g002250	0	0	0	0	24	0	0	0
AGIS_Os01g002260	0	0	0	0	12	1	0	4
AGIS_Os01g002270	111	96	198	99	1523	418	833	407
AGIS_Os01g002280	6194	4815	3419	5539	14330	6728	8948	6453
AGIS_Os01g002290	3245	2270	1155	3687	5407	7487	4930	3131
AGIS_Os01g002300	0	2	24	0	60	21	18	4
AGIS_Os01g002310	0	0	2	0	6	0	0	0
AGIS_Os01g002320	627	529	764	138	1337	1793	1431	361
AGIS_Os01g002330	0	0	0	0	0	0	0	0
AGIS_Os01g002340	0	0	0	0	0	0	0	0
AGIS_Os01g002350	0	0	0	0	0	0	0	0
AGIS_Os01g002360	0	0	0	0	0	0	0	0
AGIS_Os01g002370	0	0	0	0	0	0	0	0
AGIS_Os01g002380	0	0	0	0	0	0	0	0
AGIS_Os01g002390	0	0	0	0	0	0	0	0
AGIS_Os01g002400	0	7	10	7	1	1	0	0
AGIS_Os01g002410	698	595	515	614	601	560	779	907
AGIS_Os01g002420	30	158	114	146	130	146	110	181
AGIS_Os01g002430	1669	1297	1191	1305	1056	1143	1804	1958
