,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mockLP_1,CPM.pho2mockLP_2,CPM.pho2mockLP_3,CPM.pho2mockLP_4,CPM.pho2mockHP_1,CPM.pho2mockHP_2,CPM.pho2mockHP_3,CPM.pho2mockHP_4
26123,AGIS_Os05g031600, 1.465688e-01, 4.3838173840, 5.302823e-01,4.933165e-01,0.9999110,Not_significant,2.248688e+01,1.751221e+01,1.830782e+01,2.073924e+01,1.775461e+01,2.203036e+01,2.451911e+01,2.334514e+01
26124,AGIS_Os05g031610, 5.468513e-02, 4.2934944370, 7.176121e-02,7.975630e-01,0.9999110,Not_significant,1.668931e+01,2.145512e+01,2.016106e+01,1.830760e+01,2.365106e+01,2.005522e+01,1.619611e+01,2.004211e+01
26126,AGIS_Os05g031630,-4.242309e-01,-0.1201987640, 3.876589e-01,5.560592e-01,0.9999110,Not_significant,1.449391e+00,1.261021e+00,5.241502e-01,7.033657e-01,7.397754e-01,3.906861e-01,1.431474e+00,5.411743e-01
26127,AGIS_Os05g031640, 9.937710e-02, 2.1634888356, 1.145694e-01,7.462774e-01,0.9999110,Not_significant,3.261130e+00,5.488105e+00,4.286800e+00,4.200098e+00,5.004363e+00,3.668108e+00,4.662516e+00,4.945213e+00
26128,AGIS_Os05g031650,-9.152124e-02, 3.0893979576, 2.017719e-01,6.686925e-01,0.9999110,Not_significant,7.204326e+00,9.644146e+00,9.247508e+00,8.902600e+00,7.484787e+00,7.922246e+00,7.975357e+00,9.386575e+00
26131,AGIS_Os05g031680,-9.626607e-01, 0.6900448313, 1.957276e+00,2.105032e-01,0.9999110,Not_significant,1.023100e+00,2.042499e+00,3.332098e+00,1.728270e+00,8.268078e-01,2.235593e+00,3.067445e-01,1.082349e+00
26132,AGIS_Os05g031690, 8.673047e-05, 0.0471041233, 2.347774e-06,9.988263e-01,0.9999110,Not_significant,3.410332e-01,1.278782e+00,2.077881e+00,6.229810e-01,7.832916e-01,1.128649e+00,4.498919e-01,1.250299e+00
26133,AGIS_Os05g031700, 1.543690e-01, 4.8346970964, 4.146343e-01,5.430449e-01,0.9999110,Not_significant,3.874990e+01,2.264509e+01,2.429811e+01,2.284934e+01,2.748048e+01,2.268150e+01,3.685024e+01,3.241447e+01
26140,AGIS_Os05g031770, 3.117094e-01, 3.5240293770, 9.183023e-01,3.743160e-01,0.9999110,Not_significant,1.457917e+01,8.116712e+00,4.773511e+00,1.463001e+01,1.396870e+01,7.292807e+00,1.310821e+01,1.524619e+01
26141,AGIS_Os05g031780, 3.221458e-01, 1.4240853478, 5.788802e-01,4.751015e-01,0.9999110,Not_significant,9.804705e-01,2.504281e+00,4.904549e+00,1.366539e+00,3.002618e+00,1.844907e+00,5.010160e+00,1.530217e+00
26142,AGIS_Os05g031790, 2.833944e-01, 5.3283108365, 1.443107e+00,2.741575e-01,0.9999110,Not_significant,5.153864e+01,3.731556e+01,2.716221e+01,3.078732e+01,4.410367e+01,3.637722e+01,4.597078e+01,4.784727e+01
26143,AGIS_Os05g031800,-1.494914e-01, 4.5270940895, 4.198023e-01,5.406219e-01,0.9999110,Not_significant,3.256867e+01,1.955470e+01,2.250102e+01,2.146270e+01,2.219326e+01,1.812349e+01,3.175828e+01,1.597397e+01
26145,AGIS_Os05g031820,-1.407550e-01, 1.7431211615, 2.404700e-01,6.408725e-01,0.9999110,Not_significant,4.859723e+00,2.308912e+00,3.556734e+00,2.913943e+00,5.026121e+00,1.758087e+00,2.515305e+00,3.526964e+00
26146,AGIS_Os05g031830,-3.233833e-02, 2.8508056755, 1.721450e-02,8.998015e-01,0.9999110,Not_significant,8.952122e+00,5.594670e+00,7.937132e+00,6.671926e+00,6.288091e+00,6.641664e+00,6.891526e+00,8.416193e+00
26148,AGIS_Os05g031850, 1.180032e-01, 2.0608970305, 2.442744e-01,6.382941e-01,0.9999110,Not_significant,4.667892e+00,3.374563e+00,3.818809e+00,3.999136e+00,4.895573e+00,3.581289e+00,4.396671e+00,4.329394e+00
26149,AGIS_Os05g031860,-5.679126e-01,-0.6265653626, 2.685219e-01,6.225620e-01,0.9999110,Not_significant,6.820664e-01,4.617823e-01,7.113468e-01,6.832695e-01,5.221944e-01,9.333057e-01,8.588846e-01,1.866118e-02
26150,AGIS_Os05g031870,-2.454970e-01, 5.3534157175, 9.410843e-01,3.688465e-01,0.9999110,Not_significant,5.663283e+01,3.511322e+01,4.275568e+01,4.246319e+01,2.741521e+01,3.553073e+01,4.887462e+01,3.795685e+01
26156,AGIS_Os05g031930, 1.286369e-01, 4.6818147184, 2.349004e-01,6.448120e-01,0.9999110,Not_significant,4.128633e+01,1.943038e+01,1.862605e+01,2.096030e+01,2.647961e+01,2.114046e+01,3.278076e+01,2.431552e+01
26157,AGIS_Os05g031940, 5.572684e-02, 3.6686116720, 3.279301e-02,8.621607e-01,0.9999110,Not_significant,1.809607e+01,9.732950e+00,1.035197e+01,1.165577e+01,9.747629e+00,1.087410e+01,1.832287e+01,1.263362e+01
26158,AGIS_Os05g031950,-8.504496e-02,-0.3897988777, 2.182258e-02,8.872851e-01,0.9999110,Not_significant,1.321504e+00,5.328257e-01,5.054306e-01,6.229810e-01,9.355983e-01,5.426196e-01,9.815824e-01,3.545625e-01
26161,AGIS_Os05g031980,-2.858908e-01, 3.7845818827, 6.640659e-01,4.457448e-01,0.9999110,Not_significant,8.056909e+00,1.781414e+01,1.426437e+01,1.929232e+01,1.231509e+01,1.573597e+01,5.235106e+00,1.720561e+01
26164,AGIS_Os05g032010,-6.093955e-02,-1.2731977063, 4.423616e-03,9.490962e-01,0.9999110,Not_significant,1.705166e-01,3.196954e-01,5.990289e-01,1.808655e-01,8.485659e-01,8.681914e-02,6.952875e-01,9.330591e-02
26165,AGIS_Os05g032020,-1.318829e+00, 1.6501272126, 1.185411e+00,3.173572e-01,0.9999110,Not_significant,1.470706e+00,5.470344e+00,6.233644e+00,3.657501e+00,2.741521e+00,3.537880e+00,4.089927e-02,1.623523e+00
26172,AGIS_Os05g032090,-1.665806e+00,-1.2909810882, 4.506518e-01,5.265955e-01,0.9999110,Not_significant,4.476061e-01,4.617823e-01,4.492716e-01,0.000000e+00,1.566583e+00,0.000000e+00,0.000000e+00,3.732237e-02
26174,AGIS_Os05g032110, 6.566125e-02, 0.8162893168, 2.871931e-02,8.708666e-01,0.9999110,Not_significant,1.555964e+00,2.166825e+00,9.547022e-01,2.210578e+00,1.871197e+00,1.541040e+00,1.656420e+00,1.810135e+00
26178,AGIS_Os05g032150,-7.686970e-02, 4.2705923056, 7.430683e-02,7.941519e-01,0.9999110,Not_significant,1.202142e+01,2.125975e+01,2.459762e+01,2.208568e+01,2.082250e+01,2.083659e+01,1.482598e+01,1.763482e+01
26179,AGIS_Os05g032160,-2.084512e-01, 3.7087699306, 5.861486e-01,4.724629e-01,0.9999110,Not_significant,9.847334e+00,1.729908e+01,1.637970e+01,1.268068e+01,1.381639e+01,1.204616e+01,9.181885e+00,1.302551e+01
26180,AGIS_Os05g032170,-3.540591e-01, 5.1549791795, 2.022493e+00,2.040029e-01,0.9999110,Not_significant,6.385847e+01,2.926989e+01,3.637228e+01,3.289742e+01,2.909058e+01,2.526437e+01,3.903835e+01,2.892483e+01
26181,AGIS_Os05g032180,-3.545660e-01, 2.7923858208, 1.714435e+00,2.374620e-01,0.9999110,Not_significant,5.584419e+00,8.631777e+00,8.461283e+00,8.018369e+00,5.417767e+00,7.119169e+00,3.987678e+00,7.875019e+00
26182,AGIS_Os05g032190,-8.223856e-02, 3.0028431359, 1.416743e-01,7.192679e-01,0.9999110,Not_significant,7.055124e+00,7.885821e+00,8.330245e+00,9.465292e+00,6.331607e+00,9.181124e+00,8.466148e+00,7.091249e+00
26183,AGIS_Os05g032200,-2.246513e-01, 3.2731145833, 3.888251e-01,5.554833e-01,0.9999110,Not_significant,7.438787e+00,1.120710e+01,1.383382e+01,8.118849e+00,1.455617e+01,9.658629e+00,6.850627e+00,5.355759e+00
26185,AGIS_Os05g032220,-8.668063e-02, 3.2000183133, 5.261501e-02,8.260656e-01,0.9999110,Not_significant,1.579410e+01,7.690452e+00,8.648479e+00,5.687214e+00,7.811158e+00,4.731643e+00,1.339451e+01,9.442558e+00
26186,AGIS_Os05g032230,-9.397282e-03, 3.9800158752, 2.319612e-03,9.631131e-01,0.9999110,Not_significant,1.334292e+01,1.378243e+01,1.782111e+01,1.758414e+01,9.986968e+00,1.645223e+01,1.918176e+01,1.776545e+01
26188,AGIS_Os05g032250,-5.754827e-01,-2.1359968677, 5.917089e-02,8.157785e-01,0.9999110,Not_significant,0.000000e+00,2.308912e-01,2.059162e-01,1.607693e-01,4.351620e-01,4.775052e-01,0.000000e+00,0.000000e+00
26190,AGIS_Os05g032270, 2.968653e-01, 1.8080780163, 6.899913e-01,4.374386e-01,0.9999110,Not_significant,4.369488e+00,3.214715e+00,2.957705e+00,1.949328e+00,4.025249e+00,3.516175e+00,2.699352e+00,4.963875e+00
26191,AGIS_Os05g032280,-7.292999e-01,-1.2706367633, 6.185424e-01,4.608885e-01,0.9999110,Not_significant,6.394373e-01,3.019346e-01,1.871965e-01,7.636542e-01,8.703240e-02,2.387526e-01,3.680934e-01,4.105460e-01
26198,AGIS_Os05g032350, 2.333053e-01, 6.4137621166, 7.787929e-01,4.109073e-01,0.9999110,Not_significant,9.951775e+01,7.560797e+01,6.458280e+01,7.126099e+01,7.845971e+01,9.511036e+01,1.271558e+02,7.005408e+01
26199,AGIS_Os05g032360, 6.817976e-01, 0.4715833969, 2.180242e+00,1.891468e-01,0.9999110,Not_significant,1.236245e+00,1.243260e+00,3.369537e-01,1.507212e+00,1.436035e+00,2.582869e+00,1.022482e+00,1.418250e+00
26200,AGIS_Os05g032370,-6.265437e-01, 0.4033461258, 1.194805e-01,7.411983e-01,0.9999110,Not_significant,1.278875e-01,2.113542e+00,2.115321e+00,1.406731e+00,2.067020e+00,8.681914e-01,0.000000e+00,1.548878e+00
26204,AGIS_Os05g032410, 2.759303e-01, 4.0131501834, 1.601163e+00,2.518183e-01,0.9999110,Not_significant,1.803213e+01,1.483032e+01,1.111947e+01,1.450943e+01,1.849439e+01,1.669098e+01,2.032694e+01,1.485430e+01
26205,AGIS_Os05g032420,-2.118371e-01, 3.9672705279, 6.404125e-01,4.535668e-01,0.9999110,Not_significant,1.008179e+01,2.028290e+01,1.969307e+01,1.740328e+01,1.477375e+01,1.873123e+01,1.141090e+01,1.242835e+01
26206,AGIS_Os05g032430,-2.969590e-01, 2.5772356175, 1.473762e-01,7.140700e-01,0.9999110,Not_significant,1.300189e+00,8.560734e+00,9.565742e+00,7.335099e+00,6.005236e+00,8.660209e+00,1.697320e+00,4.292072e+00
26208,AGIS_Os05g032450, 3.946415e-02, 3.7299277827, 1.853890e-02,8.960756e-01,0.9999110,Not_significant,8.845549e+00,1.603805e+01,1.323479e+01,1.394674e+01,1.755879e+01,1.321821e+01,9.529529e+00,1.345471e+01
26209,AGIS_Os05g032460,-6.143091e-01, 0.1089018069, 1.942851e+00,2.116475e-01,0.9999110,Not_significant,1.150987e+00,1.065651e+00,6.739075e-01,2.270866e+00,9.138402e-01,6.511435e-01,5.725897e-01,1.007704e+00
26210,AGIS_Os05g032470, 8.366826e-02, 3.4637544183, 4.792323e-02,8.338524e-01,0.9999110,Not_significant,1.907654e+01,7.264191e+00,8.573600e+00,9.043273e+00,7.745884e+00,9.072600e+00,1.496913e+01,1.220441e+01
26211,AGIS_Os05g032480, 5.169017e-01, 3.7984626052, 3.354484e+00,1.158938e-01,0.9999110,Not_significant,1.035888e+01,1.083412e+01,9.977574e+00,1.344433e+01,2.510885e+01,1.245855e+01,1.670735e+01,1.211111e+01
26214,AGIS_Os05g032510,-1.971515e-01, 4.2725073032, 2.405602e-01,6.409302e-01,0.9999110,Not_significant,9.421042e+00,2.482968e+01,2.695630e+01,2.244741e+01,2.095305e+01,2.216058e+01,1.102235e+01,1.649649e+01
