,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mockLP_1,CPM.pho2mockLP_2,CPM.pho2mockLP_3,CPM.pho2mockLP_4,CPM.pho2mockHP_1,CPM.pho2mockHP_2,CPM.pho2mockHP_3,CPM.pho2mockHP_4
1,AGIS_Os01g000010,-2.427254e-01, 3.0813439471, 7.051482e-02,7.993282e-01,0.9999110,Not_significant,2.600378e+00,9.288929e+00,1.396486e+01,1.000789e+01,1.016103e+01,1.282753e+01,1.186079e+00,7.352506e+00
2,AGIS_Os01g000020, 8.447152e-01,-1.4909606535, 9.531660e-01,3.657433e-01,0.9999110,Not_significant,3.836624e-01,2.841737e-01,1.497572e-01,1.205770e-01,3.046134e-01,3.038670e-01,5.725897e-01,4.105460e-01
3,AGIS_Os01g000030,-1.104594e-01, 2.3174733224, 1.960981e-01,6.730420e-01,0.9999110,Not_significant,5.563104e+00,4.511258e+00,3.987286e+00,6.390580e+00,4.242830e+00,5.556425e+00,3.353740e+00,5.952917e+00
4,AGIS_Os01g000040, 4.248320e-02, 4.8237489197, 6.568090e-02,8.060913e-01,0.9999110,Not_significant,2.350998e+01,2.557564e+01,2.849131e+01,3.406299e+01,2.441259e+01,3.008283e+01,2.705486e+01,3.304895e+01
5,AGIS_Os01g000050,-5.033631e-01, 2.9828494160, 4.099165e+00,8.825020e-02,0.9999110,Not_significant,7.332214e+00,1.076308e+01,1.147515e+01,7.576253e+00,6.244575e+00,6.750188e+00,5.664548e+00,7.109911e+00
6,AGIS_Os01g000060, 7.232392e-02, 6.2091985971, 5.729080e-02,8.186637e-01,0.9999110,Not_significant,9.192976e+01,7.271295e+01,5.728213e+01,6.354406e+01,5.372075e+01,7.681323e+01,1.100190e+02,6.555674e+01
7,AGIS_Os01g000070,-1.466095e-01, 1.8558836612, 6.243498e-02,8.108835e-01,0.9999110,Not_significant,2.174087e+00,4.617823e+00,5.578456e+00,2.532116e+00,4.939089e+00,4.601414e+00,1.206528e+00,2.985789e+00
8,AGIS_Os01g000080,-2.546105e-01, 5.2889182676, 2.109215e+00,1.954564e-01,0.9999110,Not_significant,4.092398e+01,3.466919e+01,4.603162e+01,4.875329e+01,3.194089e+01,3.576948e+01,3.484617e+01,3.950572e+01
12,AGIS_Os01g000120,-3.062976e-01, 0.0359507632, 3.902106e-01,5.546441e-01,0.9999110,Not_significant,6.820664e-01,1.101173e+00,1.666049e+00,8.038465e-01,4.134039e-01,1.606154e+00,8.588846e-01,7.464473e-01
13,AGIS_Os01g000130,-3.999850e-02, 1.9724916272, 2.388878e-02,8.821167e-01,0.9999110,Not_significant,3.474276e+00,3.552172e+00,3.818809e+00,4.863271e+00,2.850311e+00,3.754928e+00,4.580718e+00,4.180105e+00
14,AGIS_Os01g000140, 1.953050e-01, 2.9685063209, 8.635824e-01,3.877621e-01,0.9999110,Not_significant,7.694562e+00,7.246430e+00,6.664196e+00,7.395388e+00,8.572692e+00,7.162579e+00,9.222785e+00,8.341549e+00
16,AGIS_Os01g000160,-4.175301e-03, 3.9839138895, 9.337973e-05,9.925980e-01,0.9999110,Not_significant,6.607518e+00,1.896860e+01,2.388628e+01,1.599654e+01,1.636209e+01,1.834054e+01,9.652227e+00,1.644050e+01
17,AGIS_Os01g000170,-1.860165e-01, 2.3269626809, 5.040213e-01,5.037582e-01,0.9999110,Not_significant,7.801135e+00,4.617823e+00,4.904549e+00,4.139809e+00,4.765024e+00,4.015385e+00,5.194207e+00,4.385378e+00
18,AGIS_Os01g000180,-6.523945e-01, 3.0402883795, 6.207376e+00,4.637384e-02,0.9999110,Not_significant,4.007140e+00,1.154456e+01,1.564963e+01,7.897792e+00,2.458665e+00,1.193763e+01,7.975357e+00,4.012154e+00
19,AGIS_Os01g000190,-1.305209e+00, 4.6051537790, 1.896021e+00,2.168832e-01,0.9999110,Not_significant,1.466443e+01,3.212939e+01,2.836027e+01,3.153088e+01,5.874687e-01,3.459743e+01,4.523459e+01,7.277861e+00
20,AGIS_Os01g000200,-7.884863e-01, 2.3672918417, 4.168574e+00,8.642549e-02,0.9999110,Not_significant,4.987611e+00,6.038692e+00,7.300664e+00,5.888175e+00,1.305486e+00,4.102204e+00,8.118504e+00,3.209723e+00
28,AGIS_Os01g000280,-1.567131e+00,-1.3652153680, 1.234559e+00,3.083538e-01,0.9999110,Not_significant,6.394373e-01,6.216300e-01,2.807948e-01,1.205770e-01,6.962592e-01,2.170478e-02,4.089927e-01,0.000000e+00
30,AGIS_Os01g000300, 8.102990e-02, 2.8207146871, 1.345657e-01,7.260372e-01,0.9999110,Not_significant,7.033810e+00,6.749126e+00,7.675057e+00,5.807791e+00,7.071383e+00,5.881996e+00,8.404799e+00,7.576440e+00
31,AGIS_Os01g000310,-3.748025e-01, 2.5300842605, 1.537180e+00,2.605666e-01,0.9999110,Not_significant,3.431647e+00,7.477321e+00,7.150907e+00,6.470964e+00,1.827680e+00,7.596674e+00,8.363900e+00,3.564286e+00
32,AGIS_Os01g000320, 9.127675e-02, 5.1954991325, 2.554519e-01,6.308635e-01,0.9999110,Not_significant,3.900567e+01,3.349698e+01,3.356434e+01,3.557021e+01,3.461714e+01,3.969805e+01,4.243299e+01,3.444854e+01
33,AGIS_Os01g000330, 1.248964e-01, 3.1388437808, 6.394922e-02,8.086592e-01,0.9999110,Not_significant,3.559534e+00,9.910559e+00,1.145643e+01,8.882504e+00,1.103136e+01,1.254537e+01,4.417121e+00,8.341549e+00
35,AGIS_Os01g000350,-2.992585e-01, 0.4503325870, 3.819938e-01,5.588092e-01,0.9999110,Not_significant,7.246956e-01,2.486520e+00,1.403974e+00,1.366539e+00,1.457793e+00,1.389106e+00,8.793342e-01,8.957368e-01
36,AGIS_Os01g000360, 6.063603e-01, 1.6720202534, 8.781145e-01,3.842906e-01,0.9999110,Not_significant,6.820664e-01,3.800824e+00,3.500575e+00,2.451732e+00,5.396009e+00,2.300707e+00,3.660484e+00,3.377674e+00
37,AGIS_Os01g000370,-1.529194e-01, 2.0720005491, 1.979714e-01,6.717043e-01,0.9999110,Not_significant,5.328644e+00,4.333649e+00,3.238500e+00,4.541733e+00,2.719763e+00,4.167319e+00,5.276005e+00,3.713575e+00
38,AGIS_Os01g000380, 1.249366e-01, 0.9318217173, 8.443985e-02,7.809872e-01,0.9999110,Not_significant,1.896997e+00,1.740564e+00,1.141899e+00,2.331155e+00,1.740648e+00,1.475925e+00,2.862949e+00,1.754151e+00
39,AGIS_Os01g000390, 1.606013e-01, 5.0631484083, 7.132539e-01,4.299916e-01,0.9999110,Not_significant,3.625609e+01,3.006913e+01,2.967065e+01,2.996338e+01,3.130991e+01,3.279593e+01,4.204445e+01,3.502704e+01
40,AGIS_Os01g000400,-2.780874e-01, 1.2916054182, 7.913428e-02,7.877656e-01,0.9999110,Not_significant,4.902352e-01,3.125911e+00,3.781370e+00,3.014424e+00,3.328989e+00,3.168898e+00,4.089927e-01,1.940763e+00
41,AGIS_Os01g000410, 3.001147e-01, 3.6214956639, 1.589196e+00,2.534765e-01,0.9999110,Not_significant,1.308715e+01,9.999363e+00,8.854395e+00,1.215818e+01,1.194520e+01,1.428175e+01,1.576667e+01,1.205512e+01
42,AGIS_Os01g000420,-6.250158e-02, 2.1547934159, 4.773288e-02,8.341270e-01,0.9999110,Not_significant,5.925452e+00,3.996193e+00,3.350818e+00,4.863271e+00,4.503927e+00,3.559585e+00,5.153308e+00,3.956171e+00
43,AGIS_Os01g000430,-1.459634e-02, 3.6353024555, 4.911074e-03,9.463543e-01,0.9999110,Not_significant,1.430208e+01,1.142023e+01,1.106331e+01,1.302231e+01,1.026982e+01,1.239343e+01,1.310821e+01,1.351070e+01
44,AGIS_Os01g000440, 9.419536e-02, 4.1420464565, 2.670721e-01,6.233569e-01,0.9999110,Not_significant,2.139983e+01,1.527434e+01,1.542499e+01,1.635828e+01,1.827680e+01,1.647393e+01,1.840467e+01,1.931432e+01
45,AGIS_Os01g000450,-4.224595e-01, 2.2940327126, 1.459272e+00,2.717482e-01,0.9999110,Not_significant,5.349958e+00,3.854106e+00,8.049450e+00,4.782887e+00,2.262843e+00,3.754928e+00,4.601167e+00,6.251496e+00
47,AGIS_Os01g000470,-7.645452e-02, 6.9380850612, 3.261201e-02,8.625368e-01,0.9999110,Not_significant,2.021687e+02,8.832475e+01,8.640991e+01,1.297207e+02,6.838571e+01,9.113839e+01,1.673189e+02,1.471994e+02
50,AGIS_Os01g000500,-2.518292e-01, 1.8211469436, 1.347586e-01,7.259371e-01,0.9999110,Not_significant,6.394373e-01,5.292736e+00,5.278942e+00,4.602021e+00,2.523940e+00,5.903701e+00,1.349676e+00,2.351309e+00
52,AGIS_Os01g000520,-2.664747e-02, 3.2989835425, 2.847635e-03,9.591459e-01,0.9999110,Not_significant,3.538219e+00,1.323184e+01,1.287912e+01,1.047010e+01,1.100960e+01,1.458561e+01,5.030610e+00,7.669746e+00
53,AGIS_Os01g000530, 3.236860e-01, 4.8860028920, 3.816551e+00,9.739593e-02,0.9999110,Not_significant,2.755975e+01,2.195242e+01,2.251974e+01,3.223424e+01,3.901228e+01,2.509073e+01,2.680947e+01,4.105460e+01
57,AGIS_Os01g000570,-6.119104e-01, 2.6851420407, 1.105867e+00,3.328133e-01,0.9999110,Not_significant,2.685636e+00,1.014145e+01,9.284947e+00,8.581061e+00,5.831171e+00,8.139294e+00,1.738219e+00,4.721279e+00
58,AGIS_Os01g000580,-2.859313e-01, 2.9477398987, 1.656966e-01,6.978526e-01,0.9999110,Not_significant,2.770895e+00,1.124262e+01,1.038941e+01,8.661446e+00,8.681482e+00,1.033148e+01,1.574622e+00,7.744391e+00
61,AGIS_Os01g000610,-2.850256e-01,-0.7337967354, 1.477872e-01,7.136233e-01,0.9999110,Not_significant,5.541790e-01,6.571517e-01,3.369537e-01,7.636542e-01,1.305486e-01,9.984201e-01,4.907912e-01,5.598355e-01
62,AGIS_Os01g000620,-2.892415e-01, 0.5229653229, 3.955421e-01,5.520760e-01,0.9999110,Not_significant,2.216716e+00,1.136695e+00,1.385254e+00,1.366539e+00,9.355983e-01,1.280582e+00,1.963165e+00,8.957368e-01
63,AGIS_Os01g000630, 9.579575e-02, 4.5479000195, 1.762627e-01,6.889792e-01,0.9999110,Not_significant,2.397890e+01,2.465207e+01,1.602402e+01,2.590395e+01,2.010449e+01,2.127069e+01,2.680947e+01,2.806642e+01
64,AGIS_Os01g000640,-4.910369e-02, 5.4325452596, 4.706902e-02,8.353129e-01,0.9999110,Not_significant,5.578024e+01,3.848778e+01,4.090244e+01,4.043348e+01,3.450835e+01,3.759269e+01,4.961081e+01,4.786593e+01
65,AGIS_Os01g000650,-2.851278e-01, 2.0121565371, 4.670318e-01,5.194357e-01,0.9999110,Not_significant,6.479631e+00,2.095781e+00,2.583312e+00,6.892984e+00,2.088778e+00,2.409231e+00,3.599135e+00,5.803628e+00
66,AGIS_Os01g000660,-1.786600e-01, 5.0478639908, 7.185972e-02,7.974755e-01,0.9999110,Not_significant,6.324034e+01,1.761877e+01,1.673537e+01,4.471396e+01,1.116191e+01,1.977306e+01,5.261691e+01,3.846070e+01
67,AGIS_Os01g000670, 2.256010e-02, 2.3060951973, 6.702797e-03,9.373496e-01,0.9999110,Not_significant,6.095969e+00,4.937519e+00,3.725211e+00,4.722598e+00,4.068765e+00,6.446321e+00,4.642067e+00,4.609312e+00
68,AGIS_Os01g000680,-8.811577e-02, 0.6698584479, 1.535813e-02,9.053520e-01,0.9999110,Not_significant,2.920097e+00,1.474151e+00,1.104459e+00,9.646158e-01,5.221944e-01,1.302287e+00,1.860917e+00,2.258003e+00
69,AGIS_Os01g000690,-5.927509e-01, 2.1998850840, 3.814241e-01,5.591589e-01,0.9999110,Not_significant,8.952122e-01,6.926735e+00,9.341106e+00,5.124521e+00,3.611845e+00,7.292807e+00,6.952875e-01,2.537921e+00
70,AGIS_Os01g000700, 1.455979e-01, 4.3518168377, 3.081430e-01,5.985566e-01,0.9999110,Not_significant,2.839101e+01,1.754773e+01,1.608018e+01,1.623770e+01,1.803747e+01,1.992499e+01,2.660497e+01,2.021006e+01
71,AGIS_Os01g000710,-2.274023e-01, 7.0212155841, 4.992181e-01,5.059015e-01,0.9999110,Not_significant,7.483547e+01,1.323184e+02,1.712474e+02,1.626583e+02,6.296794e+01,1.864875e+02,1.802022e+02,6.813198e+01
72,AGIS_Os01g000720, 3.392750e-02, 3.5648104070, 3.143674e-02,8.649659e-01,0.9999110,Not_significant,1.413156e+01,1.056771e+01,1.145643e+01,1.026914e+01,1.564407e+01,1.109114e+01,9.529529e+00,1.166324e+01
74,AGIS_Os01g000740, 4.815488e-01, 3.0834889446, 3.393954e+00,1.141698e-01,0.9999110,Not_significant,7.545360e+00,7.939104e+00,4.904549e+00,6.933176e+00,1.618803e+01,7.531560e+00,6.175789e+00,1.028231e+01
76,AGIS_Os01g000760,-5.931206e-01,-0.8454004810, 5.667213e-01,4.794264e-01,0.9999110,Not_significant,1.385447e+00,3.196954e-01,4.118323e-01,5.225002e-01,2.610972e-01,3.906861e-01,5.521401e-01,2.985789e-01
77,AGIS_Os01g000770, 6.538940e-02, 1.1062005672, 2.377051e-02,8.824409e-01,0.9999110,Not_significant,1.236245e+00,2.273390e+00,2.470994e+00,2.190482e+00,2.502182e+00,2.430936e+00,2.699352e+00,1.101010e+00
78,AGIS_Os01g000780,-2.378121e-01, 4.3764043609, 7.701126e-01,4.133789e-01,0.9999110,Not_significant,1.622039e+01,2.374627e+01,2.834155e+01,2.162347e+01,2.236733e+01,2.109705e+01,1.392620e+01,1.851189e+01
79,AGIS_Os01g000790,-2.733659e-01, 3.4588466657, 9.397661e-01,3.691594e-01,0.9999110,Not_significant,8.547145e+00,1.046115e+01,1.536883e+01,1.382616e+01,1.085729e+01,9.723743e+00,7.136922e+00,1.171922e+01
81,AGIS_Os01g000810,-1.016621e-01, 4.3302382301, 5.445327e-02,8.231155e-01,0.9999110,Not_significant,9.058694e+00,2.163273e+01,2.676910e+01,2.678818e+01,2.075723e+01,2.435277e+01,9.631777e+00,2.160965e+01
85,AGIS_Os01g000850, 5.576757e-01, 2.7899931577, 4.816025e+00,6.954853e-02,0.9999110,Not_significant,8.291370e+00,4.422454e+00,3.762650e+00,5.526445e+00,1.344651e+01,5.382786e+00,7.995807e+00,6.195513e+00
87,AGIS_Os01g000870, 2.513669e-01, 2.1066501650, 6.965668e-01,4.352269e-01,0.9999110,Not_significant,5.008925e+00,4.830953e+00,2.358676e+00,3.496732e+00,4.852057e+00,3.928566e+00,3.333290e+00,6.326141e+00
89,AGIS_Os01g000890,-5.034915e-01, 2.2068147364, 1.134624e+00,3.270933e-01,0.9999110,Not_significant,2.238030e+00,7.175387e+00,7.281944e+00,5.164714e+00,4.525685e+00,4.666529e+00,2.229010e+00,3.321691e+00
90,AGIS_Os01g000900,-1.881829e-01, 2.4711461832, 3.968814e-01,5.515386e-01,0.9999110,Not_significant,3.836624e+00,4.759910e+00,7.937132e+00,7.174330e+00,3.959974e+00,6.576550e+00,4.417121e+00,5.374421e+00
95,AGIS_Os01g000950,-1.587673e-01, 5.7559550370, 6.762792e-02,8.033708e-01,0.9999110,Not_significant,1.956678e+01,6.578622e+01,8.053194e+01,6.348378e+01,6.960417e+01,6.376866e+01,2.008154e+01,4.917222e+01
96,AGIS_Os01g000960,-5.057983e-01, 2.6561915152, 3.140739e+00,1.258831e-01,0.9999110,Not_significant,9.357099e+00,6.163018e+00,6.757794e+00,7.134138e+00,3.872942e+00,5.730063e+00,6.093991e+00,5.001197e+00
99,AGIS_Os01g000990,-4.326178e-01, 2.4662193546, 1.125634e+00,3.288649e-01,0.9999110,Not_significant,3.730051e+00,7.264191e+00,7.469141e+00,6.531253e+00,7.027867e+00,4.145614e+00,3.067445e+00,4.646635e+00
100,AGIS_Os01g001000,-2.906183e-01, 5.0600638929, 3.671848e-01,5.663749e-01,0.9999110,Not_significant,5.094183e+01,2.362194e+01,2.454146e+01,4.610060e+01,1.142300e+01,2.802088e+01,3.723878e+01,4.467487e+01
101,AGIS_Os01g001010,-5.650051e-02, 3.8397668426, 9.343876e-02,7.699345e-01,0.9999110,Not_significant,1.681720e+01,1.213067e+01,1.578067e+01,1.356491e+01,1.309838e+01,1.265389e+01,1.670735e+01,1.347337e+01
102,AGIS_Os01g001020, 1.595304e-01, 3.0935771008, 5.414385e-01,4.889429e-01,0.9999110,Not_significant,6.948552e+00,7.370756e+00,7.525300e+00,9.987793e+00,9.769387e+00,6.771893e+00,7.464116e+00,1.212977e+01
104,AGIS_Os01g001040,-1.055680e+00,-0.7227979258, 2.542773e+00,1.607119e-01,0.9999110,Not_significant,4.262915e-01,1.101173e+00,4.492716e-01,1.145481e+00,3.481296e-01,5.209148e-01,2.862949e-01,2.425954e-01
106,AGIS_Os01g001060, 1.926398e+00,-0.8670702296, 1.621022e+00,2.492778e-01,0.9999110,Not_significant,1.705166e-01,3.907389e-01,3.931127e-01,0.000000e+00,1.523067e+00,6.511435e-01,1.635971e-01,7.837697e-01
107,AGIS_Os01g001070, 1.520143e-01, 5.5217371221, 8.561576e-01,3.896835e-01,0.9999110,Not_significant,3.990088e+01,4.299904e+01,4.558235e+01,4.539723e+01,4.686695e+01,4.390878e+01,5.118543e+01,5.137424e+01
108,AGIS_Os01g001080, 4.240183e-01, 2.6345955135, 1.824892e+00,2.246475e-01,0.9999110,Not_significant,4.049769e+00,5.576909e+00,6.514439e+00,4.843175e+00,8.616208e+00,6.055635e+00,5.194207e+00,8.509499e+00
109,AGIS_Os01g001090, 7.172287e-01, 2.1552310868, 3.488605e+00,1.101766e-01,0.9999110,Not_significant,1.555964e+00,4.529019e+00,5.466138e+00,2.592405e+00,5.134912e+00,4.145614e+00,6.400735e+00,5.486388e+00
111,AGIS_Os01g001110,-1.739438e-01,-0.5632476410, 4.723290e-02,8.350316e-01,0.9999110,Not_significant,2.557749e-01,1.527434e+00,5.054306e-01,4.823079e-01,1.066147e+00,5.426196e-01,4.089927e-01,2.985789e-01
112,AGIS_Os01g001120,-1.612986e-01, 3.4128440631, 1.254520e-01,7.351075e-01,0.9999110,Not_significant,1.773373e+01,8.702820e+00,7.806095e+00,1.057058e+01,5.287219e+00,9.875677e+00,1.535767e+01,9.554526e+00
113,AGIS_Os01g001130, 1.736566e-01, 6.3566787055, 5.348242e-01,4.916897e-01,0.9999110,Not_significant,9.521221e+01,6.463176e+01,6.679172e+01,8.062580e+01,6.836395e+01,7.338387e+01,1.021459e+02,1.041294e+02
114,AGIS_Os01g001140, 7.789048e-01, 0.7200242039, 2.012502e+00,2.049799e-01,0.9999110,Not_significant,1.960941e+00,7.459560e-01,6.551878e-01,1.245962e+00,1.327244e+00,8.681914e-01,2.433506e+00,3.620269e+00
115,AGIS_Os01g001150, 1.101158e-01, 1.5953843601, 1.576934e-01,7.047060e-01,0.9999110,Not_significant,2.344603e+00,2.930542e+00,2.602032e+00,3.516828e+00,2.088778e+00,3.798337e+00,3.026546e+00,3.545625e+00
116,AGIS_Os01g001160,-1.611232e-02, 2.5269085612, 5.161632e-03,9.450055e-01,0.9999110,Not_significant,5.669677e+00,6.376148e+00,4.342959e+00,6.611637e+00,6.266333e+00,6.728483e+00,4.233074e+00,5.561032e+00
117,AGIS_Os01g001170,-8.049612e-01,-0.3127322257, 2.519400e+00,1.623533e-01,0.9999110,Not_significant,1.065729e+00,6.571517e-01,1.198058e+00,9.244235e-01,4.351620e-01,4.123909e-01,9.406831e-01,4.851908e-01
118,AGIS_Os01g001180,-1.806018e-01, 5.0350021523, 1.252474e+00,3.048808e-01,0.9999110,Not_significant,4.354568e+01,2.893244e+01,3.491215e+01,3.163136e+01,3.777206e+01,2.448300e+01,3.337380e+01,2.731997e+01
127,AGIS_Os01g001270, 1.391790e+00, 0.1076495739, 3.913538e+00,9.442702e-02,0.9999110,Not_significant,2.131458e-01,4.973040e-01,6.739075e-01,7.837503e-01,2.915586e+00,9.767153e-01,1.002032e+00,1.250299e+00
128,AGIS_Os01g001280,-1.260322e-02, 0.7207065733, 9.002085e-04,9.770159e-01,0.9999110,Not_significant,2.451176e+00,1.207738e+00,1.198058e+00,1.426828e+00,2.219326e+00,6.077339e-01,2.004064e+00,1.754151e+00
129,AGIS_Os01g001290,-1.878177e-01, 1.4371313186, 2.619550e-01,6.267444e-01,0.9999110,Not_significant,2.088828e+00,3.001585e+00,3.669052e+00,2.572309e+00,3.459538e+00,1.975135e+00,2.147211e+00,2.425954e+00
130,AGIS_Os01g001300,-2.696055e-01, 2.0542539636, 7.568293e-01,4.170977e-01,0.9999110,Not_significant,2.643007e+00,6.429431e+00,5.073026e+00,4.159906e+00,3.677119e+00,4.254138e+00,2.985646e+00,3.676253e+00
131,AGIS_Os01g001310, 1.270777e-02, 1.3551697518, 1.511578e-03,9.702184e-01,0.9999110,Not_significant,1.577279e+00,2.841737e+00,2.489714e+00,3.155097e+00,2.371633e+00,3.299127e+00,1.779118e+00,2.631227e+00
132,AGIS_Os01g001320, 3.141093e-01, 2.3883134788, 9.134968e-01,3.754865e-01,0.9999110,Not_significant,3.090613e+00,5.488105e+00,5.746933e+00,4.300579e+00,7.419512e+00,4.753348e+00,5.296455e+00,5.467727e+00
133,AGIS_Os01g001330, 7.364347e-01, 1.0641934436, 2.413525e+00,1.704377e-01,0.9999110,Not_significant,9.378413e-01,1.385347e+00,2.396115e+00,1.487116e+00,3.220199e+00,3.342537e+00,1.799568e+00,1.847457e+00
136,AGIS_Os01g001360, 7.390104e-02, 0.4292546880, 3.479009e-02,8.580379e-01,0.9999110,Not_significant,1.278875e+00,1.864890e+00,1.272936e+00,7.636542e-01,1.631858e+00,1.345697e+00,1.267877e+00,1.026365e+00
137,AGIS_Os01g001370,-3.689371e-01, 0.4512599665, 3.892165e-01,5.552904e-01,0.9999110,Not_significant,4.476061e-01,1.545195e+00,1.853246e+00,2.451732e+00,1.261970e+00,1.106944e+00,8.997839e-01,1.045026e+00
139,AGIS_Os01g001390,-1.987282e-01,-0.6240837704, 8.063203e-03,9.313234e-01,0.9999110,Not_significant,0.000000e+00,7.992386e-01,1.890685e+00,4.220194e-01,6.745011e-01,5.643244e-01,0.000000e+00,5.038519e-01
140,AGIS_Os01g001400,-7.020647e-01,-1.6067508825, 3.307299e-01,5.857842e-01,0.9999110,Not_significant,3.836624e-01,4.440215e-01,1.497572e-01,1.607693e-01,1.305486e-01,7.813722e-01,0.000000e+00,2.612566e-01
144,AGIS_Os01g001440, 1.512135e-01,-1.0689330625, 3.125266e-02,8.653661e-01,0.9999110,Not_significant,5.968081e-01,2.841737e-01,3.743930e-01,3.014424e-01,1.740648e-01,6.294387e-01,8.793342e-01,2.612566e-01
146,AGIS_Os01g001460,-2.296454e+00,-2.1696752626, 1.219236e+00,3.111184e-01,0.9999110,Not_significant,0.000000e+00,3.907389e-01,4.492716e-01,3.014424e-01,4.351620e-02,2.604574e-01,0.000000e+00,0.000000e+00
147,AGIS_Os01g001470, 8.115215e-03,-0.7277716800, 1.795101e-05,9.967536e-01,0.9999110,Not_significant,8.525830e-02,6.216300e-01,4.679913e-01,7.435580e-01,4.351620e-02,1.584449e+00,6.134890e-01,3.545625e-01
157,AGIS_Os01g001570,-8.825259e-01, 1.3912849813, 1.675746e+00,2.422934e-01,0.9999110,Not_significant,2.195401e+00,3.250237e+00,3.388257e+00,3.335963e+00,4.308104e+00,2.192183e+00,4.089927e-01,1.586201e+00
158,AGIS_Os01g001580,-6.043835e-02, 0.1657320436, 6.807993e-03,9.368795e-01,0.9999110,Not_significant,8.738976e-01,9.946081e-01,1.198058e+00,9.043273e-01,2.088778e+00,9.550105e-01,2.044963e-01,1.436911e+00
165,AGIS_Os01g001650,-4.464597e-01,-1.2321887605, 6.936757e-02,8.009238e-01,0.9999110,Not_significant,6.394373e-02,6.571517e-01,7.300664e-01,2.210578e-01,6.309849e-01,6.294387e-01,0.000000e+00,1.492895e-01
168,AGIS_Os01g001680,-8.443078e-03, 3.9332818697, 6.532838e-04,9.804238e-01,0.9999110,Not_significant,7.758505e+00,1.790294e+01,2.051674e+01,1.605683e+01,1.457793e+01,1.953431e+01,1.020437e+01,1.533949e+01
169,AGIS_Os01g001690,-1.346385e+00,-1.8575666091, 3.243145e-01,5.893503e-01,0.9999110,Not_significant,0.000000e+00,4.617823e-01,4.118323e-01,1.004808e-01,6.092268e-01,3.038670e-01,0.000000e+00,0.000000e+00
171,AGIS_Os01g001710,-4.172422e-01,-1.0243393128, 1.544147e-01,7.077063e-01,0.9999110,Not_significant,8.525830e-02,6.926735e-01,8.049450e-01,5.024041e-01,6.962592e-01,2.604574e-01,2.453956e-01,3.172401e-01
172,AGIS_Os01g001720,-3.433270e-01,-2.5925207069, 2.739010e-02,8.738954e-01,0.9999110,Not_significant,0.000000e+00,2.308912e-01,1.871965e-02,2.411539e-01,2.610972e-01,2.604574e-01,0.000000e+00,0.000000e+00
173,AGIS_Os01g001730,-1.598367e+00,-0.9075951272, 1.251969e+00,3.052581e-01,0.9999110,Not_significant,2.557749e-01,5.861083e-01,1.048300e+00,8.842311e-01,2.828553e-01,6.945531e-01,0.000000e+00,1.866118e-01
178,AGIS_Os01g001780,-6.869705e-01,-0.2984208137, 8.705296e-01,3.862218e-01,0.9999110,Not_significant,3.410332e-01,9.413255e-01,1.123179e+00,1.406731e+00,1.000873e+00,3.906861e-01,4.907912e-01,4.851908e-01
183,AGIS_Os01g001830, 1.929102e-02, 6.9493741427, 5.491957e-03,9.432932e-01,0.9999110,Not_significant,1.560653e+02,1.068138e+02,1.047926e+02,1.217024e+02,9.976089e+01,1.100215e+02,1.667054e+02,1.225107e+02
184,AGIS_Os01g001840,-2.721981e-01, 3.7471527220, 2.938310e-01,6.069787e-01,0.9999110,Not_significant,6.863293e+00,1.479479e+01,2.062906e+01,1.635828e+01,1.442562e+01,1.686462e+01,5.276005e+00,1.188717e+01
185,AGIS_Os01g001850,-1.252192e-01, 2.5743224341, 1.481852e-01,7.133297e-01,0.9999110,Not_significant,4.710521e+00,7.335234e+00,6.214924e+00,6.069041e+00,7.854674e+00,5.144034e+00,3.558236e+00,6.438108e+00
186,AGIS_Os01g001860,-2.935136e-02, 6.6009509636, 8.140372e-03,9.309966e-01,0.9999110,Not_significant,1.197240e+02,7.534156e+01,8.373300e+01,1.068111e+02,5.315504e+01,8.512616e+01,1.215322e+02,1.308149e+02
187,AGIS_Os01g001870, 2.728430e-01, 2.4133319953, 4.528821e-01,5.256093e-01,0.9999110,Not_significant,4.753150e+00,4.173802e+00,3.800089e+00,5.566637e+00,2.241084e+00,6.424616e+00,8.077605e+00,7.259200e+00
188,AGIS_Os01g001880,-2.371407e-02, 5.6240594871, 7.439534e-03,9.340249e-01,0.9999110,Not_significant,7.197932e+01,3.546843e+01,4.365423e+01,4.837146e+01,3.785910e+01,3.793996e+01,5.069464e+01,6.826261e+01
189,AGIS_Os01g001890, 3.857329e-01, 3.2016450362, 1.096865e+00,3.346358e-01,0.9999110,Not_significant,1.406762e+01,4.759910e+00,4.904549e+00,9.465292e+00,7.463029e+00,7.857132e+00,1.008167e+01,1.468635e+01
190,AGIS_Os01g001900, 1.550026e-01, 5.2991819504, 4.555977e-01,5.244134e-01,0.9999110,Not_significant,4.320464e+01,3.010465e+01,2.961449e+01,4.467377e+01,3.163628e+01,3.118977e+01,4.533684e+01,5.891335e+01
192,AGIS_Os01g001920, 1.196889e-01, 3.7798270177, 2.873125e-01,6.108605e-01,0.9999110,Not_significant,1.709429e+01,1.122486e+01,1.081996e+01,1.332376e+01,1.444738e+01,1.009272e+01,1.685050e+01,1.571272e+01
