,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mycLP_1,CPM.pho2mycLP_2,CPM.pho2mycLP_3,CPM.pho2mycLP_4,CPM.pho2mycHP_1,CPM.pho2mycHP_2,CPM.pho2mycHP_3,CPM.pho2mycHP_4
13620,AGIS_Os03g016220, 1.617309e-01, 4.960652e+00, 1.128376e+00,3.127582e-01,0.5616942386,Not_significant,2.784368e+01,2.690889e+01,3.209802e+01,2.965846e+01,3.080130e+01,4.231811e+01,3.387521e+01,2.530400e+01
13621,AGIS_Os03g016230, 4.170925e-01, 2.222909e+00, 1.578572e+00,2.380950e-01,0.4865351812,Not_significant,4.717318e+00,2.243814e+00,4.599716e+00,4.059170e+00,3.151760e+00,6.110786e+00,8.201901e+00,3.941433e+00
13622,AGIS_Os03g016240,-2.157779e-02, 4.598904e+00, 2.598915e-02,8.750926e-01,0.9420087319,Not_significant,2.429994e+01,2.773556e+01,2.409851e+01,2.133614e+01,2.017604e+01,2.587022e+01,2.406343e+01,2.596616e+01
13623,AGIS_Os03g016250, 2.350154e-01, 5.158883e+00, 4.210193e+00,6.690280e-02,0.2429236663,Not_significant,3.380361e+01,3.107598e+01,3.195803e+01,3.424797e+01,3.784500e+01,3.823815e+01,3.602736e+01,4.229946e+01
13627,AGIS_Os03g016290,-1.678925e-01, 2.945550e+00, 7.728728e-01,3.996772e-01,0.6382716439,Not_significant,8.767308e+00,6.579604e+00,8.639467e+00,8.505899e+00,7.282477e+00,8.196504e+00,6.541186e+00,6.826562e+00
13628,AGIS_Os03g016300, 1.458282e-01, 5.146952e+00, 1.142192e+00,3.099634e-01,0.5592742953,Not_significant,3.401071e+01,2.967570e+01,3.125807e+01,3.977579e+01,3.655565e+01,4.112889e+01,3.626460e+01,3.447965e+01
13629,AGIS_Os03g016310,-2.024345e-01, 4.112686e-01, 1.975711e-01,6.660223e-01,0.8255298970,Not_significant,5.292601e-01,1.518370e+00,1.859885e+00,1.733816e+00,1.050587e+00,9.147884e-01,1.779338e+00,9.301781e-01
13630,AGIS_Os03g016320,-5.480727e-01,-1.445335e+00, 1.993588e-01,6.646202e-01,0.8249252143,Not_significant,4.142035e-01,1.349662e-01,4.399729e-01,2.855698e-01,8.834480e-01,4.390984e-01,1.016765e-01,1.576573e-02
13631,AGIS_Os03g016330,-2.395809e+00,-4.252033e-01, 7.433623e+00,2.106769e-02,0.1248944082,Not_significant,1.656814e+00,1.332792e+00,9.399420e-01,7.139244e-01,2.387697e-01,1.829577e-02,3.050294e-01,4.729719e-01
13632,AGIS_Os03g016340, 2.266402e-01, 3.523711e+00, 1.471790e+00,2.525586e-01,0.5022641259,Not_significant,1.053918e+01,9.160834e+00,1.271922e+01,9.668576e+00,1.573493e+01,1.315466e+01,9.727048e+00,1.102025e+01
13633,AGIS_Os03g016350, 1.136279e+00, 2.214106e+00, 1.505413e+01,2.978844e-03,0.0400942940,UP,2.393176e+00,2.513746e+00,3.759768e+00,2.672117e+00,8.858357e+00,7.208532e+00,4.541549e+00,4.887377e+00
13634,AGIS_Os03g016360, 2.648831e-01, 6.166540e+00, 4.425664e+00,6.130455e-02,0.2307808893,Not_significant,5.221266e+01,6.537427e+01,7.495538e+01,6.843475e+01,6.933873e+01,9.028961e+01,8.571326e+01,6.801336e+01
13635,AGIS_Os03g016370, 2.941967e-01, 4.820678e+00, 3.385446e+00,9.518349e-02,0.2946281536,Not_significant,1.638405e+01,2.618345e+01,3.197803e+01,2.745549e+01,2.590652e+01,4.023239e+01,3.201114e+01,2.560355e+01
13636,AGIS_Os03g016380,-6.819340e-01, 6.237188e+00, 1.859672e+01,1.483097e-03,0.0261052739,Not_significant,1.002833e+02,7.553048e+01,1.024337e+02,9.303455e+01,4.732416e+01,6.815173e+01,5.539672e+01,6.104491e+01
