,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mycLP_1,CPM.pho2mycLP_2,CPM.pho2mycLP_3,CPM.pho2mycLP_4,CPM.pho2mycHP_1,CPM.pho2mycHP_2,CPM.pho2mycHP_3,CPM.pho2mycHP_4
1,AGIS_Os01g000010,-6.107913e-01, 3.479059e+00, 8.343718e+00,1.610305e-02,0.1081929486,Not_significant,1.106844e+01,1.776493e+01,1.189927e+01,1.295263e+01,8.595710e+00,6.659659e+00,8.201901e+00,1.174547e+01
3,AGIS_Os01g000030, 6.854086e-01, 1.713464e+00, 4.893384e+00,5.101292e-02,0.2078552076,Not_significant,1.518746e+00,2.733066e+00,2.339856e+00,3.528826e+00,4.226224e+00,3.585970e+00,4.643225e+00,3.342335e+00
4,AGIS_Os01g000040, 6.269789e-02, 4.469408e+00, 2.594645e-01,6.213860e-01,0.7969953644,Not_significant,1.981274e+01,2.125718e+01,2.443849e+01,2.111176e+01,2.094011e+01,2.281482e+01,2.299583e+01,2.353824e+01
5,AGIS_Os01g000050,-2.286862e-01, 3.243667e+00, 1.926114e+00,1.949128e-01,0.4361323589,Not_significant,8.928388e+00,1.045988e+01,1.041936e+01,1.060688e+01,6.112505e+00,9.129588e+00,9.184774e+00,1.061034e+01
6,AGIS_Os01g000060, 8.816873e-02, 6.196801e+00, 3.922015e-01,5.449792e-01,0.7467489909,Not_significant,7.368221e+01,6.007685e+01,8.745461e+01,6.325370e+01,6.871793e+01,8.847833e+01,8.206985e+01,6.279491e+01
7,AGIS_Os01g000070,-5.709669e-01, 1.888935e+00, 4.982295e+00,4.930406e-02,0.2043867986,Not_significant,4.901409e+00,5.179330e+00,2.759830e+00,4.875084e+00,2.889114e+00,2.762661e+00,2.779157e+00,3.184678e+00
8,AGIS_Os01g000080,-4.808058e-01, 5.842869e+00, 1.328751e+01,4.394155e-03,0.0510588309,Not_significant,7.041460e+01,6.933891e+01,6.623592e+01,6.084675e+01,3.934925e+01,5.168554e+01,4.856746e+01,5.242106e+01
12,AGIS_Os01g000120,-5.939541e-01, 5.138147e-01, 2.444764e+00,1.485530e-01,0.3774539884,Not_significant,1.771871e+00,9.953760e-01,1.899883e+00,2.019386e+00,1.623634e+00,6.952392e-01,1.033711e+00,1.119367e+00
13,AGIS_Os01g000130, 5.522666e-01, 1.628474e+00, 2.822528e+00,1.234395e-01,0.3403938304,Not_significant,1.564769e+00,2.986128e+00,1.919882e+00,3.569622e+00,3.080130e+00,3.238351e+00,5.016039e+00,3.027020e+00
14,AGIS_Os01g000140, 1.279199e-01, 3.079867e+00, 5.453467e-01,4.769644e-01,0.6989436044,Not_significant,1.072327e+01,6.056610e+00,7.799519e+00,7.873566e+00,9.550789e+00,7.629335e+00,9.557587e+00,8.166649e+00
16,AGIS_Os01g000160,-3.412875e-01, 4.141128e+00, 4.112959e+00,6.963549e-02,0.2477375802,Not_significant,2.114739e+01,2.501937e+01,1.523906e+01,1.772572e+01,1.392028e+01,1.460002e+01,1.498033e+01,1.820942e+01
17,AGIS_Os01g000170, 8.313963e-02, 1.532858e+00, 7.410072e-02,7.909180e-01,0.8975882106,Not_significant,2.048006e+00,2.665583e+00,3.419789e+00,2.855698e+00,3.915824e+00,1.939351e+00,3.202808e+00,2.806300e+00
18,AGIS_Os01g000180,-6.484876e-01, 4.273616e+00, 5.842819e+00,4.328336e-02,0.1901940799,Not_significant,2.004285e+01,3.996688e+01,1.929881e+01,1.664464e+01,1.088790e+01,1.320954e+01,1.613266e+01,1.820942e+01
19,AGIS_Os01g000190,-5.877997e-01, 5.923739e+00, 1.247106e+01,5.478210e-03,0.0578145528,Not_significant,7.391232e+01,7.286490e+01,7.859515e+01,6.282535e+01,3.221004e+01,6.628557e+01,5.214308e+01,4.649314e+01
20,AGIS_Os01g000200,-6.261492e-01, 3.510924e+00, 8.634571e+00,1.489773e-02,0.1040254714,Not_significant,1.553263e+01,1.319295e+01,1.323918e+01,1.256507e+01,5.778227e+00,1.262408e+01,9.354234e+00,8.608089e+00
28,AGIS_Os01g000280,-9.538877e-01,-3.823010e-01, 1.040506e+00,3.318248e-01,0.5791709746,Not_significant,4.602262e-02,1.889527e+00,7.399544e-01,1.529838e+00,3.342776e-01,1.829577e-01,3.558676e-01,7.094579e-01
30,AGIS_Os01g000300, 3.754729e-01, 2.650537e+00, 4.002578e+00,7.290736e-02,0.2538206593,Not_significant,6.351121e+00,4.605723e+00,5.679650e+00,5.038266e+00,7.879401e+00,5.360660e+00,8.066332e+00,6.952687e+00
31,AGIS_Os01g000310,-3.382759e-01, 3.142654e+00, 3.519008e+00,8.971118e-02,0.2845086251,Not_significant,1.007895e+01,9.464508e+00,9.259429e+00,1.030091e+01,5.802104e+00,8.251391e+00,8.811960e+00,8.371603e+00
32,AGIS_Os01g000320, 7.709395e-02, 5.171422e+00, 4.243019e-01,5.292791e-01,0.7363870099,Not_significant,3.615077e+01,3.421394e+01,3.811765e+01,3.167784e+01,3.407244e+01,4.001284e+01,3.884041e+01,3.490533e+01
33,AGIS_Os01g000330, 6.871851e-03, 3.649841e+00, 2.110892e-03,9.642465e-01,0.9847481242,Not_significant,1.330054e+01,1.231567e+01,1.091933e+01,1.323820e+01,1.193849e+01,1.070302e+01,1.208255e+01,1.560807e+01
35,AGIS_Os01g000350,-9.430379e-01, 3.244594e-01, 4.316590e+00,6.406292e-02,0.2368407118,Not_significant,2.117040e+00,1.602724e+00,1.839887e+00,7.343222e-01,1.599757e+00,4.025069e-01,9.320342e-01,5.360349e-01
36,AGIS_Os01g000360,-6.289874e-01, 1.901998e+00, 5.729392e+00,3.739796e-02,0.1744882432,Not_significant,1.863916e+00,6.883278e+00,4.459725e+00,4.773094e+00,1.169972e+00,2.909027e+00,3.473946e+00,4.004496e+00
37,AGIS_Os01g000370, 2.524419e-01, 1.223533e+00, 6.837054e-01,4.273367e-01,0.6606325965,Not_significant,2.416187e+00,2.193201e+00,2.019875e+00,1.631827e+00,2.292189e+00,2.488224e+00,3.643406e+00,1.686933e+00
38,AGIS_Os01g000380, 3.963737e-01, 6.642706e-01, 5.069763e-01,4.929085e-01,0.7110449763,Not_significant,6.903392e-01,1.602724e+00,1.419912e+00,1.121881e+00,4.035208e+00,1.207521e+00,8.642499e-01,1.481979e+00
39,AGIS_Os01g000390, 1.527991e-02, 4.948615e+00, 1.419259e-02,9.074967e-01,0.9579201385,Not_significant,3.191668e+01,3.018183e+01,2.865823e+01,3.175944e+01,2.686159e+01,3.496321e+01,3.201114e+01,3.038056e+01
40,AGIS_Os01g000400,-2.508752e-01, 1.420659e+00, 6.484782e-01,4.391262e-01,0.6695780676,Not_significant,3.152549e+00,3.171707e+00,2.799827e+00,2.264160e+00,2.220558e+00,1.774689e+00,2.457181e+00,3.263506e+00
41,AGIS_Os01g000410, 4.323647e-01, 3.017813e+00, 6.538526e+00,2.822562e-02,0.1479222507,Not_significant,5.890895e+00,6.191576e+00,7.339547e+00,8.097942e+00,9.121004e+00,8.196504e+00,9.710102e+00,9.932411e+00
42,AGIS_Os01g000420, 2.987376e-01, 1.866527e+00, 1.271150e+00,2.855146e-01,0.5354878573,Not_significant,4.740329e+00,2.378780e+00,2.979816e+00,2.957687e+00,3.748685e+00,2.890731e+00,4.999093e+00,4.177919e+00
43,AGIS_Os01g000430, 2.608156e-01, 3.351096e+00, 3.120608e+00,1.073308e-01,0.3147198713,Not_significant,9.940885e+00,9.076480e+00,9.199433e+00,8.750673e+00,1.224889e+01,1.088598e+01,1.126914e+01,9.963942e+00
44,AGIS_Os01g000440, 9.516925e-02, 4.049697e+00, 5.064282e-01,4.927309e-01,0.7109336253,Not_significant,1.714342e+01,1.435703e+01,1.871885e+01,1.378894e+01,1.914933e+01,1.734439e+01,1.725111e+01,1.444141e+01
45,AGIS_Os01g000450, 8.936042e-01, 1.639952e+00, 8.934354e+00,1.339412e-02,0.0977547392,Not_significant,1.449712e+00,2.648713e+00,2.079872e+00,2.468139e+00,4.894779e+00,4.262914e+00,3.541730e+00,3.279272e+00
47,AGIS_Os01g000470, 6.863404e-01, 6.237174e+00, 1.707071e+01,2.059617e-03,0.0320055810,Not_significant,5.525015e+01,4.943139e+01,5.501661e+01,7.169841e+01,9.335896e+01,9.651017e+01,1.082685e+02,7.364173e+01
50,AGIS_Os01g000500,-4.870420e-01, 2.377726e+00, 3.367549e+00,9.594818e-02,0.2960241925,Not_significant,5.545725e+00,9.059609e+00,4.639714e+00,5.058664e+00,3.390530e+00,3.768928e+00,4.456818e+00,5.328817e+00
52,AGIS_Os01g000520,-3.154950e-01, 3.528319e+00, 2.982455e+00,1.144438e-01,0.3260371389,Not_significant,1.288633e+01,1.336166e+01,1.367916e+01,1.085165e+01,9.932821e+00,9.733348e+00,8.388308e+00,1.316439e+01
53,AGIS_Os01g000530, 1.738940e-01, 4.153401e+00, 1.037399e+00,3.321055e-01,0.5793791860,Not_significant,1.498036e+01,1.685391e+01,1.469909e+01,2.009187e+01,1.757345e+01,1.846043e+01,2.362283e+01,1.576573e+01
57,AGIS_Os01g000570,-4.293837e-01, 2.895891e+00, 2.251076e+00,1.663206e-01,0.4007667178,Not_significant,6.673279e+00,1.299050e+01,7.459540e+00,7.098448e+00,6.446783e+00,4.409280e+00,5.643044e+00,8.497729e+00
58,AGIS_Os01g000580,-2.476141e-01, 3.114023e+00, 9.658239e-01,3.494644e-01,0.5945714411,Not_significant,7.317596e+00,1.378343e+01,7.999507e+00,8.567093e+00,7.473493e+00,5.726575e+00,7.676573e+00,1.038962e+01
61,AGIS_Os01g000610, 1.326455e+00,-1.652894e+00, 1.179194e+00,3.026526e-01,0.5521328097,Not_significant,0.000000e+00,3.374156e-02,7.199556e-01,2.447741e-01,1.193849e-01,3.293238e-01,3.389215e-01,4.256747e-01
62,AGIS_Os01g000620,-7.228539e-01, 8.109731e-02, 1.885469e+00,1.993040e-01,0.4420431566,Not_significant,1.610792e+00,1.214696e+00,8.599470e-01,1.060688e+00,1.456495e+00,1.189225e+00,1.864068e-01,6.306292e-01
63,AGIS_Os01g000630,-5.195676e-02, 5.414941e+00, 1.789048e-01,6.811435e-01,0.8340345899,Not_significant,3.796866e+01,4.663084e+01,4.017752e+01,4.860805e+01,3.423958e+01,4.131184e+01,4.726261e+01,4.479044e+01
64,AGIS_Os01g000640, 4.947317e-02, 5.195152e+00, 1.549274e-01,7.020173e-01,0.8468847921,Not_significant,3.923428e+01,3.134591e+01,3.635776e+01,3.708327e+01,3.653177e+01,3.926272e+01,3.873873e+01,3.422740e+01
65,AGIS_Os01g000650, 7.871950e-01, 8.952964e-01, 3.145261e+00,1.061207e-01,0.3130044480,Not_significant,6.903392e-01,1.417146e+00,6.999568e-01,3.120869e+00,1.934035e+00,1.683211e+00,2.575804e+00,2.427923e+00
66,AGIS_Os01g000660, 1.392833e+00, 4.131444e+00, 2.856470e+00,1.680716e-01,0.4033620668,Not_significant,3.175561e+00,1.042614e+01,6.639591e+00,2.390627e+01,3.626912e+01,2.307096e+01,2.204685e+01,1.439411e+01
67,AGIS_Os01g000670, 1.119470e-01, 2.330953e+00, 1.639169e-01,6.939820e-01,0.8424949393,Not_significant,3.635787e+00,4.116470e+00,5.199679e+00,6.200943e+00,7.186969e+00,4.866674e+00,4.711009e+00,4.051793e+00
68,AGIS_Os01g000680, 2.664267e-01,-3.133697e-02, 3.054295e-01,5.924679e-01,0.7784921164,Not_significant,1.242611e+00,8.097975e-01,5.199679e-01,8.159136e-01,1.766896e+00,6.769434e-01,9.150881e-01,8.198180e-01
69,AGIS_Os01g000690,-1.165528e+00, 2.737182e+00, 3.711861e+00,1.040357e-01,0.3098436965,Not_significant,5.591748e+00,2.166208e+01,5.339671e+00,6.221341e+00,3.581546e+00,1.792985e+00,3.829813e+00,4.966205e+00
70,AGIS_Os01g000700, 3.817370e-02, 4.154905e+00, 5.743926e-02,8.153637e-01,0.9109578446,Not_significant,1.981274e+01,1.582479e+01,1.877884e+01,1.552276e+01,1.955524e+01,2.147923e+01,1.398051e+01,1.726348e+01
71,AGIS_Os01g000710, 8.646424e-02, 7.509990e+00, 4.497535e-01,5.174302e-01,0.7285771543,Not_significant,1.609871e+02,1.705636e+02,2.169666e+02,1.612245e+02,1.771194e+02,1.846775e+02,1.900841e+02,1.962834e+02
72,AGIS_Os01g000720, 2.417834e-02, 3.785560e+00, 2.599532e-02,8.750779e-01,0.9420087319,Not_significant,1.633803e+01,9.785053e+00,1.269922e+01,1.607350e+01,1.540065e+01,1.291681e+01,1.138776e+01,1.543465e+01
74,AGIS_Os01g000740, 4.202386e-01, 2.791574e+00, 4.091636e+00,7.025315e-02,0.2488098275,Not_significant,7.570720e+00,6.343413e+00,6.239615e+00,3.773600e+00,7.449616e+00,8.672194e+00,7.829087e+00,7.204939e+00
75,AGIS_Os01g000750,-1.456983e+00,-2.152485e+00, 1.453309e+00,2.582685e-01,0.5084693106,Not_significant,4.142035e-01,0.000000e+00,4.799704e-01,2.447741e-01,2.148928e-01,0.000000e+00,1.016765e-01,9.459439e-02
76,AGIS_Os01g000760,-4.787712e-01,-1.519354e+00, 1.213668e-01,7.346792e-01,0.8659541563,Not_significant,5.982940e-01,3.374156e-02,1.999877e-01,7.343222e-01,0.000000e+00,1.463661e-01,3.389215e-01,4.414405e-01
77,AGIS_Os01g000770,-2.907130e-01, 9.430107e-01, 6.015521e-01,4.556888e-01,0.6824901088,Not_significant,1.702837e+00,2.648713e+00,2.199864e+00,1.591031e+00,1.193849e+00,1.591732e+00,1.372632e+00,2.743237e+00
78,AGIS_Os01g000780,-2.164292e-01, 4.616519e+00, 3.086263e+00,1.090457e-01,0.3172652011,Not_significant,3.170958e+01,2.434454e+01,2.413851e+01,2.537491e+01,2.418737e+01,2.102184e+01,2.302972e+01,2.215085e+01
79,AGIS_Os01g000790,-5.255935e-02, 3.779080e+00, 1.036557e-01,7.540231e-01,0.8776401695,Not_significant,1.201190e+01,1.579105e+01,1.283921e+01,1.489042e+01,1.580656e+01,1.238623e+01,1.048962e+01,1.530852e+01
81,AGIS_Os01g000810,-5.683744e-01, 4.595456e+00, 1.973977e+01,1.206096e-03,0.0235433470,Not_significant,2.660107e+01,3.315108e+01,2.703833e+01,2.861817e+01,1.826588e+01,1.878975e+01,1.904739e+01,2.158329e+01
85,AGIS_Os01g000850, 1.733010e+00, 3.232607e+00, 7.097401e+01,6.804619e-06,0.0012011866,UP,4.280103e+00,4.318920e+00,3.199803e+00,4.752697e+00,2.187131e+01,1.386819e+01,7.439328e+00,1.518240e+01
87,AGIS_Os01g000870, 1.606415e-01, 1.855297e+00, 2.709727e-01,6.138524e-01,0.7921581918,Not_significant,2.899425e+00,5.449262e+00,2.339856e+00,3.039278e+00,2.793606e+00,3.421309e+00,4.829632e+00,3.831073e+00
89,AGIS_Os01g000890,-2.382582e-02, 2.501025e+00, 4.840920e-03,9.460316e-01,0.9762787085,Not_significant,4.234081e+00,1.118533e+01,4.319734e+00,3.895987e+00,7.043707e+00,4.390984e+00,3.999274e+00,5.896383e+00
90,AGIS_Os01g000900,-1.465163e-01, 2.189193e+00, 2.447499e-01,6.313361e-01,0.8033843317,Not_significant,5.729816e+00,6.782054e+00,3.379792e+00,3.365643e+00,4.297855e+00,3.384717e+00,5.609151e+00,3.626118e+00
92,AGIS_Os01g000920,-1.944590e-01,-2.287080e+00, 2.234165e-02,8.844269e-01,0.9466990981,Not_significant,0.000000e+00,2.024494e-01,3.999753e-01,1.223870e-01,0.000000e+00,2.195492e-01,1.355686e-01,2.207202e-01
95,AGIS_Os01g000950,-4.517952e-01, 6.057810e+00, 1.171705e+01,6.383083e-03,0.0628750317,Not_significant,7.835350e+01,8.462383e+01,6.583594e+01,7.824611e+01,5.687495e+01,4.848378e+01,5.136356e+01,6.884895e+01
96,AGIS_Os01g000960, 6.544593e-02, 2.458944e+00, 1.128471e-01,7.437711e-01,0.8717950689,Not_significant,5.614759e+00,5.617970e+00,5.659651e+00,4.446729e+00,5.921489e+00,6.129082e+00,5.676936e+00,4.619359e+00
99,AGIS_Os01g000990,-2.589485e-01, 2.039925e+00, 9.781789e-01,3.456543e-01,0.5909503167,Not_significant,5.568737e+00,4.183954e+00,4.719709e+00,3.324848e+00,3.700931e+00,3.567675e+00,2.965563e+00,4.572062e+00
100,AGIS_Os01g001000, 9.540060e-01, 3.798031e+00, 4.604318e+00,7.767041e-02,0.2621456620,Not_significant,8.122992e+00,6.900149e+00,5.799642e+00,1.947994e+01,2.597815e+01,1.611857e+01,1.709859e+01,1.150898e+01
101,AGIS_Os01g001010, 2.116656e-01, 3.631553e+00, 2.027118e+00,1.845393e-01,0.4234871459,Not_significant,1.157469e+01,1.278805e+01,1.051935e+01,1.087205e+01,1.327560e+01,1.348398e+01,1.492949e+01,1.139862e+01
102,AGIS_Os01g001020, 2.182392e-01, 2.221144e+00, 6.604646e-01,4.350555e-01,0.6666377518,Not_significant,3.451696e+00,4.302049e+00,3.579779e+00,5.792986e+00,6.637799e+00,4.537350e+00,4.643225e+00,4.067559e+00
104,AGIS_Os01g001040, 2.506240e+00,-1.565112e+00, 3.673875e+00,8.384894e-02,0.2745032065,Not_significant,0.000000e+00,2.361909e-01,0.000000e+00,3.263654e-01,2.148928e-01,6.220561e-01,5.083823e-01,4.414405e-01
106,AGIS_Os01g001060,-4.296413e+00,-1.307549e+00, 1.307710e+01,4.612097e-03,0.0523475602,Not_significant,5.982940e-01,1.113472e+00,5.199679e-01,4.691503e-01,4.775395e-02,1.829577e-01,0.000000e+00,0.000000e+00
107,AGIS_Os01g001070, 2.887436e-02, 5.474188e+00, 5.554074e-02,8.183783e-01,0.9125448395,Not_significant,4.287007e+01,3.811109e+01,4.923696e+01,4.595633e+01,4.503197e+01,4.623340e+01,4.641530e+01,4.146387e+01
108,AGIS_Os01g001080, 1.267546e-01, 2.649950e+00, 3.216865e-01,5.829293e-01,0.7729875711,Not_significant,7.064472e+00,4.571981e+00,8.299488e+00,4.283546e+00,6.112505e+00,7.482969e+00,6.930945e+00,5.171160e+00
109,AGIS_Os01g001090, 1.143305e+00, 8.584414e-01, 5.177454e+00,4.608209e-02,0.1970232168,Not_significant,1.702837e+00,7.085728e-01,5.599655e-01,1.631827e+00,1.289357e+00,2.597999e+00,3.151970e+00,2.522517e+00
111,AGIS_Os01g001110, 9.917189e-01, 1.468407e-01, 4.115021e+00,6.957612e-02,0.2477059336,Not_significant,3.681809e-01,1.079730e+00,6.199618e-01,8.363114e-01,1.050587e+00,1.097746e+00,2.016583e+00,1.434682e+00
112,AGIS_Os01g001120, 4.752398e-01, 2.902465e+00, 6.071080e+00,3.313749e-02,0.1633376201,Not_significant,5.039476e+00,6.124093e+00,8.019505e+00,5.589008e+00,6.351275e+00,1.154463e+01,8.998367e+00,7.819803e+00
113,AGIS_Os01g001130, 4.590092e-01, 5.919093e+00, 8.823376e+00,1.383044e-02,0.0994891261,Not_significant,4.519421e+01,5.105098e+01,4.705710e+01,6.027562e+01,7.268151e+01,7.704348e+01,7.522363e+01,5.524312e+01
114,AGIS_Os01g001140,-4.430071e-01,-2.054614e-01, 4.831134e-01,5.026268e-01,0.7180830552,Not_significant,1.840905e-01,1.197825e+00,9.999383e-01,1.509440e+00,3.342776e-01,4.756900e-01,1.389578e+00,5.045034e-01
115,AGIS_Os01g001150, 5.677905e-02, 1.609863e+00, 4.726547e-02,8.322027e-01,0.9196017975,Not_significant,1.725848e+00,3.407898e+00,4.039751e+00,2.733310e+00,2.292189e+00,2.854140e+00,4.287357e+00,2.743237e+00
116,AGIS_Os01g001160,-2.603693e-01, 2.799099e+00, 1.397573e+00,2.641022e-01,0.5142666302,Not_significant,1.017100e+01,6.427767e+00,7.019567e+00,6.731287e+00,5.276811e+00,6.019308e+00,6.202264e+00,7.536019e+00
117,AGIS_Os01g001170, 5.770529e-01,-1.507738e+00, 4.511016e-01,5.168165e-01,0.7281308011,Not_significant,1.380678e-01,3.711572e-01,2.199864e-01,2.447741e-01,1.671388e-01,4.208027e-01,5.592205e-01,3.468461e-01
118,AGIS_Os01g001180,-2.017143e-01, 5.016151e+00, 2.444501e+00,1.485727e-01,0.3774539884,Not_significant,4.171950e+01,3.100849e+01,3.509784e+01,2.992363e+01,4.016107e+01,2.718751e+01,2.447013e+01,2.904048e+01
127,AGIS_Os01g001270, 5.151007e-01, 3.801870e-01, 1.336232e+00,2.742009e-01,0.5244471002,Not_significant,9.204523e-01,1.501499e+00,8.399482e-01,8.363114e-01,2.172805e+00,1.225816e+00,8.811960e-01,1.734230e+00
128,AGIS_Os01g001280, 5.743714e-01, 7.044094e-01, 1.682768e+00,2.232852e-01,0.4699560617,Not_significant,1.656814e+00,1.214696e+00,5.799642e-01,1.427849e+00,3.796439e+00,7.501265e-01,1.592931e+00,1.765762e+00
129,AGIS_Os01g001290, 2.868023e-01, 1.744762e+00, 1.025513e+00,3.347613e-01,0.5815071611,Not_significant,1.978973e+00,2.091977e+00,4.819703e+00,3.426837e+00,2.936868e+00,3.549379e+00,3.524784e+00,4.162153e+00
130,AGIS_Os01g001300,-1.207505e-01, 3.018815e+00, 3.843757e-01,5.489446e-01,0.7496773369,Not_significant,8.744297e+00,1.101662e+01,7.139560e+00,6.955663e+00,6.852691e+00,7.629335e+00,8.049386e+00,8.135117e+00
131,AGIS_Os01g001310, 7.036138e-02, 2.031314e+00, 8.126223e-02,7.813299e-01,0.8929439108,Not_significant,3.658798e+00,4.133341e+00,4.079748e+00,3.590020e+00,3.557669e+00,6.531589e+00,3.829813e+00,3.011255e+00
132,AGIS_Os01g001320, 1.193505e+00, 2.359775e+00, 1.549301e+01,2.778840e-03,0.0385658420,UP,2.001984e+00,3.711572e+00,2.959817e+00,3.610418e+00,1.021934e+01,5.507026e+00,6.592024e+00,6.164401e+00
133,AGIS_Os01g001330, 7.393891e-01, 8.329114e-01, 3.806515e+00,7.920340e-02,0.2652038517,Not_significant,5.522714e-01,2.699325e+00,1.039936e+00,1.305462e+00,1.360987e+00,2.341858e+00,1.948799e+00,2.632877e+00
136,AGIS_Os01g001360,-6.402953e-01, 6.522436e-01, 2.047547e+00,1.825300e-01,0.4209737079,Not_significant,1.081531e+00,2.614971e+00,1.519906e+00,2.182569e+00,9.312020e-01,7.867180e-01,2.084367e+00,1.040538e+00
137,AGIS_Os01g001370, 1.978701e-02, 2.180075e-01, 2.022282e-03,9.650044e-01,0.9852006832,Not_significant,1.518746e+00,1.568983e+00,7.199556e-01,7.751179e-01,1.408741e+00,9.696757e-01,9.150881e-01,1.135133e+00
139,AGIS_Os01g001390,-7.145417e-02,-2.388418e-01, 1.893659e-02,8.932418e-01,0.9510580412,Not_significant,7.593732e-01,7.591851e-01,1.059935e+00,7.139244e-01,8.356941e-01,9.513799e-01,9.150881e-01,4.887377e-01
140,AGIS_Os01g001400, 3.239523e-01,-1.951920e+00, 4.424368e-02,8.375661e-01,0.9227460931,Not_significant,2.761357e-01,3.205448e-01,1.599901e-01,2.039784e-02,2.865237e-01,0.000000e+00,3.728137e-01,3.153146e-01
144,AGIS_Os01g001440, 4.480032e-01,-1.611277e+00, 2.554697e-01,6.240510e-01,0.7987657870,Not_significant,1.840905e-01,1.518370e-01,4.599716e-01,2.039784e-01,1.910158e-01,3.842111e-01,4.236519e-01,2.995489e-01
146,AGIS_Os01g001460,-2.739420e+00, 5.898818e-02, 1.345414e+01,4.369163e-03,0.0508983582,Not_significant,1.679825e+00,3.019870e+00,1.119931e+00,1.162677e+00,4.775395e-01,3.659154e-02,2.711372e-01,2.680174e-01
147,AGIS_Os01g001470,-6.163646e-01,-3.102502e-01, 7.470504e-01,4.073868e-01,0.6442414166,Not_significant,3.911922e-01,2.564359e+00,3.799766e-01,6.323330e-01,1.671388e-01,4.756900e-01,5.422745e-01,9.144124e-01
149,AGIS_Os01g001490,-5.250343e-01,-1.843236e+00, 1.050458e-01,7.524460e-01,0.8766808424,Not_significant,2.761357e-01,6.748312e-01,3.999753e-02,1.631827e-01,1.432618e-01,0.000000e+00,4.067058e-01,1.891888e-01
157,AGIS_Os01g001570,-6.869192e-01, 1.775860e+00, 5.515325e+00,4.040995e-02,0.1826038623,Not_significant,4.026979e+00,5.010622e+00,4.179742e+00,3.345246e+00,3.462161e+00,2.360154e+00,1.677662e+00,3.042786e+00
158,AGIS_Os01g001580,-1.803699e+00, 1.695153e+00, 4.560262e+01,4.687114e-05,0.0034469190,DOWN,7.271573e+00,5.044363e+00,3.099809e+00,4.691503e+00,1.575880e+00,1.427070e+00,1.135387e+00,1.403150e+00
163,AGIS_Os01g001630, 1.355357e+00,-1.672814e+00, 1.108678e+00,3.168059e-01,0.5652607601,Not_significant,2.761357e-01,6.410897e-01,0.000000e+00,4.079568e-02,3.820316e-01,2.927323e-01,2.541911e-01,2.995489e-01
165,AGIS_Os01g001650,-8.971554e-01,-1.181780e+00, 1.351979e+00,2.715579e-01,0.5215877941,Not_significant,5.522714e-01,5.567358e-01,4.799704e-01,4.895481e-01,4.775395e-01,2.195492e-01,2.372451e-01,2.364860e-01
168,AGIS_Os01g001680,-2.116710e-01, 4.237187e+00, 1.634668e+00,2.295373e-01,0.4770588297,Not_significant,1.840905e+01,2.063296e+01,2.233862e+01,1.884760e+01,1.757345e+01,1.383160e+01,1.589542e+01,2.303373e+01
169,AGIS_Os01g001690,-6.833699e-01,-1.146734e+00, 2.804088e-01,6.080433e-01,0.7887958053,Not_significant,5.752827e-01,9.110221e-01,9.999383e-02,4.895481e-01,5.252934e-01,0.000000e+00,2.711372e-01,4.414405e-01
171,AGIS_Os01g001710,-6.140606e-01,-3.094379e-01, 1.087865e+00,3.211655e-01,0.5691254202,Not_significant,8.744297e-01,1.501499e+00,8.199494e-01,5.303438e-01,4.536625e-01,4.939857e-01,9.998185e-01,4.572062e-01
173,AGIS_Os01g001730,-2.533953e+00,-5.090020e-01, 1.268763e+01,5.050893e-03,0.0552704310,Not_significant,7.823845e-01,1.231567e+00,1.219925e+00,1.223870e+00,1.910158e-01,1.829577e-01,6.778431e-02,4.256747e-01
178,AGIS_Os01g001780, 1.379944e+00, 1.983544e-01, 4.208479e+00,6.721745e-02,0.2433334985,Not_significant,5.522714e-01,1.248438e+00,7.199556e-01,1.631827e-01,2.101174e+00,8.416053e-01,1.355686e+00,1.876122e+00
183,AGIS_Os01g001830,-5.251027e-01, 7.742177e+00, 1.106218e+01,7.524524e-03,0.0693095384,Not_significant,3.145646e+02,1.914496e+02,2.714233e+02,2.391239e+02,1.583521e+02,1.820429e+02,1.805096e+02,1.750942e+02
184,AGIS_Os01g001840,-1.357211e-01, 4.021856e+00, 9.467372e-01,3.531829e-01,0.5974113899,Not_significant,1.817893e+01,1.832167e+01,1.723894e+01,1.425809e+01,1.583043e+01,1.509401e+01,1.452279e+01,1.620717e+01
185,AGIS_Os01g001850,-5.005797e-01, 1.924639e+00, 3.389380e+00,9.501646e-02,0.2942615345,Not_significant,3.359651e+00,6.815795e+00,3.279798e+00,3.936783e+00,1.814650e+00,4.738604e+00,3.914544e+00,2.175671e+00
186,AGIS_Os01g001860, 5.911707e-01, 6.067486e+00, 8.486260e+00,1.758271e-02,0.1131463229,Not_significant,4.112121e+01,5.751249e+01,4.795704e+01,6.757804e+01,8.122946e+01,8.355677e+01,9.893120e+01,5.831744e+01
187,AGIS_Os01g001870, 1.152796e+00, 1.920837e+00, 1.587024e+01,2.513736e-03,0.0362394415,UP,1.426701e+00,2.682454e+00,2.379853e+00,2.549730e+00,3.820316e+00,3.805520e+00,8.761122e+00,4.508999e+00
188,AGIS_Os01g001880, 6.962944e-01, 5.201255e+00, 2.115899e+01,9.445877e-04,0.0202698596,Not_significant,2.549653e+01,2.606536e+01,2.839825e+01,3.167784e+01,5.740024e+01,4.240959e+01,4.412758e+01,3.845262e+01
