GeneID	pho2mycLP_1	pho2mycLP_2	pho2mycLP_3	pho2mycLP_4	pho2mycHP_1	pho2mycHP_2	pho2mycHP_3	pho2mycHP_4
AGIS_Os01g001070	1863	2259	2462	2253	1886	2527	2739	2630
AGIS_Os01g001080	307	271	415	210	256	409	409	328
AGIS_Os01g001090	74	42	28	80	54	142	186	160
AGIS_Os01g001100	0	2	0	0	0	0	0	0
AGIS_Os01g001110	16	64	31	41	44	60	119	91
AGIS_Os01g001120	219	363	401	274	266	631	531	496
AGIS_Os01g001130	1964	3026	2353	2955	3044	4211	4439	3504
AGIS_Os01g001140	8	71	50	74	14	26	82	32
AGIS_Os01g001150	75	202	202	134	96	156	253	174
AGIS_Os01g001160	442	381	351	330	221	329	366	478
AGIS_Os01g001170	6	22	11	12	7	23	33	22
AGIS_Os01g001180	1813	1838	1755	1467	1682	1486	1444	1842
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	9	4	8	0	0	0	0	0
AGIS_Os01g001240	0	0	0	0	0	0	0	0
AGIS_Os01g001250	0	1	0	0	0	0	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	40	89	42	41	91	67	52	110
AGIS_Os01g001280	72	72	29	70	159	41	94	112
AGIS_Os01g001290	86	124	241	168	123	194	208	264
AGIS_Os01g001300	380	653	357	341	287	417	475	516
AGIS_Os01g001310	159	245	204	176	149	357	226	191
AGIS_Os01g001320	87	220	148	177	428	301	389	391
AGIS_Os01g001330	24	160	52	64	57	128	115	167
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	47	155	76	107	39	43	123	66
AGIS_Os01g001370	66	93	36	38	59	53	54	72
AGIS_Os01g001380	0	0	0	0	0	0	0	0
AGIS_Os01g001390	33	45	53	35	35	52	54	31
AGIS_Os01g001400	12	19	8	1	12	0	22	20
AGIS_Os01g001410	5	0	41	0	0	0	5	6
AGIS_Os01g001420	4	2	8	10	0	18	1	2
AGIS_Os01g001430	0	8	0	8	0	0	0	2
AGIS_Os01g001440	8	9	23	10	8	21	25	19
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	73	179	56	57	20	2	16	17
AGIS_Os01g001470	17	152	19	31	7	26	32	58
AGIS_Os01g001480	4	16	8	0	4	4	1	0
AGIS_Os01g001490	12	40	2	8	6	0	24	12
AGIS_Os01g001500	6	31	2	4	4	8	18	0
AGIS_Os01g001510	0	0	0	0	0	0	4	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	0	0	0	0
AGIS_Os01g001540	0	4	0	6	0	0	0	0
AGIS_Os01g001550	0	0	0	0	1	0	0	0
AGIS_Os01g001560	0	0	0	0	0	0	0	0
AGIS_Os01g001570	175	297	209	164	145	129	99	193
AGIS_Os01g001580	316	299	155	230	66	78	67	89
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	12	38	0	2	16	16	15	19
AGIS_Os01g001640	0	0	0	6	14	14	14	1
AGIS_Os01g001650	24	33	24	24	20	12	14	15
AGIS_Os01g001660	2	0	0	0	0	1	0	0
AGIS_Os01g001670	0	0	0	1	0	0	0	0
AGIS_Os01g001680	800	1223	1117	924	736	756	938	1461
