GeneID	HPmycWT_1	HPmycWT_2	HPmycWT_3	HPmycWT_4	HPmycpho2_1	HPmycpho2_2	HPmycpho2_3	HPmycpho2_4
AGIS_Os01g001070	3015	2230	2114	2811	1886	2527	2739	2630
AGIS_Os01g001080	449	432	322	405	256	409	409	328
AGIS_Os01g001090	106	113	60	149	54	142	186	160
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	22	22	32	19	44	60	119	91
AGIS_Os01g001120	1206	722	258	600	266	631	531	496
AGIS_Os01g001130	7371	3557	2030	4714	3044	4211	4439	3504
AGIS_Os01g001140	133	92	53	48	14	26	82	32
AGIS_Os01g001150	242	44	110	207	96	156	253	174
AGIS_Os01g001160	530	277	369	389	221	329	366	478
AGIS_Os01g001170	24	4	6	22	7	23	33	22
AGIS_Os01g001180	3329	2103	1850	2294	1682	1486	1444	1842
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	0	0	4	0	0	0	0	0
AGIS_Os01g001240	0	0	0	0	0	0	0	0
AGIS_Os01g001250	0	0	2	0	0	0	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	48	87	93	69	91	67	52	110
AGIS_Os01g001280	60	67	74	70	159	41	94	112
AGIS_Os01g001290	96	102	103	251	123	194	208	264
AGIS_Os01g001300	234	390	315	184	287	417	475	516
AGIS_Os01g001310	95	184	168	220	149	357	226	191
AGIS_Os01g001320	330	180	534	250	428	301	389	391
AGIS_Os01g001330	98	60	152	79	57	128	115	167
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	62	104	46	42	39	43	123	66
AGIS_Os01g001370	26	67	122	159	59	53	54	72
AGIS_Os01g001380	0	0	0	0	0	0	0	0
AGIS_Os01g001390	24	25	18	18	35	52	54	31
AGIS_Os01g001400	38	12	3	2	12	0	22	20
AGIS_Os01g001410	0	2	0	0	0	0	5	6
AGIS_Os01g001420	0	1	0	8	0	18	1	2
AGIS_Os01g001430	0	0	0	0	0	0	0	2
AGIS_Os01g001440	75	13	38	46	8	21	25	19
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	0	6	16	9	20	2	16	17
AGIS_Os01g001470	0	12	50	54	7	26	32	58
AGIS_Os01g001480	0	0	7	8	4	4	1	0
