,genes,logFC,logCPM,F,PValue,FDR,change,CPM.HPmycWT_1,CPM.HPmycWT_2,CPM.HPmycWT_3,CPM.HPmycWT_4,CPM.HPmycpho2_1,CPM.HPmycpho2_2,CPM.HPmycpho2_3,CPM.HPmycpho2_4
31852,AGIS_Os06g042900,-1.033972e-01, 3.3650196341,1.147913e-01,7.438197e-01,0.8754729616,Not_significant,1.373978e+01,1.217949e+01,8.504333e+00,7.540987e+00,8.649411e+00,1.071974e+01,1.427682e+01,6.140632e+00
31853,AGIS_Os06g042910,-1.972349e-01, 3.7878645608,6.585241e-01,4.413494e-01,0.6834566151,Not_significant,7.494424e+00,1.615009e+01,1.999007e+01,1.556253e+01,8.214221e+00,1.030263e+01,1.633860e+01,1.579020e+01
31867,AGIS_Os06g043050, 4.120099e+00, 4.4647575391,1.038590e+02,9.801728e-06,0.0013585306,UP,3.240832e+00,9.814973e-01,3.763412e+00,2.217937e+00,3.889515e+01,3.841588e+01,3.275500e+01,5.574085e+01
31869,AGIS_Os06g043070,-2.222593e-01, 5.7436450970,1.201018e+00,3.062518e-01,0.5809435406,Not_significant,6.586316e+01,5.750682e+01,4.139753e+01,6.727744e+01,4.547741e+01,5.022011e+01,5.247803e+01,4.773610e+01
31874,AGIS_Os06g043120, 1.632812e-01, 5.7148469550,9.775992e-01,3.527252e-01,0.6182653131,Not_significant,6.333126e+01,4.537194e+01,4.794684e+01,4.210385e+01,6.255864e+01,5.726928e+01,5.123318e+01,4.970988e+01
31875,AGIS_Os06g043130, 1.755928e+00, 1.8700465408,2.870998e+00,1.301624e-01,0.3832480848,Not_significant,0.000000e+00,3.346014e+00,4.301042e+00,1.515591e+00,4.025512e+00,4.963616e+00,4.784876e+00,5.702015e+00
31876,AGIS_Os06g043140,-4.427013e-01, 5.5722145696,4.832317e+00,6.049157e-02,0.2514977431,Not_significant,7.541686e+01,5.068095e+01,4.261941e+01,5.189974e+01,4.058152e+01,4.246185e+01,4.216915e+01,3.410244e+01
31877,AGIS_Os06g043150,-3.243627e-01, 6.9691025140,2.691255e+00,1.410547e-01,0.3990321716,Not_significant,1.775368e+02,1.574857e+02,9.100614e+01,1.342591e+02,9.329397e+01,1.429438e+02,9.060143e+01,1.144789e+02
31878,AGIS_Os06g043160, 6.428286e-01, 1.8737047668,1.381455e+00,2.749613e-01,0.5515546961,Not_significant,1.012760e+00,4.952100e+00,2.932529e+00,2.698491e+00,5.494280e+00,4.629927e+00,4.862679e+00,2.156531e+00
31880,AGIS_Os06g043180,-5.802548e-01,-0.6306586788,1.990840e-01,6.694942e-01,0.8335378304,Not_significant,0.000000e+00,1.383019e+00,3.910038e-01,8.132437e-01,0.000000e+00,9.176432e-01,8.558314e-01,1.462055e-01
31882,AGIS_Os06g043200, 3.311304e-01, 3.9315257981,1.244709e+00,2.982147e-01,0.5736361014,Not_significant,6.954285e+00,1.427632e+01,1.808393e+01,1.608005e+01,1.675483e+01,1.731009e+01,1.517156e+01,1.681363e+01
31883,AGIS_Os06g043210,-1.994732e-02, 4.0061048843,7.091721e-03,9.350274e-01,0.9708298958,Not_significant,1.394233e+01,1.441016e+01,1.837718e+01,1.759564e+01,1.860439e+01,1.439031e+01,1.318758e+01,1.739846e+01
31884,AGIS_Os06g043220, 2.874592e-01, 3.2884125511,8.486871e-01,3.849163e-01,0.6431172278,Not_significant,7.865769e+00,7.673524e+00,1.378288e+01,6.062362e+00,1.109736e+01,7.090879e+00,1.128141e+01,1.268333e+01
31885,AGIS_Os06g043230, 6.586499e-02, 2.1977414667,2.571584e-02,8.767287e-01,0.9424327032,Not_significant,7.156837e+00,3.970603e+00,5.083049e+00,2.107041e+00,4.134310e+00,3.795706e+00,5.173890e+00,4.605474e+00
31886,AGIS_Os06g043240, 4.274606e-02, 6.9351735256,6.109545e-02,8.112151e-01,0.9098281058,Not_significant,1.029639e+02,1.044848e+02,1.461377e+02,1.304517e+02,1.185894e+02,1.336005e+02,1.297363e+02,1.123955e+02
31887,AGIS_Os06g043250, 6.000753e-01, 4.7403007861,2.503767e+00,1.537516e-01,0.4159673422,Not_significant,8.338390e+00,2.703579e+01,3.157356e+01,2.229027e+01,3.568562e+01,3.011538e+01,2.610286e+01,3.209211e+01
31888,AGIS_Os06g043260,-4.775858e-02, 8.4172664350,7.695678e-02,7.887437e-01,0.8986903013,Not_significant,4.399092e+02,3.430333e+02,2.733117e+02,3.413036e+02,3.595762e+02,3.334799e+02,3.462227e+02,2.973820e+02
31889,AGIS_Os06g043270,-3.016655e-01, 8.1452196181,1.394675e+00,2.728541e-01,0.5496516611,Not_significant,1.211599e+02,3.686861e+02,3.558135e+02,4.579302e+02,1.933334e+02,2.466375e+02,2.492026e+02,2.714671e+02
31901,AGIS_Os06g043390, 1.341999e-01, 3.9623121742,1.236983e-01,7.345003e-01,0.8706906691,Not_significant,8.000804e+00,1.739927e+01,2.140746e+01,1.297493e+01,1.713563e+01,1.105343e+01,1.268187e+01,2.342943e+01
31906,AGIS_Os06g043440,-3.773620e-02, 3.9176071900,2.357935e-02,8.818965e-01,0.9444277656,Not_significant,1.340219e+01,1.445478e+01,1.779067e+01,1.474928e+01,1.593885e+01,1.013579e+01,1.517156e+01,1.860465e+01
31907,AGIS_Os06g043450, 2.469114e-01, 5.0095905362,6.662105e-01,4.389275e-01,0.6815832975,Not_significant,1.441495e+01,3.069410e+01,3.831837e+01,3.574576e+01,3.508724e+01,2.219028e+01,3.310512e+01,4.751679e+01
31909,AGIS_Os06g043470,-9.511314e-01, 2.8008905225,1.054084e+01,1.231979e-02,0.0947153779,Not_significant,1.323340e+01,7.004322e+00,7.233570e+00,9.019612e+00,6.038268e+00,4.629927e+00,4.279157e+00,3.618587e+00
31910,AGIS_Os06g043480,-8.616026e-02, 4.1084984109,8.146250e-02,7.828619e-01,0.8958249330,Not_significant,1.407736e+01,1.655161e+01,2.996067e+01,1.212472e+01,1.534047e+01,1.455716e+01,1.521046e+01,1.955499e+01
31912,AGIS_Os06g043500, 1.615702e+00, 1.9666422261,3.236009e+00,1.112495e-01,0.3526127793,Not_significant,2.025520e-01,1.293792e+00,7.722325e+00,2.070075e+00,5.059090e+00,4.212817e+00,3.189917e+00,6.944762e+00
31913,AGIS_Os06g043510, 3.770477e-01, 3.3163194855,1.520761e+00,2.538704e-01,0.5315817444,Not_significant,4.456144e+00,7.718138e+00,1.485814e+01,8.945681e+00,8.758209e+00,1.092830e+01,1.093130e+01,1.246402e+01
31914,AGIS_Os06g043520,-3.021291e-01, 4.6118385650,2.158061e+00,1.813054e-01,0.4525187410,Not_significant,3.358987e+01,2.293135e+01,2.165184e+01,2.994216e+01,2.409867e+01,1.826944e+01,2.357427e+01,2.087084e+01
31915,AGIS_Os06g043530,-9.437116e-01, 4.1763085887,7.283183e+00,2.812327e-02,0.1591330589,Not_significant,2.518396e+01,2.609891e+01,2.218947e+01,1.726295e+01,6.255864e+00,1.426518e+01,2.439120e+01,8.297163e+00
31917,AGIS_Os06g043550, 9.947191e-02, 4.5454737083,1.707816e-01,6.907015e-01,0.8468490925,Not_significant,3.652688e+01,2.038838e+01,1.593341e+01,1.892640e+01,2.709061e+01,1.814431e+01,2.415779e+01,2.496459e+01
31919,AGIS_Os06g043570,-3.945706e-01, 4.4140238665,2.736667e+00,1.381915e-01,0.3951922587,Not_significant,4.088174e+01,1.387480e+01,2.140746e+01,2.114434e+01,2.855938e+01,1.572507e+01,1.696102e+01,1.133093e+01
31920,AGIS_Os06g043580,-6.001307e-01, 6.4354636906,3.347341e+00,1.062090e-01,0.3438106089,Not_significant,5.131317e+01,1.147460e+02,1.146130e+02,1.414674e+02,8.404617e+01,7.261895e+01,4.707073e+01,6.590214e+01
31923,AGIS_Os06g043610, 2.691028e-01,-0.9608901198,4.962191e-02,8.295123e-01,0.9186971572,Not_significant,0.000000e+00,5.799757e-01,6.842567e-01,5.914500e-01,2.175953e-01,4.171106e-01,4.668172e-01,5.117193e-01
