,genes,logFC,logCPM,F,PValue,FDR,change,CPM.HPmycWT_1,CPM.HPmycWT_2,CPM.HPmycWT_3,CPM.HPmycWT_4,CPM.HPmycpho2_1,CPM.HPmycpho2_2,CPM.HPmycpho2_3,CPM.HPmycpho2_4
1,AGIS_Os01g000010, 8.472229e-01, 4.1478234126,1.920320e+00,2.046844e-01,0.4803747077,Not_significant,2.160555e+00,1.539166e+01,3.157356e+01,1.127452e+01,1.958357e+01,1.518282e+01,1.882829e+01,2.723078e+01
2,AGIS_Os01g000020,-8.386064e-01,-0.0929318741,9.088936e-01,3.692627e-01,0.6312829067,Not_significant,7.426906e-01,6.245892e-01,1.075260e+00,1.737384e+00,3.263929e-01,4.171106e-01,1.478254e+00,4.020652e-01
3,AGIS_Os01g000030,-1.502745e-02, 3.2138282985,3.038050e-03,9.574419e-01,0.9800451581,Not_significant,1.350347e+01,7.807365e+00,7.966703e+00,8.058506e+00,9.628590e+00,8.175367e+00,1.065899e+01,7.748893e+00
4,AGIS_Os01g000040, 7.748137e-02, 5.6688642043,1.879671e-01,6.764576e-01,0.8380977320,Not_significant,3.726957e+01,6.125435e+01,5.390965e+01,4.683545e+01,4.770776e+01,5.201369e+01,5.278924e+01,5.457121e+01
5,AGIS_Os01g000050, 3.582890e-01, 4.1587928462,2.942575e+00,1.259280e-01,0.3763956674,Not_significant,1.289581e+01,1.610548e+01,1.593341e+01,1.685632e+01,1.392610e+01,2.081382e+01,2.108457e+01,2.459908e+01
6,AGIS_Os01g000060, 5.490715e-01, 7.2008784847,6.510931e+00,3.518640e-02,0.1811527011,Not_significant,1.750049e+02,1.050202e+02,1.091389e+02,9.489076e+01,1.565598e+02,2.017147e+02,1.883996e+02,1.455841e+02
7,AGIS_Os01g000070,-2.077236e-01, 2.8643792555,5.585093e-01,4.769754e-01,0.7100808522,Not_significant,6.144077e+00,8.699635e+00,8.211080e+00,7.910644e+00,6.582257e+00,6.298369e+00,6.379834e+00,7.383379e+00
8,AGIS_Os01g000080, 6.280744e-01, 6.5063416772,1.613333e+01,4.141060e-03,0.0465864584,Not_significant,5.590435e+01,7.004322e+01,8.245293e+01,7.770174e+01,8.964925e+01,1.178337e+02,1.114915e+02,1.215333e+02
12,AGIS_Os01g000120, 2.086923e-01, 1.4950042750,1.048742e-01,7.546892e-01,0.8804944785,Not_significant,2.396865e+00,1.739927e+00,6.940318e+00,6.653812e-01,3.699119e+00,1.585020e+00,2.372987e+00,2.595148e+00
13,AGIS_Os01g000130,-1.462779e-02, 3.0641666536,2.237222e-03,9.634776e-01,0.9831098950,Not_significant,7.967045e+00,1.159951e+01,7.282446e+00,6.468984e+00,7.017447e+00,7.382857e+00,1.151482e+01,7.017865e+00
14,AGIS_Os01g000140, 1.288175e-01, 4.2773344925,3.774428e-01,5.566194e-01,0.7637573883,Not_significant,2.423872e+01,1.333944e+01,1.852381e+01,1.833495e+01,2.175953e+01,1.739351e+01,2.194041e+01,1.893361e+01
16,AGIS_Os01g000160, 3.698334e-01, 5.0391115106,1.532717e+00,2.521691e-01,0.5300104726,Not_significant,1.174802e+01,2.895417e+01,4.564969e+01,3.445196e+01,3.171451e+01,3.328542e+01,3.438886e+01,4.221684e+01
17,AGIS_Os01g000170,-6.474861e-01, 3.1265504898,4.020527e+00,8.131989e-02,0.2978389388,Not_significant,1.053270e+01,1.307176e+01,8.504333e+00,9.906787e+00,8.921406e+00,4.421372e+00,7.352370e+00,6.506146e+00
18,AGIS_Os01g000180, 2.183563e+00, 4.3616309460,7.311386e+01,3.424093e-05,0.0023821301,UP,7.629458e+00,5.576689e+00,1.001947e+01,6.395053e+00,2.480586e+01,3.011538e+01,3.703416e+01,4.221684e+01
19,AGIS_Os01g000190, 2.672024e+00, 6.0615296860,2.712856e+01,9.232277e-04,0.0174360296,UP,3.929509e+01,7.405843e+00,2.062545e+01,1.430570e+01,7.338400e+01,1.511192e+02,1.196997e+02,1.077900e+02
20,AGIS_Os01g000200, 1.709018e+00, 3.7803194822,1.646637e+01,3.959414e-03,0.0454807373,UP,7.899528e+00,2.944492e+00,8.406582e+00,6.616847e+00,1.316451e+01,2.878063e+01,2.147359e+01,1.995705e+01
28,AGIS_Os01g000280,-3.646725e-01, 0.5229142924,7.343735e-02,7.935283e-01,0.9009566360,Not_significant,0.000000e+00,1.070724e+00,4.007789e+00,2.180972e+00,7.615834e-01,4.171106e-01,8.169300e-01,1.644812e+00
30,AGIS_Os01g000300, 1.865948e-01, 3.9358933717,7.460842e-01,4.137147e-01,0.6626051757,Not_significant,1.728444e+01,1.097492e+01,1.373401e+01,1.497108e+01,1.795161e+01,1.222134e+01,1.851708e+01,1.611916e+01
31,AGIS_Os01g000310, 1.094400e+00, 3.7218768823,2.151469e+01,1.828119e-03,0.0274841702,UP,7.899528e+00,7.450457e+00,8.846461e+00,9.019612e+00,1.321891e+01,1.881169e+01,2.022874e+01,1.940878e+01
32,AGIS_Os01g000320, 5.553892e-02, 6.3784466553,1.184990e-01,7.398445e-01,0.8734604480,Not_significant,8.888657e+01,8.155350e+01,7.605024e+01,7.947609e+01,7.762711e+01,9.122208e+01,8.916208e+01,8.092476e+01
33,AGIS_Os01g000330, 9.048817e-01, 4.5786827638,3.219097e+00,1.120425e-01,0.3539762537,Not_significant,3.105797e+00,2.186062e+01,2.702814e+01,2.302958e+01,2.719941e+01,2.440097e+01,2.773672e+01,3.618587e+01
35,AGIS_Os01g000350,-9.305541e-01, 1.4666462808,3.115143e+00,1.170843e-01,0.3623983992,Not_significant,3.105797e+00,2.676811e+00,3.128030e+00,4.620703e+00,3.644721e+00,9.176432e-01,2.139579e+00,1.242747e+00
36,AGIS_Os01g000360,-1.667171e+00, 3.7255082771,2.114553e+01,1.950308e-03,0.0287217768,DOWN,2.076158e+01,1.717620e+01,2.292260e+01,1.770653e+01,2.665542e+00,6.632058e+00,7.974793e+00,9.284051e+00
37,AGIS_Os01g000370,-2.178796e-01, 2.6490075221,4.220961e-01,5.347397e-01,0.7490242183,Not_significant,5.030041e+00,6.558187e+00,6.891442e+00,7.873678e+00,5.222286e+00,5.672704e+00,8.363807e+00,3.910998e+00
38,AGIS_Os01g000380,-2.602123e-01, 2.2175757279,2.304682e-01,6.445350e-01,0.8188117369,Not_significant,3.173315e+00,6.959708e+00,2.101645e+00,7.023469e+00,9.193400e+00,2.752930e+00,1.983973e+00,3.435830e+00
39,AGIS_Os01g000390,-1.981896e-01, 6.2616034219,1.142371e+00,3.175534e-01,0.5902477986,Not_significant,9.911544e+01,8.257961e+01,6.984305e+01,7.674064e+01,6.119867e+01,7.970983e+01,7.348480e+01,7.043451e+01
40,AGIS_Os01g000400, 8.244375e-01, 2.2712248332,1.803550e+00,2.175729e-01,0.4941742029,Not_significant,6.414146e-01,5.755143e+00,6.158310e+00,3.142078e+00,5.059090e+00,4.045972e+00,5.640707e+00,7.566136e+00
41,AGIS_Os01g000410,-4.095760e-01, 4.6301185065,4.943979e+00,5.801061e-02,0.2451489924,Not_significant,2.926876e+01,2.476050e+01,2.771239e+01,3.090326e+01,2.078035e+01,1.868655e+01,2.229052e+01,2.302737e+01
42,AGIS_Os01g000420,-3.042872e-01, 3.3422576987,1.178563e+00,3.103762e-01,0.5839610479,Not_significant,1.026263e+01,1.249178e+01,9.921722e+00,1.149631e+01,8.540614e+00,6.590347e+00,1.147592e+01,9.686116e+00
43,AGIS_Os01g000430,-5.041987e-01, 4.9449581456,8.123695e+00,2.224200e-02,0.1373891849,Not_significant,3.726957e+01,3.787687e+01,3.357745e+01,3.533914e+01,2.790659e+01,2.481808e+01,2.586945e+01,2.310047e+01
44,AGIS_Os01g000440,-4.354018e-01, 5.5266114177,6.717526e+00,3.294665e-02,0.1742606692,Not_significant,6.404019e+01,5.085941e+01,4.701821e+01,4.994056e+01,4.362785e+01,3.954208e+01,3.960165e+01,3.348106e+01
45,AGIS_Os01g000450,-6.407806e-02, 3.2568596192,3.708926e-02,8.522722e-01,0.9298504621,Not_significant,5.603938e+00,1.275946e+01,9.726220e+00,1.116362e+01,1.115176e+01,9.718676e+00,8.130399e+00,7.602687e+00
47,AGIS_Os01g000470,-2.977399e-01, 7.9126663954,1.930806e+00,2.035790e-01,0.4797556157,Not_significant,4.003440e+02,2.176247e+02,2.220902e+02,2.349535e+02,2.126994e+02,2.200258e+02,2.485412e+02,1.707315e+02
50,AGIS_Os01g000500, 4.705766e-01, 3.1397123440,1.627253e+00,2.392679e-01,0.5173059106,Not_significant,3.848488e+00,9.145770e+00,1.314750e+01,4.842497e+00,7.724632e+00,8.592477e+00,1.023108e+01,1.235437e+01
52,AGIS_Os01g000520, 2.777986e-01, 4.5077581856,5.343072e-01,4.864749e-01,0.7173109529,Not_significant,7.663217e+00,2.560816e+01,3.318645e+01,2.033109e+01,2.262991e+01,2.219028e+01,1.925621e+01,3.052040e+01
53,AGIS_Os01g000530,-7.100219e-01, 5.8394412429,9.388474e+00,1.624244e-02,0.1122142773,Not_significant,7.453913e+01,6.219124e+01,5.640230e+01,9.134206e+01,4.003753e+01,4.208646e+01,5.422859e+01,3.655138e+01
57,AGIS_Os01g000570, 3.286781e-01, 3.7210504885,8.585119e-01,3.823167e-01,0.6412492428,Not_significant,7.528182e+00,1.164413e+01,1.940356e+01,8.908716e+00,1.468768e+01,1.005236e+01,1.295418e+01,1.970119e+01
58,AGIS_Os01g000580, 5.200091e-01, 3.9745885823,2.197485e+00,1.780173e-01,0.4485614830,Not_significant,6.684216e+00,1.454401e+01,2.155408e+01,1.057217e+01,1.702683e+01,1.305556e+01,1.762235e+01,2.408736e+01
61,AGIS_Os01g000610, 1.966221e+00,-0.8406015239,2.703944e+00,1.400384e-01,0.3976620575,Not_significant,0.000000e+00,1.338405e-01,3.421283e-01,5.175187e-01,2.719941e-01,7.507990e-01,7.780286e-01,9.868873e-01
62,AGIS_Os01g000620, 1.982397e-01, 0.8521208698,7.374922e-02,7.931022e-01,0.9007972193,Not_significant,1.924244e+00,1.293792e+00,1.759517e+00,9.611062e-01,3.318328e+00,2.711219e+00,4.279157e-01,1.462055e+00
63,AGIS_Os01g000630, 1.247500e-01, 6.5253426991,4.632820e-01,5.160614e-01,0.7372604631,Not_significant,9.064202e+01,1.012727e+02,7.898277e+01,8.080686e+01,7.800790e+01,9.418356e+01,1.084961e+02,1.038425e+02
64,AGIS_Os01g000640, 1.141614e-02, 6.4222562222,3.518727e-03,9.542107e-01,0.9791109363,Not_significant,1.128552e+02,7.209544e+01,7.008743e+01,8.934591e+01,8.323019e+01,8.951193e+01,8.892867e+01,7.935305e+01
65,AGIS_Os01g000650, 2.440382e-01, 2.3385925839,1.590196e-01,7.009049e-01,0.8526301222,Not_significant,6.076560e+00,4.461351e+00,8.308831e-01,8.576025e+00,4.406304e+00,3.837417e+00,5.913017e+00,5.628913e+00
66,AGIS_Os01g000660,-1.067663e+00, 6.4588677386,1.606428e+01,4.235847e-03,0.0473719734,DOWN,2.052864e+02,1.190289e+02,5.376302e+01,1.057217e+02,8.263180e+01,5.259764e+01,5.061076e+01,3.337141e+01
67,AGIS_Os01g000670,-5.069534e-01, 3.8459446693,3.668945e+00,9.323442e-02,0.3206281532,Not_significant,1.498885e+01,1.855922e+01,1.432051e+01,1.885247e+01,1.637404e+01,1.109514e+01,1.081460e+01,9.393705e+00
68,AGIS_Os01g000680,-4.183128e-01, 1.5738532486,8.709639e-01,3.789161e-01,0.6387591418,Not_significant,5.097559e+00,1.204565e+00,2.834778e+00,4.435875e+00,4.025512e+00,1.543309e+00,2.100677e+00,1.900672e+00
69,AGIS_Os01g000690, 2.026915e-01, 2.9364812753,4.181900e-01,5.365873e-01,0.7501614013,Not_significant,4.827489e+00,4.862873e+00,1.055710e+01,7.799747e+00,8.159822e+00,4.087683e+00,8.791723e+00,1.151368e+01
70,AGIS_Os01g000700,-7.489625e-01, 5.8121271921,1.652772e+01,3.885201e-03,0.0450855049,Not_significant,1.000269e+02,6.651875e+01,5.239451e+01,6.420929e+01,4.455263e+01,4.896878e+01,3.209368e+01,4.002376e+01
71,AGIS_Os01g000710, 1.297850e+00, 8.2501158769,4.026204e+01,2.620944e-04,0.0077361179,UP,2.011679e+02,1.205903e+02,2.369483e+02,1.603569e+02,4.035304e+02,4.210314e+02,4.363573e+02,4.550647e+02
72,AGIS_Os01g000720,-3.181452e-02, 4.9971159903,2.910978e-02,8.689065e-01,0.9386458000,Not_significant,2.974138e+01,3.292477e+01,3.196456e+01,3.374962e+01,3.508724e+01,2.944801e+01,2.614176e+01,3.578380e+01
74,AGIS_Os01g000740,-1.266941e+00, 4.9344050287,4.440575e+01,1.850035e-04,0.0063102537,DOWN,4.287351e+01,4.447967e+01,3.621673e+01,4.894249e+01,1.697243e+01,1.977104e+01,1.797246e+01,1.670398e+01
75,AGIS_Os01g000750,-2.476125e+00,-0.4166661404,5.372812e+00,5.016555e-02,0.2245969005,Not_significant,2.025520e+00,4.461351e-01,7.820076e-01,1.072003e+00,4.895893e-01,0.000000e+00,2.334086e-01,2.193083e-01
76,AGIS_Os01g000760, 2.585302e-01,-0.8641937801,3.018230e-02,8.665634e-01,0.9378980824,Not_significant,5.401387e-01,1.784541e-01,1.955019e-01,5.914500e-01,0.000000e+00,3.336884e-01,7.780286e-01,1.023439e+00
77,AGIS_Os01g000770,-7.410565e-02, 2.0528324714,3.596949e-02,8.544634e-01,0.9311324961,Not_significant,2.295589e+00,5.933597e+00,4.301042e+00,4.140150e+00,2.719941e+00,3.628862e+00,3.151016e+00,6.359940e+00
78,AGIS_Os01g000780, 6.723573e-01, 5.4517407246,4.495428e+00,6.818204e-02,0.2680240649,Not_significant,1.471878e+01,3.734151e+01,5.498491e+01,3.522824e+01,5.510600e+01,4.792600e+01,5.286704e+01,5.135469e+01
79,AGIS_Os01g000790, 2.616289e-01, 4.8408394533,1.067486e+00,3.329121e-01,0.6026321275,Not_significant,1.762202e+01,2.319903e+01,3.064492e+01,3.334299e+01,3.601202e+01,2.823838e+01,2.407998e+01,3.549139e+01
81,AGIS_Os01g000810, 6.327452e-01, 5.2554220319,4.429628e+00,6.982933e-02,0.2719347470,Not_significant,1.282829e+01,3.194328e+01,4.955973e+01,3.241885e+01,4.161509e+01,4.283725e+01,4.372521e+01,5.003884e+01
85,AGIS_Os01g000850, 8.367285e-01, 4.6948430262,1.099206e+01,1.122509e-02,0.0891036405,Not_significant,2.751331e+01,1.378558e+01,1.651991e+01,1.504501e+01,4.982931e+01,3.161698e+01,1.707773e+01,3.519898e+01
87,AGIS_Os01g000870, 1.708327e-01, 3.0379646448,2.078990e-01,6.610197e-01,0.8287014772,Not_significant,9.519944e+00,7.896592e+00,4.203291e+00,9.241406e+00,6.364661e+00,7.799967e+00,1.108691e+01,8.881985e+00
89,AGIS_Os01g000890, 1.089325e+00, 3.2050619211,9.118869e+00,1.734879e-02,0.1169112248,Not_significant,4.827489e+00,3.033719e+00,8.748710e+00,7.651884e+00,1.604765e+01,1.001065e+01,9.180737e+00,1.367022e+01
90,AGIS_Os01g000900, 9.931029e-01, 2.9457034608,4.622828e+00,6.513291e-02,0.2616463295,Not_significant,1.755451e+00,9.636519e+00,5.962808e+00,4.879462e+00,9.791787e+00,7.716545e+00,1.287637e+01,8.406817e+00
95,AGIS_Os01g000950, 4.669046e-01, 6.8694669130,1.897932e+00,2.070721e-01,0.4823600508,Not_significant,4.020657e+01,1.000681e+02,1.730192e+02,1.038734e+02,1.295780e+02,1.105343e+02,1.179102e+02,1.596199e+02
96,AGIS_Os01g000960, 3.243449e-01, 3.5345581236,1.798487e+00,2.179610e-01,0.4946395498,Not_significant,1.026263e+01,1.101954e+01,8.699835e+00,1.086789e+01,1.349091e+01,1.397320e+01,1.303198e+01,1.070955e+01
99,AGIS_Os01g000990,-5.039026e-01, 3.3692259416,4.066179e+00,7.972515e-02,0.2944459971,Not_significant,1.404360e+01,9.993427e+00,1.114361e+01,1.282707e+01,8.431816e+00,8.133656e+00,6.807750e+00,1.059990e+01
100,AGIS_Os01g001000, 2.650149e-01, 5.2368757451,1.167131e+00,3.127077e-01,0.5864100669,Not_significant,5.705214e+01,2.551893e+01,2.106533e+01,3.552397e+01,5.918591e+01,3.674744e+01,3.925154e+01,2.668251e+01
101,AGIS_Os01g001010, 6.414056e-01, 4.6447345228,1.139289e+01,1.021026e-02,0.0841082087,Not_significant,2.133548e+01,1.900536e+01,1.896368e+01,1.848281e+01,3.024574e+01,3.074105e+01,3.427216e+01,2.642665e+01
102,AGIS_Os01g001020,-3.463397e-01, 3.6951563413,2.039186e+00,1.924190e-01,0.4661858269,Not_significant,1.542771e+01,1.133183e+01,1.539577e+01,1.526680e+01,1.512287e+01,1.034434e+01,1.065899e+01,9.430256e+00
104,AGIS_Os01g001040,-5.550968e-01, 0.5106378280,7.101680e-01,4.246921e-01,0.6706508262,Not_significant,4.388627e-01,2.230676e+00,1.564015e+00,2.402766e+00,4.895893e-01,1.418176e+00,1.167043e+00,1.023439e+00
107,AGIS_Os01g001070, 6.718961e-03, 6.6791986857,1.962641e-03,9.657868e-01,0.9843396961,Not_significant,1.017824e+02,9.948814e+01,1.033228e+02,1.039104e+02,1.025962e+02,1.054038e+02,1.065510e+02,9.613013e+01
108,AGIS_Os01g001080,-1.507317e-01, 3.9620403160,5.015386e-01,4.996178e-01,0.7262155325,Not_significant,1.515764e+01,1.927304e+01,1.573790e+01,1.497108e+01,1.392610e+01,1.705982e+01,1.591068e+01,1.198885e+01
109,AGIS_Os01g001090, 3.288799e-01, 2.3113700917,7.472360e-01,4.134525e-01,0.6623776977,Not_significant,3.578419e+00,5.041327e+00,2.932529e+00,5.507878e+00,2.937536e+00,5.922970e+00,7.235666e+00,5.848221e+00
111,AGIS_Os01g001110, 1.704381e+00, 1.1290248858,1.163318e+01,9.699555e-03,0.0816437157,Not_significant,7.426906e-01,9.814973e-01,1.564015e+00,7.023469e-01,2.393548e+00,2.502663e+00,4.629270e+00,3.326176e+00
112,AGIS_Os01g001120,-3.386476e-01, 4.5546684354,9.631955e-01,3.562491e-01,0.6214397350,Not_significant,4.071295e+01,3.221096e+01,1.260987e+01,2.217937e+01,1.447008e+01,2.631968e+01,2.065666e+01,1.812948e+01
113,AGIS_Os01g001130,-2.479234e-02, 7.3703451548,9.820735e-03,9.235938e-01,0.9653441210,Not_significant,2.488351e+02,1.586903e+02,9.921722e+01,1.742560e+02,1.655900e+02,1.756453e+02,1.726834e+02,1.280760e+02
114,AGIS_Os01g001140,-1.178120e+00, 1.3126868719,3.524739e+00,9.877949e-02,0.3310676303,Not_significant,4.489903e+00,4.104443e+00,2.590400e+00,1.774350e+00,7.615834e-01,1.084487e+00,3.189917e+00,1.169644e+00
115,AGIS_Os01g001150, 4.026576e-01, 2.6950179992,7.904935e-01,4.009092e-01,0.6534585332,Not_significant,8.169597e+00,1.962995e+00,5.376302e+00,7.651884e+00,5.222286e+00,6.506925e+00,9.842062e+00,6.359940e+00
116,AGIS_Os01g001160,-1.199687e-01, 3.9164359722,2.371829e-01,6.397715e-01,0.8157245677,Not_significant,1.789209e+01,1.235794e+01,1.803505e+01,1.437963e+01,1.202214e+01,1.372294e+01,1.423792e+01,1.747156e+01
117,AGIS_Os01g001170, 8.302879e-01,-0.3568244979,6.028667e-01,4.606068e-01,0.6980116209,Not_significant,8.102080e-01,1.784541e-01,2.932529e-01,8.132437e-01,3.807917e-01,9.593543e-01,1.283747e+00,8.041304e-01
118,AGIS_Os01g001180,-4.783425e-01, 6.3642552061,8.673167e+00,1.928243e-02,0.1250569884,Not_significant,1.123826e+02,9.382222e+01,9.041963e+01,8.479914e+01,9.149881e+01,6.198263e+01,5.617366e+01,6.732764e+01
127,AGIS_Os01g001270, 1.503133e-01, 1.7530018154,7.364097e-02,7.932500e-01,0.9008680842,Not_significant,1.620416e+00,3.881376e+00,4.545419e+00,2.550628e+00,4.950292e+00,2.794641e+00,2.022874e+00,4.020652e+00
128,AGIS_Os01g001280, 4.847011e-01, 1.9007867754,8.014694e-01,3.978120e-01,0.6515581564,Not_significant,2.025520e+00,2.989105e+00,3.616785e+00,2.587594e+00,8.649411e+00,1.710153e+00,3.656734e+00,4.093755e+00
129,AGIS_Os01g001290, 6.510474e-01, 2.7892801262,4.555046e+00,6.654468e-02,0.2650104220,Not_significant,3.240832e+00,4.550578e+00,5.034174e+00,9.278372e+00,6.691054e+00,8.091945e+00,8.091497e+00,9.649564e+00
130,AGIS_Os01g001300, 6.749378e-01, 3.8883123297,4.946510e+00,5.814068e-02,0.2455133218,Not_significant,7.899528e+00,1.739927e+01,1.539577e+01,6.801675e+00,1.561246e+01,1.739351e+01,1.847818e+01,1.886051e+01
131,AGIS_Os01g001310, 5.134383e-01, 3.0694359762,2.251079e+00,1.734150e-01,0.4427986961,Not_significant,3.207073e+00,8.208887e+00,8.211080e+00,8.132437e+00,8.105423e+00,1.489085e+01,8.791723e+00,6.981314e+00
132,AGIS_Os01g001320, 3.969208e-01, 3.9110147723,1.393657e+00,2.730156e-01,0.5497421503,Not_significant,1.114036e+01,8.030432e+00,2.609950e+01,9.241406e+00,2.328269e+01,1.255503e+01,1.513266e+01,1.429159e+01
133,AGIS_Os01g001330, 3.100896e-01, 2.1699163543,5.103351e-01,4.961044e-01,0.7240101631,Not_significant,3.308349e+00,2.676811e+00,7.429072e+00,2.920284e+00,3.100732e+00,5.339015e+00,4.473664e+00,6.104080e+00
136,AGIS_Os01g001360, 1.097757e-01, 1.4789821906,4.068072e-02,8.453887e-01,0.9271926124,Not_significant,2.093037e+00,4.639805e+00,2.248272e+00,1.552556e+00,2.121554e+00,1.793575e+00,4.784876e+00,2.412391e+00
137,AGIS_Os01g001370,-3.914239e-01, 1.7260119579,3.806934e-01,5.550567e-01,0.7627798903,Not_significant,8.777253e-01,2.989105e+00,5.962808e+00,5.877534e+00,3.209530e+00,2.210686e+00,2.100677e+00,2.631699e+00
139,AGIS_Os01g001390, 1.050275e+00, 0.5110169588,2.761078e+00,1.364760e-01,0.3930656800,Not_significant,8.102080e-01,1.115338e+00,8.797586e-01,6.653812e-01,1.903959e+00,2.168975e+00,2.100677e+00,1.133093e+00
140,AGIS_Os01g001400, 3.049930e-01,-0.6826610469,2.880941e-02,8.696000e-01,0.9388605671,Not_significant,1.282829e+00,5.353622e-01,1.466264e-01,7.393125e-02,6.527858e-01,0.000000e+00,8.558314e-01,7.310276e-01
144,AGIS_Os01g001440,-1.043964e+00, 0.3739480615,1.637754e+00,2.377291e-01,0.5154696987,Not_significant,2.531900e+00,5.799757e-01,1.857268e+00,1.700419e+00,4.351905e-01,8.759322e-01,9.725357e-01,6.944762e-01
146,AGIS_Os01g001460, 7.863899e-01,-0.8743357273,2.409564e-01,6.372170e-01,0.8140841757,Not_significant,0.000000e+00,2.676811e-01,7.820076e-01,3.326906e-01,1.087976e+00,8.342211e-02,6.224229e-01,6.213735e-01
147,AGIS_Os01g001470, 7.312104e-01, 0.3881926084,4.895391e-01,5.047447e-01,0.7295436894,Not_significant,0.000000e+00,5.353622e-01,2.443774e+00,1.996144e+00,3.807917e-01,1.084487e+00,1.244846e+00,2.119980e+00
149,AGIS_Os01g001490,-1.481905e+00,-0.4785362335,1.642039e+00,2.373347e-01,0.5151446353,Not_significant,7.426906e-01,5.353622e-01,1.368513e+00,7.393125e-01,3.263929e-01,0.000000e+00,9.336343e-01,4.386166e-01
157,AGIS_Os01g001570,-3.401531e-01, 2.8383267966,4.535669e-01,5.203705e-01,0.7398708184,Not_significant,2.633176e+00,9.904200e+00,9.921722e+00,9.980719e+00,7.887828e+00,5.380726e+00,3.851241e+00,7.054416e+00
158,AGIS_Os01g001580,-6.960501e-01, 2.1513153886,2.507108e+00,1.535122e-01,0.4157343457,Not_significant,2.734452e+00,4.595192e+00,8.797586e+00,6.099328e+00,3.590322e+00,3.253462e+00,2.606396e+00,3.253073e+00
163,AGIS_Os01g001630, 7.129595e+00,-1.2215574004,1.164883e+01,2.071019e-02,0.1311450304,Not_significant,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.703810e-01,6.673769e-01,5.835214e-01,6.944762e-01
164,AGIS_Os01g001640,-1.935704e-01,-0.6399790757,1.534999e-02,9.045755e-01,0.9559146300,Not_significant,3.375867e-01,8.922703e-02,9.775095e-01,1.182900e+00,7.615834e-01,5.839548e-01,5.446200e-01,3.655138e-02
165,AGIS_Os01g001650, 6.642599e-01,-0.3639386305,3.409791e-01,5.759886e-01,0.7759312120,Not_significant,1.485381e+00,4.461351e-02,1.221887e+00,1.478625e-01,1.087976e+00,5.005327e-01,5.446200e-01,5.482707e-01
168,AGIS_Os01g001680, 2.214196e-01, 5.2456813788,8.108092e-01,3.952068e-01,0.6499664785,Not_significant,2.359731e+01,3.127407e+01,5.122150e+01,3.533914e+01,4.003753e+01,3.153356e+01,3.648954e+01,5.340157e+01
171,AGIS_Os01g001710, 2.876568e+00,-0.1320727087,4.867983e+00,5.974436e-02,0.2496245827,Not_significant,0.000000e+00,3.569081e-01,9.775095e-02,6.653812e-01,1.033577e+00,1.126199e+00,2.295184e+00,1.059990e+00
173,AGIS_Os01g001730,-3.366320e-01,-0.3712126352,7.164015e-02,7.960024e-01,0.9025311887,Not_significant,4.051040e-01,8.922703e-02,1.955019e+00,1.108969e+00,4.351905e-01,4.171106e-01,1.556057e-01,9.868873e-01
178,AGIS_Os01g001780, 3.888094e-01, 1.6502648774,8.636050e-01,3.808351e-01,0.6403291172,Not_significant,2.970763e+00,2.498357e+00,2.248272e+00,2.587594e+00,4.787096e+00,1.918709e+00,3.112114e+00,4.349614e+00
183,AGIS_Os01g001830, 7.334224e-01, 8.3324597058,1.300084e+01,7.400614e-03,0.0681270681,Not_significant,3.406249e+02,2.093266e+02,2.278575e+02,2.041611e+02,3.607729e+02,4.150250e+02,4.143780e+02,4.059396e+02
184,AGIS_Os01g001840, 5.894462e-01, 4.9761049340,2.152277e+00,1.820294e-01,0.4533919211,Not_significant,8.034562e+00,2.681272e+01,4.745809e+01,2.750242e+01,3.606641e+01,3.441162e+01,3.333852e+01,3.757482e+01
185,AGIS_Os01g001850, 1.003696e-03, 2.8340347597,1.015252e-05,9.975384e-01,0.9988141207,Not_significant,4.861248e+00,8.521181e+00,7.380197e+00,6.653812e+00,4.134310e+00,1.080316e+01,8.986230e+00,5.044090e+00
186,AGIS_Os01g001860, 1.876373e-01, 7.4506815797,5.913252e-01,4.648684e-01,0.7011106339,Not_significant,2.424210e+02,1.595825e+02,1.123647e+02,1.465687e+02,1.850648e+02,1.904944e+02,2.271065e+02,1.352036e+02
187,AGIS_Os01g001870,-2.029011e-01, 3.6488630375,5.019686e-01,4.995475e-01,0.7261998158,Not_significant,1.367226e+01,1.271485e+01,1.339188e+01,1.193990e+01,8.703810e+00,8.675900e+00,2.011204e+01,1.045369e+01
188,AGIS_Os01g001880,-1.453159e-01, 6.7858805995,7.929201e-01,4.000824e-01,0.6529791313,Not_significant,1.476266e+02,1.151921e+02,9.066401e+01,1.107120e+02,1.307747e+02,9.668623e+01,1.012993e+02,8.914882e+01
189,AGIS_Os01g001890,-4.030935e-01, 4.4673228526,2.367728e+00,1.639404e-01,0.4294970295,Not_significant,3.672943e+01,2.284212e+01,2.140746e+01,1.973964e+01,1.784281e+01,1.472400e+01,2.602506e+01,1.695984e+01
190,AGIS_Os01g001900, 2.280293e-01, 6.2546249405,1.833016e+00,2.140200e-01,0.4900767630,Not_significant,9.627971e+01,7.606604e+01,5.781969e+01,5.315657e+01,9.644910e+01,8.346382e+01,8.488292e+01,6.206424e+01
