,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2LPmock_1,CPM.pho2LPmock_2,CPM.pho2LPmock_3,CPM.pho2LPmock_4,CPM.pho2LPmyc_1,CPM.pho2LPmyc_2,CPM.pho2LPmyc_3,CPM.pho2LPmyc_4
1,AGIS_Os01g000010, 8.327776e-01, 4.6429467120,5.448909e+00,5.104762e-02,1.861037e-01,Not_significant,5.693456e+00,1.995040e+01,3.005534e+01,2.186764e+01,2.482469e+01,4.011635e+01,2.720466e+01,2.943304e+01
3,AGIS_Os01g000030,-9.817258e-01, 3.0891525703,1.113788e+01,1.184004e-02,7.516388e-02,Not_significant,1.218026e+01,9.689104e+00,8.581484e+00,1.396368e+01,3.406299e+00,6.171746e+00,5.349487e+00,8.018765e+00
4,AGIS_Os01g000040,-2.932945e-01, 5.7785518370,3.568493e+00,9.913597e-02,2.767865e-01,Not_significant,5.147445e+01,5.493035e+01,6.131934e+01,7.442903e+01,4.443671e+01,4.800247e+01,5.587242e+01,4.797354e+01
5,AGIS_Os01g000050, 2.088428e-01, 4.4321368475,1.254468e+00,2.982305e-01,5.187931e-01,Not_significant,1.605368e+01,2.311652e+01,2.469695e+01,1.655442e+01,2.002491e+01,2.362026e+01,2.382122e+01,2.410265e+01
6,AGIS_Os01g000060, 6.309464e-02, 7.3047489101,1.028904e-01,7.574362e-01,8.683434e-01,Not_significant,2.012777e+02,1.561700e+02,1.232833e+02,1.388464e+02,1.652571e+02,1.356641e+02,1.999428e+02,1.437352e+02
7,AGIS_Os01g000070, 3.872955e-01, 3.1900168817,9.793398e-01,3.542304e-01,5.729827e-01,Not_significant,4.760103e+00,9.917981e+00,1.200602e+01,5.532777e+00,1.099305e+01,1.169584e+01,6.309652e+00,1.107795e+01
8,AGIS_Os01g000080, 7.194856e-01, 6.9285690009,1.912251e+01,2.985558e-03,3.104500e-02,Not_significant,8.960194e+01,7.446115e+01,9.906981e+01,1.065279e+02,1.579284e+02,1.565795e+02,1.514316e+02,1.382658e+02
12,AGIS_Os01g000120, 7.429420e-01, 1.6447823161,2.958849e+00,1.275286e-01,3.179929e-01,Not_significant,1.493366e+00,2.365057e+00,3.585690e+00,1.756437e+00,3.974015e+00,2.247735e+00,4.343601e+00,4.588773e+00
13,AGIS_Os01g000130,-6.414834e-01, 2.8470474699,5.153625e+00,5.600990e-02,1.971989e-01,Not_significant,7.606831e+00,7.629216e+00,8.218886e+00,1.062645e+01,3.509520e+00,6.743204e+00,4.389323e+00,8.111468e+00
14,AGIS_Os01g000140, 1.973101e-01, 4.0982204050,9.554554e-01,3.596421e-01,5.778979e-01,Not_significant,1.684703e+01,1.556360e+01,1.434276e+01,1.615922e+01,2.405053e+01,1.367689e+01,1.783162e+01,1.789158e+01
16,AGIS_Os01g000160, 4.440880e-01, 5.3279578482,1.676539e+00,2.350906e-01,4.535789e-01,Not_significant,1.446698e+01,4.074001e+01,5.140833e+01,3.495310e+01,4.743013e+01,5.649815e+01,3.484025e+01,4.027923e+01
17,AGIS_Os01g000170,-8.708042e-01, 3.1744251637,7.504588e+00,2.796828e-02,1.282383e-01,Not_significant,1.708037e+01,9.917981e+00,1.055563e+01,9.045652e+00,4.593342e+00,6.019358e+00,7.818481e+00,6.489174e+00
18,AGIS_Os01g000180, 1.432636e+00, 5.2402896092,1.964825e+01,2.784869e-03,2.970003e-02,UP,8.773523e+00,2.479495e+01,3.368132e+01,1.725700e+01,4.495282e+01,9.025227e+01,4.412184e+01,3.782261e+01
19,AGIS_Os01g000190, 1.552471e+00, 6.7886726706,4.350722e+01,2.623470e-04,6.558429e-03,UP,3.210736e+01,6.900626e+01,6.103731e+01,6.889625e+01,1.657732e+02,1.645418e+02,1.796879e+02,1.427618e+02
20,AGIS_Os01g000200, 1.240534e+00, 4.4640985682,4.099598e+01,3.103477e-04,7.357556e-03,UP,1.092024e+01,1.296967e+01,1.571258e+01,1.286590e+01,3.483714e+01,2.979201e+01,3.026804e+01,2.855237e+01
28,AGIS_Os01g000280, 1.206739e+00, 0.7968470974,1.046302e+00,3.392711e-01,5.590632e-01,Not_significant,1.400030e+00,1.335113e+00,6.043298e-01,2.634656e-01,1.032212e-01,4.266886e+00,1.691718e+00,3.476343e+00
30,AGIS_Os01g000300,-2.719486e-01, 3.7665216609,1.857543e+00,2.135003e-01,4.291849e-01,Not_significant,1.540033e+01,1.449551e+01,1.651835e+01,1.269026e+01,1.424452e+01,1.040054e+01,1.298508e+01,1.144876e+01
31,AGIS_Os01g000310, 7.891382e-01, 4.1532084026,9.905115e+00,1.548934e-02,8.934564e-02,Not_significant,7.513496e+00,1.605950e+01,1.539027e+01,1.413932e+01,2.260544e+01,2.137253e+01,2.116934e+01,2.340738e+01
32,AGIS_Os01g000320, 4.701744e-02, 6.2887758814,1.056399e-01,7.542909e-01,8.665983e-01,Not_significant,8.540185e+01,7.194351e+01,7.223756e+01,7.772235e+01,8.108023e+01,7.726112e+01,8.714635e+01,7.198348e+01
33,AGIS_Os01g000330, 7.241932e-01, 4.5432218434,5.190864e+00,5.550559e-02,1.961516e-01,Not_significant,7.793502e+00,2.128551e+01,2.465666e+01,1.940863e+01,2.983092e+01,2.781096e+01,2.496427e+01,3.008196e+01
35,AGIS_Os01g000350, 1.485393e-01, 1.8015990947,8.896541e-02,7.738635e-01,8.760973e-01,Not_significant,1.586701e+00,5.340451e+00,3.021649e+00,2.985943e+00,4.748174e+00,3.619234e+00,4.206434e+00,1.668645e+00
36,AGIS_Os01g000360, 9.517263e-01, 3.0017720167,1.212001e+01,9.613002e-03,6.585912e-02,Not_significant,1.493366e+00,8.163261e+00,7.533979e+00,5.357134e+00,4.180457e+00,1.554366e+01,1.019603e+01,1.084619e+01
37,AGIS_Os01g000370,-1.006280e+00, 2.8397885701,1.384113e+01,6.924622e-03,5.361780e-02,Not_significant,1.166692e+01,9.307643e+00,6.969938e+00,9.923870e+00,5.419111e+00,4.952636e+00,4.617934e+00,3.708099e+00
38,AGIS_Os01g000380,-5.086596e-01, 1.7617506533,1.353620e+00,2.815005e-01,5.012175e-01,Not_significant,4.153423e+00,3.738316e+00,2.457608e+00,5.093668e+00,1.548318e+00,3.619234e+00,3.246270e+00,2.549318e+00
39,AGIS_Os01g000390, 2.657942e-02, 6.1069662039,3.624477e-02,8.542031e-01,9.236224e-01,Not_significant,7.938172e+01,6.458131e+01,6.385752e+01,6.547120e+01,7.158388e+01,6.815589e+01,6.551979e+01,7.216889e+01
40,AGIS_Os01g000400, 4.162314e-01, 2.6151346386,5.743251e-01,4.724531e-01,6.701658e-01,Not_significant,1.073357e+00,6.713710e+00,8.138309e+00,6.586640e+00,7.070650e+00,7.162274e+00,6.401096e+00,5.144988e+00
41,AGIS_Os01g000410,-6.111457e-01, 4.3113007813,8.399402e+00,2.212626e-02,1.108389e-01,Not_significant,2.865395e+01,2.147624e+01,1.905653e+01,2.656611e+01,1.321231e+01,1.398167e+01,1.678002e+01,1.840144e+01
42,AGIS_Os01g000420,-4.263664e-01, 3.1208179004,3.062305e+00,1.218892e-01,3.104230e-01,Not_significant,1.297361e+01,8.582868e+00,7.211669e+00,1.062645e+01,1.063178e+01,5.371705e+00,6.812595e+00,6.720930e+00
43,AGIS_Os01g000430,-3.611368e-01, 4.5887692298,4.663293e+00,6.611369e-02,2.175711e-01,Not_significant,3.131401e+01,2.452793e+01,2.381060e+01,2.845428e+01,2.229577e+01,2.049629e+01,2.103217e+01,1.988468e+01
44,AGIS_Os01g000440,-3.169389e-02, 5.2010262486,3.447634e-02,8.577725e-01,9.259189e-01,Not_significant,4.685435e+01,3.280563e+01,3.319785e+01,3.574350e+01,3.844988e+01,3.242072e+01,4.279590e+01,3.133344e+01
45,AGIS_Os01g000450,-1.266123e+00, 3.0897497790,1.487219e+01,5.832612e-03,4.787927e-02,DOWN,1.171359e+01,8.277699e+00,1.732412e+01,1.045080e+01,3.251467e+00,5.981260e+00,4.755100e+00,5.608500e+00
47,AGIS_Os01g000470,-9.862367e-01, 7.6677197000,1.811145e+01,3.475924e-03,3.436883e-02,Not_significant,4.426429e+02,1.897005e+02,1.859724e+02,2.834451e+02,1.239170e+02,1.116248e+02,1.257815e+02,1.629246e+02
50,AGIS_Os01g000500, 9.189881e-01, 3.4906445994,3.071801e+00,1.216360e-01,3.099916e-01,Not_significant,1.400030e+00,1.136753e+01,1.136140e+01,1.005560e+01,1.243815e+01,2.045820e+01,1.060753e+01,1.149511e+01
52,AGIS_Os01g000520, 5.391120e-01, 4.6616575644,2.665099e+00,1.451080e-01,3.420672e-01,Not_significant,7.746834e+00,2.841883e+01,2.771860e+01,2.287759e+01,2.890193e+01,3.017298e+01,3.127393e+01,2.465886e+01
53,AGIS_Os01g000530,-5.765771e-01, 5.5622858557,1.357936e+01,7.264094e-03,5.528770e-02,Not_significant,6.034130e+01,4.714855e+01,4.846725e+01,7.043313e+01,3.359849e+01,3.805910e+01,3.360575e+01,4.565597e+01
57,AGIS_Os01g000570, 3.186518e-01, 4.1763094306,1.134591e+00,3.209786e-01,5.421231e-01,Not_significant,5.880127e+00,2.178141e+01,1.998317e+01,1.874997e+01,1.496707e+01,2.933484e+01,1.705435e+01,1.613023e+01
58,AGIS_Os01g000580, 3.722197e-01, 4.2996571557,1.567986e+00,2.493794e-01,4.675671e-01,Not_significant,6.066798e+00,2.414647e+01,2.236020e+01,1.892561e+01,1.641217e+01,3.112541e+01,1.828885e+01,1.946752e+01
61,AGIS_Os01g000610,-2.236630e+00, 0.0011787234,2.708435e+00,1.423316e-01,3.384684e-01,Not_significant,1.213360e+00,1.411405e+00,7.251958e-01,1.668615e+00,0.000000e+00,7.619440e-02,1.645996e+00,5.562149e-01
62,AGIS_Os01g000620,-2.911149e-01, 1.6243559976,6.417469e-01,4.483908e-01,6.514211e-01,Not_significant,4.853438e+00,2.441349e+00,2.981361e+00,2.985943e+00,3.612741e+00,2.742998e+00,1.966051e+00,2.410265e+00
63,AGIS_Os01g000630, 1.016310e+00, 6.2045139527,3.766023e+01,4.090781e-04,8.734747e-03,UP,5.250113e+01,5.294676e+01,3.448709e+01,5.660119e+01,8.515746e+01,1.053007e+02,9.185573e+01,1.104550e+02
64,AGIS_Os01g000640,-2.118227e-01, 6.4676435076,2.108377e+00,1.881233e-01,3.972477e-01,Not_significant,1.221293e+02,8.266255e+01,8.803071e+01,8.834879e+01,8.799604e+01,7.078460e+01,8.312280e+01,8.426656e+01
65,AGIS_Os01g000650,-1.602635e+00, 2.7396783479,1.159448e+01,1.077197e-02,7.089241e-02,Not_significant,1.418697e+01,4.501237e+00,5.559835e+00,1.506145e+01,1.548318e+00,3.200165e+00,1.600274e+00,7.091740e+00
66,AGIS_Os01g000660,-1.633200e+00, 5.6825328805,7.749977e+00,2.620214e-02,1.236394e-01,Not_significant,1.384630e+02,3.784091e+01,3.601806e+01,9.770182e+01,7.122261e+00,2.354407e+01,1.517974e+01,5.432366e+01
67,AGIS_Os01g000670, 3.184093e-02, 3.4329637028,1.247590e-02,9.140943e-01,9.572792e-01,Not_significant,1.334696e+01,1.060461e+01,8.017443e+00,1.031907e+01,8.154472e+00,9.295717e+00,1.188775e+01,1.409078e+01
68,AGIS_Os01g000680,-7.957824e-01, 1.4837977853,4.052382e+00,8.235757e-02,2.487132e-01,Not_significant,6.393471e+00,3.166125e+00,2.377031e+00,2.107725e+00,2.786972e+00,1.828666e+00,1.188775e+00,1.854050e+00
69,AGIS_Os01g000690, 9.729360e-01, 4.0954217205,3.228661e+00,1.139432e-01,2.992150e-01,Not_significant,1.960042e+00,1.487697e+01,2.010404e+01,1.119729e+01,1.254137e+01,4.891680e+01,1.220780e+01,1.413713e+01
70,AGIS_Os01g000700,-6.471943e-02, 5.3618748040,1.347119e-01,7.240542e-01,8.476000e-01,Not_significant,6.216134e+01,3.768833e+01,3.460796e+01,3.548003e+01,4.443671e+01,3.573517e+01,4.293307e+01,3.527330e+01
71,AGIS_Os01g000710, 5.110231e-01, 8.4415635387,6.408947e+00,3.803306e-02,1.554810e-01,Not_significant,1.638502e+02,2.841883e+02,3.685606e+02,3.554151e+02,3.610676e+02,3.851627e+02,4.960392e+02,3.663602e+02
72,AGIS_Os01g000720, 2.856724e-01, 4.8181382422,2.476011e+00,1.580124e-01,3.594859e-01,Not_significant,3.094067e+01,2.269692e+01,2.465666e+01,2.243849e+01,3.664351e+01,2.209638e+01,2.903354e+01,3.652478e+01
74,AGIS_Os01g000740,-1.476436e-01, 3.8342895437,3.336010e-01,5.810319e-01,7.516446e-01,Not_significant,1.652036e+01,1.705130e+01,1.055563e+01,1.514927e+01,1.697988e+01,1.432455e+01,1.426530e+01,8.574980e+00
75,AGIS_Os01g000750, 4.199094e-01,-0.7505104343,1.035272e-01,7.567154e-01,8.679080e-01,Not_significant,8.400181e-01,2.670226e-01,3.223093e-01,1.317328e-01,9.289905e-01,0.000000e+00,1.097331e+00,5.562149e-01
76,AGIS_Os01g000760,-1.034709e+00, 0.3085908457,1.773585e+00,2.232345e-01,4.396781e-01,Not_significant,3.033399e+00,6.866294e-01,8.863504e-01,1.141684e+00,1.341875e+00,7.619440e-02,4.572211e-01,1.668645e+00
77,AGIS_Os01g000770, 7.448878e-02, 2.2044164130,5.466518e-02,8.215647e-01,9.051473e-01,Not_significant,2.706725e+00,4.882698e+00,5.318103e+00,4.786291e+00,3.819183e+00,5.981260e+00,5.029433e+00,3.615397e+00
78,AGIS_Os01g000780, 3.103217e-01, 5.7628327552,2.172956e+00,1.824996e-01,3.902466e-01,Not_significant,3.551410e+01,5.100131e+01,6.099703e+01,4.724816e+01,7.111938e+01,5.497426e+01,5.518659e+01,5.766095e+01
79,AGIS_Os01g000790, 2.955107e-01, 4.8515343868,2.307047e+00,1.711203e-01,3.762078e-01,Not_significant,1.871374e+01,2.246804e+01,3.307699e+01,3.021072e+01,2.694072e+01,3.565898e+01,2.935360e+01,3.383641e+01
81,AGIS_Os01g000810, 6.235298e-01, 5.7961018421,5.559921e+00,4.927311e-02,1.818130e-01,Not_significant,1.983376e+01,4.646192e+01,5.761278e+01,5.853327e+01,5.966183e+01,7.486100e+01,6.181630e+01,6.503079e+01
85,AGIS_Os01g000850,-2.958151e-01, 3.4257495712,1.399752e+00,2.740100e-01,4.933988e-01,Not_significant,1.815373e+01,9.498374e+00,8.098020e+00,1.207551e+01,9.599569e+00,9.752883e+00,7.315538e+00,1.079984e+01
87,AGIS_Os01g000870,-1.419728e-01, 3.0411457934,2.757587e-01,6.151017e-01,7.753407e-01,Not_significant,1.096690e+01,1.037573e+01,5.076371e+00,7.640502e+00,6.502934e+00,1.230540e+01,5.349487e+00,6.906335e+00
89,AGIS_Os01g000890, 1.596033e-01, 3.6658650906,2.370182e-01,6.407407e-01,7.927677e-01,Not_significant,4.900106e+00,1.541102e+01,1.567229e+01,1.128511e+01,9.496347e+00,2.525844e+01,9.875977e+00,8.853087e+00
90,AGIS_Os01g000900,-2.444577e-01, 3.5796474130,4.041858e-01,5.444727e-01,7.253443e-01,Not_significant,8.400181e+00,1.022315e+01,1.708239e+01,1.567620e+01,1.285104e+01,1.531507e+01,7.727037e+00,7.647955e+00
95,AGIS_Os01g000950, 6.357000e-01, 7.2192045108,3.380363e+00,1.071074e-01,2.889914e-01,Not_significant,4.284093e+01,1.412931e+02,1.733218e+02,1.387146e+02,1.757340e+02,1.910956e+02,1.505172e+02,1.778034e+02
96,AGIS_Os01g000960,-3.887345e-01, 3.8185336553,3.222099e+00,1.140183e-01,2.993442e-01,Not_significant,2.048711e+01,1.323669e+01,1.454420e+01,1.558838e+01,1.259298e+01,1.268637e+01,1.293936e+01,1.010457e+01
99,AGIS_Os01g000990,-4.102887e-01, 3.5716354326,1.834339e+00,2.163059e-01,4.322835e-01,Not_significant,8.166843e+00,1.560175e+01,1.607517e+01,1.427105e+01,1.248976e+01,9.448106e+00,1.079042e+01,7.555253e+00
100,AGIS_Os01g001000,-1.870697e+00, 5.6718427516,5.798690e+01,1.041576e-04,3.535657e-03,DOWN,1.115357e+02,5.073429e+01,5.281843e+01,1.007317e+02,1.821854e+01,1.558175e+01,1.325941e+01,4.426544e+01
101,AGIS_Os01g001010,-2.792816e-01, 4.8503151789,2.387489e+00,1.646500e-01,3.679010e-01,Not_significant,3.682080e+01,2.605377e+01,3.396334e+01,2.963988e+01,2.596012e+01,2.887768e+01,2.404983e+01,2.470521e+01
102,AGIS_Os01g001020,-8.469963e-01, 3.7627459679,1.804676e+01,3.464470e-03,3.429700e-02,Not_significant,1.521366e+01,1.583062e+01,1.619604e+01,2.182373e+01,7.741588e+00,9.714786e+00,8.184258e+00,1.316375e+01
104,AGIS_Os01g001040,-3.202367e+00, 0.1401130595,8.696685e+00,2.059614e-02,1.061175e-01,Not_significant,9.333535e-01,2.365057e+00,9.669278e-01,2.502923e+00,0.000000e+00,5.333608e-01,0.000000e+00,7.416199e-01
106,AGIS_Os01g001060, 1.970054e+00, 0.1531458661,3.975743e+00,8.497541e-02,2.533946e-01,Not_significant,3.733414e-01,8.392137e-01,8.460618e-01,0.000000e+00,1.341875e+00,2.514415e+00,1.188775e+00,1.066079e+00
107,AGIS_Os01g001070, 7.730608e-02, 6.6015987558,3.100265e-01,5.943335e-01,7.609898e-01,Not_significant,8.736189e+01,9.235166e+01,9.810288e+01,9.919479e+01,9.615052e+01,8.606157e+01,1.125678e+02,1.044294e+02
108,AGIS_Os01g001080, 2.339821e-01, 3.6582392339,8.462978e-01,3.871839e-01,6.012321e-01,Not_significant,8.866858e+00,1.197787e+01,1.402045e+01,1.058253e+01,1.584445e+01,1.032434e+01,1.897468e+01,9.733761e+00
109,AGIS_Os01g001090,-1.549570e+00, 2.3832942376,6.007122e+00,4.288501e-02,1.672244e-01,Not_significant,3.406740e+00,9.727250e+00,1.176429e+01,5.664510e+00,3.819183e+00,1.600082e+00,1.280219e+00,3.708099e+00
111,AGIS_Os01g001110, 3.276795e-01, 0.7373528556,3.780487e-01,5.573421e-01,7.344462e-01,Not_significant,5.600121e-01,3.280563e+00,1.087794e+00,1.053862e+00,8.257693e-01,2.438221e+00,1.417386e+00,1.900401e+00
112,AGIS_Os01g001120,-7.322596e-01, 4.2693211019,5.334493e+00,5.296450e-02,1.904340e-01,Not_significant,3.882751e+01,1.869158e+01,1.680037e+01,2.309715e+01,1.130272e+01,1.382928e+01,1.833457e+01,1.270024e+01
113,AGIS_Os01g001130,-5.210685e-01, 7.1409476663,8.826893e+00,1.995062e-02,1.041838e-01,Not_significant,2.084645e+02,1.388136e+02,1.437499e+02,1.761707e+02,1.013632e+02,1.152821e+02,1.075841e+02,1.369679e+02
114,AGIS_Os01g001140,-1.836999e-01, 1.2897860412,5.615580e-02,8.192350e-01,9.038153e-01,Not_significant,4.293426e+00,1.602135e+00,1.410103e+00,2.722478e+00,4.128847e-01,2.704901e+00,2.286106e+00,3.429992e+00
115,AGIS_Os01g001150, 7.770612e-02, 2.7126935568,6.425196e-02,8.069218e-01,8.964946e-01,Not_significant,5.133444e+00,6.294103e+00,5.600123e+00,7.684413e+00,3.870794e+00,7.695634e+00,9.235867e+00,6.211067e+00
116,AGIS_Os01g001160, 4.550724e-01, 3.8975539657,3.787511e+00,9.118011e-02,2.632019e-01,Not_significant,1.241360e+01,1.369444e+01,9.346968e+00,1.444670e+01,2.281188e+01,1.451503e+01,1.604846e+01,1.529591e+01
117,AGIS_Os01g001170,-1.940516e+00, 0.4967892023,8.768878e+00,2.010404e-02,1.046002e-01,Not_significant,2.333384e+00,1.411405e+00,2.578474e+00,2.019903e+00,3.096635e-01,8.381384e-01,5.029433e-01,5.562149e-01
118,AGIS_Os01g001180, 5.412690e-02, 6.2626462477,1.567489e-01,7.034971e-01,8.342264e-01,Not_significant,9.534206e+01,6.213996e+01,7.513834e+01,6.911580e+01,9.356999e+01,7.002265e+01,8.024231e+01,6.799727e+01
127,AGIS_Os01g001270, 1.065172e+00, 0.8763025482,3.397723e+00,1.062554e-01,2.878237e-01,Not_significant,4.666767e-01,1.068090e+00,1.450392e+00,1.712526e+00,2.064423e+00,3.390651e+00,1.920329e+00,1.900401e+00
128,AGIS_Os01g001280,-3.306244e-01, 1.6638776052,7.531099e-01,4.131392e-01,6.233386e-01,Not_significant,5.366783e+00,2.593933e+00,2.578474e+00,3.117676e+00,3.715962e+00,2.742998e+00,1.325941e+00,3.244587e+00
129,AGIS_Os01g001290, 1.180229e-01, 2.7334809894,1.647263e-01,6.964951e-01,8.298391e-01,Not_significant,4.573432e+00,6.446687e+00,7.896577e+00,5.620599e+00,4.438510e+00,4.724053e+00,1.101903e+01,7.787009e+00
130,AGIS_Os01g001300, 9.896379e-01, 3.8694605810,1.508105e+01,5.627893e-03,4.674558e-02,Not_significant,5.786792e+00,1.380888e+01,1.091823e+01,9.089563e+00,1.961202e+01,2.487747e+01,1.632279e+01,1.580577e+01
131,AGIS_Os01g001310, 7.216699e-01, 2.8461099219,6.671217e+00,3.508465e-02,1.478563e-01,Not_significant,3.453408e+00,6.103373e+00,5.358391e+00,6.894016e+00,8.206083e+00,9.333814e+00,9.327311e+00,8.157819e+00
132,AGIS_Os01g001320,-5.366435e-01, 3.1067546474,4.865852e+00,6.166325e-02,2.088693e-01,Not_significant,6.766813e+00,1.178714e+01,1.236862e+01,9.396939e+00,4.490121e+00,8.381384e+00,6.766873e+00,8.204170e+00
133,AGIS_Os01g001330,-2.317633e-01, 1.7491725134,2.494022e-01,6.322921e-01,7.875115e-01,Not_significant,2.053378e+00,2.975394e+00,5.156948e+00,3.249409e+00,1.238654e+00,6.095552e+00,2.377550e+00,2.966480e+00
136,AGIS_Os01g001360, 5.617658e-01, 1.8436087965,1.891030e+00,2.099933e-01,4.251274e-01,Not_significant,2.800060e+00,4.005338e+00,2.739629e+00,1.668615e+00,2.425697e+00,5.905066e+00,3.474881e+00,4.959583e+00
137,AGIS_Os01g001370,-2.998287e-01, 1.6282623529,2.196021e-01,6.531064e-01,8.008461e-01,Not_significant,9.800212e-01,3.318709e+00,3.988577e+00,5.357134e+00,3.406299e+00,3.543040e+00,1.645996e+00,1.761347e+00
139,AGIS_Os01g001390, 8.595590e-01, 0.8978919848,6.648917e-01,4.407977e-01,6.449106e-01,Not_significant,0.000000e+00,1.716574e+00,4.069154e+00,9.221295e-01,1.703149e+00,1.714374e+00,2.423272e+00,1.622294e+00
140,AGIS_Os01g001400,-6.802887e-01,-0.6955091098,5.769660e-01,4.713424e-01,6.693075e-01,Not_significant,8.400181e-01,9.536520e-01,3.223093e-01,3.512874e-01,6.193270e-01,7.238468e-01,3.657769e-01,4.635124e-02
144,AGIS_Os01g001440,-6.351874e-01,-0.3368264715,6.717638e-01,4.384023e-01,6.426910e-01,Not_significant,1.306695e+00,6.103373e-01,8.057731e-01,6.586640e-01,4.128847e-01,3.428748e-01,1.051609e+00,4.635124e-01
146,AGIS_Os01g001460, 2.867364e+00, 1.2455231687,9.939980e+00,1.536766e-02,8.885241e-02,Not_significant,0.000000e+00,8.392137e-01,9.669278e-01,6.586640e-01,3.767573e+00,6.819399e+00,2.560438e+00,2.642021e+00
147,AGIS_Os01g001470, 9.327701e-01, 0.8007423040,1.815452e+00,2.184405e-01,4.343229e-01,Not_significant,1.866707e-01,1.335113e+00,1.007216e+00,1.624704e+00,8.773799e-01,5.790774e+00,8.687202e-01,1.436889e+00
149,AGIS_Os01g001490, 1.400881e-01,-0.5278670717,1.724856e-02,8.990815e-01,9.496964e-01,Not_significant,1.866707e-01,9.155059e-01,8.057731e-01,2.634656e-01,6.193270e-01,1.523888e+00,9.144423e-02,3.708099e-01
157,AGIS_Os01g001570, 5.133893e-01, 3.0129348552,3.864474e+00,8.839237e-02,2.589153e-01,Not_significant,4.806771e+00,6.980733e+00,7.292247e+00,7.289214e+00,9.031852e+00,1.131487e+01,9.555922e+00,7.601604e+00
158,AGIS_Os01g001580, 2.345614e+00, 2.7723979709,4.546611e+01,2.281559e-04,5.993302e-03,UP,1.913375e+00,2.136180e+00,2.578474e+00,1.975992e+00,1.630894e+01,1.139106e+01,7.086928e+00,1.066079e+01
165,AGIS_Os01g001650, 7.585165e-01, 0.1758338507,8.275411e-01,3.922201e-01,6.055846e-01,Not_significant,1.400030e-01,1.411405e+00,1.571258e+00,4.830202e-01,1.238654e+00,1.257208e+00,1.097331e+00,1.112430e+00
168,AGIS_Os01g001680, 5.073049e-01, 5.3091056878,5.368972e+00,5.237714e-02,1.892929e-01,Not_significant,1.698703e+01,3.845125e+01,4.415637e+01,3.508483e+01,4.128847e+01,4.659288e+01,5.107160e+01,4.282855e+01
169,AGIS_Os01g001690, 1.525051e+00,-0.0881224575,1.278346e+00,2.942151e-01,5.151281e-01,Not_significant,0.000000e+00,9.917981e-01,8.863504e-01,2.195547e-01,1.290265e+00,2.057249e+00,2.286106e-01,1.112430e+00
171,AGIS_Os01g001710, 1.070287e+00, 0.7733800381,2.282584e+00,1.731223e-01,3.790068e-01,Not_significant,1.866707e-01,1.487697e+00,1.732412e+00,1.097773e+00,1.961202e+00,3.390651e+00,1.874607e+00,1.205132e+00
173,AGIS_Os01g001730, 8.822195e-01, 1.0719892665,3.408216e+00,1.056802e-01,2.870934e-01,Not_significant,5.600121e-01,1.258821e+00,2.256165e+00,1.932081e+00,1.754760e+00,2.781096e+00,2.789049e+00,2.781075e+00
178,AGIS_Os01g001780,-4.902699e-01, 0.9161459888,4.246699e-01,5.347197e-01,7.181348e-01,Not_significant,7.466828e-01,2.021742e+00,2.417319e+00,3.073765e+00,1.238654e+00,2.819193e+00,1.645996e+00,3.708099e-01
183,AGIS_Os01g001830, 1.112455e+00, 8.7163689916,4.883537e+01,1.773308e-04,5.094060e-03,UP,3.417007e+02,2.294105e+02,2.255359e+02,2.659246e+02,7.055167e+02,4.323270e+02,6.205405e+02,5.433756e+02
184,AGIS_Os01g001840, 3.647636e-01, 5.1375512866,1.628560e+00,2.412584e-01,4.594551e-01,Not_significant,1.502699e+01,3.177568e+01,4.439810e+01,3.574350e+01,4.077236e+01,4.137356e+01,3.941246e+01,3.239952e+01
185,AGIS_Os01g001850,-4.704745e-01, 3.5365537292,4.176226e+00,7.867363e-02,2.420522e-01,Not_significant,1.031356e+01,1.575433e+01,1.337583e+01,1.326110e+01,7.535145e+00,1.539127e+01,7.498427e+00,8.945790e+00
186,AGIS_Os01g001860,-7.833116e-01, 7.3702034965,1.341466e+01,7.563271e-03,5.665187e-02,Not_significant,2.621323e+02,1.618157e+02,1.802112e+02,2.333866e+02,9.222811e+01,1.298734e+02,1.096416e+02,1.535617e+02
187,AGIS_Os01g001870,-9.732914e-01, 2.9291369957,1.077793e+01,1.274392e-02,7.888189e-02,Not_significant,1.040689e+01,8.964329e+00,8.178597e+00,1.216333e+01,3.199856e+00,6.057455e+00,5.440932e+00,5.793905e+00
188,AGIS_Os01g001880,-7.271011e-01, 6.4242956586,1.202846e+01,9.868748e-03,6.693906e-02,Not_significant,1.575967e+02,7.617772e+01,9.395315e+01,1.056936e+02,5.718453e+01,5.886017e+01,6.492540e+01,7.198348e+01
189,AGIS_Os01g001890,-4.051382e-01, 3.9461514793,1.150220e+00,3.178963e-01,5.386583e-01,Not_significant,3.080067e+01,1.022315e+01,1.055563e+01,2.068205e+01,8.412525e+00,9.905272e+00,1.380808e+01,1.826239e+01
190,AGIS_Os01g001900,-7.198475e-01, 6.0070384082,1.979259e+01,2.712180e-03,2.919099e-02,Not_significant,9.459538e+01,6.465760e+01,6.373665e+01,9.761400e+01,4.521087e+01,4.914539e+01,3.858946e+01,6.025662e+01
192,AGIS_Os01g001920,-5.897291e-02, 4.7954169607,1.011916e-01,7.593541e-01,8.692843e-01,Not_significant,3.742748e+01,2.410832e+01,2.328684e+01,2.911295e+01,2.797294e+01,2.811573e+01,2.697605e+01,2.447346e+01
