,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2LPmock_1,CPM.pho2LPmock_2,CPM.pho2LPmock_3,CPM.pho2LPmock_4,CPM.pho2LPmyc_1,CPM.pho2LPmyc_2,CPM.pho2LPmyc_3,CPM.pho2LPmyc_4
2777,AGIS_Os01g027770,-1.933163e-01, 5.5750560943,1.545893e+00,2.522275e-01,4.707775e-01,Not_significant,6.136799e+01,4.817850e+01,4.447868e+01,4.957544e+01,4.433349e+01,4.011635e+01,4.521917e+01,4.741732e+01
2779,AGIS_Os01g027790,-6.328215e-01, 2.8929519498,4.271879e+00,7.615643e-02,2.374306e-01,Not_significant,4.666767e+00,8.392137e+00,1.144198e+01,1.189986e+01,5.419111e+00,4.990733e+00,5.349487e+00,6.535525e+00
2782,AGIS_Os01g027820, 8.826844e-01, 1.4682138444,6.326635e-01,4.516292e-01,6.537873e-01,Not_significant,0.000000e+00,3.852754e+00,3.746845e+00,1.141684e+00,4.386900e+00,4.228789e+00,2.743327e+00,1.297835e+00
2794,AGIS_Os01g027940,-2.007102e-01, 4.8471200137,1.380744e+00,2.769133e-01,4.960446e-01,Not_significant,2.193381e+01,3.131793e+01,3.404391e+01,3.596305e+01,2.198611e+01,3.082063e+01,2.848488e+01,2.498332e+01
2796,AGIS_Os01g027960,-3.648006e-02, 4.5732738334,3.180229e-02,8.633431e-01,9.289182e-01,Not_significant,3.411407e+01,2.178141e+01,1.740470e+01,2.331670e+01,2.931481e+01,1.851524e+01,2.569583e+01,1.965293e+01
2797,AGIS_Os01g027970, 6.475653e-01,-0.4877042076,4.012069e-01,5.459205e-01,7.264394e-01,Not_significant,0.000000e+00,3.814608e-01,1.168371e+00,7.025749e-01,2.580529e-01,7.238468e-01,1.371663e+00,3.708099e-01
2800,AGIS_Os01g028000,-4.236799e-02, 1.6669222197,1.092809e-02,9.195634e-01,9.602692e-01,Not_significant,4.526764e+00,2.899102e+00,2.457608e+00,2.678567e+00,2.838582e+00,2.019152e+00,3.749213e+00,3.569046e+00
2803,AGIS_Os01g028030, 1.066681e-01, 3.5852504002,2.091808e-01,6.607367e-01,8.056632e-01,Not_significant,1.106024e+01,1.350371e+01,1.325497e+01,8.386988e+00,1.125111e+01,1.325783e+01,1.147625e+01,1.311740e+01
2806,AGIS_Os01g028060, 7.011793e-02, 4.4132301939,1.071411e-01,7.526710e-01,8.652634e-01,Not_significant,1.591368e+01,1.964523e+01,2.856466e+01,1.945254e+01,2.410214e+01,2.190589e+01,2.158084e+01,1.858685e+01
2817,AGIS_Os01g028170, 6.534829e-01, 3.5878220420,1.446127e+00,2.669460e-01,4.859878e-01,Not_significant,1.586701e+00,1.148197e+01,1.796874e+01,1.075818e+01,1.347036e+01,1.386738e+01,1.618563e+01,1.015092e+01
