GeneID	pho2LPmock_1	pho2LPmock_2	pho2LPmock_3	pho2LPmock_4	pho2LPmyc_1	pho2LPmyc_2	pho2LPmyc_3	pho2LPmyc_4
AGIS_Os01g001070	1872	2421	2435	2259	1863	2259	2462	2253
AGIS_Os01g001080	190	314	348	241	307	271	415	210
AGIS_Os01g001090	73	255	292	129	74	42	28	80
AGIS_Os01g001100	0	0	0	0	0	2	0	0
AGIS_Os01g001110	12	86	27	24	16	64	31	41
AGIS_Os01g001120	832	490	417	526	219	363	401	274
AGIS_Os01g001130	4467	3639	3568	4012	1964	3026	2353	2955
AGIS_Os01g001140	92	42	35	62	8	71	50	74
AGIS_Os01g001150	110	165	139	175	75	202	202	134
AGIS_Os01g001160	266	359	232	329	442	381	351	330
AGIS_Os01g001170	50	37	64	46	6	22	11	12
AGIS_Os01g001180	2043	1629	1865	1574	1813	1838	1755	1467
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	0	0	6	0	9	4	8	0
AGIS_Os01g001240	0	0	0	0	0	0	0	0
AGIS_Os01g001250	0	0	0	0	0	1	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	10	28	36	39	40	89	42	41
AGIS_Os01g001280	115	68	64	71	72	72	29	70
AGIS_Os01g001290	98	169	196	128	86	124	241	168
AGIS_Os01g001300	124	362	271	207	380	653	357	341
AGIS_Os01g001310	74	160	133	157	159	245	204	176
AGIS_Os01g001320	145	309	307	214	87	220	148	177
AGIS_Os01g001330	44	78	128	74	24	160	52	64
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	60	105	68	38	47	155	76	107
AGIS_Os01g001370	21	87	99	122	66	93	36	38
AGIS_Os01g001380	0	0	0	0	0	0	0	0
AGIS_Os01g001390	0	45	101	21	33	45	53	35
AGIS_Os01g001400	18	25	8	8	12	19	8	1
AGIS_Os01g001410	0	4	16	2	5	0	41	0
AGIS_Os01g001420	0	2	6	6	4	2	8	10
AGIS_Os01g001430	0	0	0	0	0	8	0	8
AGIS_Os01g001440	28	16	20	15	8	9	23	10
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	0	22	24	15	73	179	56	57
AGIS_Os01g001470	4	35	25	37	17	152	19	31
AGIS_Os01g001480	0	6	0	0	4	16	8	0
AGIS_Os01g001490	4	24	20	6	12	40	2	8
AGIS_Os01g001500	0	8	12	2	6	31	2	4
AGIS_Os01g001510	0	0	0	0	0	0	0	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	0	0	0	0
AGIS_Os01g001540	0	0	1	0	0	4	0	6
AGIS_Os01g001550	4	1	4	0	0	0	0	0
AGIS_Os01g001560	0	0	0	0	0	0	0	0
AGIS_Os01g001570	103	183	181	166	175	297	209	164
AGIS_Os01g001580	41	56	64	45	316	299	155	230
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	10	1	0	0	12	38	0	2
AGIS_Os01g001640	0	0	0	0	0	0	0	6
AGIS_Os01g001650	3	37	39	11	24	33	24	24
AGIS_Os01g001660	0	0	0	0	2	0	0	0
AGIS_Os01g001670	4	0	0	0	0	0	0	1
AGIS_Os01g001680	364	1008	1096	799	800	1223	1117	924
AGIS_Os01g001690	0	26	22	5	25	54	5	24
AGIS_Os01g001700	0	0	0	0	0	5	1	2
AGIS_Os01g001710	4	39	43	25	38	89	41	26
AGIS_Os01g001720	0	13	1	12	0	9	14	0
AGIS_Os01g001730	12	33	56	44	34	73	61	60
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	0	0	0	0	0	0	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	16	53	60	70	24	74	36	8
AGIS_Os01g001790	0	7	0	10	0	10	14	7
AGIS_Os01g001800	2	5	10	7	4	9	0	23
AGIS_Os01g001810	0	1	10	10	12	6	0	0
AGIS_Os01g001820	4	13	9	4	7	17	0	10
AGIS_Os01g001830	7322	6014	5598	6056	13670	11348	13572	11723
AGIS_Os01g001840	322	833	1102	814	790	1086	862	699
AGIS_Os01g001850	221	413	332	302	146	404	164	193
AGIS_Os01g001860	5617	4242	4473	5315	1787	3409	2398	3313
AGIS_Os01g001870	223	235	203	277	62	159	119	125
AGIS_Os01g001880	3377	1997	2332	2407	1108	1545	1420	1553
AGIS_Os01g001890	660	268	262	471	163	260	302	394
AGIS_Os01g001900	2027	1695	1582	2223	876	1290	844	1300
AGIS_Os01g001910	16	6	4	4	0	14	0	3
AGIS_Os01g001920	802	632	578	663	542	738	590	528
AGIS_Os01g001930	0	0	0	0	0	0	0	0
AGIS_Os01g001940	0	2	2	8	48	34	36	13
AGIS_Os01g001950	0	0	0	0	0	0	0	0
AGIS_Os01g001960	0	0	0	0	0	0	0	0
AGIS_Os01g001970	6	186	221	147	164	222	149	161
AGIS_Os01g001980	402	644	453	394	718	988	738	912
AGIS_Os01g001990	77	78	87	161	37	55	104	86
AGIS_Os01g002000	204	258	163	218	276	221	262	181
AGIS_Os01g002010	844	1136	1072	929	1078	1387	1227	1030
AGIS_Os01g002020	2333	5047	4650	4057	4349	5019	5149	4878
AGIS_Os01g002030	159	113	164	174	42	106	66	149
AGIS_Os01g002040	1074	1050	1119	874	1007	1145	1119	892
AGIS_Os01g002050	733	690	692	655	460	590	461	384
AGIS_Os01g002060	897	1465	1460	1166	1364	1415	1139	1105
AGIS_Os01g002070	142	291	217	166	226	803	421	385
AGIS_Os01g002080	612	788	779	748	507	2051	862	906
AGIS_Os01g002090	500	460	608	692	525	570	458	510
AGIS_Os01g002100	0	0	0	0	0	0	0	0
AGIS_Os01g002110	0	18	0	0	6	5	16	6
AGIS_Os01g002120	1	0	0	0	0	0	0	0
AGIS_Os01g002130	0	0	0	0	0	0	0	0
AGIS_Os01g002140	0	0	0	0	0	0	0	0
AGIS_Os01g002150	0	0	0	0	0	0	0	0
AGIS_Os01g002160	0	0	0	0	0	0	0	0
AGIS_Os01g002170	0	0	0	0	0	0	0	0
AGIS_Os01g002180	0	0	0	0	0	0	0	0
AGIS_Os01g002190	0	0	0	0	0	0	0	0
AGIS_Os01g002200	0	0	0	0	0	0	0	0
AGIS_Os01g002210	12	4	0	0	0	0	1	0
AGIS_Os01g002220	0	0	0	0	0	0	0	0
AGIS_Os01g002230	0	0	0	0	0	0	0	0
AGIS_Os01g002240	0	0	0	0	0	0	0	0
AGIS_Os01g002250	0	0	0	0	0	0	0	0
AGIS_Os01g002260	0	0	0	0	0	0	0	16
AGIS_Os01g002270	111	96	198	99	140	79	30	65
AGIS_Os01g002280	6194	4815	3419	5539	2697	2962	3508	2599
AGIS_Os01g002290	3245	2270	1155	3687	1270	1101	2536	2414
AGIS_Os01g002300	0	2	24	0	0	4	0	0
AGIS_Os01g002310	0	0	2	0	9	0	0	0
AGIS_Os01g002320	627	529	764	138	211	200	326	217
AGIS_Os01g002330	0	0	0	0	0	0	0	0
AGIS_Os01g002340	0	0	0	0	0	0	0	0
AGIS_Os01g002350	0	0	0	0	12	2	0	0
AGIS_Os01g002360	0	0	0	0	0	0	0	0
AGIS_Os01g002370	0	0	0	0	0	0	0	0
AGIS_Os01g002380	0	0	0	0	0	0	0	0
AGIS_Os01g002390	0	0	0	0	0	0	0	0
AGIS_Os01g002400	0	7	10	7	2	20	0	8
AGIS_Os01g002410	698	595	515	614	269	419	353	472
AGIS_Os01g002420	30	158	114	146	132	249	163	210
AGIS_Os01g002430	1669	1297	1191	1305	701	914	953	1008
AGIS_Os01g002440	849	1560	1696	1605	1394	1810	1503	1549
AGIS_Os01g002450	399	295	128	331	74	124	168	254
AGIS_Os01g002460	0	0	0	0	0	0	0	0
AGIS_Os01g002470	0	0	0	2	0	0	0	0
AGIS_Os01g002480	48	49	23	24	56	2	13	30
AGIS_Os01g002490	0	0	0	0	0	0	0	0
AGIS_Os01g002500	0	0	0	0	0	0	0	0
AGIS_Os01g002510	0	0	0	0	0	0	0	0
AGIS_Os01g002520	0	0	0	0	0	0	0	0
AGIS_Os01g002530	3974	1141	1400	2546	1038	841	925	1207
AGIS_Os01g002540	3368	1417	1694	1095	817	793	408	651
AGIS_Os01g002550	11207	6457	4500	8215	629	639	804	993
AGIS_Os01g002560	290	718	763	773	604	748	754	576
AGIS_Os01g002570	11	44	51	51	8	82	41	12
AGIS_Os01g002580	0	0	0	0	0	6	0	0
AGIS_Os01g002590	9089	7617	2974	6284	1139	2008	4094	3064
AGIS_Os01g002600	443	784	631	553	661	1524	966	916
AGIS_Os01g002610	141	282	266	192	476	761	481	662
AGIS_Os01g002620	259	221	243	138	56	30	54	46
AGIS_Os01g002630	359	355	607	512	1145	1742	1267	1418
AGIS_Os01g002640	1833	2835	3721	2312	1438	2012	1688	1683
AGIS_Os01g002650	236	325	153	325	96	185	195	219
AGIS_Os01g002660	2103	2941	2686	2598	1876	2533	2464	2250
AGIS_Os01g002670	0	0	0	0	0	0	0	0
AGIS_Os01g002680	0	0	0	0	0	0	0	0
AGIS_Os01g002690	0	0	0	0	0	0	0	0
AGIS_Os01g002700	0	0	0	0	0	0	0	0
AGIS_Os01g002710	60	131	220	133	183	217	122	158
AGIS_Os01g002720	484	1855	2398	1407	1704	2189	1880	1654
AGIS_Os01g002730	0	10	0	1	0	2	0	8
AGIS_Os01g002740	0	0	0	0	0	0	0	0
AGIS_Os01g002750	0	0	0	0	0	0	0	0
AGIS_Os01g002760	269	157	141	142	111	158	85	106
AGIS_Os01g002770	0	0	0	0	0	0	0	0
AGIS_Os01g002780	399	141	255	63	108	242	50	33
AGIS_Os01g002790	11	8	4	30	0	8	10	1
AGIS_Os01g002800	3057	2070	2222	1749	1718	1767	1333	1270
AGIS_Os01g002810	0	0	0	0	0	0	0	0
AGIS_Os01g002820	517	613	378	369	93	390	249	226
AGIS_Os01g002830	411	567	213	595	78	384	219	290
AGIS_Os01g002840	0	0	0	0	0	0	0	0
AGIS_Os01g002850	0	0	0	0	0	0	0	0
AGIS_Os01g002860	62	50	53	59	6	37	32	7
AGIS_Os01g002870	0	0	0	0	0	0	0	0
AGIS_Os01g002880	0	0	6	0	0	0	0	0
AGIS_Os01g002890	0	0	0	0	0	0	0	0
AGIS_Os01g002900	1489	1072	1076	835	777	1348	962	1146
AGIS_Os01g002910	10906	8783	8978	7642	7383	7710	7450	7128
AGIS_Os01g002920	151	161	148	151	208	256	171	186
AGIS_Os01g002930	0	5	6	0	0	1	1	12
AGIS_Os01g002940	1729	725	888	1247	236	252	299	1086
AGIS_Os01g002950	0	2	14	0	8	0	0	8
AGIS_Os01g002960	11	4	20	20	14	0	26	20
AGIS_Os01g002970	0	0	0	0	0	0	0	0
AGIS_Os01g002980	238	205	248	101	49	233	132	207
AGIS_Os01g002990	134	202	109	123	109	150	127	208
AGIS_Os01g003000	4117	2738	2493	2793	1531	1957	1872	1809
AGIS_Os01g003010	83	20	63	13	10	32	25	36
AGIS_Os01g003020	0	0	0	0	0	0	0	0
AGIS_Os01g003030	0	0	0	0	0	0	0	0
AGIS_Os01g003040	143	216	165	283	90	175	78	90
AGIS_Os01g003050	223	136	66	136	35	85	120	178
AGIS_Os01g003060	0	0	0	0	0	0	0	0
AGIS_Os01g003070	2895	3775	3789	3879	4547	5443	4847	4581
AGIS_Os01g003080	333	558	529	623	748	1024	682	612
