,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmockLP_1,CPM.WTmockLP_2,CPM.WTmockLP_3,CPM.WTmockLP_4,CPM.WTmockHP_1,CPM.WTmockHP_2,CPM.WTmockHP_3,CPM.WTmockHP_4
1,AGIS_Os01g000010,-1.127959e+00, 2.4083719339, 1.996826e+00,1.945130e-01,0.5357991269,Not_significant,7.174774e+00,4.594399e+00,6.008480e+00,6.272846e+00,5.822115e-01,6.565401e+00,1.145540e+00,9.809354e+00
2,AGIS_Os01g000020, 2.526836e+00,-1.1232248258, 3.667401e+00,9.094526e-02,0.3996496654,Not_significant,0.000000e+00,1.064339e-01,1.189798e-01,4.689978e-01,4.990384e-01,3.067944e-01,1.101481e+00,7.898441e-01
3,AGIS_Os01g000030, 1.064119e+00, 1.7984461062, 8.752687e+00,1.752071e-02,0.1867131931,Not_significant,1.875758e+00,1.791638e+00,3.554522e+00,1.817367e+00,3.472476e+00,5.875114e+00,5.221021e+00,3.923742e+00
4,AGIS_Os01g000040,-1.107602e-02, 4.3052308658, 1.905191e-03,9.662297e-01,0.9878772628,Not_significant,2.058644e+01,1.566353e+01,2.227897e+01,2.028416e+01,1.505433e+01,2.388395e+01,1.709499e+01,2.302013e+01
5,AGIS_Os01g000050,-1.044198e+00, 2.8086656953, 1.136635e+01,9.319165e-03,0.1358751007,Not_significant,9.167766e+00,1.004027e+01,8.328587e+00,9.399498e+00,2.599158e+00,6.227927e+00,4.053451e+00,5.949309e+00
6,AGIS_Os01g000060,-7.781280e-02, 6.0097647074, 1.142507e-01,7.437877e-01,0.8953378595,Not_significant,5.789058e+01,6.182038e+01,7.275615e+01,6.962664e+01,7.733016e+01,5.167952e+01,7.587002e+01,4.823145e+01
7,AGIS_Os01g000070,-4.308406e-01, 1.7570681450, 1.161727e+00,3.116186e-01,0.6385787359,Not_significant,3.751516e+00,5.410392e+00,3.688374e+00,2.344989e+00,1.642668e+00,4.279783e+00,2.224992e+00,3.401425e+00
8,AGIS_Os01g000080,-3.238698e-01, 4.9664012578, 1.818730e+00,2.135011e-01,0.5542344625,Not_significant,3.842959e+01,3.136254e+01,3.102399e+01,3.730487e+01,1.958726e+01,3.308778e+01,2.923331e+01,2.979750e+01
11,AGIS_Os01g000110,-3.897735e+00,-2.0091116131, 3.307472e+00,1.056334e-01,0.4211457733,Not_significant,2.813637e-01,3.902578e-01,2.677046e-01,1.367910e-01,0.000000e+00,6.135889e-01,0.000000e+00,0.000000e+00
12,AGIS_Os01g000120, 3.597125e-01,-0.7782186433, 2.758223e-02,8.721245e-01,0.9498746535,Not_significant,4.923864e-01,0.000000e+00,9.964559e-01,3.712899e-01,0.000000e+00,8.283450e-01,5.287110e-01,1.121069e+00
13,AGIS_Os01g000130, 6.060409e-01, 1.9565304439, 2.747554e+00,1.347316e-01,0.4651586535,Not_significant,2.133675e+00,2.536676e+00,3.851971e+00,3.830149e+00,5.489423e+00,4.509878e+00,3.833154e+00,4.573452e+00
14,AGIS_Os01g000140, 6.945534e-01, 3.0063531452, 6.877857e+00,2.967065e-02,0.2477759634,Not_significant,6.049319e+00,4.612138e+00,7.123916e+00,6.722302e+00,1.170661e+01,8.835680e+00,1.050813e+01,8.446236e+00
16,AGIS_Os01g000160,-2.522596e-01, 3.3536326412, 3.423885e-01,5.742288e-01,0.8126598103,Not_significant,1.334133e+01,7.663244e+00,1.100563e+01,1.047428e+01,4.158653e+00,1.363701e+01,6.917302e+00,1.428089e+01
17,AGIS_Os01g000170, 6.678688e-03, 2.5585505371, 4.306974e-04,9.839344e-01,0.9943381946,Not_significant,6.846516e+00,3.991273e+00,6.410037e+00,6.194680e+00,5.946874e+00,7.056272e+00,5.859880e+00,4.547973e+00
18,AGIS_Os01g000180,-2.812682e+00, 2.3376258096, 8.202907e+01,1.418898e-05,0.0026910291,DOWN,5.603826e+00,1.078531e+01,8.016265e+00,1.066970e+01,7.069711e-01,1.764068e+00,1.145540e+00,1.465033e+00
19,AGIS_Os01g000190,-3.792720e+00, 4.3774834738, 5.563344e+01,6.396487e-05,0.0068078925,DOWN,3.385743e+01,4.101255e+01,3.267483e+01,4.447663e+01,1.497115e+00,1.043101e+00,6.410620e+00,5.044811e+00
20,AGIS_Os01g000200,-1.085598e+00, 1.7856598220, 9.958237e+00,1.291569e-02,0.1603027066,Not_significant,4.079773e+00,3.938056e+00,4.655085e+00,5.823390e+00,1.621875e+00,2.024843e+00,2.973999e+00,2.191180e+00
28,AGIS_Os01g000280,-6.850378e-01,-0.9059013055, 1.923827e-01,6.722894e-01,0.8625144263,Not_significant,3.751516e-01,2.838239e-01,5.056642e-01,8.207462e-01,6.030048e-01,1.104460e+00,0.000000e+00,2.802673e-01
30,AGIS_Os01g000300, 3.193275e-01, 2.5537278007, 9.720268e-01,3.521648e-01,0.6712061611,Not_significant,5.134887e+00,4.275097e+00,5.443326e+00,5.373933e+00,9.024278e+00,5.414922e+00,8.195020e+00,3.847305e+00
31,AGIS_Os01g000310,-9.675135e-01, 2.4503515971, 1.085044e+01,1.045313e-02,0.1440144450,Not_significant,7.737501e+00,5.676477e+00,8.179862e+00,7.132675e+00,2.952644e+00,3.359399e+00,4.538102e+00,3.872784e+00
32,AGIS_Os01g000320, 4.834385e-02, 5.1848406695, 5.054611e-02,8.275680e-01,0.9321186086,Not_significant,3.432637e+01,3.899030e+01,3.704734e+01,3.085615e+01,2.813329e+01,3.844134e+01,5.150526e+01,3.141541e+01
33,AGIS_Os01g000330,-7.694450e-01, 2.6007600595, 3.284536e+00,1.066669e-01,0.4231118958,Not_significant,6.260342e+00,7.610027e+00,6.781849e+00,7.367174e+00,2.162500e+00,6.810837e+00,2.026725e+00,9.197862e+00
35,AGIS_Os01g000350, 6.668919e-02, 0.4049923568, 1.327949e-02,9.110048e-01,0.9660398999,Not_significant,1.735076e+00,1.880333e+00,5.651541e-01,1.016162e+00,1.912981e+00,7.976656e-01,1.057422e+00,1.363118e+00
36,AGIS_Os01g000360, 1.646334e+00, 2.9841849999, 3.169133e+01,4.364722e-04,0.0215361770,UP,2.274356e+00,6.102213e+00,3.584267e+00,3.791066e+00,1.018870e+01,1.362167e+01,9.428679e+00,1.400062e+01
37,AGIS_Os01g000370,-1.320471e-01, 1.5949318854, 1.475280e-01,7.105904e-01,0.8794887218,Not_significant,3.048106e+00,2.714066e+00,3.599139e+00,3.126652e+00,2.370432e+00,3.021925e+00,3.084147e+00,2.917327e+00
38,AGIS_Os01g000380, 8.068391e-01, 1.5863822159, 1.372415e+00,2.743722e-01,0.6084688045,Not_significant,1.453712e+00,7.805156e-01,2.409341e+00,4.006023e+00,7.381610e+00,3.758232e+00,1.652222e+00,2.305835e+00
39,AGIS_Os01g000390, 3.954382e-01, 4.9850388506, 3.849564e+00,8.418676e-02,0.3879208750,Not_significant,2.515860e+01,2.501198e+01,3.197582e+01,2.712371e+01,3.925769e+01,3.316448e+01,3.998377e+01,3.140267e+01
40,AGIS_Os01g000400,-1.806903e+00, 0.6845588680, 2.520522e+00,1.501874e-01,0.4827327715,Not_significant,1.735076e+00,1.951289e+00,1.531865e+00,2.618571e+00,2.495192e-01,2.024843e+00,0.000000e+00,2.433229e+00
41,AGIS_Os01g000410, 5.756678e-01, 3.4740753999, 4.737660e+00,6.007409e-02,0.3353203967,Not_significant,8.089206e+00,6.102213e+00,1.079742e+01,1.086512e+01,1.166502e+01,1.306944e+01,1.698484e+01,1.104508e+01
42,AGIS_Os01g000420,-3.491432e-01, 2.4085995994, 1.236664e+00,2.973741e-01,0.6272382086,Not_significant,5.955531e+00,4.718572e+00,6.276185e+00,6.605053e+00,4.137860e+00,5.246185e+00,5.683643e+00,3.579777e+00
43,AGIS_Os01g000430, 1.507372e-01, 3.8354816707, 4.763439e-01,5.089728e-01,0.7751571014,Not_significant,1.334133e+01,1.188512e+01,1.631511e+01,1.254569e+01,1.574050e+01,1.518633e+01,1.608162e+01,1.282860e+01
44,AGIS_Os01g000440, 3.334768e-01, 4.3293403617, 2.134060e+00,1.809590e-01,0.5204313382,Not_significant,2.218084e+01,1.388963e+01,1.662743e+01,1.838862e+01,2.703125e+01,2.419074e+01,2.050958e+01,1.773327e+01
45,AGIS_Os01g000450,-4.078504e-01, 2.0170425424, 1.189535e+00,3.062577e-01,0.6343062180,Not_significant,2.790190e+00,6.616644e+00,3.524777e+00,5.373933e+00,4.200240e+00,4.034347e+00,1.828459e+00,3.719911e+00
47,AGIS_Os01g000470, 2.608262e-01, 7.0876291528, 9.253248e-01,3.636371e-01,0.6792261375,Not_significant,1.025336e+02,1.144165e+02,1.276505e+02,1.442559e+02,2.057910e+02,1.244818e+02,1.590759e+02,1.096482e+02
50,AGIS_Os01g000500,-5.970428e-01, 1.4662682287, 1.236779e+00,2.976910e-01,0.6272910244,Not_significant,3.634281e+00,2.838239e+00,3.227327e+00,2.599030e+00,9.149038e-01,3.175323e+00,1.321777e+00,4.089354e+00
52,AGIS_Os01g000520,-2.857738e-01, 2.7544353066, 3.822441e-01,5.532178e-01,0.8023549901,Not_significant,7.901630e+00,6.492471e+00,6.766977e+00,5.882014e+00,3.514062e+00,7.945976e+00,2.643555e+00,1.252285e+01
53,AGIS_Os01g000530, 9.863825e-01, 4.9377835435, 2.137838e+01,1.556771e-03,0.0467121816,Not_significant,2.030508e+01,2.045306e+01,2.039017e+01,2.022553e+01,5.154651e+01,4.180074e+01,3.751645e+01,3.267661e+01
57,AGIS_Os01g000570,-5.656717e-01, 2.1390983338, 1.308384e+00,2.850392e-01,0.6170041798,Not_significant,5.181781e+00,4.736311e+00,4.089931e+00,4.924477e+00,1.185216e+00,4.617256e+00,2.180933e+00,8.013096e+00
58,AGIS_Os01g000580,-6.896988e-01, 2.4175503830, 1.358270e+00,2.766787e-01,0.6099947252,Not_significant,5.392804e+00,6.616644e+00,4.179166e+00,6.859093e+00,5.822115e-01,5.476281e+00,3.348503e+00,9.974966e+00
61,AGIS_Os01g000610,-5.967988e-01,-1.6935814909, 2.455829e-01,6.330935e-01,0.8426135770,Not_significant,1.641288e-01,1.596509e-01,4.759192e-01,5.080810e-01,8.317307e-02,2.761150e-01,3.965332e-01,1.273942e-01
62,AGIS_Os01g000620,-1.825649e+00, 0.4111593235, 3.192580e+00,1.109448e-01,0.4293471717,Not_significant,1.359924e+00,2.359286e+00,1.502120e+00,2.110490e+00,0.000000e+00,1.135139e+00,1.189600e+00,7.006681e-01
63,AGIS_Os01g000630, 9.628724e-01, 4.4675129154, 2.275176e+01,1.282458e-03,0.0416773036,Not_significant,1.371648e+01,1.412024e+01,1.811468e+01,1.408948e+01,2.615793e+01,2.866994e+01,3.291226e+01,2.891848e+01
64,AGIS_Os01g000640,-1.741199e-01, 5.5313803862, 3.644601e-01,5.623952e-01,0.8069481847,Not_significant,4.117288e+01,4.768241e+01,5.035820e+01,5.063222e+01,7.481418e+01,3.113964e+01,3.960926e+01,3.432000e+01
65,AGIS_Os01g000650, 7.470897e-01, 1.7123418316, 2.455542e+00,1.548992e-01,0.4887584146,Not_significant,2.344697e+00,1.206251e+00,4.714575e+00,1.328827e+00,8.670793e+00,2.623093e+00,3.084147e+00,1.974610e+00
66,AGIS_Os01g000660, 6.542974e-01, 5.6447306634, 4.523903e+00,6.534023e-02,0.3484297258,Not_significant,2.743296e+01,4.610364e+01,3.982849e+01,3.904407e+01,9.490047e+01,4.775256e+01,5.196788e+01,5.293229e+01
67,AGIS_Os01g000670, 4.863635e-01, 2.6095593869, 2.724385e+00,1.361732e-01,0.4670984951,Not_significant,4.876970e+00,7.006902e+00,4.491488e+00,3.966940e+00,5.572596e+00,7.639182e+00,8.503434e+00,6.484365e+00
68,AGIS_Os01g000680, 1.121003e+00, 0.3920719068, 4.462126e+00,6.648181e-02,0.3496592148,Not_significant,9.847729e-01,8.159936e-01,5.502816e-01,8.207462e-01,2.412019e+00,1.058441e+00,1.630192e+00,1.949131e+00
69,AGIS_Os01g000690,-3.743637e-01, 0.9811361037, 4.532522e-01,5.193501e-01,0.7813910232,Not_significant,2.579167e+00,1.401380e+00,2.171382e+00,2.188657e+00,1.185216e+00,2.577073e+00,7.269776e-01,2.662539e+00
70,AGIS_Os01g000700, 3.906302e-01, 4.8231193198, 2.766302e+00,1.336966e-01,0.4633951694,Not_significant,2.150087e+01,2.506519e+01,2.483704e+01,2.532588e+01,3.680408e+01,2.762684e+01,4.104119e+01,2.398833e+01
71,AGIS_Os01g000710,-1.585251e+00, 6.8310145451, 3.483632e+01,3.305975e-04,0.0179945833,DOWN,1.867317e+02,1.595090e+02,1.468062e+02,1.851564e+02,4.033894e+01,5.036031e+01,8.023189e+01,6.141675e+01
72,AGIS_Os01g000720,-2.310974e-01, 3.7776598541, 9.475582e-01,3.579320e-01,0.6750432840,Not_significant,1.538121e+01,1.514910e+01,1.344472e+01,1.481251e+01,9.294591e+00,1.414322e+01,1.359228e+01,1.361844e+01
74,AGIS_Os01g000740, 1.100456e+00, 3.0111883279, 1.796037e+01,2.635418e-03,0.0650176937,Not_significant,5.978978e+00,5.445870e+00,5.101259e+00,3.986482e+00,1.085409e+01,1.041567e+01,1.260094e+01,9.834833e+00
75,AGIS_Os01g000750, 1.152916e+00,-0.8650795268, 1.080185e+00,3.280664e-01,0.6513035711,Not_significant,9.378789e-02,6.740817e-01,3.123220e-01,3.126652e-01,7.901442e-01,2.761150e-01,7.490072e-01,8.917594e-01
76,AGIS_Os01g000760,-2.307417e+00,-0.6252096067, 1.924793e+00,2.019384e-01,0.5428253343,Not_significant,2.579167e-01,1.277207e+00,6.246440e-01,8.598293e-01,1.559495e+00,1.073781e-01,0.000000e+00,2.293096e-01
77,AGIS_Os01g000770,-1.205587e+00, 0.9339597323, 2.639541e+00,1.420381e-01,0.4722155714,Not_significant,1.406818e+00,1.969028e+00,2.825771e+00,2.911695e+00,8.317307e-02,2.715131e+00,9.693034e-01,2.089265e+00
78,AGIS_Os01g000780,-9.591831e-01, 4.0104599273, 1.169892e+01,8.777939e-03,0.1316202870,Not_significant,1.899205e+01,2.164157e+01,1.881368e+01,2.298089e+01,5.822115e+00,1.362167e+01,8.459375e+00,1.830655e+01
79,AGIS_Os01g000790,-6.667750e-02, 3.1527834980, 3.935713e-02,8.475825e-01,0.9398397606,Not_significant,1.055114e+01,6.634383e+00,8.536801e+00,1.010299e+01,4.803245e+00,1.053839e+01,9.186353e+00,1.051002e+01
81,AGIS_Os01g000810,-5.568834e-02, 3.5422216213, 1.695927e-02,8.995304e-01,0.9617830054,Not_significant,1.402129e+01,9.153319e+00,1.155591e+01,1.035704e+01,4.387379e+00,1.382109e+01,1.037595e+01,1.922379e+01
85,AGIS_Os01g000850, 1.620126e-01, 2.8363871580, 1.808557e-01,6.816007e-01,0.8665911154,Not_significant,8.651933e+00,3.796144e+00,4.729447e+00,1.039612e+01,1.004315e+01,6.013171e+00,8.503434e+00,4.751804e+00
87,AGIS_Os01g000870, 9.507857e-01, 1.3928294347, 6.261715e+00,3.587864e-02,0.2710374305,Not_significant,1.922652e+00,1.507814e+00,1.412885e+00,2.227740e+00,3.202163e+00,2.623093e+00,4.163599e+00,3.668953e+00
89,AGIS_Os01g000890,-1.586522e+00, 1.8995951326, 1.367972e+01,5.817770e-03,0.1045057728,Not_significant,5.767955e+00,6.634383e+00,4.372508e+00,5.022185e+00,1.517909e+00,1.073781e+00,1.872518e+00,3.312249e+00
90,AGIS_Os01g000900,-1.425251e+00, 1.7863109305, 6.845503e+00,3.024024e-02,0.2503779286,Not_significant,5.861743e+00,4.842745e+00,4.640213e+00,3.732441e+00,6.237980e-01,3.359399e+00,1.343807e+00,2.904588e+00
95,AGIS_Os01g000950,-1.222077e-01, 4.9850292727, 9.961507e-02,7.601907e-01,0.9022144478,Not_significant,4.072739e+01,2.421372e+01,2.879311e+01,3.056302e+01,1.738317e+01,3.676931e+01,1.652222e+01,5.807902e+01
96,AGIS_Os01g000960,-1.181760e+00, 2.3846270212, 1.335963e+01,6.083346e-03,0.1072471285,Not_significant,7.409243e+00,7.397159e+00,6.662869e+00,6.976343e+00,2.349639e+00,4.279783e+00,2.291081e+00,4.127572e+00
99,AGIS_Os01g000990,-6.912829e-01, 2.4214434214, 3.850383e+00,8.446834e-02,0.3880730844,Not_significant,1.001186e+01,4.860484e+00,6.350547e+00,5.041727e+00,4.720072e+00,5.721716e+00,2.621525e+00,3.261292e+00
100,AGIS_Os01g001000, 2.047978e-01, 4.8429274429, 5.846740e-01,4.659598e-01,0.7497110335,Not_significant,2.255599e+01,2.996116e+01,2.361749e+01,2.915603e+01,4.289651e+01,2.333172e+01,3.220731e+01,2.559350e+01
101,AGIS_Os01g001010,-4.921148e-01, 3.7466196600, 4.905072e+00,5.656246e-02,0.3278197390,Not_significant,1.798383e+01,1.647952e+01,1.387602e+01,1.389406e+01,1.528305e+01,1.067645e+01,9.582886e+00,9.337995e+00
102,AGIS_Os01g001020, 7.811215e-01, 2.7231033081, 7.027262e+00,2.837386e-02,0.2419275600,Not_significant,3.587387e+00,4.789528e+00,5.279729e+00,5.354392e+00,7.090504e+00,6.948894e+00,1.273312e+01,6.764632e+00
104,AGIS_Os01g001040, 1.027917e+00,-0.1478708321, 2.406725e+00,1.581624e-01,0.4934028547,Not_significant,5.627273e-01,6.031257e-01,4.759192e-01,5.080810e-01,2.120913e+00,1.012422e+00,7.049479e-01,9.554565e-01
106,AGIS_Os01g001060,-5.302582e-01,-0.6558761884, 3.560912e-01,5.666481e-01,0.8086414767,Not_significant,3.751516e-01,1.082078e+00,4.759192e-01,8.598293e-01,5.822115e-01,2.761150e-01,2.643555e-01,8.662806e-01
107,AGIS_Os01g001070, 1.827931e-01, 5.1943649883, 6.852514e-01,4.310071e-01,0.7267878707,Not_significant,3.702277e+01,2.758413e+01,3.959053e+01,3.325976e+01,3.952800e+01,4.253705e+01,3.368329e+01,3.942851e+01
108,AGIS_Os01g001080, 4.677527e-01, 2.4118290508, 2.433272e+00,1.561521e-01,0.4901953118,Not_significant,3.985985e+00,4.452487e+00,4.625340e+00,4.377313e+00,4.075480e+00,6.151229e+00,8.415316e+00,6.204098e+00
109,AGIS_Os01g001090, 6.261487e-02, 1.4989239502, 1.759610e-02,8.976736e-01,0.9613942413,Not_significant,3.892197e+00,3.512320e+00,2.677046e+00,1.172495e+00,2.869471e+00,1.779408e+00,3.546769e+00,2.891848e+00
111,AGIS_Os01g001110, 1.448832e-01,-1.0985096601, 2.041702e-02,8.897965e-01,0.9576900921,Not_significant,4.923864e-01,6.740817e-01,1.487248e-01,5.862473e-02,2.911057e-01,1.549312e+00,1.762370e-01,5.095768e-02
112,AGIS_Os01g001120, 8.854408e-03, 3.9656177665, 7.390086e-04,9.789636e-01,0.9923952897,Not_significant,1.172349e+01,1.756160e+01,1.603253e+01,1.500793e+01,2.663618e+01,1.112130e+01,1.341604e+01,1.321078e+01
113,AGIS_Os01g001130, 1.113417e-01, 6.3340019249, 2.255626e-01,6.471439e-01,0.8501284077,Not_significant,5.943808e+01,8.016250e+01,8.209607e+01,8.912913e+01,9.660552e+01,7.832462e+01,8.651033e+01,7.283127e+01
114,AGIS_Os01g001140, 5.131363e-01, 0.5582200525, 8.175905e-01,3.914599e-01,0.6998468277,Not_significant,7.971971e-01,9.756445e-01,1.279033e+00,1.328827e+00,1.975360e+00,6.442683e-01,3.194295e+00,1.324900e+00
115,AGIS_Os01g001150, 1.205388e-01, 1.4771645402, 1.151267e-01,7.428316e-01,0.8947593827,Not_significant,2.344697e+00,2.128679e+00,2.855515e+00,3.224360e+00,3.243750e+00,2.239599e+00,2.973999e+00,2.981024e+00
116,AGIS_Os01g001160,-5.832954e-03, 2.6760031226, 3.531962e-04,9.854511e-01,0.9946670512,Not_significant,7.831289e+00,5.889345e+00,5.830011e+00,5.842931e+00,4.574519e+00,6.473363e+00,6.630917e+00,7.771047e+00
117,AGIS_Os01g001170,-4.625164e+00,-0.0476550823, 7.448836e+00,2.533757e-02,0.2268842463,Not_significant,2.813637e-01,3.068845e+00,1.873932e+00,1.543785e+00,5.406250e-01,1.227178e-01,0.000000e+00,1.273942e-02
118,AGIS_Os01g001180,-1.484471e-01, 5.4640562795, 3.622320e-01,5.635669e-01,0.8071349854,Not_significant,4.443201e+01,4.787754e+01,4.433485e+01,4.445709e+01,6.778605e+01,3.733688e+01,3.445433e+01,3.217978e+01
127,AGIS_Os01g001270, 6.859033e-01,-0.7254116623, 4.392983e-01,5.254880e-01,0.7847890665,Not_significant,8.909850e-01,2.483459e-01,5.800266e-01,1.758742e-01,3.326923e-01,6.902875e-01,6.608887e-01,9.681960e-01
128,AGIS_Os01g001280,-5.656201e-01,-0.2199317843, 1.608656e-01,6.986292e-01,0.8741120867,Not_significant,1.828864e+00,3.725188e-01,9.815834e-01,7.230383e-01,0.000000e+00,1.012422e+00,9.693034e-01,7.134076e-01
129,AGIS_Os01g001290,-4.192198e-01, 1.4766662130, 7.956269e-01,3.978705e-01,0.7053583862,Not_significant,3.517046e+00,3.654232e+00,2.989368e+00,2.051865e+00,1.122836e+00,3.558816e+00,1.850488e+00,3.223073e+00
130,AGIS_Os01g001300,-6.765459e-01, 1.7765523940, 1.663083e+00,2.324358e-01,0.5722149762,Not_significant,3.821857e+00,3.370408e+00,5.264857e+00,3.282985e+00,1.206010e+00,3.957648e+00,1.453955e+00,4.739064e+00
131,AGIS_Os01g001310, 2.374671e-01, 1.5608661247, 3.230875e-01,5.848976e-01,0.8189038712,Not_significant,2.250909e+00,1.969028e+00,3.346307e+00,2.696737e+00,5.135937e+00,1.564652e+00,2.533407e+00,3.821826e+00
132,AGIS_Os01g001320,-5.559110e-02, 2.2404876547, 2.043550e-02,8.897845e-01,0.9576900921,Not_significant,4.032879e+00,6.013518e+00,3.197582e+00,5.256684e+00,1.788221e+00,6.043851e+00,5.639583e+00,5.541648e+00
133,AGIS_Os01g001330,-3.530099e-01, 0.3551845493, 4.138633e-01,5.374302e-01,0.7926350939,Not_significant,1.758523e+00,6.386037e-01,1.725207e+00,1.602409e+00,1.102043e+00,9.203833e-01,8.811849e-01,1.324900e+00
136,AGIS_Os01g001360,-2.671691e-01,-0.1786738502, 1.657879e-01,6.942116e-01,0.8726081197,Not_significant,8.440910e-01,2.838239e-01,1.561610e+00,9.575372e-01,5.406250e-01,3.221342e-01,1.718311e+00,5.732739e-01
137,AGIS_Os01g001370,-7.816629e-01, 0.5046871684, 6.440588e-01,4.449228e-01,0.7364711977,Not_significant,1.359924e+00,1.365902e+00,1.516993e+00,1.758742e+00,2.079327e-02,2.178241e+00,1.255689e+00,1.592428e+00
139,AGIS_Os01g001390,-1.165641e-01,-0.8450140177, 1.512797e-02,9.050452e-01,0.9641644438,Not_significant,6.330683e-01,6.740817e-01,4.610468e-01,2.931236e-01,2.079327e-01,5.522300e-01,1.035392e+00,3.312249e-01
144,AGIS_Os01g001440, 2.704653e-01,-0.4386666472, 1.005666e-01,7.590040e-01,0.9019767192,Not_significant,6.330683e-01,7.095596e-01,4.610468e-01,5.080810e-01,1.559495e+00,2.607753e-01,1.035392e+00,4.840980e-01
147,AGIS_Os01g001470, 1.251710e+00,-0.5822107163, 2.116912e+00,1.825362e-01,0.5224252801,Not_significant,1.172349e-01,7.272986e-01,2.677046e-01,4.689978e-01,8.317307e-01,9.817422e-01,3.965332e-01,1.235724e+00
150,AGIS_Os01g001500, 4.742184e+00,-1.8465915655, 2.438473e+00,1.561695e-01,0.4901953118,Not_significant,5.158334e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.215506e-01,2.202962e-01,6.624499e-01
157,AGIS_Os01g001570,-1.039231e+00, 1.3239157875, 2.180549e+00,1.771761e-01,0.5162472717,Not_significant,3.985985e+00,2.572154e+00,1.948294e+00,2.970320e+00,5.406250e-01,3.221342e+00,3.965332e-01,4.089354e+00
158,AGIS_Os01g001580,-3.324987e-01, 0.9470473661, 4.404762e-01,5.249929e-01,0.7844840412,Not_significant,3.329470e+00,1.986767e+00,8.031137e-01,1.778283e+00,1.684255e+00,3.650854e+00,3.965332e-01,1.515991e+00
165,AGIS_Os01g001650,-2.920153e+00,-1.2345817493, 2.972787e+00,1.221153e-01,0.4462245761,Not_significant,6.330683e-01,8.159936e-01,4.461743e-01,4.689978e-01,0.000000e+00,4.908711e-01,0.000000e+00,2.547884e-01
168,AGIS_Os01g001680,-6.812468e-02, 3.6845348757, 4.938355e-02,8.295850e-01,0.9331389294,Not_significant,1.413852e+01,1.179643e+01,1.103538e+01,1.397223e+01,6.882572e+00,1.638282e+01,1.011160e+01,1.824285e+01
169,AGIS_Os01g001690,-2.215367e-01,-2.1211798824, 2.377115e-02,8.811625e-01,0.9538870743,Not_significant,2.579167e-01,1.064339e-01,1.189798e-01,2.344989e-01,3.742788e-01,1.840767e-01,0.000000e+00,2.802673e-01
171,AGIS_Os01g001710,-3.136793e+00,-0.3860655508, 3.048846e+00,1.180902e-01,0.4403957704,Not_significant,2.508826e+00,1.241729e+00,3.866844e-01,8.402878e-01,0.000000e+00,1.533972e-02,4.405925e-01,4.586191e-01
173,AGIS_Os01g001730,-1.611525e+00,-1.4129143697, 8.260109e-01,3.894080e-01,0.6984729539,Not_significant,2.344697e-01,6.031257e-01,5.205367e-01,1.172495e-01,1.247596e-01,3.067944e-02,4.405925e-02,9.936748e-01
178,AGIS_Os01g001780,-1.180534e+00,-0.3154751094, 2.356828e+00,1.620351e-01,0.4978779661,Not_significant,1.313030e+00,6.740817e-01,6.097715e-01,1.641492e+00,4.158653e-01,8.283450e-01,2.202962e-01,4.586191e-01
183,AGIS_Os01g001830,-1.626016e-01, 7.0941829262, 4.537707e-01,5.189492e-01,0.7812110587,Not_significant,1.376806e+02,1.238536e+02,1.488289e+02,1.612962e+02,1.713781e+02,1.060742e+02,1.446245e+02,9.907447e+01
184,AGIS_Os01g001840,-5.516835e-01, 3.2624492987, 2.288202e+00,1.679748e-01,0.5055226985,Not_significant,1.151246e+01,9.774184e+00,1.096102e+01,1.074787e+01,4.200240e+00,7.869278e+00,5.463346e+00,1.593702e+01
185,AGIS_Os01g001850,-3.381801e-01, 1.5782038615, 4.833791e-01,5.061534e-01,0.7743983924,Not_significant,4.290796e+00,3.193018e+00,3.524777e+00,1.934616e+00,1.642668e+00,2.024843e+00,2.643555e+00,4.344142e+00
186,AGIS_Os01g001860,-6.996240e-03, 6.4365935787, 7.025955e-04,9.794883e-01,0.9925862590,Not_significant,6.886376e+01,8.379899e+01,9.275963e+01,9.776650e+01,1.226803e+02,6.672779e+01,8.730340e+01,7.276757e+01
187,AGIS_Os01g001870, 3.469574e-01, 2.2946251152, 1.234994e+00,2.976791e-01,0.6272910244,Not_significant,5.556933e+00,2.926934e+00,4.967407e+00,3.771524e+00,4.740865e+00,4.019007e+00,7.247746e+00,5.745479e+00
188,AGIS_Os01g001880,-1.012614e-01, 5.8172465020, 1.874250e-01,6.761682e-01,0.8644328421,Not_significant,5.355289e+01,5.907084e+01,5.612873e+01,6.208359e+01,7.421117e+01,4.347277e+01,5.635178e+01,4.593835e+01
189,AGIS_Os01g001890, 1.018734e+00, 3.3651835388, 7.059475e+00,2.837486e-02,0.2419275600,Not_significant,3.774963e+00,7.290725e+00,8.194734e+00,7.406257e+00,2.073089e+01,9.756063e+00,1.513435e+01,9.873051e+00
190,AGIS_Os01g001900, 4.606701e-01, 5.1369485887, 3.763772e+00,8.736732e-02,0.3944446607,Not_significant,2.996523e+01,2.086105e+01,2.787102e+01,4.023611e+01,5.281490e+01,3.141575e+01,4.302385e+01,3.503341e+01
191,AGIS_Os01g001910,-3.098191e-01,-1.0734282383, 3.776437e-02,8.506543e-01,0.9412715350,Not_significant,0.000000e+00,6.740817e-01,4.610468e-01,8.012046e-01,7.485576e-01,3.221342e-01,1.321777e-01,3.694432e-01
