,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmockLP_1,CPM.WTmockLP_2,CPM.WTmockLP_3,CPM.WTmockLP_4,CPM.WTmockHP_1,CPM.WTmockHP_2,CPM.WTmockHP_3,CPM.WTmockHP_4
26358,AGIS_Os05g033950,-9.034381e-03, 2.7056623868, 9.607317e-04,9.760075e-01,0.9910720206,Not_significant,5.463145e+00,5.428131e+00,6.707487e+00,7.855714e+00,3.659615e+00,6.611420e+00,6.366561e+00,9.796614e+00
26359,AGIS_Os05g033960, 1.754678e+00, 0.2430772198, 5.054693e+00,5.399026e-02,0.3221896702,Not_significant,3.985985e-01,1.277207e+00,1.784697e-01,5.080810e-01,2.703125e+00,1.273197e+00,1.872518e+00,9.936748e-01
26360,AGIS_Os05g033970,-3.315995e+00,-2.0399985348, 1.569789e+00,2.448502e-01,0.5817121528,Not_significant,4.220455e-01,0.000000e+00,4.164293e-01,4.689978e-01,0.000000e+00,3.067944e-01,0.000000e+00,5.095768e-02
26361,AGIS_Os05g033980,-1.198739e+00,-1.1426059171, 8.634958e-01,3.793546e-01,0.6903770235,Not_significant,2.813637e-01,7.450376e-01,3.866844e-01,5.276226e-01,0.000000e+00,4.908711e-01,1.762370e-01,7.006681e-01
26362,AGIS_Os05g033990,-1.377226e+00, 0.6776828859, 7.473484e+00,2.490282e-02,0.2254907789,Not_significant,1.899205e+00,3.760666e+00,1.933422e+00,1.563326e+00,6.237980e-01,8.283450e-01,9.252442e-01,9.809354e-01
26363,AGIS_Os05g034000,-6.716099e-01,-1.9181478309, 2.052379e-01,6.621682e-01,0.8578714244,Not_significant,0.000000e+00,3.193018e-01,3.866844e-01,4.689978e-01,2.079327e-02,1.840767e-01,3.745036e-01,7.643652e-02
26368,AGIS_Os05g034050, 4.427435e-01, 4.9463199108, 4.181581e+00,7.393051e-02,0.3646522085,Not_significant,2.264978e+01,2.579249e+01,3.136605e+01,2.333264e+01,3.888341e+01,3.138507e+01,4.811270e+01,2.485461e+01
26369,AGIS_Os05g034060,-1.763986e-02, 3.7637001811, 5.469567e-03,9.428015e-01,0.9776388371,Not_significant,1.034011e+01,1.406702e+01,1.405449e+01,1.625859e+01,1.380673e+01,1.133605e+01,1.493608e+01,1.358022e+01
26370,AGIS_Os05g034070, 2.614861e-01, 4.0414220932, 1.114781e+00,3.209588e-01,0.6461229811,Not_significant,1.369303e+01,1.296720e+01,1.342985e+01,1.999103e+01,2.127151e+01,1.857640e+01,1.592742e+01,1.559305e+01
26371,AGIS_Os05g034080,-5.507494e-01, 2.5381259471, 1.254106e+00,2.945560e-01,0.6251679805,Not_significant,5.603826e+00,5.357175e+00,9.310170e+00,5.413017e+00,1.892187e+00,6.089870e+00,2.951969e+00,9.529087e+00
26372,AGIS_Os05g034090,-4.740193e-01, 3.3649512533, 3.299964e+00,1.055664e-01,0.4210862420,Not_significant,1.277860e+01,1.119330e+01,1.439656e+01,9.282249e+00,6.175600e+00,9.694705e+00,1.053016e+01,8.089532e+00
26374,AGIS_Os05g034110,-1.397735e-01, 4.8315292833, 3.519401e-01,5.689239e-01,0.8097558411,Not_significant,2.839428e+01,2.978377e+01,2.919467e+01,3.005494e+01,1.657223e+01,3.152313e+01,3.295632e+01,2.902040e+01
