GeneID	WTmockLP_1	WTmockLP_2	WTmockLP_3	WTmockLP_4	WTmockHP_1	WTmockHP_2	WTmockHP_3	WTmockHP_4
AGIS_Os01g001080	170	251	311	224	196	401	382	487
AGIS_Os01g001090	166	198	180	60	138	116	161	227
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	21	38	10	3	14	101	8	4
AGIS_Os01g001120	500	990	1078	768	1281	725	609	1037
AGIS_Os01g001130	2535	4519	5520	4561	4646	5106	3927	5717
AGIS_Os01g001140	34	55	86	68	95	42	145	104
AGIS_Os01g001150	100	120	192	165	156	146	135	234
AGIS_Os01g001160	334	332	392	299	220	422	301	610
AGIS_Os01g001170	12	173	126	79	26	8	0	1
AGIS_Os01g001180	1895	2699	2981	2275	3260	2434	1564	2526
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	0	0	0	0	0	0	10	14
AGIS_Os01g001240	0	0	0	0	0	0	0	0
AGIS_Os01g001250	0	0	0	4	0	12	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	38	14	39	9	16	45	30	76
AGIS_Os01g001280	78	21	66	37	0	66	44	56
AGIS_Os01g001290	150	206	201	105	54	232	84	253
AGIS_Os01g001300	163	190	354	168	58	258	66	372
AGIS_Os01g001310	96	111	225	138	247	102	115	300
AGIS_Os01g001320	172	339	215	269	86	394	256	435
AGIS_Os01g001330	75	36	116	82	53	60	40	104
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	36	16	105	49	26	21	78	45
AGIS_Os01g001370	58	77	102	90	1	142	57	125
AGIS_Os01g001380	2	0	0	0	0	0	0	0
AGIS_Os01g001390	27	38	31	15	10	36	47	26
AGIS_Os01g001400	8	0	10	8	20	7	0	15
AGIS_Os01g001410	0	0	0	0	0	0	0	0
AGIS_Os01g001420	0	0	0	0	0	0	24	0
AGIS_Os01g001430	0	0	0	0	0	0	0	0
AGIS_Os01g001440	27	40	31	26	75	17	47	38
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	18	6	0	8	0	0	0	12
AGIS_Os01g001470	5	41	18	24	40	64	18	97
AGIS_Os01g001480	0	0	0	0	0	0	0	11
AGIS_Os01g001490	0	18	8	0	0	0	16	44
AGIS_Os01g001500	22	0	0	0	0	34	10	52
AGIS_Os01g001510	0	0	0	0	0	0	0	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	0	0	0	0
AGIS_Os01g001540	0	0	0	0	0	0	0	0
AGIS_Os01g001550	0	0	0	6	0	0	0	0
AGIS_Os01g001560	0	0	0	0	0	0	0	0
AGIS_Os01g001570	170	145	131	152	26	210	18	321
AGIS_Os01g001580	142	112	54	91	81	238	18	119
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	0	0	0	0	0	0	0	0
AGIS_Os01g001640	16	0	0	8	0	0	0	0
AGIS_Os01g001650	27	46	30	24	0	32	0	20
AGIS_Os01g001660	6	0	0	0	0	0	0	0
AGIS_Os01g001670	0	0	1	0	0	0	0	0
AGIS_Os01g001680	603	665	742	715	331	1068	459	1432
AGIS_Os01g001690	11	6	8	12	18	12	0	22
AGIS_Os01g001700	0	0	0	0	0	0	0	0
AGIS_Os01g001710	107	70	26	43	0	1	20	36
AGIS_Os01g001720	0	14	0	0	0	6	0	8
AGIS_Os01g001730	10	34	35	6	6	2	2	78
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	0	0	0	0	0	0	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	56	38	41	84	20	54	10	36
AGIS_Os01g001790	1	8	8	0	0	12	0	12
AGIS_Os01g001800	2	2	15	18	0	2	1	14
AGIS_Os01g001810	10	4	4	1	40	0	0	18
AGIS_Os01g001820	10	0	12	0	0	4	0	0
AGIS_Os01g001830	5872	6982	10007	8254	8242	6915	6565	7777
AGIS_Os01g001840	491	551	737	550	202	513	248	1251
AGIS_Os01g001850	183	180	237	99	79	132	120	341
AGIS_Os01g001860	2937	4724	6237	5003	5900	4350	3963	5712
AGIS_Os01g001870	237	165	334	193	228	262	329	451
AGIS_Os01g001880	2284	3330	3774	3177	3569	2834	2558	3606
AGIS_Os01g001890	161	411	551	379	997	636	687	775
AGIS_Os01g001900	1278	1176	1874	2059	2540	2048	1953	2750
AGIS_Os01g001910	0	38	31	41	36	21	6	29
AGIS_Os01g001920	583	548	739	702	1295	1019	1031	1057
AGIS_Os01g001930	0	0	0	0	0	0	0	0
AGIS_Os01g001940	0	0	5	3	0	0	0	5
AGIS_Os01g001950	0	0	0	0	0	0	0	0
AGIS_Os01g001960	0	0	0	0	0	0	0	0
AGIS_Os01g001970	80	68	72	45	35	40	28	112
AGIS_Os01g001980	603	473	701	492	220	490	268	643
AGIS_Os01g001990	119	166	134	188	158	156	68	170
AGIS_Os01g002000	206	195	285	258	256	283	200	378
AGIS_Os01g002010	1059	1872	1710	1392	245	1759	857	1995
AGIS_Os01g002020	2486	2187	4194	2751	1348	4902	2129	6574
AGIS_Os01g002030	101	204	317	142	306	122	97	149
AGIS_Os01g002040	910	1693	1714	1197	1399	1439	1203	1949
AGIS_Os01g002050	481	870	907	668	722	791	614	1053
AGIS_Os01g002060	1163	1373	1589	1214	830	1431	768	1868
AGIS_Os01g002070	30	115	247	154	182	102	118	125
AGIS_Os01g002080	330	668	1136	660	401	677	638	809
AGIS_Os01g002090	339	717	753	553	607	654	648	822
AGIS_Os01g002100	0	0	0	0	0	0	0	0
AGIS_Os01g002110	0	0	0	0	0	0	2	0
AGIS_Os01g002120	8	20	0	14	0	0	14	0
AGIS_Os01g002130	0	0	0	0	0	0	0	0
AGIS_Os01g002140	0	0	0	0	0	0	0	0
AGIS_Os01g002150	0	0	0	0	0	0	0	0
AGIS_Os01g002160	0	0	0	0	0	0	0	0
AGIS_Os01g002170	0	0	0	0	0	0	0	0
AGIS_Os01g002180	0	0	0	0	0	0	0	0
AGIS_Os01g002190	0	0	0	0	0	0	0	0
AGIS_Os01g002200	0	0	0	0	0	0	0	0
AGIS_Os01g002210	0	0	0	0	0	0	0	0
AGIS_Os01g002220	0	0	0	0	0	0	0	0
AGIS_Os01g002230	0	0	0	0	0	0	0	0
AGIS_Os01g002240	0	0	0	0	0	0	0	0
AGIS_Os01g002250	0	0	0	19	0	0	0	0
AGIS_Os01g002260	8	0	0	10	0	0	0	0
AGIS_Os01g002270	97	168	114	202	456	193	186	235
AGIS_Os01g002280	2294	4313	7058	4977	3600	4040	4072	5787
AGIS_Os01g002290	1371	2797	4648	2822	1804	2589	1668	4713
AGIS_Os01g002300	0	12	0	4	0	34	4	0
AGIS_Os01g002310	15	0	17	0	0	0	0	0
AGIS_Os01g002320	890	1765	193	2410	831	727	840	484
AGIS_Os01g002330	0	0	0	0	0	0	0	0
AGIS_Os01g002340	0	0	0	0	0	0	0	0
AGIS_Os01g002350	0	0	0	0	0	0	0	0
AGIS_Os01g002360	0	0	0	0	0	0	0	0
AGIS_Os01g002370	0	0	0	0	0	0	0	0
AGIS_Os01g002380	0	0	0	0	0	0	0	0
AGIS_Os01g002390	0	0	0	0	0	0	0	0
AGIS_Os01g002400	0	22	0	0	0	0	0	24
AGIS_Os01g002410	334	353	781	390	470	878	637	1059
AGIS_Os01g002420	130	229	220	160	94	270	79	200
AGIS_Os01g002430	866	951	1727	977	2341	2171	2162	2069
AGIS_Os01g002440	918	796	1555	877	465	1693	717	1948
AGIS_Os01g002450	67	20	105	171	133	68	74	206
AGIS_Os01g002460	0	0	0	0	0	0	0	0
AGIS_Os01g002470	1	0	0	0	13	0	0	0
AGIS_Os01g002480	28	56	43	14	0	27	12	38
AGIS_Os01g002490	0	0	0	0	0	0	0	0
AGIS_Os01g002500	0	0	0	0	0	0	0	0
AGIS_Os01g002510	0	0	0	0	0	0	0	0
AGIS_Os01g002520	0	0	0	0	0	0	0	0
AGIS_Os01g002530	510	1056	2529	1431	4352	3054	4271	3190
AGIS_Os01g002540	281	888	2219	722	2168	3030	2789	1686
AGIS_Os01g002550	1298	5731	8897	10053	1271	1160	1556	1325
AGIS_Os01g002560	678	730	1018	1061	251	596	393	871
AGIS_Os01g002570	72	50	39	25	0	35	20	80
AGIS_Os01g002580	0	0	0	0	0	0	0	0
AGIS_Os01g002590	2092	2967	12105	3100	3191	3078	5810	6480
AGIS_Os01g002600	267	673	600	600	362	438	357	505
AGIS_Os01g002610	205	273	318	189	79	141	98	216
AGIS_Os01g002620	195	376	224	210	411	348	135	377
AGIS_Os01g002630	257	444	331	325	64	50	49	124
AGIS_Os01g002640	1519	3165	2335	2269	0	317	222	784
AGIS_Os01g002650	114	150	279	117	185	191	145	207
AGIS_Os01g002660	1630	1757	2784	1870	2520	3178	2840	4229
AGIS_Os01g002670	0	0	0	0	0	0	0	0
AGIS_Os01g002680	0	0	0	0	0	0	0	0
AGIS_Os01g002690	0	0	0	0	0	0	0	0
AGIS_Os01g002700	0	0	0	0	0	0	0	0
AGIS_Os01g002710	111	28	103	79	19	101	7	126
AGIS_Os01g002720	1238	809	1152	1002	185	970	153	1866
AGIS_Os01g002730	0	0	0	0	0	6	0	0
AGIS_Os01g002740	0	0	0	0	0	0	0	0
AGIS_Os01g002750	0	0	0	0	0	0	0	0
AGIS_Os01g002760	165	277	291	117	235	179	179	158
AGIS_Os01g002770	0	0	0	0	0	0	0	0
AGIS_Os01g002780	91	590	509	154	638	792	398	549
AGIS_Os01g002790	10	32	54	18	1	26	22	12
AGIS_Os01g002800	3156	3989	4123	3252	7600	5906	4515	6805
AGIS_Os01g002810	0	0	0	0	0	0	0	0
AGIS_Os01g002820	225	323	580	244	625	460	270	343
AGIS_Os01g002830	251	148	647	449	943	889	560	604
AGIS_Os01g002840	0	0	0	0	0	0	0	0
AGIS_Os01g002850	0	0	0	0	0	0	0	0
AGIS_Os01g002860	56	195	109	62	186	102	58	143
AGIS_Os01g002870	0	0	0	0	0	0	0	0
AGIS_Os01g002880	0	0	0	0	0	0	0	0
AGIS_Os01g002890	0	0	0	0	0	0	0	0
AGIS_Os01g002900	1213	2255	1879	1563	1977	1952	1667	2141
AGIS_Os01g002910	9751	13964	16817	13614	21744	11206	9903	13086
AGIS_Os01g002920	150	251	273	177	109	215	166	269
AGIS_Os01g002930	5	22	6	2	0	6	14	2
AGIS_Os01g002940	1505	2807	1816	4463	248	1300	883	828
AGIS_Os01g002950	0	0	0	4	16	0	0	0
AGIS_Os01g002960	0	26	31	14	12	18	38	0
AGIS_Os01g002970	0	0	0	0	20	0	16	0
AGIS_Os01g002980	134	227	204	202	397	338	274	389
AGIS_Os01g002990	127	363	222	55	119	281	133	263
AGIS_Os01g003000	1862	3647	4287	3204	6350	4206	3136	5666
AGIS_Os01g003010	37	78	40	69	20	45	36	68
AGIS_Os01g003020	0	0	0	0	0	0	0	0
AGIS_Os01g003030	0	0	0	0	0	0	0	0
