,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmockWT_1,CPM.LPmockWT_2,CPM.LPmockWT_3,CPM.LPmockWT_4,CPM.LPmockpho2_1,CPM.LPmockpho2_2,CPM.LPmockpho2_3,CPM.LPmockpho2_4
1,AGIS_Os01g000010, 3.481324e-01, 2.8730036532, 5.981361e-01,4.630940e-01,0.788255779,Not_significant,7.176548e+00,4.607418e+00,6.012567e+00,6.316277e+00,2.548999e+00,8.837301e+00,1.325334e+01,9.549876e+00
3,AGIS_Os01g000030, 1.158779e+00, 1.8574557492, 1.028347e+01,1.370256e-02,0.352444873,Not_significant,1.876222e+00,1.796715e+00,3.556940e+00,1.829949e+00,5.453186e+00,4.291920e+00,3.784131e+00,6.098114e+00
4,AGIS_Os01g000040, 4.356781e-01, 4.5409964659, 5.870990e+00,4.353544e-02,0.461921275,Not_significant,2.059153e+01,1.570791e+01,2.229412e+01,2.042460e+01,2.304546e+01,2.433215e+01,2.703966e+01,3.250410e+01
5,AGIS_Os01g000050,-8.181868e-02, 3.1875373805, 1.350275e-01,7.234003e-01,0.910690060,Not_significant,9.170034e+00,1.006872e+01,8.334252e+00,9.464577e+00,7.187341e+00,1.023978e+01,1.089048e+01,7.229525e+00
6,AGIS_Os01g000060, 4.029841e-02, 6.0698567497, 3.214338e-02,8.624874e-01,0.960100592,Not_significant,5.790490e+01,6.199556e+01,7.280564e+01,7.010870e+01,9.011338e+01,6.917765e+01,5.436357e+01,6.063596e+01
7,AGIS_Os01g000070,-1.385914e-01, 1.8960128272, 1.905097e-01,6.747670e-01,0.890595440,Not_significant,3.752444e+00,5.425723e+00,3.690883e+00,2.361225e+00,2.131130e+00,4.393304e+00,5.294230e+00,2.416234e+00
8,AGIS_Os01g000080, 2.329215e-01, 5.2388601226, 1.792290e+00,2.197030e-01,0.637310303,Not_significant,3.843909e+01,3.145141e+01,3.104509e+01,3.756315e+01,4.011539e+01,3.298358e+01,4.368628e+01,4.652209e+01
12,AGIS_Os01g000120, 1.572146e+00,-0.3573886918, 2.113531e+00,1.867496e-01,0.612381520,Not_significant,4.925082e-01,0.000000e+00,9.971337e-01,3.738606e-01,6.685899e-01,1.047634e+00,1.581163e+00,7.670583e-01
13,AGIS_Os01g000130, 3.132044e-01, 1.7941434079, 1.207189e+00,3.058167e-01,0.699772059,Not_significant,2.134202e+00,2.543864e+00,3.854591e+00,3.856667e+00,3.405630e+00,3.379465e+00,3.624238e+00,4.640703e+00
14,AGIS_Os01g000140, 1.945218e-01, 2.7194136863, 6.819882e-01,4.343175e-01,0.774502081,Not_significant,6.050815e+00,4.625207e+00,7.128762e+00,6.768845e+00,7.542530e+00,6.894108e+00,6.324651e+00,7.056937e+00
16,AGIS_Os01g000160, 4.681223e-01, 3.7190568763, 1.509418e+00,2.565799e-01,0.664106879,Not_significant,1.334463e+01,7.684959e+00,1.101312e+01,1.054680e+01,6.476965e+00,1.804634e+01,2.266926e+01,1.526446e+01
17,AGIS_Os01g000170,-2.066567e-01, 2.4735531919, 6.226947e-01,4.542040e-01,0.782997481,Not_significant,6.848210e+00,4.002583e+00,6.414397e+00,6.237569e+00,7.646997e+00,4.393304e+00,4.654659e+00,3.950350e+00
18,AGIS_Os01g000180,-2.910710e-02, 3.1859070143, 1.033655e-02,9.216993e-01,0.979830629,Not_significant,5.605213e+00,1.081587e+01,8.021717e+00,1.074357e+01,3.927966e+00,1.098326e+01,1.485227e+01,7.536348e+00
19,AGIS_Os01g000190,-6.269582e-01, 4.9927743784, 8.921081e+00,1.887196e-02,0.379597879,Not_significant,3.386580e+01,4.112876e+01,3.269706e+01,4.478457e+01,1.437468e+01,3.056726e+01,2.691530e+01,3.008786e+01
20,AGIS_Os01g000200, 3.286174e-01, 2.3934914045, 1.751455e+00,2.245105e-01,0.641259233,Not_significant,4.080782e+00,3.949215e+00,4.658251e+00,5.863709e+00,4.889064e+00,5.745090e+00,6.928691e+00,5.618702e+00
28,AGIS_Os01g000280,-4.087133e-01,-1.0412352207, 1.863279e-01,6.781642e-01,0.891751308,Not_significant,3.752444e-01,2.846281e-01,5.060081e-01,8.264287e-01,6.268030e-01,5.914064e-01,2.664881e-01,1.150587e-01
30,AGIS_Os01g000300, 3.655430e-01, 2.5459795749, 2.462494e+00,1.576283e-01,0.590692107,Not_significant,5.136157e+00,4.287211e+00,5.447029e+00,5.411140e+00,6.894833e+00,6.420983e+00,7.284008e+00,5.541996e+00
31,AGIS_Os01g000310,-3.359475e-01, 2.7153653906, 1.299890e+00,2.895199e-01,0.689242780,Not_significant,7.739415e+00,5.692562e+00,8.185426e+00,7.182059e+00,3.363843e+00,7.113774e+00,6.786564e+00,6.174820e+00
32,AGIS_Os01g000320,-5.793377e-02, 5.1177697839, 1.076349e-01,7.517999e-01,0.921346716,Not_significant,3.433486e+01,3.910079e+01,3.707254e+01,3.106978e+01,3.823498e+01,3.186835e+01,3.185421e+01,3.394233e+01
33,AGIS_Os01g000330, 9.396420e-02, 2.9230032686, 1.034834e-01,7.565180e-01,0.922024188,Not_significant,6.261890e+00,7.631591e+00,6.786462e+00,7.418182e+00,3.489203e+00,9.428707e+00,1.087271e+01,8.475994e+00
35,AGIS_Os01g000350, 1.731833e-01, 0.4874308286, 1.113838e-01,7.477625e-01,0.919673976,Not_significant,1.735505e+00,1.885661e+00,5.655385e-01,1.023197e+00,7.103768e-01,2.365625e+00,1.332441e+00,1.303999e+00
36,AGIS_Os01g000360,-8.137170e-01, 1.7040355982, 5.321414e+00,5.208002e-02,0.473998860,Not_significant,2.274919e+00,6.119504e+00,3.586705e+00,3.817314e+00,6.685899e-01,3.616027e+00,3.322218e+00,2.339528e+00
37,AGIS_Os01g000370, 4.029199e-01, 1.8859934751, 1.844184e+00,2.137982e-01,0.632343378,Not_significant,3.048860e+00,2.721756e+00,3.601587e+00,3.148300e+00,5.223359e+00,4.122947e+00,3.073496e+00,4.333880e+00
38,AGIS_Os01g000380,-1.590354e-01, 0.9818989933, 1.080787e-01,7.513815e-01,0.921326478,Not_significant,1.454072e+00,7.827273e-01,2.410980e+00,4.033759e+00,1.859516e+00,1.655938e+00,1.083718e+00,2.224469e+00
39,AGIS_Os01g000390, 1.420194e-01, 4.8502053708, 5.997292e-01,4.623314e-01,0.787710600,Not_significant,2.516482e+01,2.508285e+01,3.199757e+01,2.731150e+01,3.553973e+01,2.860717e+01,2.815891e+01,2.859210e+01
40,AGIS_Os01g000400, 9.551528e-02, 1.1770811079, 3.097040e-02,8.649901e-01,0.960549761,Not_significant,1.735505e+00,1.956818e+00,1.532907e+00,2.636701e+00,4.805490e-01,2.973929e+00,3.588707e+00,2.876469e+00
41,AGIS_Os01g000410, 2.558102e-01, 3.2964138419, 1.104983e+00,3.260369e-01,0.712884316,Not_significant,8.091206e+00,6.119504e+00,1.080476e+01,1.094034e+01,1.282857e+01,9.513194e+00,8.403258e+00,1.160176e+01
42,AGIS_Os01g000420,-4.624418e-01, 2.3694740661, 3.057563e+00,1.208853e-01,0.557355476,Not_significant,5.957004e+00,4.731942e+00,6.280454e+00,6.650784e+00,5.808375e+00,3.801898e+00,3.180091e+00,4.640703e+00
43,AGIS_Os01g000430,-1.803426e-01, 3.6770793635, 8.070207e-01,3.968529e-01,0.753197610,Not_significant,1.334463e+01,1.191880e+01,1.632620e+01,1.263255e+01,1.401949e+01,1.086498e+01,1.049963e+01,1.242634e+01
44,AGIS_Os01g000440,-1.127582e-01, 4.1012847687, 4.393763e-01,5.272127e-01,0.821504852,Not_significant,2.218632e+01,1.392899e+01,1.663874e+01,1.851594e+01,2.097701e+01,1.453170e+01,1.463908e+01,1.560964e+01
45,AGIS_Os01g000450, 2.320466e-01, 2.3140057291, 3.533951e-01,5.697852e-01,0.843379995,Not_significant,2.790880e+00,6.635393e+00,3.527174e+00,5.411140e+00,5.244252e+00,3.666719e+00,7.639326e+00,4.563997e+00
47,AGIS_Os01g000470,-1.013067e-01, 6.9345388240, 1.206210e-01,7.379574e-01,0.916965660,Not_significant,1.025590e+02,1.147407e+02,1.277373e+02,1.452547e+02,1.981742e+02,8.403040e+01,8.200727e+01,1.237840e+02
50,AGIS_Os01g000500, 5.322838e-02, 1.7918570191, 7.694538e-03,9.324095e-01,0.983759403,Not_significant,3.635180e+00,2.846281e+00,3.229523e+00,2.617024e+00,6.268030e-01,5.035403e+00,5.009976e+00,4.391409e+00
52,AGIS_Os01g000520, 3.775102e-01, 3.0375408441, 9.415513e-01,3.622887e-01,0.733376525,Not_significant,7.903584e+00,6.510868e+00,6.771579e+00,5.922739e+00,3.468310e+00,1.258851e+01,1.222292e+01,9.990935e+00
53,AGIS_Os01g000530, 2.746605e-01, 4.5071196132, 2.251079e+00,1.742838e-01,0.603036193,Not_significant,2.031010e+01,2.051101e+01,2.040403e+01,2.036556e+01,2.701521e+01,2.088509e+01,2.137235e+01,3.075904e+01
57,AGIS_Os01g000570, 4.995883e-01, 2.6020518778, 1.658283e+00,2.363503e-01,0.648617339,Not_significant,5.183063e+00,4.749732e+00,4.092713e+00,4.958572e+00,2.632573e+00,9.648372e+00,8.811874e+00,8.188348e+00
58,AGIS_Os01g000580, 3.180568e-01, 2.7803855196, 7.215365e-01,4.220662e-01,0.768444308,Not_significant,5.394138e+00,6.635393e+00,4.182008e+00,6.906583e+00,2.716146e+00,1.069601e+01,9.860060e+00,8.265053e+00
61,AGIS_Os01g000610, 8.867223e-01,-1.0611672154, 1.201752e+00,3.068321e-01,0.700048293,Not_significant,1.641694e-01,1.601033e-01,4.762430e-01,5.115987e-01,5.432293e-01,6.252010e-01,3.197857e-01,7.287054e-01
62,AGIS_Os01g000620,-3.430879e-01, 0.7569669590, 6.195384e-01,4.553362e-01,0.783674816,Not_significant,1.360261e+00,2.365971e+00,1.503142e+00,2.125102e+00,2.172917e+00,1.081429e+00,1.314675e+00,1.303999e+00
63,AGIS_Os01g000630, 5.165118e-01, 4.2033850157, 4.923436e+00,5.966431e-02,0.487461343,Not_significant,1.371987e+01,1.416025e+01,1.812700e+01,1.418703e+01,2.350511e+01,2.345349e+01,1.520759e+01,2.471845e+01
64,AGIS_Os01g000640,-1.906244e-01, 5.4893161331, 8.499589e-01,3.853013e-01,0.746888894,Not_significant,4.118307e+01,4.781752e+01,5.039246e+01,5.098278e+01,5.467812e+01,3.661650e+01,3.881843e+01,3.858303e+01
65,AGIS_Os01g000650, 8.980346e-01, 1.7697392818, 2.726065e+00,1.400666e-01,0.576453777,Not_significant,2.345277e+00,1.209669e+00,4.717782e+00,1.338027e+00,6.351604e+00,1.993884e+00,2.451691e+00,6.577525e+00
66,AGIS_Os01g000660,-3.889061e-01, 5.1820739966, 7.375891e-01,4.171795e-01,0.765871151,Not_significant,2.743974e+01,4.623428e+01,3.985558e+01,3.931439e+01,6.199082e+01,1.676215e+01,1.588269e+01,4.266762e+01
67,AGIS_Os01g000670,-1.159424e-01, 2.3002016520, 1.835448e-01,6.803498e-01,0.892577085,Not_significant,4.878177e+00,7.026757e+00,4.494543e+00,3.994405e+00,5.975522e+00,4.697456e+00,3.535409e+00,4.506468e+00
68,AGIS_Os01g000680, 8.513494e-01, 0.2765092379, 3.544071e+00,9.887328e-02,0.538672830,Not_significant,9.850164e-01,8.183058e-01,5.506559e-01,8.264287e-01,2.862400e+00,1.402478e+00,1.048187e+00,9.204700e-01
69,AGIS_Os01g000690, 1.086493e+00, 1.9021290750, 2.780869e+00,1.366924e-01,0.572569858,Not_significant,2.579805e+00,1.405351e+00,2.172858e+00,2.203810e+00,8.775242e-01,6.589957e+00,8.865171e+00,4.889997e+00
70,AGIS_Os01g000700,-4.141507e-01, 4.4310406725, 3.136524e+00,1.172302e-01,0.552374430,Not_significant,2.150619e+01,2.513622e+01,2.485393e+01,2.550123e+01,2.783005e+01,1.669456e+01,1.526089e+01,1.549458e+01
71,AGIS_Os01g000710,-4.480001e-01, 7.2256349711, 2.684011e+00,1.427319e-01,0.577533791,Not_significant,1.867779e+02,1.599610e+02,1.469061e+02,1.864384e+02,7.335685e+01,1.258851e+02,1.625222e+02,1.552143e+02
72,AGIS_Os01g000720,-4.149925e-01, 3.6978431337, 4.904047e+00,5.977112e-02,0.487461343,Not_significant,1.538502e+01,1.519203e+01,1.345386e+01,1.491507e+01,1.385235e+01,1.005391e+01,1.087271e+01,9.799170e+00
74,AGIS_Os01g000740, 3.405881e-01, 2.5568291296, 1.877950e+00,2.100741e-01,0.630323533,Not_significant,5.980457e+00,5.461302e+00,5.104729e+00,4.014082e+00,7.396276e+00,7.553104e+00,4.654659e+00,6.615878e+00
75,AGIS_Os01g000750,-1.135928e+00,-1.7384082888, 9.391143e-01,3.627041e-01,0.733427419,Not_significant,9.381109e-02,6.759918e-01,3.125344e-01,3.148300e-01,3.760818e-01,1.182813e-01,1.421270e-01,5.752937e-02
76,AGIS_Os01g000760,-3.985467e-01,-0.4451902795, 2.110167e-01,6.590623e-01,0.885310112,Not_significant,2.579805e-01,1.280827e+00,6.250689e-01,8.657825e-01,1.358073e+00,3.041518e-01,3.908492e-01,4.985879e-01
77,AGIS_Os01g000770,-2.107359e-01, 1.1098125201, 4.144978e-01,5.388287e-01,0.827574266,Not_significant,1.407166e+00,1.974608e+00,2.827693e+00,2.931854e+00,1.211819e+00,2.162858e+00,2.345095e+00,2.090234e+00
78,AGIS_Os01g000780, 3.751687e-02, 4.4007962021, 3.678107e-02,8.529930e-01,0.955627920,Not_significant,1.899675e+01,2.170289e+01,1.882648e+01,2.314000e+01,1.589990e+01,2.259172e+01,2.689753e+01,2.063387e+01
79,AGIS_Os01g000790, 3.518327e-01, 3.3632744951, 2.155748e+00,1.829042e-01,0.610478596,Not_significant,1.055375e+01,6.653182e+00,8.542608e+00,1.017294e+01,8.378267e+00,9.952524e+00,1.458578e+01,1.319340e+01
81,AGIS_Os01g000810, 7.583256e-01, 3.9764482519, 4.742183e+00,6.351207e-02,0.492277116,Not_significant,1.402476e+01,9.179257e+00,1.156377e+01,1.042874e+01,8.879709e+00,2.058094e+01,2.540520e+01,2.556222e+01
85,AGIS_Os01g000850,-3.350924e-01, 2.6178811667, 1.554283e+00,2.500143e-01,0.658854521,Not_significant,8.654073e+00,3.806901e+00,4.732664e+00,1.046810e+01,8.127546e+00,4.207434e+00,3.570941e+00,5.273526e+00
87,AGIS_Os01g000870, 1.046950e+00, 1.4894139819, 9.795176e+00,1.515883e-02,0.358642924,Not_significant,1.923127e+00,1.512087e+00,1.413846e+00,2.243164e+00,4.909957e+00,4.596072e+00,2.238500e+00,3.336704e+00
89,AGIS_Os01g000890,-1.661439e-01, 2.4268566168, 2.100184e-01,6.598086e-01,0.885484956,Not_significant,5.769382e+00,6.653182e+00,4.375482e+00,5.056957e+00,2.193811e+00,6.826519e+00,6.910925e+00,4.928350e+00
90,AGIS_Os01g000900, 2.093444e-01, 2.3952190615, 4.151101e-01,5.386909e-01,0.827574266,Not_significant,5.863193e+00,4.856467e+00,4.643369e+00,3.758283e+00,3.760818e+00,4.528483e+00,7.532731e+00,6.845996e+00
95,AGIS_Os01g000950, 7.107529e-01, 5.4249477421, 2.784694e+00,1.364609e-01,0.572147712,Not_significant,4.073747e+01,2.428234e+01,2.881270e+01,3.077463e+01,1.918017e+01,6.258769e+01,7.642879e+01,6.057843e+01
96,AGIS_Os01g000960,-3.340332e-02, 2.8345698535, 2.249746e-02,8.847156e-01,0.966975699,Not_significant,7.411076e+00,7.418120e+00,6.667401e+00,7.024644e+00,9.172218e+00,5.863372e+00,6.413481e+00,6.807643e+00
99,AGIS_Os01g000990,-1.036786e-01, 2.6580981791, 8.134156e-02,7.832461e-01,0.931506757,Not_significant,1.001433e+01,4.874256e+00,6.354867e+00,5.076634e+00,3.656351e+00,6.911006e+00,7.088584e+00,6.232349e+00
100,AGIS_Os01g001000, 3.211240e-01, 4.9400223505, 1.369501e+00,2.779293e-01,0.682177741,Not_significant,2.256157e+01,3.004606e+01,2.363356e+01,2.935790e+01,4.993531e+01,2.247344e+01,2.329106e+01,4.399079e+01
101,AGIS_Os01g001010,-1.613695e-01, 3.8902484901, 7.384984e-01,4.166930e-01,0.765789475,Not_significant,1.798828e+01,1.652622e+01,1.388546e+01,1.399026e+01,1.648492e+01,1.154087e+01,1.497663e+01,1.294411e+01
102,AGIS_Os01g001020, 6.806221e-01, 2.6399607671, 8.886607e+00,1.885337e-02,0.379597879,Not_significant,3.588274e+00,4.803099e+00,5.283320e+00,5.391464e+00,6.811260e+00,7.012390e+00,7.141881e+00,9.530700e+00
104,AGIS_Os01g001040, 3.330403e-01,-0.5561683140, 2.880593e-01,6.069742e-01,0.861472270,Not_significant,5.628665e-01,6.048347e-01,4.762430e-01,5.115987e-01,4.178687e-01,1.047634e+00,4.263810e-01,1.093058e+00
106,AGIS_Os01g001060,-1.873091e+00,-0.9922082920, 2.575911e+00,1.499030e-01,0.586008475,Not_significant,3.752444e-01,1.085145e+00,4.762430e-01,8.657825e-01,1.671475e-01,3.717411e-01,3.730834e-01,0.000000e+00
107,AGIS_Os01g001070, 2.852312e-01, 5.2512447062, 2.615435e+00,1.468950e-01,0.582885797,Not_significant,3.703193e+01,2.766229e+01,3.961746e+01,3.349004e+01,3.911251e+01,4.090842e+01,4.325990e+01,4.331962e+01
108,AGIS_Os01g001080, 1.829947e-01, 2.2430615386, 5.553388e-01,4.787844e-01,0.797582587,Not_significant,3.986971e+00,4.465104e+00,4.628486e+00,4.407620e+00,3.969752e+00,5.305760e+00,6.182524e+00,4.621526e+00
109,AGIS_Os01g001090, 2.681554e-01, 1.6481484513, 3.362112e-01,5.791128e-01,0.848110395,Not_significant,3.893160e+00,3.522273e+00,2.678867e+00,1.180612e+00,1.525221e+00,4.308818e+00,5.187635e+00,2.473763e+00
111,AGIS_Os01g001110, 1.156752e+00,-0.8859100534, 1.751245e+00,2.246386e-01,0.641259233,Not_significant,4.925082e-01,6.759918e-01,1.488259e-01,5.903062e-02,2.507212e-01,1.453170e+00,4.796786e-01,4.602350e-01
112,AGIS_Os01g001120,-5.647417e-01, 3.6996956719, 3.312537e+00,1.089512e-01,0.548400039,Not_significant,1.172639e+01,1.761136e+01,1.604343e+01,1.511184e+01,1.738334e+01,8.279689e+00,7.408369e+00,1.008682e+01
113,AGIS_Os01g001130,-8.658028e-02, 6.2459867979, 1.386255e-01,7.200069e-01,0.909476471,Not_significant,5.945278e+01,8.038965e+01,8.215191e+01,8.974622e+01,9.333097e+01,6.148936e+01,6.338864e+01,7.693595e+01
114,AGIS_Os01g001140,-1.148369e-01, 0.1901490577, 4.619288e-02,8.355521e-01,0.949730191,Not_significant,7.973943e-01,9.784091e-01,1.279903e+00,1.338027e+00,1.922196e+00,7.096876e-01,6.218056e-01,1.188940e+00
115,AGIS_Os01g001150, 4.797489e-02, 1.4459389090, 2.559347e-02,8.771102e-01,0.964515897,Not_significant,2.345277e+00,2.134711e+00,2.857458e+00,3.246684e+00,2.298278e+00,2.788059e+00,2.469456e+00,3.355880e+00
116,AGIS_Os01g001160,-2.137785e-01, 2.5788800116, 7.750357e-01,4.059178e-01,0.758574294,Not_significant,7.833226e+00,5.906033e+00,5.833976e+00,5.883385e+00,5.557653e+00,6.066140e+00,4.121683e+00,6.309055e+00
117,AGIS_Os01g001170,-5.807819e-01, 0.4333509610, 6.641740e-01,4.403347e-01,0.777353603,Not_significant,2.814333e-01,3.077541e+00,1.875207e+00,1.554473e+00,1.044672e+00,6.252010e-01,1.137016e+00,8.821171e-01
118,AGIS_Os01g001180,-4.628687e-01, 5.3010652444, 5.941876e+00,4.258264e-02,0.459676583,Not_significant,4.444300e+01,4.801321e+01,4.436501e+01,4.476489e+01,4.268529e+01,2.752574e+01,3.313336e+01,3.018375e+01
127,AGIS_Os01g001270, 3.038646e-01,-0.9103475582, 1.113942e-01,7.477512e-01,0.919673976,Not_significant,8.912054e-01,2.490496e-01,5.804211e-01,1.770919e-01,2.089343e-01,4.731251e-01,6.395715e-01,7.478819e-01
128,AGIS_Os01g001280, 7.662796e-01, 0.3550499043, 2.890361e+00,1.299382e-01,0.567263109,Not_significant,1.829316e+00,3.735744e-01,9.822511e-01,7.280443e-01,2.402745e+00,1.149018e+00,1.137016e+00,1.361529e+00
129,AGIS_Os01g001290,-1.663867e-01, 1.5471173266, 2.618549e-01,6.235308e-01,0.869751548,Not_significant,3.517916e+00,3.664587e+00,2.991401e+00,2.066072e+00,2.047557e+00,2.855648e+00,3.482111e+00,2.454587e+00
130,AGIS_Os01g001300, 1.085464e-01, 2.0696180429, 1.175337e-01,7.411478e-01,0.917790018,Not_significant,3.822802e+00,3.379959e+00,5.268438e+00,3.305715e+00,2.590786e+00,6.116832e+00,4.814552e+00,3.969527e+00
131,AGIS_Os01g001310,-1.094970e-01, 1.3378175744, 1.052802e-01,7.544232e-01,0.921826039,Not_significant,2.251466e+00,1.974608e+00,3.348583e+00,2.715409e+00,1.546114e+00,2.703572e+00,2.362861e+00,3.010704e+00
132,AGIS_Os01g001320,-5.775979e-02, 2.1963751132, 3.681732e-02,8.529284e-01,0.955606604,Not_significant,4.033877e+00,6.030558e+00,3.199757e+00,5.293079e+00,3.029548e+00,5.221273e+00,5.454123e+00,4.103762e+00
133,AGIS_Os01g001330, 8.013472e-02, 0.5810135399, 3.001965e-02,8.670278e-01,0.961272524,Not_significant,1.758958e+00,6.404133e-01,1.726381e+00,1.613504e+00,9.193111e-01,1.317991e+00,2.274032e+00,1.419058e+00
136,AGIS_Os01g001360, 5.386328e-01, 0.1590304892, 6.920356e-01,4.312990e-01,0.772876719,Not_significant,8.442998e-01,2.846281e-01,1.562672e+00,9.641668e-01,1.253606e+00,1.774219e+00,1.208079e+00,7.287054e-01
137,AGIS_Os01g001370,-1.868647e-01, 0.6241429399, 1.536256e-01,7.060181e-01,0.903178472,Not_significant,1.360261e+00,1.369773e+00,1.518024e+00,1.770919e+00,4.387621e-01,1.470067e+00,1.758822e+00,2.339528e+00
139,AGIS_Os01g001390,-1.166867e-01,-0.5839796083, 8.902297e-03,9.273147e-01,0.981755489,Not_significant,6.332249e-01,6.759918e-01,4.613604e-01,2.951531e-01,0.000000e+00,7.603796e-01,1.794353e+00,4.027056e-01
144,AGIS_Os01g001440,-6.719225e-01,-0.9639507271, 9.579865e-01,3.581264e-01,0.731306200,Not_significant,6.332249e-01,7.115703e-01,4.613604e-01,5.115987e-01,5.850162e-01,2.703572e-01,3.553175e-01,2.876469e-01
146,AGIS_Os01g001460, 1.110863e+00,-1.9614964799, 3.162916e-01,5.903415e-01,0.853372222,Not_significant,4.221499e-01,1.067355e-01,0.000000e+00,1.574150e-01,0.000000e+00,3.717411e-01,4.263810e-01,2.876469e-01
147,AGIS_Os01g001470, 1.647892e-01,-1.1007869006, 5.012718e-02,8.288041e-01,0.947522734,Not_significant,1.172639e-01,7.293595e-01,2.678867e-01,4.722450e-01,8.357374e-02,5.914064e-01,4.441469e-01,7.095289e-01
157,AGIS_Os01g001570, 5.174117e-02, 1.5504968499, 2.083039e-02,8.890451e-01,0.968549618,Not_significant,3.986971e+00,2.579442e+00,1.949620e+00,2.990885e+00,2.152024e+00,3.092210e+00,3.215623e+00,3.183292e+00
158,AGIS_Os01g001580,-9.092555e-01, 0.5824364865, 3.195058e+00,1.143873e-01,0.551035523,Not_significant,3.330294e+00,1.992397e+00,8.036600e-01,1.790596e+00,8.566308e-01,9.462502e-01,1.137016e+00,8.629406e-01
165,AGIS_Os01g001650,-9.217934e-01,-0.9069434757, 1.109854e+00,3.249122e-01,0.712415956,Not_significant,6.332249e-01,8.183058e-01,4.464778e-01,4.722450e-01,6.268030e-02,6.252010e-01,6.928691e-01,2.109410e-01
168,AGIS_Os01g001680, 1.528989e-01, 3.7920056868, 2.651589e-01,6.215050e-01,0.868602882,Not_significant,1.414202e+01,1.182986e+01,1.104288e+01,1.406897e+01,7.605210e+00,1.703250e+01,1.947140e+01,1.532199e+01
169,AGIS_Os01g001690,-1.375901e-01,-2.0378208428, 8.729078e-03,9.280230e-01,0.982119521,Not_significant,2.579805e-01,1.067355e-01,1.190607e-01,2.361225e-01,0.000000e+00,4.393304e-01,3.908492e-01,9.588229e-02
171,AGIS_Os01g001710,-1.161183e+00,-0.1464541530, 1.433649e+00,2.678354e-01,0.673248207,Not_significant,2.509447e+00,1.245248e+00,3.869474e-01,8.461056e-01,8.357374e-02,6.589957e-01,7.639326e-01,4.794115e-01
173,AGIS_Os01g001730, 8.775139e-01,-0.8481455733, 1.213097e+00,3.047190e-01,0.698993353,Not_significant,2.345277e-01,6.048347e-01,5.208907e-01,1.180612e-01,2.507212e-01,5.576117e-01,9.948889e-01,8.437642e-01
178,AGIS_Os01g001780,-2.227536e-01, 0.0308937463, 1.339691e-01,7.245146e-01,0.911067813,Not_significant,1.313355e+00,6.759918e-01,6.101863e-01,1.652857e+00,3.342949e-01,8.955582e-01,1.065952e+00,1.342352e+00
183,AGIS_Os01g001830,-3.017008e-01, 7.0275484380, 2.145803e+00,1.834762e-01,0.610478596,Not_significant,1.377147e+02,1.242046e+02,1.489301e+02,1.624129e+02,1.529817e+02,1.016205e+02,9.945336e+01,1.161326e+02
184,AGIS_Os01g001840, 2.899936e-01, 3.6352157528, 9.952735e-01,3.497174e-01,0.726668946,Not_significant,1.151531e+01,9.801881e+00,1.096847e+01,1.082228e+01,6.727686e+00,1.407547e+01,1.957799e+01,1.560964e+01
185,AGIS_Os01g001850, 8.847801e-01, 2.1919919957, 7.812646e+00,2.500832e-02,0.409605712,Not_significant,4.291857e+00,3.202066e+00,3.527174e+00,1.948011e+00,4.617449e+00,6.978595e+00,5.898270e+00,5.791290e+00
186,AGIS_Os01g001860, 8.877662e-02, 6.4816080605, 1.505656e-01,7.088341e-01,0.904739810,Not_significant,6.888079e+01,8.403645e+01,9.282273e+01,9.844340e+01,1.173584e+02,7.167845e+01,7.946675e+01,1.019229e+02
187,AGIS_Os01g001870, 5.000774e-02, 2.1333344908, 2.975873e-02,8.675905e-01,0.961544793,Not_significant,5.558307e+00,2.935227e+00,4.970786e+00,3.797637e+00,4.659236e+00,3.970871e+00,3.606472e+00,5.311879e+00
188,AGIS_Os01g001880,-3.251557e-01, 5.7267692753, 1.944739e+00,2.032860e-01,0.627774227,Not_significant,5.356613e+01,5.923823e+01,5.616690e+01,6.251343e+01,7.055713e+01,3.374396e+01,4.143002e+01,4.615773e+01
189,AGIS_Os01g001890, 1.262355e-01, 2.8837255547, 7.496481e-02,7.916692e-01,0.934559159,Not_significant,3.775896e+00,7.311385e+00,8.200308e+00,7.457535e+00,1.378967e+01,4.528483e+00,4.654659e+00,9.032112e+00
190,AGIS_Os01g001900, 2.588849e-01, 5.0296190255, 2.087301e+00,1.888725e-01,0.614171033,Not_significant,2.997264e+01,2.092017e+01,2.788998e+01,4.051468e+01,4.235099e+01,2.864097e+01,2.810561e+01,4.262927e+01
191,AGIS_Os01g001910,-1.806796e+00,-1.4944737721, 1.205124e+00,3.064718e-01,0.699884624,Not_significant,0.000000e+00,6.759918e-01,4.613604e-01,8.067518e-01,3.342949e-01,1.013839e-01,7.106350e-02,7.670583e-02
192,AGIS_Os01g001920, 5.146956e-02, 3.6283951219, 7.681219e-02,7.891298e-01,0.933577779,Not_significant,1.367297e+01,9.748513e+00,1.099824e+01,1.381317e+01,1.675653e+01,1.067911e+01,1.026868e+01,1.271399e+01
197,AGIS_Os01g001970, 7.316937e-01, 0.9416255343, 5.680485e-01,4.741529e-01,0.795062546,Not_significant,1.876222e+00,1.209669e+00,1.071547e+00,8.854593e-01,1.253606e-01,3.142902e+00,3.926258e+00,2.818939e+00
