,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmockWT_1,CPM.LPmockWT_2,CPM.LPmockWT_3,CPM.LPmockWT_4,CPM.LPmockpho2_1,CPM.LPmockpho2_2,CPM.LPmockpho2_3,CPM.LPmockpho2_4
50354,AGIS_Os11g012980,-5.702263e-02, 3.2925114570, 7.596623e-02,7.902613e-01,0.934184835,Not_significant,1.189056e+01,1.029998e+01,1.116194e+01,6.847552e+00,9.966168e+00,9.614578e+00,9.469211e+00,8.840347e+00
50355,AGIS_Os11g012990, 2.265644e-02, 1.0266821659, 6.968695e-04,9.796322e-01,0.995766453,Not_significant,2.650163e+00,3.148699e+00,9.673685e-01,9.444900e-01,2.716146e-01,2.517701e+00,3.428814e+00,2.071057e+00
50358,AGIS_Os11g013020,-7.696303e-02,-1.1115649641, 9.097447e-03,9.265049e-01,0.981619090,Not_significant,1.172639e-01,1.174091e+00,4.762430e-01,1.967687e-01,1.671475e-01,4.393304e-01,4.974445e-01,3.068233e-01
50367,AGIS_Os11g013110, 1.818577e-01, 0.0375125450, 2.662076e-02,8.747271e-01,0.963641966,Not_significant,1.242997e+00,6.404133e-01,1.651968e+00,1.574150e-01,1.253606e-01,2.010782e+00,8.705278e-01,1.188940e+00
50371,AGIS_Os11g013150, 2.264920e+00,-1.5053749638, 2.480352e+00,1.566517e-01,0.590692107,Not_significant,2.345277e-01,5.870455e-01,0.000000e+00,0.000000e+00,3.342949e-01,7.772769e-01,4.086151e-01,1.725881e-01
50372,AGIS_Os11g013160, 8.061911e-02, 2.0337398939, 7.577026e-03,9.329261e-01,0.983874206,Not_significant,5.112704e+00,4.838678e+00,2.187741e+00,2.243164e+00,2.507212e-01,6.894108e+00,7.070818e+00,3.854468e+00
50373,AGIS_Os11g013170,-1.635463e+00,-1.5398506867, 1.628497e+00,2.402122e-01,0.651121922,Not_significant,5.159610e-01,4.803099e-01,1.785911e-01,4.919219e-01,6.268030e-02,2.365625e-01,4.796786e-01,1.917646e-02
50376,AGIS_Os11g013200,-6.696044e-02, 4.1036096407, 9.061486e-02,7.716168e-01,0.926972048,Not_significant,1.655766e+01,1.778926e+01,1.750193e+01,1.707953e+01,2.565714e+01,1.444721e+01,1.376855e+01,1.443987e+01
50378,AGIS_Os11g013220, 6.148181e-01, 3.1690752954, 1.572541e+00,2.477126e-01,0.657632175,Not_significant,7.411076e+00,1.440930e+01,5.610737e+00,2.302194e+00,1.592080e+01,9.918730e+00,4.494766e+00,1.160176e+01
50382,AGIS_Os11g013260,-8.768982e-01, 1.6012868137, 8.440475e+00,2.109011e-02,0.388551927,Not_significant,4.878177e+00,4.447314e+00,3.571822e+00,2.361225e+00,3.739925e+00,2.027679e+00,1.776587e+00,1.188940e+00
50385,AGIS_Os11g013290,-6.315775e-01,-1.7508501053, 1.444767e-01,7.144647e-01,0.906915554,Not_significant,4.690554e-01,9.072521e-01,1.190607e-01,0.000000e+00,2.089343e-02,2.365625e-01,1.776587e-01,1.534117e-01
