gene_id	E_1	E_2	E_3	J3_1	J3_2	J3_3	J4_1	J4_2	J4_3	pJ2_1	pJ2_2	pJ2_3	ppJ2_1	ppJ2_2	ppJ2_3	RF_1	RF_2	RF_3	RM_1	RM_2	RM_3
Hg_chrom1_TN10gene_2197	-1.09192941013055	-0.879921230944904	-0.812151038339838	1.10380650471301	1.53691620363324	1.11546525755011	3.11096659111435	3.49942162529838	3.31324733440463	-1.47371251493965	-1.5094288916984	-1.46837646494009	-1.70860240274365	-1.70185849202851	-1.65323802783759	-0.305783227643508	-0.419880053761917	-0.357090448651306	-0.797453133919079	0.452400616521397	0.0472012043438443
Hg_chrom1_TN10gene_2196	-0.0422409629429925	-0.159530189392932	0.180205164714335	0.127194072528818	-0.0805852815948143	-0.048326596195059	0.502076405599235	0.579884915083653	0.629133884306237	-0.277056871132903	-0.0753478546744297	-0.288157706134497	0.0432488882858539	-0.0627362590307285	0.139140516884437	-0.402171453551679	-0.267166033538576	-0.2891676012106	-0.242719856650391	0.016491059704844	0.0178317589421297
Hg_chrom1_TN10gene_2195	1.81123678046288	1.81201162793022	1.80178356581011	-0.75843157421275	-0.656669755395351	-0.608505805966166	0.966798263673116	0.913607568370074	0.751645246764802	-1.34164033318373	-1.23528241307388	-1.25430162333944	-0.262797739833491	-0.334460178491165	-0.398607264776444	-0.260802535696849	-0.318756085734874	-0.284631920614324	-0.0453933313162835	-0.143612772679948	-0.153189718696552
Hg_chrom1_TN10gene_2193	-0.360300411446639	-0.368048154275531	-0.396838261901602	0.0802209123272455	0.118053323423922	0.0888718103596347	0.727257231940499	0.753827152266252	0.571700294478992	-0.269219666955838	-0.271052893573129	-0.269944400392808	-0.233932805497938	-0.276083612361635	-0.349506688789829	-0.0603295547266178	-0.00140323045103052	-0.132409946817818	0.143124821304465	0.26468898159219	0.241325099497239
Hg_chrom1_TN10gene_2192	-1.36178907971908	-1.22431618624326	-1.20489473207105	0.133677762190192	-0.149587971905868	-0.0618210180943528	1.11711967278925	1.5346816457328	1.25717926339498	-0.491265566862069	-0.721459675258204	-0.787583450102755	-0.934924001028801	-0.973787024856964	-0.889552524519754	-0.14491893453112	-0.046057150873752	-0.265995960776486	1.29523015492482	2.21117874535905	1.70888603245239
Hg_chrom1_TN10gene_2191	-1.49024886299086	-1.53291141823956	-1.40897990273857	-0.585932849631867	-0.713850746310994	-0.735581914225575	2.4103691490572	2.84689783783602	2.38323876093703	-1.12279832983425	-1.0352129411452	-0.628593090098047	-1.39675152363677	-1.30651962438613	-1.39704795839721	-0.846624918945215	-0.861020989872272	-0.774306039163434	2.23043802987617	3.22009656538845	2.74534076652109
Hg_chrom1_TN10gene_2190	0.412237055783999	0.346858952551065	0.348259950314736	0.171659615314308	-0.0567012945537524	-0.0143611742586263	0.199991020806555	0.0796741298903836	0.115164575670601	-0.393723502028555	-0.316282829963441	-0.283870843853698	-0.225843647371995	-0.292290104698102	-0.0776168122416951	0.949492400458032	0.887080949617735	0.920631688370365	-1.06289540851076	-0.656523205103401	-1.05094151619375
Hg_chrom1_TN10gene_2189	-0.55043741641052	-0.711927768558295	-0.871335955247431	-0.450016690368397	-0.472952264643413	-0.580669668484463	0.411494197316355	0.583038989953838	0.617126870172685	-0.654575677012518	-0.657280685020927	-0.670909577711743	-0.898249989962197	-1.10163074860546	-0.744712286857204	-0.400715502185752	-0.603037344365814	-0.457374955295899	2.8180449231799	2.53478363368838	2.86133791641891
Hg_chrom1_TN10gene_2188	-0.374098553398121	-0.625374218339882	-0.381606483540205	-0.792422428894932	-0.560481083407225	-0.792422428894932	0.216494022125776	0.243492600110949	0.368027466561568	-0.452556947342046	-0.336941926630414	-0.581654811968175	-0.640609257524198	-0.538000093327678	-0.52997314358769	-0.534625341575476	-0.611148599556611	-0.460246155056257	2.78385803885208	2.23329332532929	2.36699602006418
Hg_chrom1_TN10gene_2187	-1.81178980657566	-1.68545015146686	-1.7999244322939	-2.20038190396596	-2.30066470318818	-2.08155490887298	2.18473128518354	2.62461907887574	2.50909848198	-1.96147693178066	-2.18789480589805	-2.06233857174143	-2.30279309516603	-2.31073898975075	-2.40610231605093	-0.486996986018715	-0.431004665900081	-0.854206823363837	6.84114961392965	6.14471131620761	6.57900931585747
Hg_chrom1_TN10gene_2186	0.671190843777223	0.663065641029638	0.566952831984837	-0.00201284933278245	0.00792308441181433	-0.0163068950794116	-0.099943340209304	-0.225484874001786	-0.327766915569368	0.241994202105166	0.205072319730593	0.228263297455953	0.428813729278941	0.379328757304382	0.234297511055029	-0.445075951198071	-0.383702619644424	-0.518947497300344	-0.300417977896295	-0.619429435824648	-0.687813862077181
Hg_chrom1_TN10gene_2185	0.868273731459192	0.858857542574189	0.854989680219017	-0.253911832454397	-0.190140374877156	-0.200862115622412	-0.471261771823047	-0.366010762416124	-0.476285492579525	-0.087066994695089	-0.0925578258438087	-0.158777733793054	0.0347710876730734	0.0257029558032755	-0.00359399604827182	0.0595162402008729	-0.0315333726258604	0.0859965019375029	-0.12022362776746	-0.0647447800250536	-0.271137059295922
Hg_chrom1_TN10gene_2184	1.3798736489041	1.44539201517004	1.32945637409517	-1.09177259960061	-0.957247638683651	-0.984068906383273	0.271183324462273	0.104473662833364	0.109135420701064	-0.35149098760975	-0.471642802965683	-0.498224920413225	0.480208548546688	0.421209510133014	0.31947039898257	-0.603389585310243	-0.606256985118131	-0.58100143190474	0.341230795376648	-0.0295900722396816	-0.026947768975905
Hg_chrom1_TN10gene_2183	2.95803910611892	2.97691957753711	2.8587202627463	-1.14826433387753	-1.00602821727551	-1.16924055607895	-0.254370634467207	-0.356492933996055	-0.284088851750756	-0.482030346556922	-0.477877371040989	-0.445161387512568	0.574957110457804	0.464022923606993	0.48737476012581	-0.957721662791089	-0.945028014444492	-0.909914544892274	-0.328202733762799	-0.681133705238421	-0.874478446907389
