,gene,E_1,E_2,E_3,ppJ2_1,ppJ2_2,ppJ2_3,pJ2_1,pJ2_2,pJ2_3,J3_1,J3_2,J3_3,J4_1,J4_2,J4_3,RF_1,RF_2,RF_3,RM_1,RM_2,RM_3,cluster,membership
1,Hg_chrom1_TN10gene_1079,-1.49882014760134,-1.60484814206241,-1.70624506548053,-0.470304147225711,-0.376970900623766,-0.610727980564834,-0.258824478225238,-0.191766167010947,-0.38632226622199,0.462798414122773,0.442787074556466,0.425906252105264,1.30627364919853,1.5935351401967,1.24174663057499,1.07369986111778,1.08535530265652,1.14736387512566,-0.980103107863143,-0.50394591318381,-0.190587883590966,1,0.476137653049376
2,Hg_chrom1_TN10gene_1126,-0.766804216081203,-1.40055974572648,-1.69971363339085,-1.0302814228063,-0.757713498347394,-0.756072684888576,-0.760505042971614,-0.484214136370116,-0.688881137518445,0.847248597410317,0.641112731480157,1.08068882481805,0.0435208944360023,0.204884214807934,-0.122055948294221,0.391619459998166,0.0894174686728835,0.272466819223448,1.83194835244686,1.07048077544513,1.99341332765624,1,0.734950812899232
3,Hg_chrom1_TN10gene_1141,-1.80413259404141,-1.96417691664285,-1.94043732831837,-0.548373986655322,-0.38307372404904,-0.515780893470585,-0.51495692785813,-0.56696556831624,0.0292746339033071,0.867756755654733,0.583438208065767,1.01645920082923,1.04270934747578,1.02029356751699,1.25337120053257,0.174343067393671,0.42169262608302,1.09380955541638,-0.271914159192753,0.433313241740737,0.573350693932534,1,0.999894596709712
4,Hg_chrom1_TN10gene_1165,-0.774182946395629,-0.464232725490478,-0.617018006210922,-1.78072863815775,-1.9174347683431,-1.63671057276696,-0.754359996961275,-0.503436335726356,-0.571164512371966,0.2447668190017,0.506688720728528,0.424184928950391,0.991869049407154,0.73103807051717,0.623378023881324,0.803112260558233,0.733918064685707,0.610110765509052,1.62349295119307,1.01093490724233,0.715773940749773,1,0.98692938636288
5,Hg_chrom1_TN10gene_1394,-1.39320864137015,-1.38510083357941,-1.24912458985941,-0.521389726829547,-0.704074090391963,-0.640403784875497,-0.941336202720675,-0.705114166164361,-0.756596722709218,0.602794727560058,1.27666275478667,1.09970907239943,2.1135019921696,1.36309691943353,0.863076266505708,0.661453297961275,0.62360370046153,0.130261498702207,-0.546603752965368,0.168966258920033,-0.0601739774344376,1,0.985239261155284
6,Hg_chrom1_TN10gene_1418,-1.34000841737813,-1.51221730138752,-1.51489302887011,-0.67381104125276,-0.775974960364921,-1.35637975143521,-0.324059145884154,-0.506122078683445,-0.404300538556696,0.0883804007029188,0.0506361612917372,0.148859996182852,1.68323028287285,1.53835344016645,1.448803561991,0.386311629117393,0.229511128876094,0.485914256540946,1.17968512377158,0.160443072307476,1.00763720999167,1,0.976629650305208
7,Hg_chrom1_TN10gene_1511,-1.65770922844833,-1.29452026630509,-1.19005949076074,-1.19710839838659,-1.41583770196507,-1.31566106326067,-0.242314498507254,-0.0810603465837486,-0.225249204028136,1.44152067560568,1.12995248114977,1.29047275936398,0.882336814138843,1.0568089795035,0.827172700466246,0.825367192485439,0.61179727168531,0.387836658939566,-0.127424131487053,0.218760496184389,0.0749183002099505,1,0.989113614585902
8,Hg_chrom1_TN10gene_1561,-0.502230022628844,-0.471531502333388,-0.669386848737081,-2.05618159060021,-1.9409610189279,-2.28492210569846,0.389916542143499,0.317432676647867,0.423870397748728,0.560933020302597,0.481346516824029,0.797393037458102,0.391001251817333,0.518402392753632,0.0962564818106527,0.648024771132538,0.63383519321053,-0.0928616745591833,1.32302702833082,0.399675027360666,1.03696042594408,1,0.956811678799067
9,Hg_chrom1_TN10gene_1565,-1.527149978641,-1.3471158886874,-1.54756938096393,-1.2678026925524,-1.47210263212222,-1.2106887072044,-0.0616437602537791,-0.0310698062737187,-0.082429022555193,1.39844345786409,1.04997046849127,0.984983951143877,0.956857045025409,1.13852681133192,1.07388483908118,0.342344221535001,0.336933300090978,0.406046319795967,-0.0100479070496513,0.574877712363324,0.294751649580684,1,0.999916285024538
10,Hg_chrom1_TN10gene_1590,-1.50033780887339,-1.60710928750964,-1.30413635716575,-0.85123008104841,-0.884041369615271,-0.893769943999467,-0.291034133764492,-0.261447285565213,-0.313078903779761,0.249842614638565,0.065114876051822,0.116576301156878,1.73655808377684,1.9970954165059,1.7583890428733,0.363499760695487,0.3423639563177,0.28366080347365,0.162845231129421,0.542027063271962,0.288212021429865,1,0.998808063483813
11,Hg_chrom1_TN10gene_1606,-1.38092534130137,-1.48356794290261,-1.30185439956151,-0.610047817927462,-0.109289432441264,-0.766836484399305,-0.727970090525221,-1.26411393370376,-1.03935301913217,0.467399828535081,0.254109746875978,0.593629415489923,0.036871937058053,0.20380559886527,0.216860007651515,1.75891363402781,1.77320677368465,1.21556765198919,0.822751451885614,0.664155622536152,0.676686793295438,1,0.498753631969382
