,genes,logFC,logCPM,F,PValue,FDR,change,CPM.HPmockWT_1,CPM.HPmockWT_2,CPM.HPmockWT_3,CPM.HPmockWT_4,CPM.HPmockpho2_1,CPM.HPmockpho2_2,CPM.HPmockpho2_3,CPM.HPmockpho2_4
1,AGIS_Os01g000010, 9.381951e-01, 3.7811888043,1.622258e+00,2.401596e-01,0.622903713,Not_significant,1.314691e+00,1.503087e+01,2.617085e+00,2.208884e+01,2.196441e+01,2.780629e+01,2.563290e+00,1.589194e+01
2,AGIS_Os01g000020,-7.273623e-01, 0.3535564656,7.278247e-01,4.192446e-01,0.740297458,Not_significant,1.126878e+00,7.023771e-01,2.516428e+00,1.778582e+00,6.584621e-01,6.586938e-01,1.237450e+00,8.873674e-01
3,AGIS_Os01g000030,-2.526825e-02, 3.3931327500,5.548224e-03,9.425153e-01,0.981546617,Not_significant,7.841195e+00,1.345052e+01,1.192787e+01,8.835535e+00,9.171436e+00,1.204469e+01,7.247924e+00,1.286683e+01
4,AGIS_Os01g000040, 4.830988e-01, 5.7418728211,5.700378e+00,4.508211e-02,0.397919350,Not_significant,3.399416e+01,5.468006e+01,3.905497e+01,5.183705e+01,5.277103e+01,6.521068e+01,5.846953e+01,7.143308e+01
5,AGIS_Os01g000050, 4.539091e-01, 3.6323414550,1.984695e+00,1.978384e-01,0.593637684,Not_significant,5.869158e+00,1.425826e+01,9.260456e+00,1.339674e+01,1.349847e+01,1.463241e+01,1.224192e+01,1.536759e+01
6,AGIS_Os01g000060, 1.901690e-01, 7.2733297334,5.582954e-01,4.773124e-01,0.774320533,Not_significant,1.746192e+02,1.183154e+02,1.733316e+02,1.086082e+02,1.161245e+02,1.665084e+02,2.377673e+02,1.416964e+02
7,AGIS_Os01g000070, 7.263695e-02, 2.8237201397,2.263551e-02,8.843050e-01,0.961608280,Not_significant,3.709308e+00,9.798161e+00,5.083185e+00,7.659376e+00,1.067649e+01,9.974506e+00,2.607485e+00,6.453581e+00
8,AGIS_Os01g000080, 2.988368e-01, 6.1339386045,2.035707e+00,1.927709e-01,0.590299094,Not_significant,4.422997e+01,7.575137e+01,6.678601e+01,6.709843e+01,6.904445e+01,7.753767e+01,7.530770e+01,8.538895e+01
12,AGIS_Os01g000120, 1.087431e+00, 0.8247739618,8.932112e-01,3.735356e-01,0.713389257,Not_significant,0.000000e+00,1.896418e+00,1.207886e+00,2.524439e+00,8.936271e-01,3.481667e+00,1.856176e+00,1.613395e+00
13,AGIS_Os01g000130,-3.385512e-01, 3.2418738938,9.866766e-01,3.506359e-01,0.698107875,Not_significant,1.239566e+01,1.032494e+01,8.757170e+00,1.029856e+01,6.161324e+00,8.139573e+00,9.899603e+00,9.035014e+00
14,AGIS_Os01g000140,-3.097227e-01, 4.3430288049,1.594174e+00,2.434968e-01,0.624649112,Not_significant,2.643469e+01,2.022846e+01,2.400673e+01,1.901935e+01,1.853100e+01,1.552635e+01,1.993179e+01,1.802969e+01
16,AGIS_Os01g000160, 6.834509e-01, 4.7864557951,3.981955e+00,8.276943e-02,0.477536421,Not_significant,9.390652e+00,3.122066e+01,1.580317e+01,3.215791e+01,3.536882e+01,3.975687e+01,2.085988e+01,3.553503e+01
17,AGIS_Os01g000170,-4.090792e-01, 3.5481468742,1.848713e+00,2.122736e-01,0.605484064,Not_significant,1.342863e+01,1.615467e+01,1.338740e+01,1.024119e+01,1.030023e+01,8.704168e+00,1.122544e+01,9.478697e+00
18,AGIS_Os01g000180, 2.134489e+00, 3.1140237988,2.915572e+01,7.368087e-04,0.062151227,Not_significant,1.596411e+00,4.038668e+00,2.617085e+00,3.298982e+00,5.314730e+00,2.587726e+01,1.723592e+01,8.672000e+00
19,AGIS_Os01g000190, 1.708049e+00, 4.7952548556,2.756957e+00,1.371936e-01,0.542176297,Not_significant,3.380635e+00,2.388082e+00,1.464561e+01,1.135997e+01,1.269891e+00,7.499699e+01,9.775858e+01,1.573060e+01
20,AGIS_Os01g000200, 6.181078e-01, 2.8294101362,2.220148e+00,1.760780e-01,0.577917636,Not_significant,3.662354e+00,4.635689e+00,6.794356e+00,4.934130e+00,2.821980e+00,8.892366e+00,1.754528e+01,6.937600e+00
28,AGIS_Os01g000280,-1.627620e+00,-0.0631041553,3.991354e-01,5.459717e-01,0.811333114,Not_significant,1.361645e+00,2.528558e+00,0.000000e+00,6.311097e-01,1.505056e+00,4.704955e-02,8.838931e-01,0.000000e+00
30,AGIS_Os01g000300, 1.216889e-01, 3.9467040554,1.480925e-01,7.107920e-01,0.890335366,Not_significant,2.037772e+01,1.239696e+01,1.872223e+01,8.663414e+00,1.528573e+01,1.275043e+01,1.816400e+01,1.637596e+01
31,AGIS_Os01g000310, 2.506172e-01, 3.3270914771,3.746962e-01,5.582291e-01,0.819103772,Not_significant,6.667363e+00,7.691029e+00,1.036768e+01,8.720788e+00,3.950772e+00,1.646734e+01,1.807561e+01,7.703963e+00
32,AGIS_Os01g000320,-2.042961e-02, 6.3829140924,9.717801e-03,9.239815e-01,0.975958305,Not_significant,6.352776e+01,8.800785e+01,1.176682e+02,7.074166e+01,7.482951e+01,8.605364e+01,9.170391e+01,7.445819e+01
33,AGIS_Os01g000330, 9.706979e-01, 3.9672057789,5.157357e+00,5.431842e-02,0.422472237,Not_significant,4.883139e+00,1.559277e+01,4.630228e+00,2.071187e+01,2.384573e+01,2.719464e+01,9.546046e+00,1.802969e+01
35,AGIS_Os01g000350,-1.920934e-01, 1.4773848111,1.145760e-01,7.440059e-01,0.904971089,Not_significant,4.319700e+00,1.826180e+00,2.415771e+00,3.069488e+00,3.151211e+00,3.011172e+00,1.900370e+00,1.936074e+00
36,AGIS_Os01g000360,-1.791435e+00, 4.1277227687,2.564162e+01,1.119122e-03,0.080786821,Not_significant,2.300710e+01,3.118554e+01,2.154063e+01,3.152680e+01,1.166419e+01,4.987253e+00,7.910844e+00,7.300614e+00
37,AGIS_Os01g000370, 3.761421e-01, 2.9279364328,1.275902e+00,2.925019e-01,0.660699138,Not_significant,5.352672e+00,6.918414e+00,7.045999e+00,6.569278e+00,5.879126e+00,9.033515e+00,1.140222e+01,8.026642e+00
38,AGIS_Os01g000380,-8.407904e-01, 2.6958824248,2.359228e+00,1.648607e-01,0.567760750,Not_significant,1.666841e+01,8.604120e+00,3.774642e+00,5.192311e+00,3.762640e+00,3.199370e+00,6.187252e+00,3.791479e+00
39,AGIS_Os01g000390,-9.809564e-02, 6.3052116358,2.342064e-01,6.418377e-01,0.859245342,Not_significant,8.864776e+01,7.592697e+01,9.134635e+01,7.071297e+01,6.768049e+01,7.109188e+01,9.086421e+01,7.570857e+01
40,AGIS_Os01g000400, 1.824826e+00, 1.9320617052,3.073813e+00,1.194272e-01,0.523865439,Not_significant,5.634391e-01,4.635689e+00,0.000000e+00,5.479179e+00,7.196050e+00,6.869235e+00,8.838931e-01,4.194828e+00
41,AGIS_Os01g000410,-2.496532e-02, 4.8917201702,1.326984e-02,9.112275e-01,0.971109827,Not_significant,2.634078e+01,2.992126e+01,3.880332e+01,2.487146e+01,2.582112e+01,3.095861e+01,3.407408e+01,2.605633e+01
42,AGIS_Os01g000420,-1.781738e-01, 3.3253301477,3.219349e-01,5.865468e-01,0.832203570,Not_significant,9.343699e+00,1.201065e+01,1.298477e+01,8.060992e+00,9.735832e+00,7.716127e+00,1.113705e+01,8.550995e+00
43,AGIS_Os01g000430,-3.523165e-01, 4.9259535576,2.325879e+00,1.670641e-01,0.569689113,Not_significant,3.554362e+01,3.476767e+01,3.673985e+01,2.888761e+01,2.219958e+01,2.686530e+01,2.832878e+01,2.920246e+01
44,AGIS_Os01g000440,-3.584503e-01, 5.4942840744,2.535812e+00,1.512814e-01,0.557097995,Not_significant,6.103924e+01,5.538243e+01,4.685589e+01,3.993203e+01,3.950772e+01,3.571061e+01,3.977519e+01,4.174660e+01
45,AGIS_Os01g000450, 2.036881e-01, 3.0968846281,2.076154e-01,6.613139e-01,0.866463740,Not_significant,9.484559e+00,9.236259e+00,4.177271e+00,8.376546e+00,4.891433e+00,8.139573e+00,9.943798e+00,1.351219e+01
47,AGIS_Os01g000470,-4.449533e-01, 8.2202630921,1.629294e+00,2.392337e-01,0.622151626,Not_significant,4.646964e+02,2.849895e+02,3.634226e+02,2.469073e+02,1.478247e+02,1.975611e+02,3.616007e+02,3.181616e+02
50,AGIS_Os01g000500, 3.257491e-01, 2.6004000967,4.494644e-01,5.223353e-01,0.797824545,Not_significant,2.065943e+00,7.269603e+00,3.019714e+00,9.208464e+00,5.455829e+00,1.279748e+01,2.916847e+00,5.082195e+00
52,AGIS_Os01g000520, 6.268858e-01, 4.1692312581,2.332917e+00,1.669466e-01,0.569689113,Not_significant,7.935101e+00,1.819157e+01,6.039428e+00,2.819913e+01,2.379870e+01,3.161730e+01,1.087189e+01,1.657764e+01
53,AGIS_Os01g000530,-3.954449e-01, 6.3607145102,2.656823e+00,1.434953e-01,0.548225843,Not_significant,1.163971e+02,9.569888e+01,8.570955e+01,7.358165e+01,8.433018e+01,5.438929e+01,5.793920e+01,8.873674e+01
57,AGIS_Os01g000570, 4.021937e-01, 3.3433547998,5.394319e-01,4.845984e-01,0.779615051,Not_significant,2.676336e+00,1.057078e+01,4.982528e+00,1.804400e+01,1.260485e+01,1.764358e+01,3.756546e+00,1.020473e+01
58,AGIS_Os01g000580, 5.959858e-01, 3.7275857672,5.615160e-01,4.760880e-01,0.773526102,Not_significant,1.314691e+00,1.253743e+01,7.649942e+00,2.246177e+01,1.876617e+01,2.239559e+01,3.402989e+00,1.673898e+01
61,AGIS_Os01g000610, 1.175724e+00,-0.1217467604,1.259466e+00,2.954081e-01,0.662485759,Not_significant,1.878130e-01,6.321394e-01,9.059142e-01,2.868680e-01,2.821980e-01,2.164280e+00,1.060672e+00,1.210046e+00
62,AGIS_Os01g000620, 1.200613e+00, 1.2110687350,1.119962e+00,3.222381e-01,0.681807656,Not_significant,0.000000e+00,2.598795e+00,2.717743e+00,1.577774e+00,2.022419e+00,2.775924e+00,4.242687e+00,1.936074e+00
63,AGIS_Os01g000630,-3.575302e-01, 5.8882906716,3.131179e+00,1.160933e-01,0.520434954,Not_significant,5.906720e+01,6.563714e+01,7.519088e+01,6.511904e+01,4.345850e+01,4.610856e+01,5.793920e+01,6.066366e+01
64,AGIS_Os01g000640,-6.906091e-02, 6.5987930683,5.128012e-02,8.267916e-01,0.939047544,Not_significant,1.689378e+02,7.129128e+01,9.049076e+01,7.728225e+01,7.459435e+01,8.148983e+01,1.072162e+02,1.034590e+02
65,AGIS_Os01g000650,-1.439284e-01, 3.0824754236,5.822346e-02,8.156759e-01,0.933869984,Not_significant,1.957951e+01,6.005324e+00,7.045999e+00,4.446454e+00,4.515168e+00,5.222501e+00,7.778260e+00,1.254415e+01
66,AGIS_Os01g000660,-1.226875e+00, 6.6900639443,6.172955e+00,3.918302e-02,0.379129403,Not_significant,2.142947e+02,1.093250e+02,1.187251e+02,1.191937e+02,2.412793e+01,4.286214e+01,1.137129e+02,8.313019e+01
67,AGIS_Os01g000670,-5.855920e-01, 3.7485775883,4.280685e+00,7.357236e-02,0.463747161,Not_significant,1.258347e+01,1.748919e+01,1.942683e+01,1.460158e+01,8.795172e+00,1.397372e+01,1.003219e+01,9.962716e+00
68,AGIS_Os01g000680,-3.883304e-01, 1.8828933193,4.071868e-01,5.420506e-01,0.809407054,Not_significant,5.446578e+00,2.423201e+00,3.724314e+00,4.389081e+00,1.128792e+00,2.822973e+00,4.021714e+00,4.880521e+00
69,AGIS_Os01g000690, 6.857310e-01, 2.5697435572,2.051129e+00,1.917116e-01,0.588903202,Not_significant,2.676336e+00,5.899968e+00,1.660843e+00,5.995542e+00,7.807479e+00,1.580865e+01,1.502618e+00,5.485544e+00
70,AGIS_Os01g000700,-6.630079e-01, 5.9012828165,9.000648e+00,1.776150e-02,0.289575275,Not_significant,8.310727e+01,6.324906e+01,9.376212e+01,5.401725e+01,3.899036e+01,4.319149e+01,5.749725e+01,4.368268e+01
71,AGIS_Os01g000710, 8.896578e-01, 7.6489609241,8.254512e+00,2.175724e-02,0.312408721,Not_significant,9.108933e+01,1.152952e+02,1.832966e+02,1.382991e+02,1.361135e+02,4.042498e+02,3.894433e+02,1.472627e+02
72,AGIS_Os01g000720,-1.589759e-01, 4.7775390574,3.096811e-01,5.937968e-01,0.835847249,Not_significant,2.098811e+01,3.237958e+01,3.105273e+01,3.066619e+01,3.381673e+01,2.404232e+01,2.059471e+01,2.520930e+01
74,AGIS_Os01g000740,-2.820558e-01, 4.5455599993,7.708262e-01,4.067254e-01,0.733199614,Not_significant,2.450960e+01,2.384570e+01,2.878794e+01,2.214621e+01,3.499256e+01,1.632620e+01,1.334679e+01,2.222452e+01
75,AGIS_Os01g000750,-1.937702e+00, 0.2092986566,2.493131e+00,1.547128e-01,0.559856674,Not_significant,1.784224e+00,6.321394e-01,1.711171e+00,2.008076e+00,8.465941e-01,1.411487e-01,1.414229e+00,4.033488e-02
76,AGIS_Os01g000760, 1.017897e+00, 0.0260423841,3.544207e-01,5.688321e-01,0.823074247,Not_significant,3.521495e+00,2.458320e-01,0.000000e+00,5.163624e-01,5.643961e-01,8.468920e-01,1.193256e+00,6.453581e-01
77,AGIS_Os01g000770, 9.444039e-01, 2.0403113121,9.469715e-01,3.602912e-01,0.705059379,Not_significant,1.878130e-01,6.216037e+00,2.214457e+00,4.704636e+00,5.408796e+00,5.269550e+00,5.833695e+00,2.379758e+00
78,AGIS_Os01g000780, 7.454472e-01, 5.0754873424,4.981729e+00,5.766122e-02,0.430043249,Not_significant,1.314691e+01,3.118554e+01,1.932617e+01,4.122294e+01,4.834993e+01,4.573217e+01,3.009656e+01,4.001220e+01
79,AGIS_Os01g000790, 1.353724e-01, 4.3716195206,1.754770e-01,6.868181e-01,0.878536339,Not_significant,1.084620e+01,2.412665e+01,2.098701e+01,2.366661e+01,2.346947e+01,2.107820e+01,1.542394e+01,2.533031e+01
81,AGIS_Os01g000810, 6.856600e-01, 5.1001708455,2.921847e+00,1.275409e-01,0.533362758,Not_significant,9.907138e+00,3.164209e+01,2.370475e+01,4.328839e+01,4.486949e+01,5.278960e+01,2.081568e+01,4.670779e+01
85,AGIS_Os01g000850, 6.909758e-02, 4.1147272106,6.560735e-02,8.045294e-01,0.930125425,Not_significant,2.267842e+01,1.376659e+01,1.942683e+01,1.070018e+01,2.906640e+01,1.166829e+01,1.728011e+01,1.339118e+01
87,AGIS_Os01g000870, 3.456536e-01, 3.1607128780,9.905003e-01,3.497574e-01,0.698107875,Not_significant,7.230802e+00,6.005324e+00,9.512099e+00,8.261799e+00,1.048836e+01,8.515969e+00,7.203729e+00,1.367353e+01
89,AGIS_Os01g000890, 9.108342e-01, 2.6487188009,3.416060e+00,1.034988e-01,0.504151179,Not_significant,3.427588e+00,2.458320e+00,4.277928e+00,7.458569e+00,9.782865e+00,1.011565e+01,4.817218e+00,7.179609e+00
90,AGIS_Os01g000900, 1.463425e+00, 2.9854127719,1.185482e+01,9.426626e-03,0.220705201,Not_significant,1.408598e+00,7.691029e+00,3.070043e+00,6.540591e+00,8.560007e+00,1.425602e+01,9.546046e+00,1.161645e+01
95,AGIS_Os01g000950, 6.262188e-01, 6.5137752269,2.904468e+00,1.285148e-01,0.534664970,Not_significant,3.925293e+01,8.417990e+01,3.774642e+01,1.307831e+02,1.504586e+02,1.382316e+02,4.339915e+01,1.062824e+02
96,AGIS_Os01g000960, 6.323294e-01, 3.2303424300,3.398167e+00,1.038155e-01,0.504267687,Not_significant,5.305718e+00,9.798161e+00,5.234171e+00,9.294524e+00,8.371875e+00,1.242108e+01,1.317001e+01,1.080975e+01
99,AGIS_Os01g000990, 1.436880e-01, 3.2964611486,1.829672e-01,6.805054e-01,0.875876162,Not_significant,1.065839e+01,1.309933e+01,5.989099e+00,7.343821e+00,1.519166e+01,8.986465e+00,6.629199e+00,1.004339e+01
100,AGIS_Os01g001000,-1.859247e-01, 6.0890949827,1.820137e-01,6.814154e-01,0.876088471,Not_significant,9.686458e+01,5.341578e+01,7.358036e+01,5.763179e+01,2.469233e+01,6.074098e+01,8.047847e+01,9.656171e+01
101,AGIS_Os01g001010, 2.685643e-01, 4.8040621977,1.087524e+00,3.286403e-01,0.684114184,Not_significant,3.451065e+01,2.444272e+01,2.189293e+01,2.102743e+01,2.831387e+01,2.742989e+01,3.610703e+01,2.912179e+01
102,AGIS_Os01g001020, 5.748781e-02, 4.2763629791,2.984318e-02,8.673353e-01,0.954804315,Not_significant,1.601106e+01,1.590884e+01,2.908991e+01,1.523269e+01,2.111782e+01,1.467946e+01,1.613105e+01,2.621767e+01
104,AGIS_Os01g001040,-1.771105e+00, 0.8639446672,5.536942e+00,4.753647e-02,0.405507085,Not_significant,4.789233e+00,2.317844e+00,1.610514e+00,2.151510e+00,7.525281e-01,1.129189e+00,6.187252e-01,5.243535e-01
106,AGIS_Os01g001060, 3.977231e-01, 0.5749211567,2.072504e-01,6.614483e-01,0.866551314,Not_significant,1.314691e+00,6.321394e-01,6.039428e-01,1.950703e+00,3.292310e+00,1.411487e+00,3.535573e-01,1.694065e+00
107,AGIS_Os01g001070, 2.489465e-01, 6.5909489761,1.475376e+00,2.603074e-01,0.635796495,Not_significant,8.925815e+01,9.738459e+01,7.695238e+01,8.878565e+01,1.013091e+02,9.518125e+01,1.106192e+02,1.110419e+02
108,AGIS_Os01g001080, 1.342667e-01, 3.8887946812,1.390026e-01,7.194056e-01,0.894187470,Not_significant,9.202839e+00,1.408266e+01,1.922551e+01,1.397047e+01,1.862507e+01,1.312683e+01,1.122544e+01,1.839271e+01
109,AGIS_Os01g001090, 8.873488e-01, 3.1614366365,8.036540e+00,2.277111e-02,0.317804655,Not_significant,6.479550e+00,4.073787e+00,8.102899e+00,6.511904e+00,1.109979e+01,8.986465e+00,1.383293e+01,1.185846e+01
111,AGIS_Os01g001110, 9.969676e-01, 0.3789574368,8.223680e-01,3.919928e-01,0.724408661,Not_significant,6.573456e-01,3.547004e+00,4.026285e-01,1.147472e-01,2.304617e+00,1.176239e+00,8.838931e-01,6.453581e-01
112,AGIS_Os01g001120,-7.295108e-01, 4.8662469320,2.944438e+00,1.262894e-01,0.531967609,Not_significant,6.014713e+01,2.546117e+01,3.065010e+01,2.974821e+01,1.142902e+01,2.140755e+01,3.319019e+01,2.065146e+01
113,AGIS_Os01g001130,-2.917723e-02, 7.5626530604,1.481201e-02,9.062612e-01,0.969580965,Not_significant,2.181448e+02,1.793169e+02,1.976403e+02,1.640025e+02,1.477777e+02,1.590745e+02,2.207523e+02,2.250686e+02
114,AGIS_Os01g001140, 1.485057e-01, 2.1158948895,8.194521e-02,7.822589e-01,0.920089925,Not_significant,4.460560e+00,1.474992e+00,7.297642e+00,2.983427e+00,2.869013e+00,1.881982e+00,5.259164e+00,7.824967e+00
115,AGIS_Os01g001150, 3.306385e-02, 2.7432299784,7.228014e-03,9.344085e-01,0.979237664,Not_significant,7.324709e+00,5.127353e+00,6.794356e+00,6.712712e+00,4.515168e+00,8.233672e+00,6.540809e+00,7.663628e+00
116,AGIS_Os01g001160,-2.263489e-01, 3.7518521071,5.161687e-01,4.936290e-01,0.784307151,Not_significant,1.032972e+01,1.482016e+01,1.514890e+01,1.749895e+01,1.354551e+01,1.458536e+01,9.148294e+00,1.201980e+01
117,AGIS_Os01g001170, 2.934438e+00,-0.1810654909,2.753038e+00,1.374347e-01,0.542176297,Not_significant,1.220785e+00,2.809508e-01,0.000000e+00,2.868680e-02,9.406601e-01,8.939415e-01,2.032954e+00,1.048707e+00
118,AGIS_Os01g001180,-5.039312e-01, 6.3581357097,5.104282e+00,5.491617e-02,0.423261840,Not_significant,1.530676e+02,8.547929e+01,7.871388e+01,7.246286e+01,8.164930e+01,5.307190e+01,7.212568e+01,5.905027e+01
123,AGIS_Os01g001230, 1.939726e+00,-1.2322350413,5.526803e-01,4.794606e-01,0.775782750,Not_significant,0.000000e+00,0.000000e+00,5.032857e-01,4.016152e-01,6.584621e-01,4.704955e-01,0.000000e+00,7.260279e-01
127,AGIS_Os01g001270, 1.010044e+00, 1.3185377844,1.901337e+00,2.068604e-01,0.599908198,Not_significant,7.512522e-01,1.580348e+00,1.509857e+00,2.180197e+00,6.302423e+00,2.117230e+00,2.165538e+00,2.702437e+00
128,AGIS_Os01g001280, 1.485982e+00, 1.3941244073,1.301698e+00,2.884043e-01,0.657638054,Not_significant,0.000000e+00,2.317844e+00,2.214457e+00,1.606461e+00,4.797367e+00,1.317388e+00,4.331076e+00,3.791479e+00
129,AGIS_Os01g001290, 4.947400e-02, 2.4761509151,9.253256e-03,9.258420e-01,0.976366112,Not_significant,2.535476e+00,8.147574e+00,4.227600e+00,7.257761e+00,7.478248e+00,4.281510e+00,4.640439e+00,5.243535e+00
130,AGIS_Os01g001300, 5.137425e-01, 2.8593734530,1.336676e+00,2.824946e-01,0.652630256,Not_significant,2.723289e+00,9.060665e+00,3.321685e+00,1.067149e+01,7.948578e+00,9.221713e+00,6.452420e+00,7.945972e+00
131,AGIS_Os01g001310,-3.591567e-01, 2.7015515886,5.988681e-01,4.622833e-01,0.765660758,Not_significant,1.159746e+01,3.582123e+00,5.787785e+00,8.606041e+00,5.126598e+00,7.151532e+00,3.844935e+00,5.687218e+00
132,AGIS_Os01g001320, 2.863998e-01, 3.5471248802,3.855589e-01,5.527131e-01,0.816216064,Not_significant,4.037980e+00,1.383683e+01,1.288411e+01,1.247876e+01,1.603825e+01,1.030385e+01,1.144642e+01,1.181812e+01
133,AGIS_Os01g001330, 1.158457e+00, 2.0138610306,5.912678e+00,4.213112e-02,0.388761385,Not_significant,2.488523e+00,2.107131e+00,2.013143e+00,2.983427e+00,6.960885e+00,7.245631e+00,3.889130e+00,3.993153e+00
136,AGIS_Os01g001360, 9.473998e-01, 1.2610120615,1.827242e+00,2.146846e-01,0.606154132,Not_significant,1.220785e+00,7.374960e-01,3.925628e+00,1.290906e+00,3.527475e+00,2.917072e+00,2.740069e+00,2.218419e+00
137,AGIS_Os01g001370, 1.550963e-01, 1.4284241551,1.955070e-02,8.924150e-01,0.964885407,Not_significant,4.695326e-02,4.986877e+00,2.868728e+00,3.585850e+00,2.727914e+00,2.399527e+00,1.944565e+00,2.258753e+00
139,AGIS_Os01g001390,-3.356479e-01, 0.2082372958,4.299691e-02,8.411513e-01,0.944871040,Not_significant,4.695326e-01,1.264279e+00,2.365443e+00,7.458569e-01,1.458023e+00,1.223288e+00,0.000000e+00,1.089042e+00
140,AGIS_Os01g001400, 4.514525e-01,-0.7394376251,6.948150e-02,8.000185e-01,0.928548584,Not_significant,9.390652e-01,2.458320e-01,0.000000e+00,4.303020e-01,2.821980e-01,1.693784e+00,0.000000e+00,5.646884e-01
144,AGIS_Os01g001440,-7.650070e-01, 0.6302556065,5.472636e-01,4.815053e-01,0.777084750,Not_significant,3.521495e+00,5.970205e-01,2.365443e+00,1.090099e+00,3.762640e-01,1.364437e+00,1.900370e+00,5.646884e-01
147,AGIS_Os01g001470,-1.032912e+00, 0.8214973142,8.641296e-01,3.810212e-01,0.717385416,Not_significant,1.878130e+00,2.247607e+00,9.059142e-01,2.782620e+00,9.406601e-02,3.434618e+00,1.325840e+00,7.663628e-01
157,AGIS_Os01g001570, 7.281108e-02, 2.2414631827,8.767383e-03,9.278086e-01,0.976915423,Not_significant,1.220785e+00,7.374960e+00,9.059142e-01,9.208464e+00,9.312535e+00,4.752005e+00,8.838931e-01,3.428465e+00
158,AGIS_Os01g001580,-7.101733e-01, 1.7727069810,1.438406e+00,2.660252e-01,0.640138163,Not_significant,3.803214e+00,8.358288e+00,9.059142e-01,3.413730e+00,4.515168e+00,2.070180e+00,4.419466e-01,3.105786e+00
165,AGIS_Os01g001650, 1.112087e+00,-0.5599685532,3.005789e-01,6.014567e-01,0.839683506,Not_significant,0.000000e+00,1.123803e+00,0.000000e+00,5.737361e-01,1.363957e+00,1.364437e+00,0.000000e+00,3.226791e-01
168,AGIS_Os01g001680, 1.994273e-01, 4.9482885741,5.035668e-01,4.990194e-01,0.787103005,Not_significant,1.554153e+01,3.750694e+01,2.310081e+01,4.107950e+01,3.151211e+01,4.234460e+01,2.205313e+01,3.315527e+01
169,AGIS_Os01g001690,-6.563101e-01,-0.8215106490,1.101562e-01,7.501962e-01,0.907208541,Not_significant,8.451587e-01,4.214263e-01,0.000000e+00,6.311097e-01,1.316924e+00,6.586938e-01,0.000000e+00,0.000000e+00
171,AGIS_Os01g001710, 1.657741e+00,-0.4127112412,7.303328e-01,4.187667e-01,0.740289017,Not_significant,0.000000e+00,3.511886e-02,1.006571e+00,1.032725e+00,1.505056e+00,5.645947e-01,5.303359e-01,6.856930e-01
178,AGIS_Os01g001780, 2.906878e-01, 0.3457832690,9.584470e-02,7.650571e-01,0.913996283,Not_significant,9.390652e-01,1.896418e+00,5.032857e-01,1.032725e+00,2.163518e+00,8.468920e-01,1.060672e+00,1.048707e+00
183,AGIS_Os01g001830,-1.213506e-01, 8.1441421688,2.293339e-01,6.454108e-01,0.860630699,Not_significant,3.869888e+02,2.428469e+02,3.304070e+02,2.230973e+02,2.156463e+02,2.384942e+02,3.602748e+02,2.647985e+02
184,AGIS_Os01g001840, 5.259095e-01, 4.5030153903,1.661268e+00,2.350888e-01,0.618304211,Not_significant,9.484559e+00,1.801597e+01,1.248148e+01,3.588719e+01,3.118288e+01,3.655750e+01,1.140222e+01,2.569332e+01
185,AGIS_Os01g001850, 1.068291e+00, 3.2202690000,6.672728e+00,3.371576e-02,0.364209440,Not_significant,3.709308e+00,4.635689e+00,6.039428e+00,9.782200e+00,1.697891e+01,1.115074e+01,7.689870e+00,1.391553e+01
186,AGIS_Os01g001860, 6.467133e-02, 7.6782257430,3.362671e-02,8.592762e-01,0.951741616,Not_significant,2.770242e+02,1.527670e+02,1.994521e+02,1.638590e+02,1.149016e+02,1.845284e+02,2.626488e+02,2.827475e+02
187,AGIS_Os01g001870,-3.324327e-02, 3.6720627368,8.220165e-03,9.300906e-01,0.977726517,Not_significant,1.070534e+01,9.201140e+00,1.655810e+01,1.293775e+01,4.844400e+00,1.392667e+01,1.745689e+01,1.569027e+01
188,AGIS_Os01g001880,-2.569881e-01, 6.8472487066,8.488561e-01,3.850481e-01,0.720317473,Not_significant,1.675762e+02,9.952684e+01,1.287405e+02,1.034446e+02,8.183743e+01,8.224262e+01,1.095586e+02,1.475450e+02
189,AGIS_Os01g001890,-5.193998e-01, 4.7366812070,2.169319e+00,1.807536e-01,0.580217027,Not_significant,4.681240e+01,2.233559e+01,3.457572e+01,2.223227e+01,1.613232e+01,1.703194e+01,2.178797e+01,3.174355e+01
190,AGIS_Os01g001900,-5.081569e-02, 6.5123995908,3.455264e-02,8.573766e-01,0.951378692,Not_significant,1.192613e+02,7.192342e+01,9.829169e+01,7.888871e+01,6.838599e+01,6.761021e+01,9.797955e+01,1.273372e+02
191,AGIS_Os01g001910,-8.333445e-01,-0.3694735041,5.678471e-01,4.734467e-01,0.772297716,Not_significant,1.690317e+00,7.374960e-01,3.019714e-01,8.319173e-01,8.465941e-01,6.586938e-01,2.651679e-01,2.016744e-01
192,AGIS_Os01g001920,-5.061156e-01, 5.2428059306,3.934172e+00,8.425256e-02,0.479809509,Not_significant,6.080447e+01,3.578611e+01,5.188875e+01,3.032195e+01,3.122992e+01,2.187804e+01,3.641640e+01,3.396197e+01
197,AGIS_Os01g001970, 7.765219e-01, 1.4602982923,1.519869e+00,2.538238e-01,0.631923208,Not_significant,1.643364e+00,1.404754e+00,1.409200e+00,3.212922e+00,2.680881e+00,6.116442e+00,1.944565e+00,2.944446e+00
