,genes,logFC,logCPM,F,PValue,FDR,change,CPM.HPmockWT_1,CPM.HPmockWT_2,CPM.HPmockWT_3,CPM.HPmockWT_4,CPM.HPmockpho2_1,CPM.HPmockpho2_2,CPM.HPmockpho2_3,CPM.HPmockpho2_4
4072,AGIS_Os01g040720, 3.499737e-01, 5.6830111287,1.051994e+00,3.364253e-01,0.689217406,Not_significant,1.953256e+01,6.036931e+01,4.202435e+01,6.460268e+01,6.194247e+01,5.805915e+01,3.743287e+01,6.635088e+01
4074,AGIS_Os01g040740, 2.406574e+00, 0.5277333158,2.654350e+00,1.436961e-01,0.548350865,Not_significant,4.225793e-01,1.755943e-01,0.000000e+00,2.352318e+00,2.163518e+00,8.468920e-01,3.182015e+00,1.694065e+00
4075,AGIS_Os01g040750, 1.413511e-01, 6.0278181761,3.807221e-01,5.550125e-01,0.816816173,Not_significant,8.902338e+01,4.923664e+01,6.467221e+01,4.305889e+01,7.661677e+01,4.676726e+01,1.028410e+02,4.912789e+01
4076,AGIS_Os01g040760,-2.002414e-01, 4.8773193884,7.342430e-01,4.172900e-01,0.739657024,Not_significant,3.643573e+01,3.143138e+01,3.377047e+01,2.415429e+01,2.727914e+01,2.347773e+01,3.018495e+01,2.775040e+01
4077,AGIS_Os01g040770, 3.476652e-01, 7.6747486656,6.020371e-01,4.611444e-01,0.764913099,Not_significant,2.956647e+02,1.012828e+02,1.924061e+02,1.215747e+02,1.221447e+02,1.327268e+02,2.771889e+02,3.910064e+02
4079,AGIS_Os01g040790, 4.805783e-01, 3.9246552040,9.036827e-01,3.708967e-01,0.711760726,Not_significant,3.568448e+00,1.745407e+01,7.247313e+00,2.601893e+01,1.980090e+01,2.056066e+01,6.673393e+00,1.944141e+01
4080,AGIS_Os01g040800, 6.863169e-01, 1.8969879575,1.718261e+00,2.275279e-01,0.613960302,Not_significant,6.573456e-01,2.072012e+00,5.083185e+00,4.389081e+00,1.646155e+00,5.316600e+00,4.198492e+00,5.767888e+00
4081,AGIS_Os01g040810, 3.784847e-01, 3.0794619122,1.258539e+00,2.955732e-01,0.662610531,Not_significant,3.286728e+00,8.674357e+00,5.989099e+00,1.242139e+01,6.067258e+00,1.044500e+01,8.176012e+00,1.185846e+01
4083,AGIS_Os01g040830, 9.996776e-01, 2.4868981572,3.584582e+00,9.667708e-02,0.498075198,Not_significant,1.972037e+00,5.478541e+00,3.724314e+00,3.212922e+00,1.208748e+01,5.975293e+00,7.689870e+00,4.073823e+00
4089,AGIS_Os01g040890, 7.390024e-01, 3.4153804437,1.489928e+00,2.585612e-01,0.634693323,Not_significant,1.361645e+01,4.741045e+00,8.404870e+00,5.393119e+00,4.374069e+00,1.745538e+01,1.728011e+01,1.347185e+01
4097,AGIS_Os01g040970,-9.384910e-04, 3.5372308474,4.442091e-06,9.983724e-01,0.999562264,Not_significant,2.089420e+01,1.109756e+01,8.857828e+00,6.110289e+00,1.396880e+01,5.551847e+00,1.140222e+01,1.435922e+01
4098,AGIS_Os01g040980,-5.348231e-01, 0.0539456592,2.710811e-01,6.171911e-01,0.847104554,Not_significant,1.784224e+00,4.916640e-01,5.032857e-01,1.606461e+00,1.975386e+00,4.234460e-01,5.303359e-01,3.226791e-01
4100,AGIS_Os01g041000,-1.053278e+00, 0.0826632267,4.421568e-01,5.256431e-01,0.799204395,Not_significant,1.079925e+00,4.565451e-01,1.258214e+00,1.893329e+00,1.552089e+00,1.035090e+00,0.000000e+00,5.243535e-01
4101,AGIS_Os01g041010, 1.172300e+00, 1.9522444667,2.651195e+00,1.439024e-01,0.548620468,Not_significant,6.573456e-01,5.197591e+00,2.315114e+00,1.950703e+00,5.314730e+00,4.281510e+00,2.342317e+00,8.228316e+00
4102,AGIS_Os01g041020,-3.060550e-01, 4.0619865058,1.044643e+00,3.377593e-01,0.690452954,Not_significant,1.502504e+01,1.850764e+01,2.476165e+01,1.551956e+01,1.255781e+01,1.580865e+01,1.259548e+01,1.819103e+01
4109,AGIS_Os01g041090,-6.635124e-01, 4.9269294756,2.787345e+00,1.353433e-01,0.541620881,Not_significant,5.803423e+01,2.605819e+01,3.920595e+01,2.576075e+01,1.349847e+01,1.722014e+01,3.067109e+01,3.226791e+01
4110,AGIS_Os01g041100, 7.300519e-02, 1.3344790272,1.586224e-02,9.029900e-01,0.968263474,Not_significant,2.065943e+00,1.826180e+00,2.516428e+00,2.954741e+00,1.505056e+00,2.352478e+00,3.623962e+00,2.662102e+00
4113,AGIS_Os01g041130, 1.134079e+00, 1.1975306813,1.089384e+00,3.285070e-01,0.684114184,Not_significant,1.549458e+00,2.949984e+00,0.000000e+00,2.839993e+00,3.198244e+00,2.305428e+00,1.325840e+00,3.468800e+00
4114,AGIS_Os01g041140, 4.756539e-01, 5.0616860908,3.239551e+00,1.112993e-01,0.514149218,Not_significant,1.784224e+01,3.473255e+01,1.731303e+01,4.389081e+01,4.115388e+01,4.606151e+01,2.116924e+01,4.432804e+01
4115,AGIS_Os01g041150,-1.560593e-01, 6.0764211077,4.531224e-01,5.205498e-01,0.796928356,Not_significant,8.916424e+01,6.655023e+01,7.503989e+01,5.401725e+01,6.768049e+01,4.893154e+01,6.465678e+01,7.316748e+01
4116,AGIS_Os01g041160, 3.755382e-01, 5.0567462344,1.379879e+00,2.754349e-01,0.647001995,Not_significant,1.605802e+01,3.666408e+01,3.457572e+01,3.037932e+01,4.317630e+01,3.086451e+01,3.274824e+01,4.114158e+01
4117,AGIS_Os01g041170, 3.432678e-01, 3.1131750869,5.277394e-01,4.892157e-01,0.782317279,Not_significant,3.427588e+00,1.021959e+01,4.730885e+00,1.265088e+01,1.152309e+01,1.392667e+01,4.949802e+00,7.098939e+00
4118,AGIS_Os01g041180, 2.265498e-02, 4.2977433676,5.926998e-03,9.405999e-01,0.980839945,Not_significant,1.723185e+01,2.047429e+01,2.179227e+01,1.749895e+01,2.210551e+01,1.623210e+01,1.529135e+01,2.605633e+01
4120,AGIS_Os01g041200,-8.737069e-02, 3.1801359389,6.881477e-02,7.999273e-01,0.928548584,Not_significant,1.267738e+01,1.067613e+01,8.253885e+00,6.052915e+00,9.265502e+00,8.280722e+00,8.352790e+00,8.308986e+00
4122,AGIS_Os01g041220, 5.475761e-01, 4.9082293820,3.179188e+00,1.141981e-01,0.518496096,Not_significant,1.267738e+01,2.669033e+01,2.974418e+01,3.098175e+01,3.720311e+01,3.683980e+01,3.098045e+01,3.444599e+01
4123,AGIS_Os01g041230,-4.436961e-01, 6.9927419885,4.708250e+00,6.301312e-02,0.444749610,Not_significant,1.654633e+02,1.404052e+02,1.710165e+02,1.113048e+02,1.015443e+02,9.838062e+01,1.324514e+02,9.765075e+01
4124,AGIS_Os01g041240, 1.489562e-01, 2.9021145536,1.616356e-01,6.985448e-01,0.884305040,Not_significant,1.056448e+01,6.391632e+00,4.831542e+00,6.511904e+00,9.124403e+00,6.351690e+00,9.369267e+00,6.009898e+00
4125,AGIS_Os01g041250, 4.822201e-01, 4.1091559415,1.200113e+00,3.066301e-01,0.671910356,Not_significant,5.587438e+00,1.334517e+01,2.169161e+01,1.962177e+01,1.984793e+01,2.564201e+01,1.767786e+01,1.399620e+01
4126,AGIS_Os01g041260, 1.488799e-01, 3.3698726365,2.253161e-01,6.481425e-01,0.861268441,Not_significant,6.808223e+00,1.043030e+01,8.253885e+00,1.382704e+01,1.039429e+01,1.227993e+01,8.043428e+00,1.197946e+01
4127,AGIS_Os01g041270,-3.190003e-01, 5.4716719404,9.580139e-01,3.576613e-01,0.703552632,Not_significant,7.629905e+01,4.372297e+01,4.433947e+01,3.195710e+01,3.024222e+01,3.119385e+01,6.518712e+01,3.142087e+01
4128,AGIS_Os01g041280, 3.924763e-01, 5.7433261776,1.920382e+00,2.049227e-01,0.598620011,Not_significant,2.619992e+01,4.835866e+01,4.293027e+01,7.125802e+01,6.264796e+01,6.888055e+01,3.995197e+01,6.764160e+01
4129,AGIS_Os01g041290, 5.402705e-01, 0.5872389490,2.163257e-01,6.548229e-01,0.863808026,Not_significant,8.451587e-01,1.510111e+00,0.000000e+00,3.528477e+00,6.584621e-01,2.540676e+00,4.419466e-01,1.734400e+00
4130,AGIS_Os01g041300,-4.748896e-01, 0.5639345283,1.561539e-01,7.035262e-01,0.886734754,Not_significant,2.817196e+00,1.229160e+00,8.052571e-01,1.262219e+00,1.881320e-01,2.023131e+00,2.209733e+00,6.453581e-01
4131,AGIS_Os01g041310, 6.164767e-02, 5.6613087920,9.193940e-02,7.697278e-01,0.915400324,Not_significant,3.868949e+01,4.867473e+01,6.728929e+01,4.475141e+01,4.543388e+01,4.879039e+01,5.997215e+01,5.062028e+01
4132,AGIS_Os01g041320, 1.660099e-01, 2.4785115246,9.608258e-02,7.648687e-01,0.913863705,Not_significant,3.380635e+00,5.021996e+00,1.409200e+00,1.262219e+01,5.926159e+00,9.315812e+00,1.856176e+00,4.315832e+00
4133,AGIS_Os01g041330, 7.131306e-01, 4.9718681502,3.941523e+00,8.405994e-02,0.479276257,Not_significant,1.403902e+01,2.844627e+01,2.878794e+01,2.332237e+01,5.620444e+01,3.293469e+01,2.916847e+01,3.751144e+01
4136,AGIS_Os01g041360,-3.504852e-01, 8.2815877842,1.894753e+00,2.076209e-01,0.600369570,Not_significant,4.047841e+02,3.148757e+02,3.936197e+02,2.732131e+02,1.932586e+02,2.564671e+02,3.778643e+02,2.746806e+02
4138,AGIS_Os01g041380, 1.223293e-01, 6.5099175567,3.723482e-01,5.592391e-01,0.819481323,Not_significant,7.381053e+01,9.973755e+01,8.827630e+01,8.717919e+01,8.433018e+01,9.104089e+01,9.488593e+01,1.091462e+02
4139,AGIS_Os01g041390, 1.855303e-02, 6.1386679747,8.206331e-03,9.301232e-01,0.977726517,Not_significant,6.981950e+01,7.202877e+01,7.438562e+01,6.282410e+01,6.819786e+01,5.965884e+01,8.162753e+01,7.445819e+01
4140,AGIS_Os01g041400,-4.069803e-01, 3.3650952040,1.544991e+00,2.502641e-01,0.629534804,Not_significant,1.159746e+01,1.007911e+01,1.791697e+01,6.253723e+00,7.478248e+00,5.269550e+00,1.688236e+01,6.332577e+00
4144,AGIS_Os01g041440,-1.294110e+00, 0.7024196681,2.290802e+00,1.699147e-01,0.572188611,Not_significant,2.817196e+00,1.650586e+00,2.466100e+00,1.290906e+00,1.599122e+00,1.881982e-01,1.767786e+00,6.050232e-01
4147,AGIS_Os01g041470,-1.672907e-01, 3.8064637492,2.589626e-01,6.251449e-01,0.850232202,Not_significant,1.572934e+01,1.334517e+01,1.862157e+01,1.110179e+01,9.312535e+00,1.369142e+01,1.294903e+01,1.653730e+01
4149,AGIS_Os01g041490,-2.750604e+00,-0.9751086079,2.365781e+00,1.640687e-01,0.567136648,Not_significant,5.634391e-01,1.264279e+00,2.013143e-01,5.163624e-01,0.000000e+00,1.881982e-01,0.000000e+00,6.050232e-01
4151,AGIS_Os01g041510, 2.605874e-01, 3.4095887213,4.439674e-01,5.248198e-01,0.798746980,Not_significant,1.089316e+01,8.393406e+00,1.061933e+01,7.229074e+00,8.936271e+00,8.421870e+00,9.943798e+00,1.992543e+01
4155,AGIS_Os01g041550,-7.917340e-01, 1.4203636721,1.468630e+00,2.613425e-01,0.636019829,Not_significant,5.164859e+00,2.985103e+00,2.919057e+00,2.036763e+00,1.081759e+00,1.693784e+00,3.314599e+00,1.573060e+00
4158,AGIS_Os01g041580, 4.391618e-02, 1.3222199195,5.335580e-03,9.436254e-01,0.981871705,Not_significant,5.070952e+00,4.214263e-01,2.868728e+00,2.008076e+00,4.138904e+00,9.880407e-01,2.209733e+00,1.694065e+00
4159,AGIS_Os01g041590, 4.829747e-01, 2.7111911041,1.340549e+00,2.815983e-01,0.652181872,Not_significant,7.888148e+00,4.986877e+00,4.630228e+00,3.241609e+00,1.382770e+01,3.293469e+00,7.689870e+00,6.211572e+00
4161,AGIS_Os01g041610,-6.200383e-02, 3.3250664363,1.971114e-02,8.919777e-01,0.964623842,Not_significant,4.037980e+00,1.394219e+01,7.297642e+00,1.758501e+01,1.044133e+01,1.049205e+01,6.496615e+00,9.156018e+00
4162,AGIS_Os01g041620,-7.654945e-01, 3.8874555486,5.079577e+00,5.575065e-02,0.424848555,Not_significant,1.403902e+01,1.710288e+01,2.551658e+01,1.517532e+01,4.232970e+00,1.500881e+01,1.621944e+01,1.044673e+01
4163,AGIS_Os01g041630,-3.092419e-01, 2.1613297616,2.912043e-01,6.048168e-01,0.841295196,Not_significant,2.817196e+00,6.742820e+00,5.787785e+00,3.585850e+00,4.985499e+00,6.492839e+00,1.414229e+00,3.307460e+00
4164,AGIS_Os01g041640, 3.809814e-02, 6.6431544915,2.106436e-02,8.883596e-01,0.962924895,Not_significant,1.265860e+02,8.456620e+01,1.011604e+02,8.178607e+01,7.205456e+01,1.059085e+02,1.263525e+02,1.005549e+02
4165,AGIS_Os01g041650, 8.444202e-01, 3.0616026067,1.403953e+00,2.716113e-01,0.644400326,Not_significant,8.921120e-01,1.362612e+01,3.724314e+00,8.462607e+00,1.378067e+01,1.204469e+01,4.817218e+00,8.752670e+00
4166,AGIS_Os01g041660,-3.412350e-01, 2.7902982280,3.626750e-01,5.644658e-01,0.822009534,Not_significant,1.286519e+01,3.406529e+00,5.787785e+00,5.622613e+00,5.690994e+00,1.082140e+00,6.319836e+00,1.391553e+01
4167,AGIS_Os01g041670, 6.722215e-01, 2.6099457263,2.619807e+00,1.455267e-01,0.550717016,Not_significant,6.197830e+00,5.127353e+00,1.207886e+00,6.225036e+00,8.371875e+00,4.704955e+00,3.005237e+00,1.331051e+01
4168,AGIS_Os01g041680,-5.347883e-01, 5.0156042753,5.997182e+00,4.102549e-02,0.384598209,Not_significant,4.329091e+01,3.575099e+01,4.021252e+01,3.276033e+01,2.770244e+01,2.432462e+01,3.372052e+01,2.036912e+01
4169,AGIS_Os01g041690,-2.625387e-01, 7.0419089438,1.740400e+00,2.248340e-01,0.612901187,Not_significant,1.249426e+02,1.361909e+02,2.157082e+02,1.035594e+02,1.071882e+02,1.195059e+02,1.525158e+02,9.393994e+01
4171,AGIS_Os01g041710, 6.881231e-01, 5.6526782198,4.415570e+00,7.042234e-02,0.457831728,Not_significant,1.896912e+01,4.832354e+01,2.189293e+01,6.813116e+01,6.546994e+01,8.572429e+01,2.443965e+01,6.881131e+01
4172,AGIS_Os01g041720,-2.136638e-01, 6.2590041263,6.107442e-01,4.580403e-01,0.762283850,Not_significant,1.339577e+02,6.830617e+01,7.045999e+01,6.213561e+01,6.678687e+01,5.457748e+01,7.256763e+01,8.325120e+01
4173,AGIS_Os01g041730,-6.106050e-01, 5.0653307841,7.701906e+00,2.492323e-02,0.327542078,Not_significant,5.023999e+01,3.803372e+01,4.121910e+01,3.261689e+01,2.633848e+01,2.837088e+01,2.691455e+01,2.347490e+01
4174,AGIS_Os01g041740, 5.263848e-01, 1.6252760033,9.031960e-01,3.706974e-01,0.711730753,Not_significant,3.005009e+00,1.474992e+00,2.818400e+00,2.553125e+00,2.257584e+00,3.340518e+00,3.623962e+00,4.961191e+00
4175,AGIS_Os01g041750,-5.500273e-01, 5.9151854285,3.051652e+00,1.205670e-01,0.525080405,Not_significant,1.210455e+02,6.033419e+01,6.009231e+01,5.134938e+01,3.833190e+01,4.220345e+01,5.754144e+01,5.122530e+01
4177,AGIS_Os01g041770,-1.375039e-01, 7.0273154710,2.869451e-01,6.074223e-01,0.841868570,Not_significant,1.672006e+02,1.057780e+02,1.629136e+02,1.105589e+02,8.752842e+01,1.184237e+02,1.644041e+02,1.261272e+02
4178,AGIS_Os01g041780, 4.346196e-01, 2.7465790514,8.509122e-01,3.845020e-01,0.720167833,Not_significant,1.972037e+00,8.077337e+00,6.492385e+00,7.257761e+00,7.384182e+00,8.327771e+00,7.778260e+00,5.727553e+00
4180,AGIS_Os01g041800, 3.315783e-01, 4.4566667293,1.190401e+00,3.084609e-01,0.672908684,Not_significant,1.112792e+01,2.395106e+01,2.078570e+01,2.277732e+01,2.582112e+01,2.512446e+01,1.834078e+01,2.706471e+01
4181,AGIS_Os01g041810,-1.499406e-01, 1.8349843859,4.014389e-02,8.464301e-01,0.947086799,Not_significant,2.817196e+00,1.580348e+00,5.133514e+00,4.962817e+00,4.280003e+00,5.222501e+00,1.237450e+00,2.662102e+00
4182,AGIS_Os01g041820,-9.827378e-01, 7.7405467362,2.115039e+01,1.923858e-03,0.105215668,Not_significant,3.274990e+02,2.600200e+02,2.866715e+02,2.534479e+02,1.765619e+02,1.124014e+02,1.801816e+02,1.134620e+02
4183,AGIS_Os01g041830,-9.955155e-01, 2.9970106563,7.334247e+00,2.759559e-02,0.340823199,Not_significant,1.380426e+01,9.060665e+00,8.455199e+00,9.208464e+00,1.095869e+01,2.917072e+00,3.800740e+00,5.001525e+00
4185,AGIS_Os01g041850, 5.620799e-02, 7.2904770542,2.609342e-02,8.758624e-01,0.958188453,Not_significant,1.067717e+02,1.685705e+02,9.184963e+01,2.191098e+02,2.681822e+02,1.712604e+02,5.643658e+01,1.695275e+02
4187,AGIS_Os01g041870,-1.741951e-01, 5.4904886848,7.241916e-01,4.203577e-01,0.741182745,Not_significant,4.192926e+01,4.937711e+01,5.370058e+01,4.558333e+01,3.950772e+01,4.389723e+01,4.039392e+01,4.461038e+01
4188,AGIS_Os01g041880,-1.986638e-01, 4.3778908773,3.935472e-01,5.487264e-01,0.813529212,Not_significant,2.188022e+01,2.012310e+01,1.590383e+01,3.032195e+01,2.572705e+01,2.343068e+01,1.462843e+01,1.363319e+01
4189,AGIS_Os01g041890,-1.432920e-01, 5.1425415516,4.489257e-01,5.223585e-01,0.797824545,Not_significant,3.385330e+01,3.648849e+01,4.096745e+01,3.666173e+01,3.475739e+01,3.100566e+01,3.168757e+01,3.650307e+01
4190,AGIS_Os01g041900, 4.657315e-01, 1.6343986713,5.624450e-01,4.755809e-01,0.773526102,Not_significant,9.390652e-01,2.914865e+00,3.774642e+00,2.839993e+00,3.762640e+00,3.999212e+00,4.065908e+00,1.895739e+00
4193,AGIS_Os01g041930,-1.709622e-01, 6.1027072780,7.507637e-01,4.123273e-01,0.736138084,Not_significant,5.897330e+01,8.319657e+01,8.706842e+01,6.293885e+01,5.785060e+01,6.643397e+01,7.296538e+01,5.969563e+01
