GeneID	HPmockWT_1	HPmockWT_2	HPmockWT_3	HPmockWT_4	HPmockpho2_1	HPmockpho2_2	HPmockpho2_3	HPmockpho2_4
AGIS_Os01g001080	196	401	382	487	396	279	254	456
AGIS_Os01g001090	138	116	161	227	236	191	313	294
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	14	101	8	4	49	25	20	16
AGIS_Os01g001120	1281	725	609	1037	243	455	751	512
AGIS_Os01g001130	4646	5106	3927	5717	3142	3381	4995	5580
AGIS_Os01g001140	95	42	145	104	61	40	119	194
AGIS_Os01g001150	156	146	135	234	96	175	148	190
AGIS_Os01g001160	220	422	301	610	288	310	207	298
AGIS_Os01g001170	26	8	0	1	20	19	46	26
AGIS_Os01g001180	3260	2434	1564	2526	1736	1128	1632	1464
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	0	0	10	14	14	10	0	18
AGIS_Os01g001240	0	0	0	0	0	0	0	5
AGIS_Os01g001250	0	12	0	0	2	0	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	16	45	30	76	134	45	49	67
AGIS_Os01g001280	0	66	44	56	102	28	98	94
AGIS_Os01g001290	54	232	84	253	159	91	105	130
AGIS_Os01g001300	58	258	66	372	169	196	146	197
AGIS_Os01g001310	247	102	115	300	109	152	87	141
AGIS_Os01g001320	86	394	256	435	341	219	259	293
AGIS_Os01g001330	53	60	40	104	148	154	88	99
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	26	21	78	45	75	62	62	55
AGIS_Os01g001370	1	142	57	125	58	51	44	56
AGIS_Os01g001380	0	0	0	0	0	0	0	0
AGIS_Os01g001390	10	36	47	26	31	26	0	27
AGIS_Os01g001400	20	7	0	15	6	36	0	14
AGIS_Os01g001410	0	0	0	0	2	16	0	3
AGIS_Os01g001420	0	0	24	0	6	4	0	0
AGIS_Os01g001430	0	0	0	0	0	0	0	0
AGIS_Os01g001440	75	17	47	38	8	29	43	14
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	0	0	0	12	2	12	0	0
AGIS_Os01g001470	40	64	18	97	2	73	30	19
AGIS_Os01g001480	0	0	0	11	0	5	0	2
AGIS_Os01g001490	0	0	16	44	0	6	0	18
AGIS_Os01g001500	0	34	10	52	4	4	0	3
AGIS_Os01g001510	0	0	0	0	0	0	0	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	0	0	0	0
AGIS_Os01g001540	0	0	0	0	10	0	0	0
AGIS_Os01g001550	0	0	0	0	3	0	0	0
AGIS_Os01g001560	0	0	0	0	4	0	0	0
AGIS_Os01g001570	26	210	18	321	198	101	20	85
AGIS_Os01g001580	81	238	18	119	96	44	10	77
AGIS_Os01g001590	0	0	0	0	0	0	0	0
