phenotype,Root_Col-0,Root_EV,Root_GFP,Shoot_Col-0,Shoot_EV,Shoot_GFP
area_end_mm2,0.17988003681768433,-0.5821014933832289,0.0,-0.07066974230712499,0.45039847428372703,-0.020157077253175695
AUC,0.1640203517502037,-0.6859911744726707,0.08201981676340397,0.3420549028047222,-0.6793368076824768,-0.15915853416417863
AGR_mean,0.0,-0.44337186590635597,0.11039492563705212,0.0,0.53899391164649,-0.12930754413481355
AGR_max,-0.2111129594223878,0.0,0.18241151268589045,0.10595015787629741,-0.6014975730958798,-0.6096363869597933
RGR_mean,0.0,0.5541017591704788,-0.19347846780449543,-0.19547332360716116,-0.12957742528971858,0.41047954769124423
RGR_peak,0.0,-0.09201696906980879,0.42362112654483597,-0.18917729271806166,-0.21745690470670193,0.25121860709076826
RGR_final,-0.27462651390712045,-0.7837153295464612,0.45716168380088185,-0.5037843853853381,0.03060200616417244,0.0
tt10,-0.6041424495190062,0.12853060942037664,0.17632416400864878,-0.18816513404407967,0.16080165171118158,0.11219391199375638
