effector,replicate,n_timepoints,days_post_inoculation,area_end_mm2,AUC,AGR_mean,AGR_max,RGR_mean,RGR_peak,RGR_final,dpi_to_10mm2,outliers
BM00086,12,11,26,116.9309902,994.2324452,4.125200086,11.14688514,0.136028116,0.330724638,0.112284353,4.407648301,FALSE
BM00088,1,13,28,18.94152241,265.2706831,0.656442847,2.781023573,0.070697096,0.21260295,0.046600097,15.79874804,FALSE
BM00088,2,13,28,47.81460986,587.5360737,1.610398669,3.10646697,0.091143596,0.177825151,0.06596206,7.958222386,FALSE
BM00088,4,13,28,13.54658191,250.3709599,0.386733615,2.029931508,0.050126448,0.179605411,0.066642036,16.29877348,FALSE
BM00088,5,13,28,24.1325725,287.4006102,0.830783412,1.61348918,0.110732993,0.390410383,0.046118238,15.51646922,FALSE
BM00088,6,13,28,28.99981743,402.6006489,0.927521338,4.644644938,0.06876262,0.245549179,0.036520964,12.61794225,FALSE
BM00088,7,11,28,31.33598512,400.7486496,0.877558261,2.292043334,0.067922116,0.203466195,0.070212205,10.84167961,FALSE
BM00088,9,13,28,11.87270366,248.0523516,0.341540444,1.382483475,0.053530169,0.186031747,0.02328867,13.49017377,FALSE
BM00088,11,11,26,121.3165107,1110.001854,4.53989478,8.132098808,0.132711835,0.217954709,0.074838271,6.615243615,FALSE
BM00088,12,12,28,26.0592749,401.082864,0.954986364,2.839114828,0.108131564,0.257739969,0.00626632,12.19252468,FALSE
BM00090,1,13,28,132.4383653,1265.312174,4.561648692,9.424701464,0.140505153,0.210211129,0.080049428,7.209952782,FALSE
BM00090,2,12,28,66.69970793,502.2661679,2.147933364,7.729107437,0.109302827,0.159085569,0.142384983,13.33880576,FALSE
BM00090,3,12,28,75.38102789,666.6075484,2.437359579,6.52657736,0.101028323,0.163144238,0.100252844,10.47845928,FALSE
BM00090,4,12,28,136.7139126,1347.142667,4.572087897,8.82776248,0.152480599,0.425997034,0.071771917,6.172677542,FALSE
BM00090,6,13,28,130.773044,1168.323318,4.560501842,10.12052828,0.143660296,0.283516246,0.073450294,9.001593608,FALSE
BM00090,7,13,28,171.9672613,1496.96057,6.037627566,12.55599833,0.174543784,0.278012396,0.082411159,7.678311371,FALSE
BM00090,8,12,28,144.3719373,1194.21211,5.347800609,11.44717379,0.140458174,0.216481213,0.087807902,9.617645056,FALSE
BM00090,9,13,28,164.9538198,1471.942732,5.675510278,11.98826738,0.146218578,0.340132911,0.081979429,8.021814732,FALSE
BM00090,10,12,26,218.1589313,2000.187584,8.389760326,15.66298504,0.150573046,0.289634347,0.069941076,2.378028594,FALSE
BM00090,11,11,26,255.5196939,2131.06037,8.548585792,21.43354215,0.151151986,0.257458468,0.079867885,2.188540307,FALSE
BM00090,12,12,28,117.5583235,933.0077547,3.826421306,11.56267655,0.151427306,0.299571106,0.11655264,11.32833403,FALSE
BM00091,1,3,4,2.530895449,7.362478105,0.383099068,0.45902128,0.23251878,0.326012167,0.139025394,,TRUE
BM00091,2,13,28,93.2819443,746.9192924,3.297845202,8.587592617,0.1883442,0.341061362,0.094396271,12.1712946,FALSE
BM00091,3,2,2,2.379552133,3.427782209,0.665661029,0.665661029,0.409904596,0.409904596,0.409904596,,TRUE
BM00091,4,13,28,79.8383984,644.552247,2.773567429,7.776857038,0.160117923,0.50609505,0.115208469,10.96958128,FALSE
BM00091,5,12,26,150.9081358,1471.206725,5.6126813,9.655326178,0.13858229,0.245524011,0.065799893,3.404018138,FALSE
BM00091,6,13,28,120.9554903,1165.775927,4.049062283,8.67345793,0.123046635,0.239688548,0.067128847,6.461651686,FALSE
BM00091,7,12,25,79.03161474,857.4182545,3.109065397,9.918090425,0.158777805,0.353103819,-0.013070504,7.041944917,FALSE
BM00091,8,12,28,100.7358758,862.1168504,3.158545076,7.529980199,0.166459218,0.525941301,0.084641319,9.845948946,FALSE
BM00091,9,12,26,82.41366865,810.3608099,3.013687887,8.976345206,0.11786045,0.313731936,0.106475824,5.033954981,FALSE
BM00091,10,13,28,149.854967,1342.062549,5.152460586,11.34107207,0.158381928,0.265601545,0.085843075,7.132949519,FALSE
BM00091,11,13,28,128.5640275,1201.297763,4.44036302,10.01343223,0.144533451,0.283518682,0.088709869,7.388882743,FALSE
BM00091,12,13,28,1.294329138,42.80511495,0.005540484,0.653307069,-0.002176967,0.269995484,-0.007612971,,TRUE
BM00092,1,11,26,104.7458201,1145.214599,3.378394251,7.734255466,0.087114106,0.17809221,0.069545206,,TRUE
BM00092,2,13,28,126.1040907,1056.68376,4.32580742,11.04771953,0.128347795,0.210189184,0.101642787,6.909701615,FALSE
BM00092,3,12,26,63.29715622,696.1816407,2.170658919,4.169822439,0.090083677,0.150147199,0.052022223,4.820506585,FALSE
BM00092,4,12,28,65.69359631,630.9858938,2.363025775,5.520558913,0.09309802,0.230963762,0.056479178,12.01982039,FALSE
BM00092,5,12,26,171.6269871,1691.163416,6.283426427,11.21682209,0.114259026,0.188986283,0.063412303,1.64354145,FALSE
BM00092,6,11,28,2.57765339,62.55512333,0.045935331,0.695627192,0.023925958,0.292911322,0.217922905,,TRUE
BM00092,7,12,28,110.9808731,1003.96374,3.529705533,9.144378633,0.127534995,0.17150717,0.094646567,7.89721046,FALSE
BM00092,8,13,28,11.6520414,195.4799417,0.226677694,1.031545092,0.031237321,0.117266219,0.102894757,26.39847873,FALSE
BM00092,9,13,28,123.2012667,1105.9216,4.386420292,9.857516013,0.134842549,0.330174437,0.068668787,9.682692932,FALSE
BM00092,10,13,28,118.6176038,1240.763227,4.0622093,9.253895017,0.128547613,0.244932637,0.068897544,7.562248546,FALSE
BM00092,11,13,28,133.0314348,1224.930053,4.446016367,9.486044698,0.118172626,0.237002407,0.07124986,7.768747203,FALSE
BM00092,12,13,28,5.891782065,133.2083688,0.149451105,1.840489323,0.03000411,0.378913041,0.123735552,,TRUE
BM00093,1,12,28,84.93464177,830.8831956,2.696644555,7.18749629,0.123845002,0.287944137,0.097619168,8.974969295,FALSE
BM00093,2,13,28,2.390201897,72.16243654,0.010315051,0.49427579,0.005387467,0.196766551,-0.021640334,,TRUE
BM00093,3,12,28,198.210669,1891.243455,7.388622146,14.31006549,0.156550668,0.337911123,0.069247079,5.012974579,FALSE
BM00093,5,13,28,130.5096897,1120.544243,4.496874096,10.66196925,0.122920828,0.20354911,0.082452155,9.18260166,FALSE
BM00093,6,13,28,150.2460468,1295.142325,5.188068146,12.08213522,0.139655939,0.329814056,0.086128381,8.405306739,FALSE
BM00093,8,12,28,2.80410044,73.99661444,-0.039170916,0.272557652,-0.015550169,0.096121777,0.039203522,,TRUE
BM00093,9,13,28,26.23527812,183.2166532,0.846355041,3.510578909,0.11999967,0.617227636,0.171072915,21.3489381,FALSE
BM00093,10,11,26,118.9482317,1128.952683,4.148425488,11.14016839,0.136579283,0.25957747,0.079007112,5.450463676,FALSE
BM00093,11,13,28,153.3803512,1368.331516,5.362212367,11.47902027,0.150912179,0.219293943,0.077794333,7.785823502,FALSE
Col-0,1,13,28,108.1800057,943.6691028,3.700843319,9.011349712,0.128218141,0.31825897,0.08866807,8.64579371,FALSE
Col-0,2,13,28,149.5484653,1384.341696,5.181597028,10.65122351,0.142652873,0.250849439,0.08012525,7.255042924,FALSE
Col-0,3,13,28,139.3424958,1215.195657,4.745515306,11.25289896,0.149575118,0.362587457,0.092476654,7.728949182,FALSE
Col-0,4,13,28,161.0523006,1551.534886,5.618274061,9.815112842,0.171101552,0.293089411,0.062629543,7.443914437,FALSE
Col-0,5,12,28,184.789413,1865.515864,6.121263192,11.57247872,0.161913537,0.300747732,0.069367281,4.906327458,FALSE
Col-0,6,13,28,102.772999,854.3086522,3.558645614,8.162186465,0.148379624,0.270759834,0.08857736,10.71600073,FALSE
Col-0,7,1,0,1.88384976,0,,,,,,,TRUE
Col-0,8,11,28,142.225154,1343.163922,4.584504549,10.06697723,0.157650056,0.29993239,0.079565425,7.492719763,FALSE
Col-0,9,13,28,142.6844406,1283.999112,5.071623172,11.55999512,0.169848686,0.411420701,0.07481361,7.287773794,FALSE
Col-0,10,13,28,73.37609299,576.7928562,2.553495939,6.533530411,0.135268473,0.222223773,0.103593389,12.7086463,FALSE
Col-0,11,12,28,124.023882,1009.769689,4.07067144,12.60584755,0.158913397,0.346190184,0.121243475,9.320466055,FALSE
Col-0,12,13,28,124.0847254,1151.697546,4.430765487,8.522706926,0.166029725,0.263522424,0.075573898,8.578233561,FALSE
EmptyVector,1,13,28,1.9426834,54.86318451,0.011820755,0.443431741,0.005614355,0.235590501,-0.064911869,,TRUE
EmptyVector,2,12,25,92.23258806,736.286249,3.725083586,8.511617889,0.167402728,0.309055029,0.084577357,9.135975248,FALSE
EmptyVector,3,13,28,68.6849074,744.6163799,2.349832678,5.738893973,0.108584369,0.202875207,0.037552977,9.477001022,FALSE
EmptyVector,4,12,28,1.374636592,42.64521682,-0.021281058,0.270347158,-0.015143722,0.218262535,0.03218413,,TRUE
EmptyVector,5,12,26,252.486775,2813.447329,9.596047151,15.90616056,0.14321952,0.261392895,0.037504443,1.990948472,FALSE
EmptyVector,6,13,28,163.5053689,1489.810424,5.900339269,12.60175898,0.184080032,0.307025192,0.07104641,7.6599187,FALSE
EmptyVector,7,13,28,1.173498991,31.31091553,-0.002129947,1.052362261,-0.015396515,0.637332743,0.140849082,,TRUE
EmptyVector,8,13,28,134.6620539,1176.695257,4.789806719,10.5346892,0.172539845,0.263233289,0.081710623,8.840851326,FALSE
EmptyVector,9,13,28,1.173938099,25.97165862,0.009985986,0.487249303,-0.004460413,0.334855805,0.037509712,,TRUE
EmptyVector,10,13,28,118.1890503,1015.672955,4.048964903,10.59598764,0.163259697,0.29670976,0.104428401,8.734859264,FALSE
EmptyVector,11,12,28,111.8899949,955.0750501,4.150280936,8.162625209,0.184390437,0.461995105,0.074154376,10.15139011,FALSE
EmptyVector,12,11,28,1.375417306,40.21505694,-0.030397849,0.298535309,-0.02609244,0.33906317,-0.018067917,,TRUE
GFP,1,13,28,134.4597425,1233.929404,4.692621656,8.94661046,0.166394138,0.330613862,0.066818495,9.259393379,FALSE
GFP,2,12,28,93.37666011,795.7630525,3.089049676,7.272673963,0.12929382,0.330115731,0.088708065,9.480399159,FALSE
GFP,3,13,28,148.5212791,1195.94772,5.144202128,11.57602521,0.152082054,0.225367486,0.083346221,9.996117472,FALSE
GFP,4,12,25,127.5240133,993.0204653,5.074040639,10.93881431,0.152766151,0.347560592,0.094103581,7.341114508,FALSE
GFP,5,13,28,154.4721206,1367.434938,5.332022392,13.23830645,0.154315027,0.296374309,0.099065009,8.305050059,FALSE
GFP,6,12,26,105.983028,888.1730068,3.841853297,9.033271277,0.128228013,0.183983705,0.098436837,6.458124865,FALSE
GFP,7,13,28,124.1770344,1218.689002,4.415304721,8.088727699,0.154244667,0.314768503,0.054356642,8.634221479,FALSE
GFP,8,13,28,134.3488281,1053.523514,4.569591182,12.97221479,0.153715856,0.252133509,0.114007912,8.913382662,FALSE
GFP,9,13,28,161.8423894,1330.373323,5.560183546,12.03768433,0.16242586,0.278790888,0.084163828,10.32327463,FALSE
GFP,10,13,28,111.9563868,875.1667212,3.902654724,11.28710026,0.175465983,0.508657506,0.120060752,10.1224199,FALSE
GFP,12,12,28,138.6828761,1279.844062,4.989653281,9.643751099,0.163834317,0.486614162,0.07511031,7.798554382,FALSE
