effector,R_area_end_mm2,R_AUC,R_AGR_mean,R_AGR_max,R_RGR_mean,R_RGR_peak,R_RGR_final,R_tt10,S_area_end_mm2,S_AUC,S_AGR_mean,S_AGR_max,S_RGR_mean,S_RGR_peak,S_RGR_final,S_tt10
BM00001,0.0452087566214956,0.005200801364586853,0.048298932378520495,0.23328582590014274,0.20758658894983145,0.870315140911296,-0.6116737710265903,-0.23855735405521256,-0.1601148258436421,-0.39474669775668936,-0.31793351805668707,-0.5887567115884134,-0.046232924547927455,-0.31391923760575646,-0.7978742526087694,-0.3928422924017309
BM00002,0.004420650323293144,-0.21384823568028646,-0.07539733926670038,-0.008615164954682064,0.1153021069024765,-0.7579805388898919,-0.012154515644966361,0.15140453407227347,0.2821460495532449,0.31851746018457294,0.30545985499975886,0.9311727349781703,-0.7494104781843476,0.5732044273483146,0.06487317240140121,-0.4217837393267227
BM00003,-0.6446242857302713,-0.3503317556964494,-0.6868661066565065,-0.6408385993258354,-0.5724600763515806,0.07956276023370489,0.26985743760572173,0.5248579726018705,-0.8728645467164979,-0.7045047537790058,-0.9705065356713656,-0.8894319913896098,-0.4577166079877933,-1.0180710755195703,-0.9054833262034353,-0.016484446475063003
BM00004,-1.6050831663991354,-1.2447150813741654,-1.4852920734130441,-1.375044394093883,0.3210257661526571,-0.7712143580888322,2.0251026059949067,-0.17082015437898906,-2.0714068774923877,-1.5394460352511885,-1.1356002916558656,-1.036880057465776,-0.2610186741167892,-1.1449399129685833,-1.6939320433676994,-0.6082402170717521
BM00006,0.2425336316854966,-0.03958116804290853,0.20685130564107648,0.29232747777735657,0.07776972527799303,-0.29207988462264217,-0.6958099548370726,-0.35069167016473285,0.5905985151308988,0.6847021472376307,0.46729925374343995,0.5055677610447048,0.17438669453576586,-0.569913967663887,0.008400945752647172,-0.5035041027135005
BM00007,-0.8619185434520523,-0.706990955570197,-0.7961920419266646,-0.9600761625610236,0.32184464621495534,-0.38758009441984154,-0.10135743799553121,0.6420320713481013,0.4051665483166601,-0.139388529376032,0.5020125563886301,0.3983599823950768,0.05866282854802964,-0.5621042042151181,0.19513961441464378,-0.14721084861533545
BM00008,-0.21166075344337643,-0.18890607542877408,-0.0212303347693601,-0.24496995225887552,-0.8228613045539751,-2.1849088388775177,0.8418294275617972,-0.3892359799343414,-0.21428244735857296,0.3196655638009363,-0.3779365988755042,-0.5978046804835745,-0.8433672125958989,-0.3022852017439406,-1.4464283611231719,-0.20498249576110847
BM00009,0.4744000017946817,-0.0013621913842890834,0.3343935138946076,0.6721868868891673,0.587499269752473,1.32696367300792,1.1275029158981738,-1.1702576780604748,0.6016292602933968,0.6655403911953622,0.5606654107495821,0.4863381732435593,-0.45438840951176224,-0.8831645096782602,-0.7542657535887674,-0.7986813719020324
BM00010,0.5076974016876005,0.544988393374008,0.4367118048927256,0.27988838794924636,0.2234426534212084,0.25905138623794455,-0.026573858997931424,-0.4073913217288188,0.12499622644072408,0.785450752011335,0.050765389054139326,-0.035007510835481224,0.4819532052110232,0.884544276675686,-1.5964170163514242,-0.6348009924952893
BM00011,0.44489456078636364,0.20020090880231955,0.4580971178296302,0.8281476692587668,0.8520092054349194,1.0054577313684674,0.742388155838798,0.5037703733177352,0.6096140288520268,0.5255260152141237,0.4046100600596021,0.04308199706729907,0.2638505626127714,-0.06564756704594431,-0.8677496629188552,0.07030755047992042
