effector,replicate,n_timepoints,duration_days,area_end_mm2,AUC,AGR_mean,AGR_max,RGR_mean,RGR_peak,RGR_final,time_to_10mm2,is_control
BM00001,1,13,28,82.12033173438071,746.1592802759224,2.7829455187757346,6.744028316187233,0.14197907343991015,0.38210939617051776,0.05104332,11.57599747302631,FALSE
BM00001,2,13,28,192.85183724084564,1782.242083939296,6.993938349539813,20.281330378291784,0.1815697972575496,0.3566068709341117,0.017021653655183933,9.332730806689309,FALSE
BM00001,3,10,23,89.09655716225835,734.3945681584548,3.074656098634822,8.774988406463885,0.20567661006633034,0.4313318023312713,0.021130660841489846,7.886446527186981,FALSE
BM00001,4,13,28,109.2484604495928,969.1357464508353,3.9614569317304364,9.368837780875936,0.18934948855635977,0.4802467263498102,0.063537256,9.503651094605639,FALSE
BM00001,5,12,28,201.7105428778507,3445.9771457386296,5.686814012924099,26.590848449823348,0.15465024693255575,0.34493380270699875,-0.062015995,4.607942441426807,FALSE
BM00001,6,12,28,114.32936818452448,983.9517812,3.682007824728018,8.095296250911183,0.18702554187420448,0.4815108664055938,0.050134914696992126,12.348117000968815,FALSE
BM00001,7,12,28,117.07027620505838,1568.6626559195488,4.211554988835915,11.60950483359587,0.14097165689612157,0.34363049420505637,-0.006311318,6.419202664890664,FALSE
BM00001,8,11,28,166.39083678308842,1937.1494757708756,4.371476911750943,12.86012228531324,0.20072200584368383,0.4255671264778505,0.026666498241832315,8.073961339445573,FALSE
BM00001,9,13,28,212.10743161698127,2125.9469830811636,7.582472093698591,15.729390111850012,0.1995646346075536,0.5099580401501738,0.033246061,7.084581282,FALSE
BM00001,10,13,28,70.05015063719848,719.2018269603304,2.4222245,5.710681018980165,0.7157286079106622,6.361939872398667,0.046729848,11.858100409759144,FALSE
BM00001,11,12,28,72.69109464439136,945.6480966509492,2.214429608146559,7.762594969456794,0.31450793087103457,1.0211094155946154,-0.055359316,11.566733862630173,FALSE
BM00001,12,13,28,0,0.089441486,0.000496897,0.010522528,0.27155787343325305,4.9772104577832375,-3.199248657,,FALSE
BM00002,1,12,28,50.01402520402731,713.3344114174339,1.6932756463132514,7.4995922373319885,0.17048595683700957,0.6726431686962567,-0.030804154,8.080165332533879,FALSE
BM00002,2,13,28,144.66344549355054,1769.9855223613063,5.311773341922466,15.448988438458155,0.17394244530603828,0.4136315739759164,-0.044261085,9.062542645946127,FALSE
BM00002,3,12,28,239.84845496974228,2575.2324953915013,7.9928218773655715,20.930354113058353,0.19930332077146648,0.6356504197545453,0.013130894192909063,7.1149081276396595,FALSE
BM00002,4,12,28,0,0.014469797,-0.000657718,0,-0.435446307,0,0,,FALSE
BM00002,5,13,28,113.20300695051108,952.4384987062832,4.029146452364018,17.40675192241706,0.1422247648862868,0.503286496,0.045864992,11.24659327175587,FALSE
BM00002,7,13,28,215.70394560253155,1517.0466558036994,7.023699574733967,24.704490496768813,0.17425714600615194,0.2749270361777172,0.1403226465113153,10.06487420171514,FALSE
BM00002,8,13,28,121.08367161764755,1014.7624966813989,4.391672277758585,11.897480211460149,0.16251872209191512,0.33013480780610227,0.043691213,10.591567475546464,FALSE
BM00002,9,13,28,160.83261638139237,1683.3031720959352,5.701430035997173,14.946266361276436,0.20044104153786216,0.556176958,0.026293444,8.462579838048153,FALSE
BM00002,10,13,28,104.89817053075254,826.8472787271946,3.767794364,9.911500624073895,0.3191648091996152,1.3884531555504933,0.073467426,11.953679939473927,FALSE
BM00002,11,13,28,222.0973218875453,1849.5998937516629,7.910976594281969,41.13918215276029,0.16510101555767795,0.3523126922078141,0.049304408,9.227843258297062,FALSE
BM00002,12,13,28,91.90987436481544,894.4238128787856,3.1398999327192354,6.0505110086902505,0.20929981177127885,0.8962024193622394,0.073338126,9.229217718901063,FALSE
BM00003,1,13,28,0,0,0,0,0,0,0,,FALSE
BM00003,2,12,26,98.99594715,1107.3633564320942,3.9164161083342095,10.086000955459092,0.14808532698329296,0.30983403111252933,0.010282776,5.831021418481893,FALSE
BM00003,3,13,28,99.45145917887208,1029.0487272330965,3.721164111047038,11.275155301722995,0.17972204732170025,0.8830323475436068,-0.011239921,9.964904099122776,FALSE
BM00003,4,13,28,52.32236251840725,463.95679420622616,1.8114343915404325,4.400353388031629,0.1811293754330137,0.3560754110889963,0.096641405,13.524172254360607,FALSE
BM00003,5,13,28,123.62124902270092,1031.9862975190272,4.411666758708618,12.273637671240309,0.182347708,0.30210976156722474,0.038532159,11.410622934478763,FALSE
BM00003,6,13,28,97.34195617362953,1106.9901581054883,3.4513193799811894,6.345550524610594,0.14688928396322012,0.28830668215199695,0.04170901,6.915274295180623,FALSE
BM00003,7,13,28,0,0.1843483979787215,-0.000476352,0.011432458789378068,-0.145039224,3.4809413798345052,0,,FALSE
BM00003,8,13,28,10.370454820712304,300.7689128329329,0.3504197479084872,3.5118369814946497,0.6325252244991325,5.952895074018681,-0.142920813,13.160192979003192,FALSE
BM00003,10,13,28,71.54497017973502,626.4678382927545,2.6077200322346656,10.324689259121076,0.6904543044081226,5.503002496801718,0.002876685,13.462978067108345,FALSE
BM00003,12,13,28,62.98112965921419,693.9605734545945,2.127518059444259,4.494885531646297,0.15650344546370046,0.35037888354538155,0.053963758016797314,8.922578003515694,FALSE
BM00004,1,1,0,0,0,,,,,,,FALSE
BM00004,2,12,25,10.649954677232026,531.4529782018168,0.4134587814891311,5.863219362230698,0.087937469,0.3484905791253709,-0.369796202,6.8915837849854595,FALSE
BM00004,3,13,28,166.50228230719492,1744.1636864258724,5.859719907733106,14.651533371771345,0.16101337694508042,0.3719852044787599,0.005972112,8.557215597488984,FALSE
BM00004,4,1,0,0.6544757567050447,0,,,,,,,FALSE
BM00004,5,13,28,98.66616044983093,1267.5526037971938,3.559578870132055,8.748739931518514,0.16007355000859516,0.32981908462839943,-0.007539367,8.506178514,FALSE
BM00004,6,8,16,34.188063284585034,143.19788541651064,2.0279209204114803,6.551912007356632,0.22230676070269034,0.2865329319318022,0.24167537451983767,11.265088509133724,FALSE
BM00004,7,13,28,142.5465202860257,1415.438306614907,5.142357658,12.85628729262193,0.23059390437860863,0.72447124,0.009739111,7.890958221150507,FALSE
BM00004,12,3,4,2.8066143508384265,8.121430310468842,0.3967603743713329,0.4140243498927826,0.20836955558305367,0.2590891121794261,0.15764999898668125,,FALSE
BM00005,7,1,0,0.6992544740686553,0,,,,,,,FALSE
