effector,area_end_mm2,AUC,AGR_mean,AGR_max,RGR_mean,RGR_peak,RGR_final,time_to_10mm2
BM00001,-0.11700585649081173,-0.34108438291985455,-0.263720997435607,-0.5222130400379755,0.02589422861288452,-0.2472439397209012,-0.8109083823464082,-0.4006230617316151
BM00002,0.3058829166093815,0.3406720767228924,0.3283792615194134,0.9235119647903826,-0.56123977908123,0.5770180705735037,0.052623098058102495,-0.42591596540715365
BM00003,-0.7985354055763757,-0.6371592007392926,-0.8835361405165781,-0.8082090586849568,-0.3176833826310925,-0.9014995214400401,-0.9186152498865394,-0.07171128447225866
BM00004,-1.9445786663907365,-1.435217824221856,-1.0403425165468672,-0.9484585660034921,-0.15344599248460902,-1.0193784228047686,-1.7077805005946107,-0.588866551240262
BM00006,0.6008244137761954,0.6906809381540575,0.48209464260445056,0.5186854418324449,0.2101055710521987,-0.4850988624992409,-0.003900449930653022,-0.49733413896387757
BM00007,0.42351481823655557,-0.09700639459285665,0.5150654061283355,0.41671165176212976,0.11347931091084107,-0.47784249952019736,0.18300792478464717,-0.18595748321114788
BM00008,-0.16880080440169806,0.34176946406260417,-0.32071204229822814,-0.5308192782447504,-0.6396910802350051,-0.23643429258135157,-1.4600518897191104,-0.23644606832654644
BM00009,0.6113719854644293,0.6723656326470187,0.5707740032301951,0.5003946613100606,-0.31490442801354523,-0.7761524457670786,-0.7672602524009411,-0.7552994803700472
BM00010,0.15561663807111473,0.7869790786672715,0.08646995391572611,0.004501583289220921,0.46691518778611013,0.8662963529927,-1.610176852991655,-0.6120789060363526
BM00011,0.6190070017344481,0.5385362453081437,0.4225523224288383,0.07877868506181658,0.28480545180952616,-0.016564819820097044,-0.8808472946627558,0.004139160202447336
BM00012,-0.6353557633740154,-0.48105853118634295,-0.27022107693201874,-0.24298069748696322,0.13108180905469755,-0.14325133948754382,0.6314210090965972,0.2702047685773549
BM00014,-0.27807927481654865,0.10396089308969356,-0.39235379812646876,-0.4004896363400952,-0.7079656183732062,-0.6271405979091926,-0.8592599067629381,-0.1304323679051741
BM00015,-0.45468089376509757,-0.31048208546271694,-0.4468466644839762,-0.3413398564328161,-0.5558801864688848,-0.5252562553796956,-1.0062184752375827,-0.26723328514088857
BM00016,0.48931124509623336,0.3705567203809365,0.16265793297376796,0.27699504999912405,0.4468047697544499,0.8726800439142348,-0.17415629919839096,-0.027534624965216647
BM00017,-0.3185571202995653,-0.07342977160549462,-0.4560311039624352,-0.6272079454129366,-0.41208716835542214,-0.5422341687564826,-0.21165646894660034,-0.3647264667686271
BM00018,-0.4209699231140352,-1.261348290625122,0.8780863292868699,1.0094690789147867,1.620976420918802,1.940185467470882,1.713414779305793,0.7201730364099764
BM00019,-0.058494482794190124,0.43381857320988987,-0.16658936991334403,-0.42953970707255706,-0.2837323056506175,-0.6478021851689042,-0.5635418886032446,-0.5569774676491932
BM00020,-1.3533868343589743,-1.198314126598381,-1.4628077310541714,-1.5256755901071857,-0.46515709217442786,-0.20651062008704615,0.5010391753701108,-0.10963149383446669
BM00021,-0.7501454857471798,-0.7311485410032261,-0.8243627955528722,-0.6362447165109629,0.16371755840965016,-0.07474609524495918,-1.1447480670442374,0.11742419914839337
BM00022,0.03643830870597352,0.26592365615358954,0.09320350573561062,-0.0669743828148321,0.22326492820615637,0.6969312403941197,-0.6259755966418752,-0.9486156167210174
BM00023,-0.587524065160545,-0.747069415615929,-0.7858806411476388,-0.5194188098851006,0.35150877202931363,-0.23024421493435374,-0.20769697235538426,0.17602776866547684
BM00024,-0.3241358963336545,-0.7375584386689762,-0.4693083151693236,-0.7085741497112733,-0.5955189779784434,-0.5018521766217392,1.9530513714528586,0.2635291621931556
BM00025,-0.5667155010258659,-0.496713044532344,-0.6896914580274894,-0.6202709797517347,0.5485603703185462,1.6332586875607096,0.337503313732194,0.006529562399749354
BM00027,0.13963311487654223,0.17237537093992963,0.18412009921754693,-0.4034720520755554,-0.9473114837210371,-0.6385941729109944,0.08654255189892042,-0.7892536576340604
BM00028,-0.2996588126419163,0.042992483345577495,-0.04364075317478105,0.10614755225982321,-0.21071534111624599,-0.5225606503137535,-1.6425362542970259,-0.639213175699659
BM00029,-1.342085775406737,-1.0358667910323716,0.029655543085962275,-0.38802645691836996,0.8370894772938156,1.0189053014472715,-1.8823658792003932,1.9132531151768293
BM00030,-1.4082234421878304,-1.5887415787688333,-1.587240441413422,-1.2901038671364788,-0.9284809420930435,-0.3843630621517872,0.8522103363408392,1.006768219872697
BM00031,-0.3273738408429946,-0.5284695299796968,-0.27190217411818424,-0.12425749545824494,0.7354369855578925,-0.015119932669845687,0.822892821073011,0.17756939332112184
BM00032,1.1423841180772998,1.3826031321023033,0.8763303062973997,1.2493074339096546,-0.13873600068816938,-0.2343868154997433,-1.843650646623777,-0.5780383760863932
BM00033,-0.7933327624928335,-0.9253608387343221,-0.9467152175608654,-0.8212622053553594,-0.35087068081816974,-0.24179988546759004,0.1807582283443148,0.09883447053868535
BM00034,0.19715783881685417,-0.27233042511884925,0.09815796455326771,0.544447361194066,0.7449402285941777,0.14765173874619447,0.9142487908243174,-0.1029660600105824
BM00035,0.9798623221798841,0.29473808180364225,0.643646619177967,0.2272488745318247,0.8436888967879407,1.173124812774909,-0.7210756045024034,-0.1946877071476593
BM00036,1.2012761010014357,1.2375487125065554,1.178820298655563,1.010156933903417,0.06434225995683354,-0.43994396086502646,-1.4197973537991568,-0.3572177991844628
BM00037,0.6456530799288324,1.2677573762552077,0.16860025555834024,-0.04008730403702508,-0.17740099749056737,-0.4317734386445966,-0.1037482617928836,-0.7183473275338691
BM00038,0.5209775983290776,0.6048600621880448,0.4285100932362751,0.6432523230417609,-0.2982936952819561,-0.8857347735419328,0.08071209813493417,-0.08808781898932273
BM00039,-0.8833819875346166,-0.928803531880238,-1.0686405807450503,-0.8264295935481608,1.963353498302844,2.8508960971135857,1.001009520811379,0.13250997156038855
BM00042,0.6765247897619396,0.3115441653596001,0.49284407505325517,0.908011872892781,-0.6010893787032089,-1.0163600898068796,-0.23443176134838478,-0.4884825491051183
BM00044,-0.6550178483356318,-1.1618746266272337,-0.7136152044449852,-0.49307428641569445,0.3553069955053603,-0.7017088950422051,1.2352030928375248,0.10701232280651032
BM00045,-0.040869907438726906,-0.13573767015811367,-0.09514943440805411,-0.00034249321276560004,1.056731633354175,0.29541763163546375,1.1011926848724185,-0.13009080400753914
BM00046,0.850523388693641,0.41106395297990583,0.7983646190412411,0.43078761747532746,-0.5540549149834031,-0.6727295591101132,-0.771073457302706,-0.44363273708588463
BM00051,0.002653411322230784,0.1936203299160323,-0.07004159422481412,-0.23471548285604696,-0.15283846891110933,0.5472225054978539,-0.5858767182056588,-0.22930792782110812
BM00052,-1.4327138493258504,-1.3242931061424352,-1.5840503453654402,-1.5282302327633293,-0.001273452624389884,1.119604909769359,0.35866375655395355,0.3273524591210472
BM00053,-2.4035406923018106,-2.450812921188979,-2.5792239640178916,-2.486426505263843,-0.9171695737589262,-0.215585766238271,0.6176977484476825,3.4506699275979367
BM00055,1.1069873060555604,0.9905552188082313,0.8812674400188837,0.9628411830614646,-0.45977027499840367,-0.870548355630205,0.9201980737494962,-0.43597450648519287
BM00056,1.0740835039154288,0.7689514535557372,1.1997459077263295,0.6896914529529007,0.10219758123304905,-0.9481230502273662,-0.33279754107223153,-0.34767487063375246
BM00057,1.0941876592195334,0.9995150447783409,1.0909074344317848,0.7231278028645263,0.02416347807040521,-0.3563738574585512,0.17581602650162012,-0.34621550356714487
BM00058,-0.3040000369038756,-0.8566794251137311,-0.12500325517984537,0.03515133550735096,0.0069293941394809365,-0.6094210534696592,2.5478066077764288,0.22376862283783916
