BXY_0000100	GO:0005515,GO:0006887,GO:0016020,GO:0031267,GO:0042391,GO:0042734,GO:0044325,GO:0048167,GO:0048788,GO:0048791,GO:0050806,GO:2000300
BXY_0000200	GO:0005737,GO:0016791
BXY_0000300	GO:0003779,GO:0007155,GO:0051015
BXY_0000400	GO:0005669,GO:0006366,GO:0046982
BXY_0000700	GO:0005788,GO:0016757,GO:0097363,GO:0097370
BXY_0000800	GO:0005739,GO:0016020,GO:0032981,GO:0045271
BXY_0000900	GO:0004089,GO:0008270
BXY_0001000	GO:0005739,GO:0033615,GO:0043461
BXY_0001200	GO:0003785,GO:0005829,GO:0007015
BXY_0001500	GO:0005452,GO:0005886,GO:0006820,GO:0008509,GO:0015701,GO:0016020,GO:0022857,GO:0050801,GO:0051453,GO:0055085
BXY_0001600	GO:0003756,GO:0005789,GO:0005793,GO:0006457
BXY_0001700	GO:0004383,GO:0006182,GO:0008074,GO:0009190,GO:0019934,GO:0020037,GO:0035556,GO:0070482
BXY_0001800	GO:0004383,GO:0006182,GO:0008074,GO:0009190,GO:0019934,GO:0020037,GO:0035556,GO:0070482
BXY_0001900	GO:0016020,GO:0022857,GO:0055085
BXY_0002100	GO:0016020,GO:0022857,GO:0055085
BXY_0002200	GO:0000398,GO:0003723,GO:0005515,GO:0071013
BXY_0002500	GO:0005261,GO:0005886,GO:0008381,GO:0016020,GO:0042391,GO:0050982,GO:0071260
BXY_0002600	GO:0005737,GO:0019207,GO:0051018,GO:0060828
BXY_0002900	GO:0005515,GO:0005886,GO:0007156,GO:0007411,GO:0030424,GO:0070593,GO:0098632
BXY_0003100	GO:0006915,GO:0034164,GO:0043280
BXY_0003200	GO:0001508,GO:0005216,GO:0005249,GO:0005250,GO:0005515,GO:0006811,GO:0006813,GO:0008076,GO:0016020,GO:0051260,GO:0055085,GO:0071805
BXY_0003400	GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007017
BXY_0003500	GO:0000014,GO:0000729,GO:0000793,GO:0003690,GO:0003697,GO:0005634,GO:0006303,GO:0015074,GO:0031297,GO:0035861,GO:0042800,GO:0044547,GO:0044774,GO:0046975
BXY_0003700	GO:0000978,GO:0000981,GO:0003677,GO:0005634,GO:0006355,GO:0006357,GO:0009653
BXY_0003800	GO:0004888,GO:0005216,GO:0005230,GO:0006811,GO:0016020,GO:0034220
BXY_0004000	GO:0008643,GO:0016020,GO:0051119
BXY_0004200	GO:0004791,GO:0005634,GO:0030178,GO:0031397
BXY_0004500	GO:0000978,GO:0000981,GO:0005634,GO:0006355,GO:0006357,GO:0007548,GO:0043565
BXY_0004600	GO:0008270
BXY_0004700	GO:0003677
BXY_0004900	GO:0004653,GO:0005794,GO:0006493
BXY_0005000	GO:0003723,GO:0003735,GO:0006412,GO:0015935,GO:0019843,GO:0022627,GO:0042274
BXY_0005100	GO:0005200,GO:0005885,GO:0015629,GO:0030041,GO:0034314,GO:0051015
BXY_0005200	GO:0003676,GO:0003723
BXY_0005300	GO:0016787,GO:0033192,GO:0097720
BXY_0005400	GO:0004672,GO:0005524,GO:0006468
BXY_0005500	GO:0005886,GO:0007035,GO:0016471,GO:0033179,GO:0046961,GO:0051117,GO:1902600
BXY_0005800	GO:0005737,GO:0009143,GO:0047429
BXY_0005900	GO:0005739,GO:0030170
BXY_0006000	GO:0003676,GO:0003723
BXY_0006300	GO:0046872
BXY_0006600	GO:0046983
BXY_0007000	GO:0006355
BXY_0007300	GO:0003924,GO:0005525,GO:0005786,GO:0005829,GO:0006614,GO:0006616,GO:0008312,GO:0015098,GO:0015689,GO:0016020,GO:0030942,GO:0048500
BXY_0007400	GO:0000786,GO:0003677,GO:0030527,GO:0046982
BXY_0007700	GO:0003735,GO:0005840,GO:0006412
BXY_0007900	GO:0004252,GO:0005515,GO:0006508,GO:0016020
BXY_0008100	GO:0005515
BXY_0008200	GO:0005739,GO:0006783,GO:0006784,GO:0008495,GO:0016020,GO:0016765
BXY_0008400	GO:0000083,GO:0004672,GO:0004674,GO:0004693,GO:0005524,GO:0005634,GO:0005737,GO:0006468
BXY_0008500	GO:0003690,GO:0003697,GO:0005634,GO:0006281,GO:0008081,GO:0017005
BXY_0008600	GO:0004742,GO:0005967,GO:0006086,GO:0016746,GO:0045254
BXY_0008700	GO:0005313,GO:0005886,GO:0015175,GO:0015293,GO:0015501,GO:0015813,GO:0016020
BXY_0008800	GO:0000978,GO:0003700,GO:0006355,GO:0008270,GO:0043565
BXY_0008900	GO:0005216,GO:0005245,GO:0005891,GO:0006811,GO:0008331,GO:0016020,GO:0055085,GO:0070588,GO:0098703
BXY_0009200	GO:0005524,GO:0006457,GO:0016887,GO:0051082,GO:0140662
BXY_0009300	GO:0000166,GO:0005666,GO:0006352,GO:0006384,GO:0030880
BXY_0009400	GO:0004620,GO:0006629,GO:0006631,GO:0016020,GO:0019369,GO:0047499
