,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmycLP_1,CPM.WTmycLP_2,CPM.WTmycLP_3,CPM.WTmycLP_4,CPM.WTmycHP_1,CPM.WTmycHP_2,CPM.WTmycHP_3,CPM.WTmycHP_4
14224,AGIS_Os03g022260,-1.223124e-01, 2.983976e+00, 1.890254e-01,6.739707e-01,8.405301e-01,Not_significant,9.816042e+00,6.336754e+00,5.683622e+00,1.067377e+01,1.142653e+01,8.555526e+00,4.850539e+00,5.626183e+00
14226,AGIS_Os03g022280, 2.547085e-01, 5.545040e+00, 1.986212e+00,1.923519e-01,4.415543e-01,Not_significant,4.966129e+01,4.124704e+01,4.191671e+01,3.735821e+01,4.533174e+01,5.683458e+01,4.603681e+01,5.480505e+01
14230,AGIS_Os03g022320,-2.093828e-01, 2.488190e+00, 4.158249e-01,5.351224e-01,7.539117e-01,Not_significant,7.284209e+00,6.482093e+00,4.643935e+00,5.336887e+00,3.114966e+00,5.865491e+00,6.171444e+00,5.693162e+00
14231,AGIS_Os03g022330, 1.788179e-01,-1.193795e-01, 7.177139e-02,7.948156e-01,9.083714e-01,Not_significant,4.150546e-01,7.557597e-01,1.386249e+00,7.520160e-01,5.990319e-01,1.658518e+00,7.362425e-01,7.367621e-01
14232,AGIS_Os03g022340, 3.343205e-01, 1.368029e+00, 5.402927e-01,4.810313e-01,7.125091e-01,Not_significant,2.739361e+00,1.162707e+00,2.443264e+00,2.547151e+00,3.474385e+00,3.883359e+00,2.446924e+00,1.607481e+00
14233,AGIS_Os03g022350,-8.260172e-01, 3.920299e+00, 7.443636e+00,2.329602e-02,1.235556e-01,Not_significant,2.114703e+01,1.726620e+01,1.743208e+01,1.957667e+01,5.376312e+00,1.189279e+01,1.669538e+01,1.145330e+01
14234,AGIS_Os03g022360, 5.135747e-01, 6.438087e+00, 6.456904e+00,3.166441e-02,1.501830e-01,Not_significant,8.286566e+01,5.671104e+01,6.305701e+01,7.410996e+01,1.649884e+02,8.678904e+01,6.162783e+01,1.031467e+02
14243,AGIS_Os03g022450,-1.578743e-01, 2.153730e+00, 2.668038e-01,6.179393e-01,8.059412e-01,Not_significant,4.316568e+00,5.319385e+00,4.834544e+00,3.954148e+00,5.960368e+00,3.418165e+00,3.421362e+00,4.052192e+00
14244,AGIS_Os03g022460, 1.307243e+00, 4.440272e+00, 4.671196e+01,7.615707e-05,2.281700e-03,UP,1.174605e+01,1.528960e+01,8.820011e+00,1.380313e+01,3.860761e+01,3.100620e+01,2.033328e+01,3.370687e+01
14245,AGIS_Os03g022470, 1.530102e+00, 3.254791e+00, 7.850630e+00,2.065501e-02,1.137293e-01,Not_significant,8.238834e+00,1.337113e+00,6.134153e+00,4.002666e+00,1.638352e+01,2.285519e+01,7.427387e+00,9.594652e+00
14247,AGIS_Os03g022490, 2.680963e+00, 1.968309e+00, 1.614170e+01,3.030706e-03,3.150011e-02,UP,1.473444e+00,1.744061e-01,1.854108e+00,8.490503e-01,6.709158e+00,1.094217e+01,4.352492e+00,4.554529e+00
14251,AGIS_Os03g022530,-9.656843e-02, 3.645335e+00, 3.283904e-02,8.602151e-01,9.393072e-01,Not_significant,1.761907e+01,7.528529e+00,2.060313e+01,6.525558e+00,1.648835e+01,1.624134e+01,3.659558e+00,1.106818e+01
14252,AGIS_Os03g022540, 9.450577e-01, 7.375543e+00, 1.029068e+01,1.069928e-02,7.394616e-02,Not_significant,1.546494e+02,6.880320e+01,1.364069e+02,9.177021e+01,3.310550e+02,2.214728e+02,1.176905e+02,2.062264e+02
14253,AGIS_Os03g022550, 1.504913e+00, 1.643925e+00, 8.373445e+00,1.778311e-02,1.034512e-01,Not_significant,3.112910e+00,2.877700e+00,2.425936e-01,1.455515e+00,6.110126e+00,4.287876e+00,3.118203e+00,3.449386e+00
14255,AGIS_Os03g022570,-1.279967e+00, 3.022052e+00, 2.384669e+01,8.682463e-04,1.310371e-02,DOWN,1.656068e+01,7.993612e+00,1.058748e+01,1.033415e+01,7.562778e+00,4.894651e+00,2.944970e+00,3.801023e+00
14257,AGIS_Os03g022590, 7.108542e-01, 2.998034e+00, 1.580793e+00,2.403023e-01,4.979863e-01,Not_significant,9.546257e+00,1.453384e+00,5.354388e+00,7.495901e+00,1.350817e+01,1.510870e+01,4.006025e+00,7.066218e+00
14259,AGIS_Os03g022610,-3.734977e-01, 2.438622e+00, 1.747881e+00,2.187674e-01,4.727185e-01,Not_significant,5.623990e+00,7.092514e+00,7.347121e+00,4.269510e+00,3.249748e+00,5.278942e+00,5.067081e+00,5.140590e+00
14260,AGIS_Os03g022620,-4.067242e-03, 3.427726e+00, 2.910701e-04,9.867605e-01,9.951361e-01,Not_significant,1.143476e+01,1.215029e+01,9.825041e+00,9.291036e+00,7.667609e+00,1.063879e+01,1.214800e+01,1.262542e+01
14262,AGIS_Os03g022640,-3.955102e-01, 4.139209e+00, 4.109485e+00,7.327716e-02,2.526156e-01,Not_significant,1.954907e+01,2.055085e+01,1.926886e+01,2.003759e+01,1.991781e+01,1.251979e+01,1.416184e+01,1.465152e+01
14264,AGIS_Os03g022660,-8.143755e-01, 1.753141e+00, 4.820973e+00,5.574228e-02,2.147983e-01,Not_significant,2.282800e+00,5.464724e+00,4.834544e+00,3.663045e+00,6.289835e-01,2.993423e+00,3.767829e+00,3.064261e+00
14265,AGIS_Os03g022670,-1.005023e-01, 2.101319e+00, 9.276058e-02,7.676238e-01,8.936666e-01,Not_significant,4.399579e+00,5.813536e+00,3.794857e+00,3.493235e+00,5.720755e+00,2.993423e+00,3.226474e+00,4.571274e+00
14267,AGIS_Os03g022690, 2.911597e-01, 3.698553e+00, 1.050422e+00,3.321758e-01,5.872986e-01,Not_significant,1.023110e+01,2.328321e+01,6.896590e+00,8.102366e+00,2.012747e+01,1.431989e+01,8.315209e+00,1.229053e+01
14268,AGIS_Os03g022700,-3.595773e-01, 3.670845e+00, 2.402826e+00,1.555390e-01,3.930386e-01,Not_significant,1.319874e+01,1.165614e+01,1.478088e+01,1.710230e+01,1.377773e+01,8.879139e+00,1.364214e+01,8.539743e+00
14269,AGIS_Os03g022710,-1.461371e-02,-1.085806e+00, 6.874814e-06,9.979652e-01,9.992507e-01,Not_significant,7.678511e-01,0.000000e+00,5.198435e-01,6.549816e-01,7.637657e-01,1.213550e-01,2.815045e-01,3.014027e-01
14271,AGIS_Os03g022730,-4.219964e+00, 1.741203e+00, 7.474956e+01,1.186908e-05,5.895136e-04,DOWN,6.163561e+00,7.528529e+00,6.446059e+00,4.924492e+00,4.792255e-01,1.213550e-01,6.063173e-01,2.511689e-01
14272,AGIS_Os03g022740, 2.268425e-01, 3.539265e+00, 5.563500e-01,4.747707e-01,7.083834e-01,Not_significant,1.282519e+01,1.415596e+01,9.010620e+00,7.034988e+00,8.820745e+00,1.126579e+01,1.446500e+01,1.512037e+01
14284,AGIS_Os03g022860,-1.813616e-01, 4.822527e+00, 3.712020e-01,5.574196e-01,7.673989e-01,Not_significant,2.432220e+01,2.834099e+01,2.959642e+01,3.109950e+01,8.805769e+00,3.155230e+01,3.707197e+01,3.528086e+01
14285,AGIS_Os03g022870,-3.391588e-01, 2.231491e+00, 1.149993e+00,3.114713e-01,5.672933e-01,Not_significant,5.374957e+00,4.970573e+00,5.181106e+00,4.609130e+00,7.233311e+00,3.681101e+00,2.555194e+00,3.633577e+00
14286,AGIS_Os03g022880,-5.499633e-01, 3.391809e+00, 3.053976e+00,1.144930e-01,3.287903e-01,Not_significant,1.382132e+01,1.130733e+01,1.076076e+01,1.259020e+01,4.148296e+00,8.272365e+00,1.199642e+01,1.078352e+01
14291,AGIS_Os03g022930, 1.072086e+00,-1.967614e+00, 3.505681e-01,5.683705e-01,7.748774e-01,Not_significant,0.000000e+00,6.394889e-01,1.732812e-02,2.911030e-01,2.695644e-01,1.618066e-01,1.515793e-01,2.511689e-01
