,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmycLP_1,CPM.WTmycLP_2,CPM.WTmycLP_3,CPM.WTmycLP_4,CPM.WTmycHP_1,CPM.WTmycHP_2,CPM.WTmycHP_3,CPM.WTmycHP_4
1,AGIS_Os01g000010,-9.339590e-01, 3.026940e+00, 2.925029e+00,1.213926e-01,3.408612e-01,Not_significant,9.172707e+00,8.894710e+00,9.357182e+00,1.047971e+01,9.584511e-01,6.977911e+00,1.398861e+01,5.107101e+00
2,AGIS_Os01g000020, 1.474222e+00,-1.351494e+00, 1.271588e+00,2.886424e-01,5.467423e-01,Not_significant,0.000000e+00,2.325414e-01,2.079374e-01,4.851716e-01,3.294676e-01,2.831616e-01,4.763922e-01,7.869959e-01
3,AGIS_Os01g000030, 8.597345e-01, 1.785050e+00, 3.608834e+00,8.994309e-02,2.851590e-01,Not_significant,1.452691e+00,1.511519e+00,2.114030e+00,5.433922e+00,5.990319e+00,3.539520e+00,3.529633e+00,3.650321e+00
4,AGIS_Os01g000040, 1.490238e-01, 4.404318e+00, 6.480457e-01,4.415661e-01,6.813810e-01,Not_significant,1.967359e+01,2.287626e+01,2.013527e+01,1.700526e+01,1.653328e+01,2.777006e+01,2.388457e+01,2.121540e+01
5,AGIS_Os01g000050,-1.129246e-01, 2.861040e+00, 2.037051e-01,6.624290e-01,8.333396e-01,Not_significant,8.052060e+00,7.644800e+00,8.594745e+00,5.797800e+00,5.720755e+00,7.301525e+00,7.059266e+00,7.635535e+00
6,AGIS_Os01g000060,-6.806500e-01, 6.118290e+00, 1.373968e+01,4.872547e-03,4.377128e-02,Not_significant,9.396837e+01,8.089535e+01,7.487479e+01,8.912602e+01,7.763454e+01,4.761160e+01,4.835381e+01,4.298337e+01
7,AGIS_Os01g000070,-2.059326e-01, 1.947425e+00, 3.472257e-01,5.701859e-01,7.762394e-01,Not_significant,6.225819e+00,4.214814e+00,2.755170e+00,3.468977e+00,2.725595e+00,3.944037e+00,3.637904e+00,3.583343e+00
8,AGIS_Os01g000080,-9.042643e-01, 5.533511e+00, 2.624692e+01,6.259531e-04,1.045613e-02,Not_significant,4.534472e+01,7.761070e+01,5.674958e+01,6.229603e+01,2.479992e+01,3.175455e+01,3.653062e+01,3.519714e+01
11,AGIS_Os01g000110,-6.406831e-01,-1.538945e+00, 1.854883e-01,6.780711e-01,8.426958e-01,Not_significant,0.000000e+00,4.069475e-01,6.931246e-01,2.425858e-01,0.000000e+00,8.090332e-02,3.031587e-01,7.032729e-01
12,AGIS_Os01g000120, 4.165672e-01, 2.106933e-01, 2.871697e-01,6.050328e-01,7.975193e-01,Not_significant,8.508620e-01,1.744061e-01,1.438234e+00,1.237188e+00,1.063282e+00,7.888074e-01,3.074895e+00,3.014027e-01
13,AGIS_Os01g000130, 6.912980e-01, 1.633579e+00, 3.248920e+00,1.049895e-01,3.130248e-01,Not_significant,3.299684e+00,2.034738e+00,1.299609e+00,2.911030e+00,3.534288e+00,5.258716e+00,3.226474e+00,2.930304e+00
14,AGIS_Os01g000140,-8.037070e-02, 3.099613e+00, 1.352820e-01,7.215211e-01,8.678394e-01,Not_significant,1.025185e+01,7.121581e+00,9.790385e+00,7.762745e+00,1.075262e+01,6.047523e+00,8.206938e+00,8.305318e+00
16,AGIS_Os01g000160,-1.559276e-01, 3.779319e+00, 3.136247e-01,5.891341e-01,7.874895e-01,Not_significant,1.209884e+01,1.078411e+01,1.698155e+01,1.550123e+01,5.211578e+00,1.312656e+01,2.022501e+01,1.560596e+01
17,AGIS_Os01g000170,-1.468019e-02, 2.255823e+00, 2.839585e-03,9.586671e-01,9.841249e-01,Not_significant,4.378826e+00,5.668198e+00,5.233091e+00,3.760080e+00,4.672449e+00,5.926168e+00,3.767829e+00,4.487551e+00
18,AGIS_Os01g000180,-2.258177e+00, 3.250947e+00, 8.193028e+01,8.166639e-06,4.616600e-04,DOWN,1.409110e+01,1.839984e+01,1.656568e+01,1.360906e+01,3.384530e+00,2.528229e+00,4.439109e+00,2.896815e+00
19,AGIS_Os01g000190,-3.250263e+00, 5.397931e+00, 7.150430e+01,1.420624e-05,6.765723e-04,DOWN,7.560220e+01,8.970286e+01,7.563722e+01,5.972462e+01,1.743183e+01,3.357488e+00,9.138068e+00,6.480158e+00
20,AGIS_Os01g000200,-2.397517e+00, 3.116453e+00, 5.914823e+01,3.034225e-05,1.184276e-03,DOWN,1.458917e+01,1.496985e+01,1.415707e+01,1.385165e+01,3.504337e+00,1.334905e+00,3.724521e+00,2.997282e+00
28,AGIS_Os01g000280,-1.043372e+00,-6.430131e-02, 8.470215e-01,3.814106e-01,6.312482e-01,Not_significant,8.716147e-01,6.976243e-01,1.230296e+00,1.309963e+00,0.000000e+00,4.854199e-01,1.775644e+00,9.879310e-01
30,AGIS_Os01g000300, 1.892065e-01, 2.600492e+00, 5.664057e-01,4.709225e-01,7.054523e-01,Not_significant,6.308830e+00,3.778798e+00,7.017887e+00,5.555215e+00,7.667609e+00,4.975554e+00,6.084828e+00,6.781560e+00
31,AGIS_Os01g000310,-1.379462e+00, 2.756374e+00, 3.027703e+01,3.794247e-04,7.350720e-03,DOWN,1.145551e+01,9.824876e+00,9.339854e+00,8.272176e+00,3.504337e+00,3.377714e+00,3.919408e+00,4.085681e+00
32,AGIS_Os01g000320,-1.597370e-01, 5.275640e+00, 9.847712e-01,3.469609e-01,6.009461e-01,Not_significant,4.596730e+01,3.863095e+01,4.169145e+01,3.718840e+01,3.943128e+01,3.697282e+01,3.369392e+01,3.600088e+01
33,AGIS_Os01g000330,-6.879791e-01, 3.289381e+00, 2.053541e+00,1.856717e-01,4.332637e-01,Not_significant,1.041787e+01,1.261537e+01,9.980994e+00,1.123172e+01,1.377773e+00,9.910657e+00,1.197477e+01,1.043188e+01
35,AGIS_Os01g000350, 4.355880e-01, 4.466800e-01, 7.519720e-01,4.083846e-01,6.543549e-01,Not_significant,9.131202e-01,1.598722e+00,1.005031e+00,9.946018e-01,1.377773e+00,1.213550e+00,1.385868e+00,2.093074e+00
36,AGIS_Os01g000360, 7.719105e-01, 2.828517e+00, 6.196508e+00,3.447096e-02,1.584500e-01,Not_significant,5.852270e+00,6.075145e+00,2.876467e+00,6.525558e+00,9.210116e+00,7.786945e+00,1.015582e+01,8.020660e+00
37,AGIS_Os01g000370, 1.995703e-01, 1.546241e+00, 2.221406e-01,6.486330e-01,8.247595e-01,Not_significant,4.690117e+00,2.121941e+00,1.403577e+00,3.008064e+00,2.231394e+00,2.973197e+00,3.053241e+00,3.566598e+00
38,AGIS_Os01g000380, 1.152748e+00, 6.904586e-01, 2.602837e+00,1.411419e-01,3.722522e-01,Not_significant,9.131202e-01,2.325414e-01,1.403577e+00,1.309963e+00,1.407725e+00,3.155230e+00,9.311302e-01,3.181473e+00
39,AGIS_Os01g000390, 1.942644e-01, 5.106164e+00, 1.381005e+00,2.700922e-01,5.289305e-01,Not_significant,3.704363e+01,2.985251e+01,3.202236e+01,2.918307e+01,4.396894e+01,3.743801e+01,3.094384e+01,3.476178e+01
40,AGIS_Os01g000400,-8.609266e-01, 1.149058e+00, 1.867315e+00,2.049572e-01,4.566766e-01,Not_significant,2.926135e+00,1.918467e+00,3.084405e+00,2.474375e+00,2.845402e-01,2.609132e+00,2.728428e+00,1.423290e+00
41,AGIS_Os01g000410, 4.812232e-01, 3.450159e+00, 4.573477e+00,6.117341e-02,2.261280e-01,Not_significant,7.076681e+00,1.156894e+01,8.785354e+00,9.194002e+00,1.298402e+01,1.122534e+01,1.227793e+01,1.399848e+01
42,AGIS_Os01g000420, 4.724855e-01, 2.108219e+00, 3.083588e+00,1.129803e-01,3.267430e-01,Not_significant,3.237426e+00,4.302017e+00,2.980436e+00,3.832856e+00,4.552643e+00,5.663232e+00,4.395801e+00,5.207569e+00
43,AGIS_Os01g000430, 4.781751e-01, 3.797729e+00, 6.515567e+00,3.107179e-02,1.483100e-01,Not_significant,1.153852e+01,1.139453e+01,1.228563e+01,1.111043e+01,1.653328e+01,1.717173e+01,1.487643e+01,1.600783e+01
44,AGIS_Os01g000440, 5.133072e-01, 4.335521e+00, 7.933708e+00,2.016226e-02,1.121112e-01,Not_significant,1.604186e+01,1.883586e+01,1.573393e+01,1.564678e+01,2.840909e+01,2.305745e+01,2.083133e+01,2.262195e+01
45,AGIS_Os01g000450, 5.723213e-01, 1.877452e+00, 3.501290e+00,9.413329e-02,2.933783e-01,Not_significant,2.262048e+00,2.906768e+00,2.893795e+00,3.371943e+00,2.485983e+00,5.784587e+00,4.309184e+00,5.056867e+00
47,AGIS_Os01g000470, 4.057000e-01, 6.708681e+00, 5.110689e+00,5.012998e-02,2.011550e-01,Not_significant,1.049051e+02,8.324983e+01,7.068138e+01,9.650063e+01,1.775980e+02,9.866160e+01,9.839664e+01,1.064286e+02
50,AGIS_Os01g000500,-3.377411e-01, 1.902136e+00, 9.279814e-01,3.605635e-01,6.126338e-01,Not_significant,3.133662e+00,4.534558e+00,4.054779e+00,4.026924e+00,1.707241e+00,4.146295e+00,5.824977e+00,2.193542e+00
52,AGIS_Os01g000520,-2.830264e-01, 3.347015e+00, 7.343781e-01,4.137107e-01,6.577779e-01,Not_significant,9.608515e+00,1.203402e+01,9.617104e+00,1.094062e+01,3.399506e+00,1.160963e+01,1.470320e+01,9.209526e+00
53,AGIS_Os01g000530, 1.083508e+00, 4.579508e+00, 2.872397e+01,4.571434e-04,8.445306e-03,UP,1.429863e+01,9.563267e+00,1.327334e+01,2.615075e+01,3.306656e+01,2.819481e+01,2.498894e+01,4.137589e+01
57,AGIS_Os01g000570, 3.344377e-04, 2.404874e+00, 5.228528e-07,9.994388e-01,9.997688e-01,Not_significant,3.569470e+00,4.679896e+00,4.643935e+00,7.932555e+00,3.339603e+00,5.278942e+00,8.596714e+00,4.035447e+00
58,AGIS_Os01g000580, 4.970325e-02, 2.527564e+00, 1.727704e-02,8.983179e-01,9.576157e-01,Not_significant,5.395710e+00,3.488122e+00,5.423700e+00,7.617194e+00,2.965208e+00,6.593621e+00,9.549498e+00,4.788954e+00
62,AGIS_Os01g000620,-1.094234e+00, 1.299074e-01, 3.882722e+00,8.029306e-02,2.675111e-01,Not_significant,1.182906e+00,1.366181e+00,2.269983e+00,9.703432e-01,8.536205e-01,5.865491e-01,7.795509e-01,4.353594e-01
63,AGIS_Os01g000630, 8.848655e-02, 5.256038e+00, 2.623231e-01,6.208637e-01,8.079336e-01,Not_significant,3.621352e+01,3.447427e+01,3.751537e+01,3.946871e+01,4.021002e+01,4.591263e+01,3.499317e+01,3.660368e+01
64,AGIS_Os01g000640, 8.309215e-03, 5.255325e+00, 2.278724e-03,9.629695e-01,9.854677e-01,Not_significant,4.187901e+01,3.645087e+01,3.730743e+01,3.532049e+01,5.006409e+01,3.268494e+01,3.105211e+01,4.047168e+01
65,AGIS_Os01g000650, 8.600889e-01, 8.116845e-01, 1.879414e+00,2.036245e-01,4.552580e-01,Not_significant,9.131202e-01,4.069475e-01,8.490777e-01,2.522892e+00,2.695644e+00,2.022583e+00,3.681212e-01,3.884746e+00
66,AGIS_Os01g000660, 1.360055e+00, 5.222703e+00, 3.414014e+01,2.462254e-04,5.347679e-03,UP,2.295252e+01,1.810916e+01,1.029290e+01,3.025045e+01,9.106783e+01,5.396251e+01,2.381961e+01,4.788954e+01
67,AGIS_Os01g000670, 9.174974e-02, 2.865958e+00, 1.373284e-01,7.195260e-01,8.666636e-01,Not_significant,6.454100e+00,7.383191e+00,8.196199e+00,6.016128e+00,6.649254e+00,8.413945e+00,6.344678e+00,8.539743e+00
68,AGIS_Os01g000680, 1.036500e+00, 3.454029e-01, 1.587097e+00,2.394383e-01,4.970563e-01,Not_significant,1.120648e+00,1.889399e+00,1.732812e-01,5.822059e-01,2.261346e+00,5.460974e-01,1.255943e+00,2.009351e+00
69,AGIS_Os01g000690, 2.114756e-01, 1.555262e+00, 4.381079e-01,5.246259e-01,7.462373e-01,Not_significant,1.763982e+00,2.325414e+00,3.534936e+00,3.008064e+00,2.141539e+00,2.204615e+00,4.677305e+00,3.533109e+00
70,AGIS_Os01g000700, 3.401568e-01, 4.814082e+00, 3.628957e+00,8.918556e-02,2.839491e-01,Not_significant,2.782941e+01,2.543422e+01,2.256121e+01,2.205105e+01,4.437329e+01,3.015671e+01,2.321329e+01,2.908536e+01
71,AGIS_Os01g000710,-1.311712e+00, 7.111036e+00, 3.826296e+01,1.618438e-04,4.002827e-03,DOWN,2.114911e+02,2.125429e+02,2.078854e+02,1.521983e+02,8.924078e+01,5.467042e+01,1.049795e+02,7.263805e+01
72,AGIS_Os01g000720, 8.501478e-02, 3.812555e+00, 1.875198e-01,6.751848e-01,8.411512e-01,Not_significant,1.587584e+01,1.412689e+01,1.197373e+01,1.254169e+01,1.319368e+01,1.492666e+01,1.416184e+01,1.528781e+01
74,AGIS_Os01g000740, 1.879976e+00, 3.645436e+00, 4.507380e+01,8.730395e-05,2.528164e-03,UP,2.552586e+00,7.208785e+00,5.423700e+00,7.156281e+00,1.901926e+01,2.016515e+01,1.604576e+01,2.216984e+01
75,AGIS_Os01g000750, 9.134479e-01,-1.139742e+00, 4.446609e-01,5.216134e-01,7.437854e-01,Not_significant,5.603238e-01,4.650829e-01,0.000000e+00,3.396201e-01,8.985479e-01,2.022583e-01,3.464670e-01,4.855932e-01
77,AGIS_Os01g000770, 2.666579e-01, 8.077909e-01, 3.968809e-01,5.443701e-01,7.598297e-01,Not_significant,8.716147e-01,1.511519e+00,2.235327e+00,1.576808e+00,1.018354e+00,2.690035e+00,1.905569e+00,1.875394e+00
78,AGIS_Os01g000780,-7.486002e-01, 4.337868e+00, 6.998940e+00,2.667731e-02,1.347269e-01,Not_significant,2.293177e+01,2.761430e+01,2.457127e+01,2.260900e+01,6.529448e+00,1.692902e+01,2.436096e+01,1.595760e+01
79,AGIS_Os01g000790, 2.115613e-01, 3.439298e+00, 8.712759e-01,3.749740e-01,6.263827e-01,Not_significant,9.587762e+00,9.912079e+00,9.322526e+00,1.062526e+01,7.817367e+00,1.051743e+01,1.357718e+01,1.510362e+01
81,AGIS_Os01g000810,-6.536060e-01, 4.114331e+00, 3.827372e+00,8.213316e-02,2.715144e-01,Not_significant,2.044144e+01,2.287626e+01,1.571660e+01,2.243919e+01,5.690803e+00,1.448169e+01,2.195735e+01,1.468501e+01
85,AGIS_Os01g000850, 4.834324e-01, 2.814044e+00, 1.983123e+00,1.926660e-01,4.420521e-01,Not_significant,3.818503e+00,6.772769e+00,8.144214e+00,4.584872e+00,1.220528e+01,6.249782e+00,7.319116e+00,6.815050e+00
87,AGIS_Os01g000870, 6.582804e-01, 1.500543e+00, 3.677582e+00,8.738830e-02,2.806197e-01,Not_significant,2.490328e+00,1.976602e+00,1.802124e+00,2.159014e+00,4.223175e+00,3.579972e+00,1.862260e+00,4.186148e+00
89,AGIS_Os01g000890,-7.789519e-01, 1.849068e+00, 6.203356e+00,3.439328e-02,1.582431e-01,Not_significant,4.358074e+00,3.052106e+00,4.765232e+00,5.482439e+00,2.141539e+00,1.375356e+00,3.876100e+00,3.466131e+00
90,AGIS_Os01g000900,-7.032098e-01, 1.620793e+00, 1.814156e+00,2.109537e-01,4.639655e-01,Not_significant,4.399579e+00,2.499820e+00,4.054779e+00,3.347684e+00,7.787415e-01,4.368779e+00,2.641811e+00,2.210286e+00
95,AGIS_Os01g000950,-1.262052e-01, 5.534886e+00, 2.769508e-01,6.114318e-01,8.013127e-01,Not_significant,3.422125e+01,4.360152e+01,5.257350e+01,5.329610e+01,1.783618e+01,4.536654e+01,7.665583e+01,4.705231e+01
96,AGIS_Os01g000960,-2.120436e-01, 2.321204e+00, 5.833703e-01,4.645519e-01,7.001062e-01,Not_significant,6.412594e+00,4.243881e+00,5.579653e+00,5.094302e+00,4.552643e+00,4.995780e+00,3.854446e+00,4.922911e+00
99,AGIS_Os01g000990, 5.118537e-01, 2.233350e+00, 2.140064e+00,1.775334e-01,4.236925e-01,Not_significant,2.137531e+00,5.697265e+00,3.829513e+00,4.123958e+00,6.229932e+00,4.530586e+00,4.937155e+00,5.810374e+00
100,AGIS_Os01g001000, 8.329484e-02, 3.940828e+00, 8.925289e-02,7.719145e-01,8.961691e-01,Not_significant,1.319874e+01,1.456291e+01,7.121855e+00,2.535022e+01,2.530910e+01,1.156917e+01,9.332956e+00,1.609155e+01
101,AGIS_Os01g001010,-3.968201e-01, 3.347891e+00, 3.243839e+00,1.052241e-01,3.134435e-01,Not_significant,9.089696e+00,1.180148e+01,1.358524e+01,1.181393e+01,9.464705e+00,8.616204e+00,8.401826e+00,8.372297e+00
102,AGIS_Os01g001020, 8.366861e-01, 2.407474e+00, 6.186700e+00,3.458259e-02,1.587224e-01,Not_significant,3.486459e+00,1.598722e+00,3.794857e+00,7.495901e+00,6.843940e+00,5.137361e+00,6.821070e+00,6.915517e+00
104,AGIS_Os01g001040, 2.548534e+00,-9.518761e-01, 3.790995e+00,8.337169e-02,2.732238e-01,Not_significant,2.075273e-02,0.000000e+00,4.505310e-01,3.153615e-01,1.946854e-01,1.011292e+00,6.929341e-01,1.088399e+00
106,AGIS_Os01g001060,-1.441896e+00,-1.355635e+00, 1.246750e+00,2.931053e-01,5.513610e-01,Not_significant,1.660219e-01,2.906768e-01,9.357182e-01,5.336887e-01,1.198064e-01,8.090332e-02,4.330838e-02,6.195500e-01
107,AGIS_Os01g001070, 3.116944e-01, 5.372882e+00, 3.742730e+00,8.505179e-02,2.760055e-01,Not_significant,3.168942e+01,3.886349e+01,3.761934e+01,3.990536e+01,4.515203e+01,4.510360e+01,4.577696e+01,4.706905e+01
108,AGIS_Os01g001080, 4.492930e-01, 2.675138e+00, 3.501977e+00,9.410576e-02,2.933783e-01,Not_significant,5.125925e+00,6.598363e+00,5.683622e+00,4.148217e+00,6.724133e+00,8.737559e+00,6.972649e+00,6.781560e+00
109,AGIS_Os01g001090, 1.728870e+00, 4.486952e-01, 7.901267e+00,2.035293e-02,1.127318e-01,Not_significant,1.037637e+00,3.488122e-01,1.732812e-01,1.334222e+00,1.587435e+00,2.285519e+00,1.299251e+00,2.494944e+00
111,AGIS_Os01g001110,-1.588730e+00,-6.354096e-02, 5.566282e+00,4.265936e-02,1.816545e-01,Not_significant,2.075273e+00,1.802196e+00,1.057015e+00,6.792402e-01,3.294676e-01,4.449683e-01,6.929341e-01,3.181473e-01
112,AGIS_Os01g001120, 1.883382e-01, 3.479269e+00, 5.433073e-01,4.798449e-01,7.118233e-01,Not_significant,1.184981e+01,1.398155e+01,8.282839e+00,6.477041e+00,1.806081e+01,1.460305e+01,5.586781e+00,1.004676e+01
113,AGIS_Os01g001130, 4.534943e-01, 6.020179e+00, 5.732104e+00,4.028903e-02,1.753049e-01,Not_significant,6.391841e+01,4.822328e+01,4.586752e+01,5.562492e+01,1.103866e+02,7.194328e+01,4.395801e+01,7.893401e+01
114,AGIS_Os01g001140, 7.518667e-01, 4.238214e-01, 1.020737e+00,3.387421e-01,5.935277e-01,Not_significant,1.784735e+00,5.232182e-01,2.079374e-01,2.086238e+00,1.991781e+00,1.860776e+00,1.147672e+00,8.037405e-01
115,AGIS_Os01g001150,-3.850295e-01, 1.517359e+00, 7.779239e-01,4.007268e-01,6.476506e-01,Not_significant,2.697855e+00,3.197445e+00,2.807155e+00,3.517494e+00,3.624143e+00,8.899365e-01,2.381961e+00,3.466131e+00
116,AGIS_Os01g001160,-3.063501e-01, 2.980737e+00, 1.706838e+00,2.238045e-01,4.791600e-01,Not_significant,1.010658e+01,9.069116e+00,9.166573e+00,6.452782e+00,7.937173e+00,5.602555e+00,7.990396e+00,6.513647e+00
117,AGIS_Os01g001170,-3.606205e-01,-1.403757e+00, 6.321799e-02,8.071290e-01,9.139486e-01,Not_significant,9.753784e-01,6.394889e-01,3.465623e-02,1.455515e-01,3.594192e-01,8.090332e-02,1.299251e-01,3.683811e-01
118,AGIS_Os01g001180, 2.081270e-01, 5.315095e+00, 1.628666e+00,2.338458e-01,4.905620e-01,Not_significant,3.667008e+01,3.935764e+01,3.614645e+01,3.512642e+01,4.985443e+01,4.253492e+01,4.006025e+01,3.841210e+01
127,AGIS_Os01g001270, 2.904937e+00,-1.582865e-01, 8.043937e+00,1.953068e-02,1.100127e-01,Not_significant,0.000000e+00,6.685566e-01,1.212968e-01,4.123958e-01,7.188383e-01,1.759647e+00,2.013840e+00,1.155377e+00
128,AGIS_Os01g001280,-6.315552e-02, 3.969747e-01, 1.585870e-02,9.025555e-01,9.601931e-01,Not_significant,1.307422e+00,1.627790e+00,9.703745e-01,1.309963e+00,8.985479e-01,1.355131e+00,1.602410e+00,1.172122e+00
129,AGIS_Os01g001290,-4.175557e-01, 1.559143e+00, 8.028336e-01,3.935892e-01,6.419362e-01,Not_significant,2.179037e+00,3.633460e+00,5.683622e+00,1.819393e+00,1.437677e+00,2.063035e+00,2.230382e+00,4.202893e+00
130,AGIS_Os01g001300,-8.315026e-01, 2.825467e+00, 8.114766e+00,1.913774e-02,1.084546e-01,Not_significant,8.965180e+00,9.912079e+00,8.282839e+00,7.981073e+00,3.504337e+00,7.888074e+00,6.821070e+00,3.081005e+00
131,AGIS_Os01g001310,-2.741962e-01, 1.790253e+00, 5.265968e-01,4.864874e-01,7.169599e-01,Not_significant,2.946888e+00,5.493791e+00,4.366685e+00,2.110496e+00,1.422701e+00,3.721553e+00,3.637904e+00,3.683811e+00
132,AGIS_Os01g001320, 4.728548e-01, 2.366920e+00, 1.675642e+00,2.277396e-01,4.836124e-01,Not_significant,5.976787e+00,4.243881e+00,4.210732e+00,2.183272e+00,4.942013e+00,3.640649e+00,1.156334e+01,4.186148e+00
133,AGIS_Os01g001330, 9.654488e-01, 4.713520e-01, 3.396280e+00,9.846768e-02,3.011550e-01,Not_significant,1.162153e+00,6.976243e-01,7.797652e-01,8.247917e-01,1.467628e+00,1.213550e+00,3.291437e+00,1.322823e+00
136,AGIS_Os01g001360, 1.241090e+00,-1.479444e-01, 1.149107e+00,3.116469e-01,5.675205e-01,Not_significant,7.678511e-01,0.000000e+00,8.490777e-01,5.094302e-01,9.284995e-01,2.103486e+00,9.960928e-01,7.032729e-01
137,AGIS_Os01g001370, 4.689933e-01, 5.977741e-01, 7.302499e-01,4.149766e-01,6.588927e-01,Not_significant,4.150546e-01,2.063805e+00,1.455562e+00,8.247917e-01,3.893708e-01,1.355131e+00,2.641811e+00,2.662390e+00
139,AGIS_Os01g001390, 5.019119e-01,-1.315266e+00, 1.904052e-01,6.728632e-01,8.399340e-01,Not_significant,6.433347e-01,1.162707e-01,1.386249e-01,4.366544e-01,3.594192e-01,5.056458e-01,3.897754e-01,3.014027e-01
144,AGIS_Os01g001440,-2.745833e-01,-1.668118e-01, 1.484115e-01,7.090077e-01,8.607096e-01,Not_significant,1.763982e+00,6.104213e-01,1.108999e+00,3.153615e-01,1.123185e+00,2.629358e-01,8.228592e-01,7.702513e-01
146,AGIS_Os01g001460,-2.396681e+00,-1.319902e+00, 3.211812e+00,1.067183e-01,3.156902e-01,Not_significant,4.980656e-01,5.813536e-01,8.144214e-01,4.123958e-01,0.000000e+00,1.213550e-01,3.464670e-01,1.507013e-01
147,AGIS_Os01g001470,-6.624176e-01,-7.244780e-01, 3.853755e-01,5.501410e-01,7.636865e-01,Not_significant,8.301093e-02,4.650829e-01,4.505310e-01,1.334222e+00,0.000000e+00,2.427100e-01,1.082710e+00,9.042081e-01
149,AGIS_Os01g001490, 4.237261e+00,-1.726472e+00, 3.742760e+00,8.505071e-02,2.760055e-01,Not_significant,0.000000e+00,0.000000e+00,0.000000e+00,5.822059e-01,3.294676e-01,2.427100e-01,6.063173e-01,3.348919e-01
157,AGIS_Os01g001570, 4.152161e-01, 1.627617e+00, 1.020047e+00,3.388972e-01,5.936824e-01,Not_significant,2.179037e+00,2.180076e+00,3.084405e+00,2.377341e+00,1.168112e+00,4.490134e+00,4.395801e+00,4.521040e+00
158,AGIS_Os01g001580,-1.373340e-01, 1.370093e+00, 1.026579e-01,7.559794e-01,8.880212e-01,Not_significant,2.345059e+00,3.749731e+00,2.547233e+00,1.795135e+00,1.213040e+00,2.083261e+00,3.897754e+00,2.762858e+00
165,AGIS_Os01g001650,-8.093445e-01,-1.427306e+00, 3.127064e-01,5.896707e-01,7.876358e-01,Not_significant,3.735492e-01,2.034738e-01,2.079374e-01,5.822059e-01,6.589351e-01,2.022583e-02,5.413548e-01,6.697837e-02
168,AGIS_Os01g001680,-1.852733e-01, 4.055077e+00, 7.009984e-01,4.241297e-01,6.670619e-01,Not_significant,1.678896e+01,1.749874e+01,1.687758e+01,1.816968e+01,1.046808e+01,1.417831e+01,2.269359e+01,1.600783e+01
169,AGIS_Os01g001690,-2.610285e+00,-1.249041e+00, 5.874878e+00,3.837836e-02,1.699331e-01,Not_significant,4.565601e-01,1.278978e+00,5.198435e-01,4.609130e-01,8.985479e-02,1.618066e-01,4.330838e-02,1.339567e-01
171,AGIS_Os01g001710,-3.583104e+00,-7.177099e-01, 8.148428e+00,1.895441e-02,1.079846e-01,Not_significant,7.886038e-01,5.813536e-01,1.368921e+00,1.334222e+00,0.000000e+00,1.618066e-01,4.330838e-02,3.014027e-01
173,AGIS_Os01g001730, 5.573074e-01,-1.430345e+00, 8.534848e-02,7.768008e-01,8.991072e-01,Not_significant,3.320437e-01,5.232182e-01,2.252655e-01,0.000000e+00,1.797096e-01,4.045166e-02,8.661676e-01,5.023378e-01
178,AGIS_Os01g001780,-3.955669e-02, 2.769266e-01, 6.353906e-03,9.382117e-01,9.765469e-01,Not_significant,1.390433e+00,1.220843e+00,1.005031e+00,1.140153e+00,1.317870e+00,1.132646e+00,9.960928e-01,1.172122e+00
181,AGIS_Os01g001810, 2.649040e+00,-2.130329e+00, 1.541231e+00,2.458251e-01,5.037460e-01,Not_significant,3.112910e-01,8.720304e-02,0.000000e+00,0.000000e+00,8.985479e-02,3.236133e-01,3.897754e-01,3.014027e-01
183,AGIS_Os01g001830,-1.212188e+00, 7.489682e+00, 4.307179e+01,1.037708e-04,2.891031e-03,DOWN,2.691837e+02,2.463777e+02,2.512923e+02,2.312570e+02,1.511058e+02,9.489959e+01,1.009518e+02,9.248039e+01
184,AGIS_Os01g001840,-4.570635e-01, 3.750261e+00, 1.640309e+00,2.323117e-01,4.888379e-01,Not_significant,1.259691e+01,1.258631e+01,1.415707e+01,1.882466e+01,3.564240e+00,1.215572e+01,2.102622e+01,1.245798e+01
185,AGIS_Os01g001850, 1.006654e+00, 1.242118e+00, 5.438287e+00,4.460885e-02,1.866119e-01,Not_significant,1.494197e+00,8.429627e-01,1.611515e+00,2.328824e+00,2.156515e+00,3.863134e+00,3.269783e+00,3.014027e+00
186,AGIS_Os01g001860, 4.059429e-01, 6.019066e+00, 4.787473e+00,5.644097e-02,2.163556e-01,Not_significant,6.705208e+01,4.842675e+01,3.664896e+01,7.027710e+01,1.075412e+02,7.234779e+01,4.978298e+01,6.639231e+01
187,AGIS_Os01g001870, 6.861571e-01, 2.266243e+00, 4.983403e+00,5.250420e-02,2.068120e-01,Not_significant,3.901514e+00,3.575325e+00,2.269983e+00,5.239853e+00,6.065198e+00,5.764362e+00,5.933248e+00,5.408504e+00
188,AGIS_Os01g001880, 5.314361e-01, 5.461950e+00, 8.025782e+00,1.963301e-02,1.102259e-01,Not_significant,3.637954e+01,3.034666e+01,3.030687e+01,4.720720e+01,6.548917e+01,5.222309e+01,4.016852e+01,5.015006e+01
189,AGIS_Os01g001890, 6.835598e-01, 3.223275e+00, 5.888276e+00,3.820491e-02,1.695369e-01,Not_significant,9.027438e+00,5.406588e+00,4.158748e+00,1.069803e+01,1.629367e+01,1.035563e+01,9.484535e+00,8.941613e+00
