GeneID	WTmycLP_1	WTmycLP_2	WTmycLP_3	WTmycLP_4	WTmycHP_1	WTmycHP_2	WTmycHP_3	WTmycHP_4
AGIS_Os01g001080	247	227	328	171	449	432	322	405
AGIS_Os01g001090	50	12	10	55	106	113	60	149
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	100	62	61	28	22	22	32	19
AGIS_Os01g001120	571	481	478	267	1206	722	258	600
AGIS_Os01g001130	3080	1659	2647	2293	7371	3557	2030	4714
AGIS_Os01g001140	86	18	12	86	133	92	53	48
AGIS_Os01g001150	130	110	162	145	242	44	110	207
AGIS_Os01g001160	487	312	529	266	530	277	369	389
AGIS_Os01g001170	47	22	2	6	24	4	6	22
AGIS_Os01g001180	1767	1354	2086	1448	3329	2103	1850	2294
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	4	0	0	0	0	0	4	0
AGIS_Os01g001240	0	0	0	0	0	0	0	0
AGIS_Os01g001250	0	0	0	0	0	0	2	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	0	23	7	17	48	87	93	69
AGIS_Os01g001280	63	56	56	54	60	67	74	70
AGIS_Os01g001290	105	125	328	75	96	102	103	251
AGIS_Os01g001300	432	341	478	329	234	390	315	184
AGIS_Os01g001310	142	189	252	87	95	184	168	220
AGIS_Os01g001320	288	146	243	90	330	180	534	250
AGIS_Os01g001330	56	24	45	34	98	60	152	79
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	37	0	49	21	62	104	46	42
AGIS_Os01g001370	20	71	84	34	26	67	122	159
AGIS_Os01g001380	0	0	4	0	0	0	0	0
AGIS_Os01g001390	31	4	8	18	24	25	18	18
AGIS_Os01g001400	10	6	16	1	38	12	3	2
