,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2HPmock_1,CPM.phoHPmock_2,CPM.pho2HPmock_3,CPM.pho2HPmock_4,CPM.pho2HPmyc_1,CPM.pho2HPmyc_2,CPM.pho2HPmyc_3,CPM.pho2HPmyc_4
36411,AGIS_Os07g041030, 9.602597e-01, 5.899076e+00, 3.291415e+01,6.291121e-04,3.457238e-02,Not_significant,2.829070e+01,4.783620e+01,4.204371e+01,4.488075e+01,6.374005e+01,7.339065e+01,8.937726e+01,8.750993e+01
36416,AGIS_Os07g041080,-4.989139e-01,-1.596912e-01, 3.066842e-01,5.964199e-01,8.765435e-01,Not_significant,1.280922e+00,2.033742e+00,4.653539e-01,4.174953e-01,3.892522e-01,3.361404e-01,1.107482e+00,8.246501e-01
36432,AGIS_Os07g041240, 9.497382e-01,-1.985832e-01, 2.773388e+00,1.384053e-01,5.428606e-01,Not_significant,4.858669e-01,9.519641e-01,3.439572e-01,4.934036e-01,5.838783e-01,1.381910e+00,9.344379e-01,1.455265e+00
36433,AGIS_Os07g041250, 7.824290e-01,-2.672711e-01, 6.087128e-01,4.600394e-01,8.155047e-01,Not_significant,0.000000e+00,8.437864e-01,9.711734e-01,1.062715e+00,4.135805e-01,1.176491e+00,1.176700e+00,6.629540e-01
36452,AGIS_Os07g041440,-4.736357e-01, 6.991545e-01, 1.252076e+00,2.989368e-01,7.188769e-01,Not_significant,1.280922e+00,1.709208e+00,1.618622e+00,2.485995e+00,4.622370e-01,1.512632e+00,1.592005e+00,1.988862e+00
36458,AGIS_Os07g041500,-2.917487e-01, 8.616047e-01, 5.940599e-01,4.652816e-01,8.181722e-01,Not_significant,3.555662e+00,1.579395e+00,1.011639e+00,1.916683e+00,2.262528e+00,1.083119e+00,1.349744e+00,1.487604e+00
36459,AGIS_Os07g041510, 1.497836e-01,-3.592408e-01, 4.703106e-02,8.343032e-01,9.574554e-01,Not_significant,1.457601e+00,5.408887e-01,5.260523e-01,4.554494e-01,4.865653e-01,7.096296e-01,9.517423e-01,7.923109e-01
36460,AGIS_Os07g041520,-4.199507e-01, 2.184716e+00, 2.777981e+00,1.381262e-01,5.423509e-01,Not_significant,4.924923e+00,6.793562e+00,3.459805e+00,5.655164e+00,3.868194e+00,3.697544e+00,3.201315e+00,4.462812e+00
36462,AGIS_Os07g041540,-8.409099e-01, 3.207919e+00, 7.613373e+00,2.723298e-02,2.625632e-01,Not_significant,9.209386e+00,1.183465e+01,8.821492e+00,1.679470e+01,3.673568e+00,6.405341e+00,1.026151e+01,6.597201e+00
36463,AGIS_Os07g041550,-7.119769e-01,-6.006969e-01, 4.734061e-01,5.128801e-01,8.405709e-01,Not_significant,3.975274e-01,9.952352e-01,9.711734e-01,5.313577e-01,4.379087e-01,3.734893e-02,7.440895e-01,8.408197e-01
