,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2HPmock_1,CPM.phoHPmock_2,CPM.pho2HPmock_3,CPM.pho2HPmock_4,CPM.pho2HPmyc_1,CPM.pho2HPmyc_2,CPM.pho2HPmyc_3,CPM.pho2HPmyc_4
1,AGIS_Os01g000010, 5.089682e-01, 3.088348e+00, 7.428621e-01,4.172297e-01,7.910823e-01,Not_significant,1.031363e+01,1.278661e+01,1.173501e+00,7.476962e+00,8.758175e+00,6.797505e+00,8.375333e+00,1.204636e+01
2,AGIS_Os01g000020,-6.791698e-01,-1.372959e+00, 6.575150e-01,4.432991e-01,8.069893e-01,Not_significant,3.091880e-01,3.028977e-01,5.665178e-01,4.174953e-01,1.459696e-01,1.867446e-01,6.575674e-01,1.778657e-01
3,AGIS_Os01g000030,-2.285047e-01, 2.156348e+00, 5.631614e-01,4.766885e-01,8.240218e-01,Not_significant,4.306547e+00,5.538700e+00,3.318176e+00,6.053682e+00,4.306102e+00,3.660195e+00,4.741407e+00,3.427957e+00
4,AGIS_Os01g000040,-3.118391e-01, 4.698384e+00, 4.165370e+00,7.930495e-02,4.292271e-01,Not_significant,2.477921e+01,2.998687e+01,2.676797e+01,3.360837e+01,2.133589e+01,2.328706e+01,2.348208e+01,2.414123e+01
5,AGIS_Os01g000050, 4.460232e-01, 2.955219e+00, 4.093837e+00,8.141860e-02,4.352022e-01,Not_significant,6.338354e+00,6.728656e+00,5.604480e+00,7.230260e+00,6.228035e+00,9.318558e+00,9.378988e+00,1.088215e+01
6,AGIS_Os01g000060, 4.308593e-02, 6.265537e+00, 5.559948e-02,8.201296e-01,9.529255e-01,Not_significant,5.452751e+01,7.656821e+01,1.088524e+02,6.666641e+01,7.001674e+01,9.030971e+01,8.380524e+01,6.440356e+01
7,AGIS_Os01g000070,-4.924450e-02, 1.700552e+00, 1.443285e-02,9.076442e-01,9.758581e-01,Not_significant,5.013263e+00,4.586736e+00,1.193734e+00,3.036330e+00,2.943720e+00,2.819844e+00,2.837923e+00,3.266261e+00
8,AGIS_Os01g000080, 4.542046e-01, 5.406259e+00, 9.334052e+00,1.772432e-02,2.165144e-01,Not_significant,3.242057e+01,3.565538e+01,3.447666e+01,4.017444e+01,4.009298e+01,5.275536e+01,4.959443e+01,5.376395e+01
12,AGIS_Os01g000120, 4.205537e-01, 8.736531e-02, 4.224230e-01,5.358208e-01,8.503756e-01,Not_significant,4.196123e-01,1.601031e+00,8.497767e-01,7.590824e-01,1.654322e+00,7.096296e-01,1.055569e+00,1.148042e+00
13,AGIS_Os01g000130,-8.480934e-02, 1.926512e+00, 1.050909e-01,7.549780e-01,9.320050e-01,Not_significant,2.893116e+00,3.742950e+00,4.532143e+00,4.250861e+00,3.138346e+00,3.305380e+00,5.122104e+00,3.104565e+00
14,AGIS_Os01g000140, 9.119756e-02, 3.117190e+00, 2.402979e-01,6.385114e-01,8.931947e-01,Not_significant,8.701434e+00,7.139731e+00,9.124983e+00,8.482746e+00,9.731305e+00,7.787252e+00,9.759685e+00,8.375858e+00
16,AGIS_Os01g000160, 7.751684e-02, 3.960410e+00, 1.315891e-01,7.271596e-01,9.220843e-01,Not_significant,1.660781e+01,1.828204e+01,9.549872e+00,1.671879e+01,1.418338e+01,1.490222e+01,1.529709e+01,1.867590e+01
17,AGIS_Os01g000170,-6.426398e-01, 1.947452e+00, 6.000596e+00,4.305035e-02,3.273910e-01,Not_significant,4.836584e+00,4.002576e+00,5.139126e+00,4.459609e+00,3.989835e+00,1.979493e+00,3.270533e+00,2.878191e+00
18,AGIS_Os01g000180, 1.395522e+00, 3.433541e+00, 1.397732e+01,7.055034e-03,1.384632e-01,Not_significant,2.495589e+00,1.189955e+01,7.890784e+00,4.080068e+00,1.109369e+01,1.348296e+01,1.647379e+01,1.867590e+01
19,AGIS_Os01g000190, 2.163963e+00, 5.174868e+00, 6.233716e+00,4.111526e-02,3.207330e-01,Not_significant,5.962912e-01,3.448706e+01,4.475491e+01,7.401053e+00,3.281883e+01,6.765758e+01,5.324566e+01,4.768418e+01
20,AGIS_Os01g000200, 1.367808e+00, 2.760465e+00, 1.623304e+01,4.673729e-03,1.102892e-01,Not_significant,1.325091e+00,4.089119e+00,8.032413e+00,3.264054e+00,5.887440e+00,1.288538e+01,9.552032e+00,8.828607e+00
28,AGIS_Os01g000280, 1.439542e+00,-1.379864e+00, 8.132175e-01,3.962066e-01,7.786928e-01,Not_significant,7.067154e-01,2.163555e-02,4.046556e-01,0.000000e+00,3.405957e-01,1.867446e-01,3.633925e-01,7.276325e-01
30,AGIS_Os01g000300,-1.596169e-02, 2.863987e+00, 6.403249e-03,9.383904e-01,9.837711e-01,Not_significant,7.177579e+00,5.863234e+00,8.315672e+00,7.704686e+00,8.028327e+00,5.471618e+00,8.236897e+00,7.130798e+00
31,AGIS_Os01g000310, 7.849734e-01, 2.743598e+00, 5.661404e+00,4.780366e-02,3.440070e-01,Not_significant,1.855128e+00,7.572442e+00,8.275207e+00,3.624618e+00,5.911768e+00,8.422183e+00,8.998291e+00,8.586063e+00
32,AGIS_Os01g000320,-5.648928e-03, 5.243448e+00, 1.515242e-03,9.700020e-01,9.911374e-01,Not_significant,3.513701e+01,3.957142e+01,4.198302e+01,3.503165e+01,3.471643e+01,4.084105e+01,3.966170e+01,3.579952e+01
33,AGIS_Os01g000330, 5.798096e-01, 3.464515e+00, 3.576689e+00,9.914600e-02,4.736978e-01,Not_significant,1.119702e+01,1.250535e+01,4.370280e+00,8.482746e+00,1.216413e+01,1.092456e+01,1.233804e+01,1.600791e+01
35,AGIS_Os01g000350,-5.331593e-01, 8.208132e-02, 9.205149e-01,3.683074e-01,7.634223e-01,Not_significant,1.479685e+00,1.384675e+00,8.700095e-01,9.108989e-01,1.629994e+00,4.108382e-01,9.517423e-01,5.497668e-01
36,AGIS_Os01g000360,-3.453490e-01, 1.753369e+00, 5.182316e-01,4.941983e-01,8.317512e-01,Not_significant,5.477045e+00,2.293368e+00,3.621667e+00,3.434848e+00,1.192085e+00,2.969240e+00,3.547403e+00,4.107081e+00
37,AGIS_Os01g000370,-6.410726e-01, 1.730508e+00, 5.003047e+00,5.916272e-02,3.780432e-01,Not_significant,2.760607e+00,4.154025e+00,5.220057e+00,3.776435e+00,2.335513e+00,2.539727e+00,3.720447e+00,1.730148e+00
38,AGIS_Os01g000380,-2.327177e-01, 9.889640e-01, 1.977773e-01,6.695254e-01,9.049208e-01,Not_significant,1.766789e+00,1.471217e+00,2.832589e+00,1.783844e+00,4.111476e+00,1.232515e+00,8.825247e-01,1.519943e+00
39,AGIS_Os01g000390,-1.576366e-01, 5.070983e+00, 9.881169e-01,3.522885e-01,7.564347e-01,Not_significant,3.178011e+01,3.269131e+01,4.159859e+01,3.561994e+01,2.736930e+01,3.568690e+01,3.268802e+01,3.115884e+01
40,AGIS_Os01g000400, 4.230090e-01, 1.260119e+00, 4.693566e-01,5.147402e-01,8.415844e-01,Not_significant,3.378983e+00,3.158790e+00,4.046556e-01,1.973614e+00,2.262528e+00,1.811423e+00,2.509139e+00,3.347109e+00
41,AGIS_Os01g000410,-5.177972e-01, 3.528109e+00, 7.856250e+00,2.554599e-02,2.556476e-01,Not_significant,1.212459e+01,1.423619e+01,1.559947e+01,1.225918e+01,9.293396e+00,8.366160e+00,9.915425e+00,1.018685e+01
42,AGIS_Os01g000420,-1.071616e-01, 2.075474e+00, 1.981625e-01,6.692269e-01,9.049208e-01,Not_significant,4.571566e+00,3.548230e+00,5.098660e+00,4.023137e+00,3.819537e+00,2.950565e+00,5.104800e+00,4.284947e+00
43,AGIS_Os01g000430,-1.239658e-01, 3.571608e+00, 4.227702e-01,5.356578e-01,8.503756e-01,Not_significant,1.042405e+01,1.235390e+01,1.296921e+01,1.373939e+01,1.248040e+01,1.111131e+01,1.150743e+01,1.021919e+01
44,AGIS_Os01g000440,-6.831055e-02, 4.157589e+00, 1.611897e-01,6.996622e-01,9.137616e-01,Not_significant,1.855128e+01,1.642138e+01,1.820950e+01,1.964126e+01,1.951127e+01,1.770339e+01,1.761589e+01,1.481136e+01
45,AGIS_Os01g000450, 1.183082e-02, 2.069537e+00, 1.017783e-03,9.754122e-01,9.927009e-01,Not_significant,2.296825e+00,3.742950e+00,4.552375e+00,6.357315e+00,4.987294e+00,4.351150e+00,3.616621e+00,3.363279e+00
46,AGIS_Os01g000460, 1.443782e+00,-2.127547e+00, 6.064194e-01,4.608530e-01,8.158671e-01,Not_significant,2.650183e-01,6.490665e-02,0.000000e+00,5.693118e-02,2.676109e-01,0.000000e+00,2.941749e-01,5.497668e-01
47,AGIS_Os01g000470,-2.494334e-01, 6.740675e+00, 8.930462e-01,3.751450e-01,7.671984e-01,Not_significant,6.941271e+01,9.084767e+01,1.655446e+02,1.496911e+02,9.512351e+01,9.850780e+01,1.105579e+02,7.552825e+01
50,AGIS_Os01g000500, 6.952134e-01, 1.898058e+00, 2.636066e+00,1.471116e-01,5.547789e-01,Not_significant,2.561843e+00,5.884869e+00,1.335363e+00,2.391110e+00,3.454613e+00,3.846940e+00,4.551059e+00,5.465328e+00
52,AGIS_Os01g000520, 2.202281e-01, 3.338536e+00, 6.017346e-01,4.625229e-01,8.165821e-01,Not_significant,1.117494e+01,1.453909e+01,4.977264e+00,7.799572e+00,1.012056e+01,9.934815e+00,8.565681e+00,1.350162e+01
53,AGIS_Os01g000530,-7.648094e-01, 4.715836e+00, 9.904178e+00,1.554232e-02,2.043678e-01,Not_significant,3.959815e+01,2.501069e+01,2.652517e+01,4.174953e+01,1.790560e+01,1.884253e+01,2.412234e+01,1.616961e+01
57,AGIS_Os01g000570, 4.706773e-01, 2.536540e+00, 1.214158e+00,3.060901e-01,7.239044e-01,Not_significant,5.918742e+00,8.113331e+00,1.719786e+00,4.801196e+00,6.568631e+00,4.500546e+00,5.762367e+00,8.715420e+00
58,AGIS_Os01g000580, 3.806346e-01, 2.926367e+00, 5.735260e-01,4.735243e-01,8.220215e-01,Not_significant,8.811858e+00,1.029852e+01,1.557924e+00,7.875480e+00,7.614746e+00,5.845107e+00,7.838896e+00,1.065577e+01
61,AGIS_Os01g000610,-6.543097e-01,-1.095305e+00, 7.053118e-01,4.278894e-01,7.973802e-01,Not_significant,1.325091e-01,9.952352e-01,4.855867e-01,5.693118e-01,1.216413e-01,3.361404e-01,3.460881e-01,4.365795e-01
62,AGIS_Os01g000620,-6.904731e-01, 1.539566e-01, 8.331528e-01,3.907723e-01,7.761002e-01,Not_significant,9.496489e-01,1.276497e+00,1.942347e+00,9.108989e-01,1.484024e+00,1.213840e+00,1.903485e-01,6.467844e-01
63,AGIS_Os01g000630, 8.287740e-01, 5.067518e+00, 2.990042e+01,8.399314e-04,4.030027e-02,Not_significant,2.040641e+01,2.120284e+01,2.652517e+01,2.854150e+01,3.488673e+01,4.216694e+01,4.826199e+01,4.593786e+01
64,AGIS_Os01g000640,-1.497311e-01, 5.333314e+00, 7.630042e-01,4.104519e-01,7.873646e-01,Not_significant,3.502658e+01,3.747277e+01,4.908472e+01,4.867616e+01,3.722224e+01,4.007540e+01,3.955787e+01,3.510422e+01
65,AGIS_Os01g000650,-5.699164e-01, 1.530908e+00, 3.226919e+00,1.141268e-01,5.027031e-01,Not_significant,2.120146e+00,2.401546e+00,3.560969e+00,5.901866e+00,1.970589e+00,1.718051e+00,2.630270e+00,2.490120e+00
66,AGIS_Os01g000660,-1.987375e-01, 4.783273e+00, 1.422578e-01,7.171970e-01,9.197840e-01,Not_significant,1.132953e+01,1.970998e+01,5.205894e+01,3.911172e+01,3.695463e+01,2.354850e+01,2.251303e+01,1.476285e+01
67,AGIS_Os01g000670, 8.355393e-02, 2.371239e+00, 8.971277e-02,7.729675e-01,9.365048e-01,Not_significant,4.129868e+00,6.425758e+00,4.592841e+00,4.687334e+00,7.322807e+00,4.967408e+00,4.810625e+00,4.155590e+00
68,AGIS_Os01g000680,-4.732912e-01, 3.969162e-01, 5.261876e-01,4.910126e-01,8.303734e-01,Not_significant,5.300366e-01,1.298133e+00,1.841183e+00,2.296224e+00,1.800291e+00,6.909552e-01,9.344379e-01,8.408197e-01
69,AGIS_Os01g000690, 3.790179e-01, 1.857890e+00, 2.818135e-01,6.118992e-01,8.839187e-01,Not_significant,3.666086e+00,7.269544e+00,6.879145e-01,2.580880e+00,3.649239e+00,1.830098e+00,3.910796e+00,5.093427e+00
70,AGIS_Os01g000700,-2.063116e-01, 4.314552e+00, 9.034040e-01,3.725434e-01,7.658270e-01,Not_significant,1.830835e+01,1.986143e+01,2.632285e+01,2.055216e+01,1.992485e+01,2.192382e+01,1.427614e+01,1.770572e+01
71,AGIS_Os01g000710, 7.943081e-01, 7.301597e+00, 6.060441e+00,4.261919e-02,3.262371e-01,Not_significant,6.391358e+01,1.858926e+02,1.782912e+02,6.928525e+01,1.804671e+02,1.885000e+02,1.941035e+02,2.013116e+02
72,AGIS_Os01g000720, 2.390512e-01, 3.712446e+00, 1.903243e+00,2.088585e-01,6.355708e-01,Not_significant,1.587901e+01,1.105577e+01,9.428475e+00,1.186066e+01,1.569173e+01,1.318417e+01,1.162856e+01,1.583005e+01
74,AGIS_Os01g000740,-2.457151e-01, 3.182634e+00, 7.008187e-01,4.292992e-01,7.973907e-01,Not_significant,1.643113e+01,7.507535e+00,6.110299e+00,1.045636e+01,7.590418e+00,8.851696e+00,7.994636e+00,7.389512e+00
76,AGIS_Os01g000760,-1.187157e+00,-1.521798e+00, 9.854077e-01,3.529094e-01,7.566267e-01,Not_significant,2.650183e-01,3.894399e-01,5.462850e-01,3.036330e-01,0.000000e+00,1.493957e-01,3.460881e-01,4.527491e-01
77,AGIS_Os01g000770,-3.398730e-01, 1.011434e+00, 4.609346e-01,5.183157e-01,8.429362e-01,Not_significant,2.539759e+00,2.423181e+00,2.670727e+00,1.119647e+00,1.216413e+00,1.624678e+00,1.401657e+00,2.813512e+00
78,AGIS_Os01g000780, 2.964169e-01, 4.400755e+00, 2.582292e+00,1.507225e-01,5.622114e-01,Not_significant,2.270323e+01,2.102975e+01,1.377852e+01,1.882524e+01,2.464453e+01,2.145696e+01,2.351669e+01,2.271830e+01
79,AGIS_Os01g000790, 4.820499e-01, 3.572376e+00, 7.971831e+00,2.479048e-02,2.524150e-01,Not_significant,1.102034e+01,9.692726e+00,7.061240e+00,1.191759e+01,1.610531e+01,1.264261e+01,1.071143e+01,1.570069e+01
81,AGIS_Os01g000810, 1.232021e-01, 4.290397e+00, 2.394245e-01,6.391124e-01,8.936784e-01,Not_significant,2.106895e+01,2.427509e+01,9.529639e+00,2.197544e+01,1.861112e+01,1.917867e+01,1.945015e+01,2.213620e+01
85,AGIS_Os01g000850, 8.420005e-01, 3.541172e+00, 9.080052e+00,1.882328e-02,2.230417e-01,Not_significant,1.364844e+01,5.365616e+00,7.911017e+00,6.300384e+00,2.228469e+01,1.415524e+01,7.596634e+00,1.557133e+01
87,AGIS_Os01g000870,-2.747662e-01, 2.091469e+00, 7.683101e-01,4.089074e-01,7.862593e-01,Not_significant,4.924923e+00,3.916034e+00,3.297943e+00,6.433223e+00,2.846407e+00,3.492125e+00,4.931756e+00,3.929215e+00
89,AGIS_Os01g000890, 5.802462e-01, 2.206458e+00, 4.641933e+00,6.691144e-02,3.996430e-01,Not_significant,4.593650e+00,4.651643e+00,2.205373e+00,3.377917e+00,7.176837e+00,4.481871e+00,4.083840e+00,6.047434e+00
90,AGIS_Os01g000900,-2.412773e-01, 2.248035e+00, 6.404218e-01,4.490411e-01,8.100126e-01,Not_significant,4.019444e+00,6.555571e+00,4.370280e+00,5.465393e+00,4.379087e+00,3.454776e+00,5.727758e+00,3.719010e+00
93,AGIS_Os01g000930,-3.394091e-01,-2.279021e+00, 2.094361e-02,8.888831e-01,9.714557e-01,Not_significant,2.208486e-01,8.654219e-02,0.000000e+00,3.985183e-01,0.000000e+00,3.921638e-01,1.903485e-01,3.233922e-02
95,AGIS_Os01g000950, 3.043026e-01, 5.764540e+00, 9.612882e-01,3.590615e-01,7.590506e-01,Not_significant,7.064946e+01,6.356524e+01,1.986859e+01,5.000455e+01,5.794992e+01,4.948733e+01,5.244965e+01,7.061269e+01
96,AGIS_Os01g000960, 1.455274e-01, 2.455982e+00, 3.669009e-01,5.632166e-01,8.627828e-01,Not_significant,3.931105e+00,5.711785e+00,6.029368e+00,5.085852e+00,6.033409e+00,6.255946e+00,5.796976e+00,4.737696e+00
99,AGIS_Os01g000990,-2.772070e-01, 2.106974e+00, 1.033586e+00,3.421142e-01,7.507760e-01,Not_significant,7.133409e+00,4.132390e+00,3.034917e+00,4.725288e+00,3.770881e+00,3.641521e+00,3.028271e+00,4.689187e+00
100,AGIS_Os01g001000,-6.873098e-01, 4.602065e+00, 2.056250e+00,1.946116e-01,6.201569e-01,Not_significant,1.159455e+01,2.793149e+01,3.684389e+01,4.543108e+01,2.646915e+01,1.645220e+01,1.746015e+01,1.180382e+01
101,AGIS_Os01g001010,-4.892607e-02, 3.790239e+00, 8.473391e-02,7.791530e-01,9.390318e-01,Not_significant,1.329508e+01,1.261352e+01,1.653018e+01,1.370144e+01,1.352651e+01,1.376308e+01,1.524518e+01,1.169063e+01
102,AGIS_Os01g001020,-8.219765e-01, 2.832718e+00, 1.024143e+01,1.441274e-02,1.982057e-01,Not_significant,9.916101e+00,6.750291e+00,7.384964e+00,1.233509e+01,6.763257e+00,4.631267e+00,4.741407e+00,4.171759e+00
104,AGIS_Os01g001040, 3.510030e-01,-1.169854e+00, 1.932067e-01,6.730956e-01,9.064570e-01,Not_significant,3.533577e-01,5.192532e-01,2.832589e-01,2.467018e-01,2.189544e-01,6.349318e-01,5.191322e-01,4.527491e-01
106,AGIS_Os01g001060,-4.459212e+00,-1.125723e+00, 1.092945e+01,1.241660e-02,1.836405e-01,Not_significant,1.545940e+00,6.490665e-01,1.618622e-01,7.970365e-01,4.865653e-02,1.867446e-01,0.000000e+00,0.000000e+00
107,AGIS_Os01g001070,-8.403837e-02, 5.560470e+00, 2.982688e-01,6.014024e-01,8.783997e-01,Not_significant,4.757078e+01,4.376871e+01,5.064265e+01,5.224385e+01,4.588310e+01,4.719037e+01,4.739677e+01,4.252608e+01
108,AGIS_Os01g001080,-9.901875e-02, 2.784867e+00, 1.272814e-01,7.314498e-01,9.239882e-01,Not_significant,8.745604e+00,6.036318e+00,5.139126e+00,8.653539e+00,6.228035e+00,7.637856e+00,7.077502e+00,5.303632e+00
109,AGIS_Os01g001090,-1.167509e+00, 1.970046e+00, 1.425883e+01,6.521289e-03,1.330427e-01,Not_significant,5.212026e+00,4.132390e+00,6.332860e+00,5.579256e+00,1.313726e+00,2.651774e+00,3.218620e+00,2.587138e+00
111,AGIS_Os01g001110, 1.413070e+00, 6.839800e-02, 5.189618e+00,5.561588e-02,3.670499e-01,Not_significant,1.082158e+00,5.408887e-01,4.046556e-01,3.036330e-01,1.070444e+00,1.120468e+00,2.059224e+00,1.471435e+00
112,AGIS_Os01g001120,-1.194564e-01, 3.246195e+00, 2.510724e-01,6.312090e-01,8.913354e-01,Not_significant,5.366620e+00,9.844175e+00,1.519482e+01,9.716255e+00,6.471318e+00,1.178359e+01,9.188640e+00,8.020127e+00
113,AGIS_Os01g001130,-2.736960e-01, 6.312823e+00, 1.606308e+00,2.442905e-01,6.715939e-01,Not_significant,6.939062e+01,7.314979e+01,1.010627e+02,1.058920e+02,7.405523e+01,7.863817e+01,7.681426e+01,5.665831e+01
114,AGIS_Os01g001140,-1.586790e+00, 5.095657e-01, 8.890346e+00,1.970181e-02,2.274920e-01,Not_significant,1.347176e+00,8.654219e-01,2.407701e+00,3.681550e+00,3.405957e-01,4.855361e-01,1.418961e+00,5.174275e-01
115,AGIS_Os01g001150,-1.359342e-02, 1.659467e+00, 2.022234e-03,9.653483e-01,9.897717e-01,Not_significant,2.120146e+00,3.786221e+00,2.994451e+00,3.605641e+00,2.335513e+00,2.913216e+00,4.378015e+00,2.813512e+00
116,AGIS_Os01g001160, 1.698772e-01, 2.609255e+00, 4.680934e-01,5.151824e-01,8.416419e-01,Not_significant,6.360439e+00,6.707020e+00,4.188185e+00,5.655164e+00,5.376546e+00,6.143899e+00,6.333413e+00,7.729074e+00
117,AGIS_Os01g001170,-6.058692e-01,-9.549828e-01, 6.888588e-01,4.330902e-01,8.003022e-01,Not_significant,4.416972e-01,4.110754e-01,9.307078e-01,4.934036e-01,1.702978e-01,4.295127e-01,5.710454e-01,3.557314e-01
118,AGIS_Os01g001180,-5.141726e-03, 4.950055e+00, 9.231686e-04,9.765825e-01,9.929367e-01,Not_significant,3.833931e+01,2.440490e+01,3.301990e+01,2.778242e+01,4.092014e+01,2.775025e+01,2.498756e+01,2.978442e+01
127,AGIS_Os01g001270, 7.068756e-02, 6.591146e-01, 3.216405e-02,8.625892e-01,9.650231e-01,Not_significant,2.959371e+00,9.735997e-01,9.914062e-01,1.271463e+00,2.213872e+00,1.251189e+00,8.998291e-01,1.778657e+00
128,AGIS_Os01g001280, 2.115734e-01, 9.052970e-01, 3.239861e-01,5.864563e-01,8.727189e-01,Not_significant,2.252655e+00,6.057954e-01,1.982812e+00,1.783844e+00,3.868194e+00,7.656530e-01,1.626614e+00,1.810996e+00
129,AGIS_Os01g001290, 5.534604e-01, 1.637022e+00, 3.049591e+00,1.228831e-01,5.171455e-01,Not_significant,3.511492e+00,1.968835e+00,2.124442e+00,2.467018e+00,2.992376e+00,3.622846e+00,3.599316e+00,4.268777e+00
130,AGIS_Os01g001300, 1.102827e+00, 2.533865e+00, 2.246912e+01,1.928147e-03,6.649338e-02,Not_significant,3.732341e+00,4.240568e+00,2.953986e+00,3.738481e+00,6.982211e+00,7.787252e+00,8.219593e+00,8.343519e+00
131,AGIS_Os01g001310, 7.421402e-01, 1.794149e+00, 6.474779e+00,3.738292e-02,3.068478e-01,Not_significant,2.407249e+00,3.288603e+00,1.760252e+00,2.675765e+00,3.624911e+00,6.666784e+00,3.910796e+00,3.088396e+00
132,AGIS_Os01g001320, 3.152100e-01, 2.713032e+00, 2.333051e+00,1.691281e-01,5.850285e-01,Not_significant,7.530936e+00,4.738185e+00,5.240290e+00,5.560279e+00,1.041250e+01,5.621014e+00,6.731414e+00,6.322318e+00
133,AGIS_Os01g001330,-2.513921e-01, 1.251142e+00, 4.028822e-01,5.451521e-01,8.543999e-01,Not_significant,3.268559e+00,3.331874e+00,1.780485e+00,1.878729e+00,1.386711e+00,2.390331e+00,1.990007e+00,2.700325e+00
136,AGIS_Os01g001360,-1.855225e-01, 4.007510e-01, 1.504419e-01,7.092768e-01,9.175270e-01,Not_significant,1.656364e+00,1.341404e+00,1.254432e+00,1.043738e+00,9.488022e-01,8.030020e-01,2.128442e+00,1.067194e+00
137,AGIS_Os01g001370, 5.249170e-02, 1.962087e-01, 1.424196e-02,9.082536e-01,9.759132e-01,Not_significant,1.280922e+00,1.103413e+00,8.902423e-01,1.062715e+00,1.435367e+00,9.897466e-01,9.344379e-01,1.164212e+00
139,AGIS_Os01g001390, 1.244004e+00,-5.856625e-01, 1.083443e+00,3.314673e-01,7.417099e-01,Not_significant,6.846306e-01,5.625243e-01,0.000000e+00,5.123806e-01,8.514892e-01,9.710722e-01,9.344379e-01,5.012579e-01
140,AGIS_Os01g001400, 4.763786e-01,-1.688754e+00, 5.612230e-02,8.193165e-01,9.529255e-01,Not_significant,1.325091e-01,7.788797e-01,0.000000e+00,2.656788e-01,2.919392e-01,0.000000e+00,3.806969e-01,3.233922e-01
144,AGIS_Os01g001440,-3.514358e-01,-1.158385e+00, 1.995180e-01,6.681790e-01,9.045717e-01,Not_significant,1.766789e-01,6.274309e-01,8.700095e-01,2.656788e-01,1.946261e-01,3.921638e-01,4.326102e-01,3.072226e-01
146,AGIS_Os01g001460, 3.035184e+00,-2.251222e+00, 2.163717e+00,1.834218e-01,6.057154e-01,Not_significant,4.416972e-02,2.596266e-01,0.000000e+00,0.000000e+00,4.865653e-01,3.734893e-02,2.768705e-01,2.748834e-01
147,AGIS_Os01g001470, 2.744565e-01,-6.584887e-01, 1.007937e-01,7.598488e-01,9.330907e-01,Not_significant,4.416972e-02,1.579395e+00,6.069834e-01,3.605641e-01,1.702978e-01,4.855361e-01,5.537410e-01,9.378374e-01
157,AGIS_Os01g001570, 6.749624e-01, 1.295933e+00, 2.163026e+00,1.834835e-01,6.057154e-01,Not_significant,4.372802e+00,2.185190e+00,4.046556e-01,1.613050e+00,3.527598e+00,2.409006e+00,1.713136e+00,3.120735e+00
158,AGIS_Os01g001580, 5.966951e-01, 4.200783e-01, 1.004542e+00,3.485598e-01,7.541587e-01,Not_significant,2.120146e+00,9.519641e-01,2.023278e-01,1.461234e+00,1.605665e+00,1.456608e+00,1.159395e+00,1.439095e+00
163,AGIS_Os01g001630, 4.977685e+00,-2.303003e+00, 9.976680e+00,1.529014e-02,2.029096e-01,Not_significant,0.000000e+00,4.327110e-02,0.000000e+00,0.000000e+00,3.892522e-01,2.987914e-01,2.595661e-01,3.072226e-01
165,AGIS_Os01g001650, 4.409010e-01,-1.464519e+00, 1.179846e-01,7.409998e-01,9.278564e-01,Not_significant,6.404609e-01,6.274309e-01,0.000000e+00,1.518165e-01,4.865653e-01,2.240936e-01,2.422617e-01,2.425442e-01
168,AGIS_Os01g001680, 2.763890e-01, 4.046166e+00, 1.441461e+00,2.677434e-01,6.921587e-01,Not_significant,1.479685e+01,1.947199e+01,1.009616e+01,1.559914e+01,1.790560e+01,1.411790e+01,1.623153e+01,2.362380e+01
169,AGIS_Os01g001690, 1.400262e+00,-1.690800e+00, 3.362155e-01,5.797678e-01,8.692875e-01,Not_significant,6.183760e-01,3.028977e-01,0.000000e+00,0.000000e+00,5.352218e-01,0.000000e+00,2.768705e-01,4.527491e-01
171,AGIS_Os01g001710, 7.309655e-01,-8.913027e-01, 8.316598e-01,3.911752e-01,7.764528e-01,Not_significant,7.067154e-01,2.596266e-01,2.427933e-01,3.226100e-01,4.622370e-01,5.042105e-01,1.020960e+00,4.689187e-01
173,AGIS_Os01g001730, 2.064075e-01,-1.758360e+00, 3.118086e-02,8.646806e-01,9.654113e-01,Not_significant,2.871031e-01,6.923376e-01,0.000000e+00,1.897706e-01,1.946261e-01,1.867446e-01,6.921762e-02,4.365795e-01
178,AGIS_Os01g001780, 1.418856e+00, 1.710529e-01, 8.953969e+00,1.940140e-02,2.260853e-01,Not_significant,1.015903e+00,3.894399e-01,4.855867e-01,4.934036e-01,2.140887e+00,8.590254e-01,1.384352e+00,1.924184e+00
183,AGIS_Os01g001830, 5.304261e-01, 7.242983e+00, 8.809394e+00,2.009276e-02,2.290608e-01,Not_significant,1.012591e+02,1.096706e+02,1.649376e+02,1.245844e+02,1.613450e+02,1.858109e+02,1.843265e+02,1.795797e+02
184,AGIS_Os01g001840, 4.845872e-01, 3.808170e+00, 2.897476e+00,1.311244e-01,5.297476e-01,Not_significant,1.464226e+01,1.681082e+01,5.220057e+00,1.208839e+01,1.612964e+01,1.540643e+01,1.482988e+01,1.662236e+01
185,AGIS_Os01g001850,-8.803577e-01, 2.185514e+00, 3.920092e+00,8.694996e-02,4.469554e-01,Not_significant,7.972634e+00,5.127625e+00,3.520504e+00,6.547086e+00,1.848948e+00,4.836686e+00,3.997318e+00,2.231406e+00
186,AGIS_Os01g001860,-1.920899e-01, 6.494422e+00, 4.532637e-01,5.217545e-01,8.451211e-01,Not_significant,5.395331e+01,8.485462e+01,1.202434e+02,1.330292e+02,8.276475e+01,8.528628e+01,1.010231e+02,5.981139e+01
187,AGIS_Os01g001870,-1.236263e-01, 2.515087e+00, 1.502906e-01,7.094149e-01,9.175688e-01,Not_significant,2.274740e+00,6.404122e+00,7.991948e+00,7.382076e+00,3.892522e+00,3.884289e+00,8.946378e+00,4.624509e+00
