GeneID	pho2HPmock_1	phoHPmock_2	pho2HPmock_3	pho2HPmock_4	pho2HPmyc_1	pho2HPmyc_2	pho2HPmyc_3	pho2HPmyc_4
AGIS_Os01g001070	2154	2023	2503	2753	1886	2527	2739	2630
AGIS_Os01g001080	396	279	254	456	256	409	409	328
AGIS_Os01g001090	236	191	313	294	54	142	186	160
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	49	25	20	16	44	60	119	91
AGIS_Os01g001120	243	455	751	512	266	631	531	496
AGIS_Os01g001130	3142	3381	4995	5580	3044	4211	4439	3504
AGIS_Os01g001140	61	40	119	194	14	26	82	32
AGIS_Os01g001150	96	175	148	190	96	156	253	174
AGIS_Os01g001160	288	310	207	298	221	329	366	478
AGIS_Os01g001170	20	19	46	26	7	23	33	22
AGIS_Os01g001180	1736	1128	1632	1464	1682	1486	1444	1842
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	14	10	0	18	0	0	0	0
AGIS_Os01g001240	0	0	0	5	0	0	0	0
AGIS_Os01g001250	2	0	0	0	0	0	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	134	45	49	67	91	67	52	110
AGIS_Os01g001280	102	28	98	94	159	41	94	112
AGIS_Os01g001290	159	91	105	130	123	194	208	264
AGIS_Os01g001300	169	196	146	197	287	417	475	516
AGIS_Os01g001310	109	152	87	141	149	357	226	191
AGIS_Os01g001320	341	219	259	293	428	301	389	391
AGIS_Os01g001330	148	154	88	99	57	128	115	167
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	75	62	62	55	39	43	123	66
AGIS_Os01g001370	58	51	44	56	59	53	54	72
AGIS_Os01g001380	0	0	0	0	0	0	0	0
AGIS_Os01g001390	31	26	0	27	35	52	54	31
AGIS_Os01g001400	6	36	0	14	12	0	22	20
AGIS_Os01g001410	2	16	0	3	0	0	5	6
AGIS_Os01g001420	6	4	0	0	0	18	1	2
AGIS_Os01g001430	0	0	0	0	0	0	0	2
AGIS_Os01g001440	8	29	43	14	8	21	25	19
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	2	12	0	0	20	2	16	17
AGIS_Os01g001470	2	73	30	19	7	26	32	58
AGIS_Os01g001480	0	5	0	2	4	4	1	0
AGIS_Os01g001490	0	6	0	18	6	0	24	12
AGIS_Os01g001500	4	4	0	3	4	8	18	0
AGIS_Os01g001510	0	0	0	0	0	0	4	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	0	0	0	0
AGIS_Os01g001540	10	0	0	0	0	0	0	0
AGIS_Os01g001550	3	0	0	0	1	0	0	0
AGIS_Os01g001560	4	0	0	0	0	0	0	0
AGIS_Os01g001570	198	101	20	85	145	129	99	193
AGIS_Os01g001580	96	44	10	77	66	78	67	89
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	0	2	0	0	16	16	15	19
AGIS_Os01g001640	0	0	10	0	14	14	14	1
AGIS_Os01g001650	29	29	0	8	20	12	14	15
AGIS_Os01g001660	0	5	28	0	0	1	0	0
AGIS_Os01g001670	0	0	0	0	0	0	0	0
AGIS_Os01g001680	670	900	499	822	736	756	938	1461
AGIS_Os01g001690	28	14	0	0	22	0	16	28
AGIS_Os01g001700	0	1	0	0	0	0	0	0
AGIS_Os01g001710	32	12	12	17	19	27	59	29
AGIS_Os01g001720	12	12	0	0	4	2	14	8
AGIS_Os01g001730	13	32	0	10	8	10	4	27
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	4	0	0	0	0	2	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	46	18	24	26	88	46	80	119
AGIS_Os01g001790	0	12	0	1	4	18	0	14
AGIS_Os01g001800	11	8	0	7	0	0	10	0
AGIS_Os01g001810	4	7	0	4	0	5	0	4
AGIS_Os01g001820	0	13	0	5	0	22	0	4
AGIS_Os01g001830	4585	5069	8152	6565	6632	9950	10652	11106
AGIS_Os01g001840	663	777	258	637	663	825	857	1028
AGIS_Os01g001850	361	237	174	345	76	259	231	138
AGIS_Os01g001860	2443	3922	5943	7010	3402	4567	5838	3699
AGIS_Os01g001870	103	296	395	389	160	208	517	286
AGIS_Os01g001880	1740	1748	2479	3658	2404	2318	2604	2439
AGIS_Os01g001890	343	362	493	787	328	353	669	464
AGIS_Os01g001900	1454	1437	2217	3157	1773	2001	2182	1698
AGIS_Os01g001910	18	14	6	5	0	4	2	0
AGIS_Os01g001920	664	465	824	842	597	555	704	546
AGIS_Os01g001930	0	0	0	0	0	0	0	0
AGIS_Os01g001940	0	8	0	6	5	18	14	11
AGIS_Os01g001950	0	0	0	0	0	0	0	0
AGIS_Os01g001960	0	0	0	0	0	0	0	0
AGIS_Os01g001970	57	130	44	73	60	80	99	137
AGIS_Os01g001980	300	314	454	304	502	1083	1112	1134
AGIS_Os01g001990	56	96	78	96	100	91	28	60
AGIS_Os01g002000	163	230	224	299	270	274	412	301
AGIS_Os01g002010	922	863	830	1045	996	1526	1266	1521
AGIS_Os01g002020	3913	4261	2705	4767	3628	5268	5596	6509
AGIS_Os01g002030	17	74	213	257	80	156	178	82
AGIS_Os01g002040	1290	947	1037	984	785	1154	1125	1254
AGIS_Os01g002050	601	533	557	647	443	557	528	641
AGIS_Os01g002060	1647	1165	1048	1186	1101	1091	1074	1711
AGIS_Os01g002070	49	77	540	105	356	1000	666	470
AGIS_Os01g002080	478	552	1148	573	566	1792	1591	1391
AGIS_Os01g002090	499	485	499	751	552	486	600	649
AGIS_Os01g002100	0	10	4	0	0	0	0	0
AGIS_Os01g002110	0	12	0	2	0	0	0	3
AGIS_Os01g002120	0	6	4	1	0	0	16	0
AGIS_Os01g002130	0	0	0	0	0	0	0	0
AGIS_Os01g002140	0	0	0	0	0	0	0	0
AGIS_Os01g002150	0	0	0	0	0	0	0	0
AGIS_Os01g002160	0	0	0	0	0	0	0	0
AGIS_Os01g002170	0	0	0	0	0	0	0	0
AGIS_Os01g002180	0	0	0	0	0	0	0	0
AGIS_Os01g002190	0	0	0	0	0	0	0	0
AGIS_Os01g002200	0	0	0	0	0	0	0	0
AGIS_Os01g002210	0	0	0	0	6	4	0	3
AGIS_Os01g002220	0	0	0	0	0	0	0	0
AGIS_Os01g002230	0	0	0	0	0	0	0	0
AGIS_Os01g002240	0	0	0	0	0	0	0	0
AGIS_Os01g002250	24	0	0	0	0	0	0	0
AGIS_Os01g002260	12	1	0	4	8	0	0	4
AGIS_Os01g002270	1523	418	833	407	907	166	239	722
AGIS_Os01g002280	14330	6728	8948	6453	6040	4725	7611	5723
AGIS_Os01g002290	5407	7487	4930	3131	1558	3147	5672	2361
AGIS_Os01g002300	60	21	18	4	162	16	0	226
AGIS_Os01g002310	6	0	0	0	1	0	4	16
AGIS_Os01g002320	1337	1793	1431	361	863	410	341	634
AGIS_Os01g002330	0	0	0	0	0	0	0	0
AGIS_Os01g002340	0	0	0	0	0	0	0	0
AGIS_Os01g002350	0	0	0	0	0	0	0	0
AGIS_Os01g002360	0	0	0	0	0	0	0	0
AGIS_Os01g002370	0	0	0	0	0	0	0	0
AGIS_Os01g002380	0	0	0	0	0	0	0	0
AGIS_Os01g002390	0	0	0	0	0	0	0	0
AGIS_Os01g002400	1	1	0	0	2	0	0	4
AGIS_Os01g002410	601	560	779	907	277	664	646	541
AGIS_Os01g002420	130	146	110	181	167	252	242	204
AGIS_Os01g002430	1056	1143	1804	1958	836	1050	1324	1244
AGIS_Os01g002440	1295	1286	1177	1797	1273	1591	1771	2315
AGIS_Os01g002450	213	171	258	570	387	202	301	197
AGIS_Os01g002460	0	0	0	0	0	0	0	0
AGIS_Os01g002470	0	0	0	0	1	0	0	0
AGIS_Os01g002480	30	57	42	14	16	30	31	36
AGIS_Os01g002490	0	0	0	0	0	0	0	0
AGIS_Os01g002500	0	0	0	0	0	0	0	0
AGIS_Os01g002510	0	0	0	0	0	0	0	0
AGIS_Os01g002520	0	0	0	0	0	0	0	0
AGIS_Os01g002530	734	2151	2428	4992	906	1176	3154	1052
AGIS_Os01g002540	486	1038	2049	3197	2902	1896	1918	980
AGIS_Os01g002550	2342	1485	4124	6342	3585	3619	3354	2266
AGIS_Os01g002560	373	548	553	474	589	723	883	899
AGIS_Os01g002570	14	34	0	19	14	14	36	27
AGIS_Os01g002580	0	0	2	0	0	0	12	12
AGIS_Os01g002590	6081	5939	6934	6000	1546	4320	8297	2254
AGIS_Os01g002600	358	485	686	382	960	1036	1456	1352
AGIS_Os01g002610	220	210	74	276	342	332	438	517
AGIS_Os01g002620	572	182	483	271	490	361	235	353
AGIS_Os01g002630	113	387	354	389	439	899	804	1417
AGIS_Os01g002640	711	2333	1416	1774	1508	2074	2329	2378
AGIS_Os01g002650	211	241	166	367	202	153	187	165
AGIS_Os01g002660	2715	2405	2881	3247	2165	2588	3481	3206
AGIS_Os01g002670	0	0	0	0	0	0	0	0
AGIS_Os01g002680	0	0	0	0	0	0	0	0
AGIS_Os01g002690	0	0	0	0	0	0	0	0
AGIS_Os01g002700	0	0	0	0	0	0	0	0
AGIS_Os01g002710	61	119	26	95	95	127	122	202
AGIS_Os01g002720	1139	1362	522	1034	1281	1134	1378	2250
AGIS_Os01g002730	0	0	0	1	4	0	4	4
AGIS_Os01g002740	0	0	0	0	0	0	0	0
AGIS_Os01g002750	0	0	0	0	0	0	0	0
AGIS_Os01g002760	79	127	173	151	158	84	88	115
AGIS_Os01g002770	0	0	0	0	0	0	0	0
AGIS_Os01g002780	141	253	350	270	276	172	310	133
AGIS_Os01g002790	8	17	24	16	4	34	10	0
AGIS_Os01g002800	4776	2104	3523	3815	2338	2617	2255	2842
AGIS_Os01g002810	0	0	0	0	0	0	0	0
